epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.84949,0.99354,0.171259,0.5121893,0.53196925,1.2991917,0.04
1,17.806046,1.0839175,0.20894471,0.6401544,0.5839965,1.5249529,0.049999997
2,17.721672,1.206892,0.24307427,0.77092576,0.6615479,1.7829897,0.062499996
3,17.564377,1.4991109,0.30204377,1.2075531,0.7677401,2.4052694,0.07812499
4,17.086168,2.0743854,0.5059134,2.291242,0.981565,3.6281524,0.09765624
5,15.195463,3.4812365,1.0820858,5.619524,1.2937391,6.048003,0.122070305
6,6.278186,5.360769,1.9170345,10.458274,1.5514015,6.175947,0.15258788
7,-1.1307517,4.028465,0.6942283,2.5015962,1.4381264,2.5634778,0.13859399
8,-0.7486189,3.8558652,0.7672754,3.674001,1.2948197,2.3163233,0.17324248
9,-1.3743467,3.898388,1.1436981,3.5509653,1.1335424,2.4701836,0.2
10,-2.0806754,4.0501065,1.9918846,4.2437963,1.0479505,2.6550376,0.2
11,-3.503411,4.2518663,3.1074686,3.8289187,1.0741609,2.7568004,0.2
12,-5.1704335,4.744242,4.7901945,4.576558,1.0867844,3.3298974,0.2
13,-7.936703,5.6809106,7.663172,6.7253385,1.2457945,4.089704,0.2
14,-11.989033,6.6572375,11.012061,9.045283,1.4090188,4.1216245,0.2
15,-16.453835,6.3211026,9.796903,6.271405,1.4886386,3.506382,0.2
16,-18.936758,5.399693,5.8626604,5.5523424,1.3029058,3.731391,0.2
17,-19.855968,5.634842,5.4257913,5.3391757,1.3316586,4.4660296,0.17851108
18,-20.452223,4.955889,3.9601562,4.5571694,1.1248987,5.0515404,0.13029012
19,-21.138325,4.2621636,5.2918053,5.4669585,0.87279516,4.1889343,0.09203608
20,-21.761375,3.5978029,6.6620016,3.1777222,0.6983608,2.5963252,0.1150451
21,-21.970291,3.5446248,7.0164766,2.8875108,0.7151267,2.7133095,0.14380637
22,-22.281914,3.2921846,6.731813,2.3751965,0.61510706,2.6545875,0.13480347
