epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.713308,1.5495918,0.32384765,1.1063617,0.82808256,2.0631132,0.04
1,26.567375,1.760027,0.37391558,1.6058353,0.8944944,2.5241444,0.049999997
2,26.172695,2.3350172,0.563137,3.0479474,1.1293566,3.4526746,0.062499996
3,24.825335,3.3372703,0.8879916,6.3855534,1.2985442,4.7638826,0.07812499
4,19.174585,5.7686896,1.9630475,17.747873,1.9312899,6.603715,0.09765624
5,4.442953,6.4639416,3.0253859,16.63516,2.312576,5.6113915,0.122070305
6,-2.1334255,4.111631,1.3459013,5.689118,1.4070909,2.8162081,0.15258788
7,-2.8009887,3.921042,1.6222736,10.343348,1.1804355,2.3653076,0.19073485
8,-4.366559,3.7323995,1.9031675,8.109518,1.0065533,2.301877,0.2
9,-5.722498,3.6324756,2.1570385,4.9724884,0.9884094,2.3988526,0.2
10,-7.2324443,3.4607928,3.0177047,3.7695057,0.8855936,2.2761414,0.2
11,-8.298444,3.3005447,3.8092694,2.609148,0.8245722,2.203623,0.2
12,-9.2902355,3.254606,4.547294,1.9821172,0.8093062,2.1065824,0.2
13,-9.847654,3.0988908,4.5683737,2.1918235,0.7414079,1.7995508,0.2
14,-10.4534025,3.0322638,5.3113747,2.1863656,0.73620987,1.700162,0.2
15,-10.962941,2.9581246,5.05215,1.8985618,0.7074374,1.5940552,0.2
16,-11.294011,2.9497697,5.1968875,1.6041889,0.71958965,1.5398194,0.2
17,-11.698842,2.960207,4.9532943,1.7641143,0.68755054,1.5841743,0.2
18,-12.047667,2.9499788,5.3335843,2.0341687,0.695214,1.5727692,0.2
19,-12.381076,2.982084,5.786437,2.0858972,0.7034003,1.511449,0.2
20,-13.057836,3.0221133,5.728568,2.3157985,0.709978,1.6958662,0.2
21,-13.623088,3.0762155,5.9093847,3.6687074,0.6914766,1.8181008,0.2
22,-14.847542,2.7237585,4.8934774,3.9027479,0.5959502,2.034715,0.2
23,-15.620545,2.5337098,6.445962,3.064492,0.55612177,1.7430159,0.17010678
24,-15.9512205,2.4053142,5.768648,3.0701902,0.5674041,1.4851643,0.2
25,-16.176365,2.2386072,4.9551606,1.0833794,0.5653481,1.0744858,0.2
26,-16.341215,2.1986744,5.1096683,1.6410959,0.55585563,1.1087168,0.2
27,-16.40379,2.0754313,5.674062,1.3219568,0.5415385,0.8752451,0.19081376
28,-16.606236,2.0490608,5.3108816,0.81779224,0.55444086,0.69424754,0.2
29,-16.622778,2.0223851,4.4498105,0.8761536,0.55898106,0.7977996,0.2
30,-16.753172,1.9108174,3.0137558,0.5658361,0.563906,0.57162154,0.2
31,-16.835909,1.841531,2.895645,1.250998,0.5330577,0.6103537,0.2
32,-16.826826,1.8634869,4.8641047,0.62179977,0.54907596,0.4921704,0.2
33,-16.905,1.8643231,4.5498405,0.91820025,0.5555836,0.5986722,0.2
34,-16.947796,1.826199,4.166328,0.6880848,0.56056315,0.46742043,0.2
35,-16.980228,1.7573248,4.3599424,1.1962712,0.5233826,0.66070944,0.2
36,-16.996462,1.7596216,4.7639832,1.6404507,0.52180326,0.720076,0.13940386
37,-17.01435,1.7648164,4.556565,0.9654751,0.52714205,0.5319943,0.13852748
38,-17.073078,1.7713846,3.3529172,0.49360865,0.5585278,0.42575154,0.17315936
39,-17.090508,1.7281493,4.8894815,0.5634319,0.5237279,0.36742216,0.2
40,-17.111626,1.7276428,3.0951018,0.33024544,0.55754274,0.2788658,0.2
41,-17.123905,1.7183552,3.611717,0.69407654,0.54955816,0.50064164,0.2
42,-17.182734,1.7518626,4.8190837,0.37526584,0.54107577,0.3033083,0.2
43,-17.276587,1.6297789,3.1395283,0.6312575,0.5145911,0.36310345,0.2
44,-17.266148,1.6634017,3.937276,0.6122973,0.53447425,0.278478,0.2
45,-17.17262,1.6559345,4.811351,0.41758767,0.5383871,0.20128663,0.2
46,-17.191488,1.6011877,4.674337,0.34910214,0.49665737,0.21893445,0.2
47,-17.232962,1.5706208,4.8377757,0.43310073,0.50029147,0.27564532,0.2
