epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.740902,1.1126189,0.024825232,0.40873703,0.096934415,0.9623911,0.04
1,17.700014,1.1778094,0.03015383,0.4703462,0.10902515,1.0601448,0.049999997
2,17.618988,1.3496789,0.035619285,0.61004114,0.12387527,1.2748532,0.062499996
3,17.465046,1.5625708,0.03760253,0.8140229,0.11392462,1.4988217,0.07812499
4,17.167688,1.8581972,0.04287203,1.14562,0.12582906,1.8256438,0.09765624
5,16.454767,2.395637,0.065106675,1.8176881,0.16196907,2.303685,0.122070305
6,14.615194,3.4578266,0.096010625,3.137361,0.24533778,3.0527546,0.15258788
7,9.836774,4.6394963,0.13735364,4.441327,0.3886588,3.1447067,0.19073485
8,2.489827,4.818686,0.2013334,3.9315672,0.60005814,1.8754056,0.2
9,-0.33578578,4.1609488,0.24965097,1.8672212,0.56511915,1.1040609,0.2
10,-1.0321312,4.0225315,0.2884816,1.1828332,0.5396676,1.0212497,0.2
11,-1.3226626,3.9939604,0.34594893,1.7537915,0.53683245,0.9384631,0.2
12,-1.6478516,4.051839,0.39602333,1.5493385,0.536466,1.0327437,0.2
13,-1.9147732,4.093652,0.46860924,1.4792368,0.522424,0.94191533,0.2
14,-2.3463924,4.190536,0.53442585,1.5749398,0.48653772,0.98748064,0.2
15,-2.8784125,4.435365,0.7159431,1.4756327,0.51870817,1.0552715,0.2
16,-3.407056,4.414095,0.70722026,1.70522,0.47902146,1.0395384,0.2
17,-3.813735,4.5022006,0.79503465,1.4965446,0.45182592,1.0963907,0.2
18,-4.5382977,4.8670225,0.9906734,1.8775362,0.4835798,1.1024747,0.2
19,-4.915202,4.88571,0.99632454,2.1603973,0.45388946,1.0876482,0.2
20,-5.639847,5.052341,1.0478629,1.8364928,0.44246674,1.2023126,0.2
21,-6.402079,5.198592,1.027811,1.767334,0.44141564,1.2102472,0.2
22,-6.856925,5.3715935,1.0729536,2.0735283,0.41483232,1.2259574,0.2
23,-7.3983855,5.629806,1.1512194,2.0170412,0.45446563,1.3244365,0.2
24,-8.143899,5.6869445,1.0294747,1.8691573,0.47618103,1.2353125,0.2
25,-8.680506,5.782471,0.90472627,2.165263,0.4365997,1.2304591,0.2
26,-8.97592,5.815966,0.8445479,2.4860055,0.47616574,1.2618436,0.2
27,-9.633137,5.954673,0.93223757,2.808345,0.39209235,1.2330987,0.2
28,-10.309406,6.4292874,1.0433917,3.3633304,0.5901925,1.3677678,0.2
29,-10.868178,6.74172,1.0890862,3.4742131,0.45998374,1.3703195,0.2
30,-11.719566,6.9970303,0.9462577,3.9926639,0.45235717,1.2791439,0.2
31,-12.339298,7.4807982,1.141871,4.4501753,0.51587886,1.6655425,0.2
32,-13.041853,7.6843133,0.85229445,4.5698633,0.57505184,1.7850477,0.2
33,-14.244026,8.144206,0.8281305,4.152562,0.5869879,1.8258476,0.2
34,-14.652248,8.166094,0.7777759,3.9911253,0.51910716,1.9573098,0.2
35,-15.37172,8.215384,0.61040103,3.9937227,0.5398917,2.2974482,0.2
36,-16.309866,8.227688,0.591763,3.3791878,0.5690835,2.1205955,0.2
37,-17.039978,8.055174,0.5499273,3.6140273,0.58288914,2.3347318,0.2
38,-17.39453,8.330611,0.47097412,4.43441,0.7059629,2.647736,0.2
39,-18.665014,7.537184,0.42895153,3.765707,0.5822097,3.0282314,0.2
40,-19.767616,6.881962,0.59263796,7.1970625,0.57165074,3.0371118,0.110560544
41,-20.393503,6.519368,0.7713574,8.847395,0.5247331,3.236174,0.038544934
42,-21.445093,4.4319773,0.586781,2.9628675,0.41404963,2.01444,0.04818117
43,-21.592754,4.18346,0.7949225,3.52047,0.36690065,1.5992672,0.04449633
44,-21.76814,4.173822,0.7849485,2.6218326,0.44740358,1.3422757,0.055620413
45,-21.865442,3.8866222,0.7415076,1.5713384,0.35714862,1.1708342,0.06952552
46,-21.911753,3.828485,0.65545326,1.5878534,0.33546883,0.7417194,0.086906895
47,-21.992125,3.9497926,0.74077904,2.2626405,0.34608018,0.8866713,0.072858825
48,-21.890055,3.6739244,0.6383547,2.235027,0.2884089,0.82449657,0.040750954
49,-22.054037,3.786962,0.5774732,0.48572412,0.30303735,0.6970701,0.050938692
50,-22.032028,3.6032293,0.65638334,0.70422953,0.2829106,0.46892112,0.06367336
51,-22.025827,3.59956,0.6139588,0.8687099,0.2487853,0.4773185,0.07959171
52,-22.024626,3.558102,0.67153,1.0049278,0.26089734,0.6545355,0.09948963
53,-22.089022,3.5712233,0.55054045,2.2652984,0.2600365,0.65713894,0.053588632
54,-22.14341,3.4814887,0.5709641,1.5893356,0.2444411,0.4910984,0.03638427
55,-22.10957,3.456841,0.4910446,0.837821,0.23246205,0.34901348,0.045480337
56,-22.222939,3.4510396,0.50947624,0.44486174,0.24424447,0.4360239,0.056850422
57,-22.356197,3.571014,0.49845523,0.5808661,0.23899674,0.37929124,0.07106303
58,-22.146383,3.5925875,0.50872535,0.91384965,0.22989759,0.31008503,0.08882879
59,-22.15917,3.4230375,0.43044147,1.1262745,0.18523264,0.39022273,0.08774997
60,-22.37928,3.4021416,0.4885523,1.6511108,0.22219057,0.45224813,0.042628072
61,-22.233616,3.3727646,0.485871,0.3865581,0.2030475,0.3162327,0.053285092
62,-22.294176,3.4572392,0.4945438,0.39808172,0.20924671,0.33206666,0.066606365
63,-22.462229,3.5140607,0.44146243,0.7048544,0.22821195,0.256897,0.08325796
64,-22.412813,3.421877,0.52397865,0.9972776,0.22380096,0.33029056,0.10407245
65,-22.356464,3.4033897,0.3729403,1.5466397,0.20538862,0.53924835,0.043510422
66,-22.45382,3.343303,0.508778,0.597878,0.18707052,0.2649116,0.054388028
67,-22.347998,3.3194053,0.3454595,0.40929773,0.20713764,0.35844335,0.067985035
68,-22.476433,3.4247112,0.39574012,0.4282821,0.22645026,0.3179487,0.08498129
69,-22.330982,3.3217778,0.47847402,0.79922456,0.21840574,0.22388376,0.106226616
70,-22.374094,3.3843591,0.32892144,1.3488551,0.1692946,0.3189182,0.049415737
71,-22.435547,3.2634404,0.38431752,0.409853,0.18819003,0.20364322,0.03679737
72,-22.513762,3.2998009,0.34810507,0.2810443,0.19177969,0.22375877,0.045996714
73,-22.371546,3.4184804,0.32252192,0.27654883,0.1839494,0.16775207,0.057495892
74,-22.33994,3.3354063,0.37563583,0.30413195,0.19805971,0.16322847,0.071869865
75,-22.446945,3.2578018,0.30440748,0.34007615,0.19506432,0.2125052,0.08983733
76,-22.329784,3.2549574,0.2784583,0.64300585,0.19178158,0.23151672,0.112296656
77,-22.452337,3.3113353,0.3518637,1.0584104,0.19079705,0.31434807,0.055660937
78,-22.405127,3.2564552,0.18289131,0.7796851,0.17312217,0.1928231,0.04015743
79,-22.341824,3.2129593,0.34972522,0.47776386,0.15556255,0.19015327,0.05019679
80,-22.387259,3.1565664,0.32876012,0.3799891,0.15753913,0.15822415,0.06274599
81,-22.474918,3.3324146,0.2587174,0.4543403,0.17961337,0.11725072,0.078432485
82,-22.244368,3.2529774,0.35719877,0.48391384,0.16410695,0.11692135,0.09804061
83,-22.592642,3.2256827,0.27288038,0.60784304,0.18947342,0.17571118,0.12255076
84,-22.455769,3.2202523,0.34816992,0.91151655,0.18137275,0.33197933,0.039534997
85,-22.450922,3.2240918,0.30525053,0.38532364,0.14159176,0.13611263,0.049418747
86,-22.547367,3.1508317,0.32153824,0.20646457,0.16916645,0.13435741,0.061773434
87,-22.471514,3.115164,0.32859978,0.4738173,0.1564677,0.15262645,0.07721679
88,-22.41334,3.1623805,0.27432296,0.37629092,0.16027674,0.14319003,0.09652099
89,-22.449368,3.321869,0.24629728,0.58629835,0.17571793,0.16736117,0.08205591
90,-22.510578,3.1941788,0.23062548,0.8766161,0.16335239,0.21484181,0.0503191
91,-22.471699,3.095907,0.2823877,0.37066028,0.15581875,0.14754681,0.062898874
92,-22.340034,3.101084,0.27971023,0.40324548,0.1389248,0.15239638,0.07862359
93,-22.474482,3.1185634,0.22559194,0.38641614,0.17202127,0.12837209,0.09827949
94,-22.424778,3.0885572,0.26364207,0.7368649,0.17782103,0.15727699,0.060287826
95,-22.448816,3.1408873,0.17860323,0.47674075,0.16350043,0.13002078,0.04521421
96,-22.396753,3.0672383,0.2158537,0.24671562,0.12776752,0.08276451,0.05651776
97,-22.439653,3.0620136,0.1723082,0.2996245,0.17580278,0.08377315,0.0706472
98,-22.42189,3.2404063,0.3289079,0.33017552,0.17244408,0.07764011,0.088309005
99,-22.400274,3.17458,0.11561932,0.55716366,0.15346922,0.09184588,0.11038625
100,-22.46264,3.0963595,0.25812888,0.90658784,0.16842088,0.17744216,0.043302756
101,-22.429203,3.0815911,0.20194222,0.39438587,0.16507608,0.099453405,0.054128446
102,-22.449924,3.0457864,0.25313917,0.32530737,0.1594584,0.113152646,0.067660555
103,-22.505106,3.1367197,0.29406938,0.38340747,0.15411122,0.100489914,0.0845757
104,-22.477179,3.0556586,0.28596094,0.6074984,0.16020648,0.12392219,0.105719626
105,-22.486942,3.0936503,0.24994133,1.253948,0.15029015,0.21348011,0.034757815
106,-22.573938,3.206567,0.22650035,0.26506963,0.17529215,0.09500466,0.04344727
107,-22.479942,3.1412592,0.20052496,0.31549448,0.15002133,0.095976286,0.05430909
108,-22.530308,3.1292675,0.22636777,0.4527934,0.1660978,0.10579916,0.06788636
109,-22.450457,3.1717598,0.15541646,0.49730065,0.16946809,0.120466486,0.08485795
110,-22.43843,3.0892062,0.15354483,0.65635717,0.16445678,0.18173967,0.054710362
111,-22.498209,3.1951547,0.1596154,0.5320558,0.15918095,0.10982275,0.050162867
112,-22.458996,3.1105523,0.15578789,0.28134584,0.16864744,0.06862397,0.06270358
113,-22.561699,3.0902,0.23059632,0.31770724,0.16170052,0.06516862,0.078379475
114,-22.545553,3.082912,0.25447416,0.56270516,0.14636764,0.087494895,0.097974345
115,-22.480558,3.0388422,0.24969456,1.1413525,0.17339887,0.16439396,0.040946297
116,-22.456022,3.1206222,0.259311,0.36923254,0.15224749,0.09340099,0.051182874
117,-22.503117,2.996417,0.14041094,0.37973446,0.14789367,0.08637205,0.06397859
118,-22.46963,3.013739,0.11575703,0.2897209,0.16237006,0.089212246,0.079973236
119,-22.467484,3.0733366,0.17755334,0.517851,0.15952764,0.12506123,0.09996654
120,-22.4368,3.139279,0.12223542,0.99982566,0.17695636,0.21173087,0.038284503
121,-22.469746,3.0309045,0.12182534,0.23384604,0.18046267,0.06222962,0.04785563
122,-22.658707,3.1573439,0.21563555,0.29683906,0.17240317,0.06881799,0.05981954
123,-22.50125,3.0837612,0.19556594,0.32275945,0.15564646,0.06605353,0.07477442
124,-22.56186,3.0722308,0.14240974,0.37440005,0.16752313,0.083743475,0.093468025
125,-22.570465,3.0443418,0.19280349,0.537919,0.17809825,0.13554282,0.11683503
