epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.740921,1.1125768,0.04964341,0.81725174,0.19486305,1.6889054,0.005
1,17.734402,1.1169597,0.056000676,0.83785933,0.21888837,1.7085431,0.005
2,17.721222,1.1796927,0.060300704,0.93505967,0.23310725,1.8631502,0.005
3,17.707949,1.2044363,0.053806316,0.9852138,0.20391545,1.8777283,0.005
4,17.70013,1.1840962,0.052372504,0.9822603,0.20119074,1.8662008,0.005
5,17.68575,1.1840093,0.05764162,0.9737833,0.21711041,1.8342068,0.005
6,17.668114,1.2482386,0.057836585,0.9949918,0.22739428,1.9861609,0.005
7,17.64246,1.2621531,0.04950477,1.0348676,0.19641063,1.999696,0.005
8,17.626574,1.2939651,0.062793635,1.1373041,0.2356246,2.0704973,0.005
9,17.611406,1.3349544,0.069603354,1.31672,0.2683564,2.1320348,0.005
10,17.59028,1.3833525,0.06699148,1.3118529,0.26198813,2.2437813,0.005
11,17.566261,1.3735187,0.055592485,1.2500966,0.21034868,2.238336,0.005
12,17.534836,1.4355159,0.07118513,1.3430275,0.2712427,2.3604996,0.005
13,17.513193,1.4553294,0.06090763,1.3505731,0.23968783,2.353897,0.005
14,17.490248,1.4749515,0.06772455,1.4215078,0.26080167,2.4114218,0.005
15,17.4593,1.4864898,0.06692293,1.4788636,0.25756037,2.4472442,0.005
16,17.429337,1.5303572,0.06875635,1.5453234,0.26042992,2.5000174,0.005
17,17.381495,1.6168939,0.07751299,1.7926124,0.2860232,2.6721873,0.005
18,17.349483,1.6631823,0.07869916,1.9049898,0.30306605,2.7236743,0.005
19,17.296371,1.7659475,0.08795742,1.9952828,0.32825634,2.9993312,0.005
20,17.259958,1.7704127,0.09762541,2.0962958,0.35749868,2.9219043,0.005
21,17.203312,1.8359748,0.09013731,2.2490025,0.34144598,3.0221782,0.005
22,17.166485,1.8289185,0.084282,2.2239528,0.32316104,3.045399,0.005
23,17.111336,1.8985993,0.10101187,2.3705556,0.3851297,3.1672978,0.005
24,17.037706,1.9630142,0.094526604,2.5563207,0.35396993,3.2717812,0.005
25,16.980782,2.0152311,0.09335339,2.5458684,0.3662475,3.379551,0.005
26,16.901903,2.137533,0.10923622,2.9169703,0.41780773,3.6191425,0.005
27,16.831741,2.165394,0.10537881,3.0653524,0.39835146,3.5991626,0.005
28,16.733812,2.2346587,0.11845089,3.0532043,0.43679485,3.7948828,0.005
29,16.65559,2.3051288,0.12582931,3.2607772,0.46782508,3.878276,0.005
30,16.54518,2.3927763,0.1275954,3.4664388,0.48552155,4.037746,0.005
31,16.411377,2.5065284,0.13732319,3.9134045,0.5393692,4.160598,0.005
32,16.334942,2.5673792,0.14138605,4.107502,0.546577,4.241341,0.005
33,16.200336,2.5841894,0.14445993,4.004389,0.5460356,4.310274,0.005
34,16.071634,2.6291564,0.119482815,4.1702733,0.47895065,4.2884035,0.005
35,15.920953,2.7449803,0.1244534,4.3833313,0.48215067,4.4889607,0.005
36,15.739903,2.8694177,0.15200897,4.7372665,0.5877893,4.6830077,0.005
37,15.571789,3.041189,0.16113241,5.169431,0.6446434,4.9762707,0.005
38,15.417744,3.083916,0.15922777,5.528598,0.624068,4.918752,0.005
39,15.181422,3.1816218,0.150234,5.750387,0.61597985,5.0446715,0.005
40,15.004746,3.3176587,0.18276866,6.14186,0.7092964,5.2163343,0.005
41,14.709669,3.4611456,0.1731906,6.3520083,0.707956,5.3958893,0.005
42,14.5440035,3.5192385,0.18767361,6.7076454,0.76479733,5.3937116,0.005
43,14.284484,3.5754516,0.20570144,6.532685,0.7822322,5.487639,0.005
44,14.022653,3.6271822,0.19777663,6.2841597,0.796449,5.6058292,0.005
45,13.829465,3.7539933,0.20514949,7.2622857,0.8647109,5.5323496,0.005
46,13.329821,4.0383954,0.21264921,8.242181,0.8676376,5.864079,0.005
47,13.159888,3.9876938,0.21748202,7.424879,0.91407555,5.907969,0.005
48,12.849744,4.056829,0.23900506,8.092634,0.9955548,5.806944,0.005
49,12.505682,4.032276,0.21811801,7.409964,0.96375644,5.6700826,0.005
50,12.192508,4.234375,0.2446247,8.511838,1.0782161,5.878664,0.005
51,11.739709,4.337464,0.27002475,8.316544,1.1917591,5.8115253,0.005
52,11.419543,4.38393,0.2537901,8.671007,1.1222641,5.84025,0.005
53,10.961299,4.531239,0.30219746,8.482025,1.345266,5.985738,0.005
54,10.658115,4.5263863,0.3044465,9.431759,1.284338,5.822413,0.005
55,10.186459,4.7840405,0.30909732,9.841361,1.3645166,5.974962,0.005
56,9.91234,4.6716146,0.28255966,9.127636,1.2821233,5.86135,0.005
57,9.413711,4.725091,0.33016333,8.990912,1.5115505,5.703882,0.005
58,8.994437,4.9368386,0.3601322,10.208624,1.6590508,5.7913666,0.005
59,8.631307,4.8992677,0.3903944,9.552004,1.7719069,5.6254716,0.005
60,8.2858,4.9363394,0.3587292,9.70268,1.7020621,5.5325284,0.005
61,7.848458,4.9490075,0.39213973,9.512176,1.7487204,5.398955,0.005
62,7.389433,5.044257,0.3862886,9.938825,1.8299592,5.4135637,0.005
63,7.0492086,5.043628,0.3879129,10.557658,1.7840841,5.2699056,0.005
64,6.409432,5.165803,0.42710122,10.164394,1.9765333,5.16143,0.005
65,6.227501,5.091162,0.4837476,9.602535,2.2829003,4.9880958,0.005
66,5.5759044,5.189236,0.48551953,10.121771,2.1785922,4.8812795,0.005
67,5.3505507,5.0453916,0.45195737,9.824515,2.1393647,4.6280785,0.005
68,5.1031723,5.108678,0.55729264,9.496645,2.4976058,4.722913,0.005
69,4.669708,5.0644274,0.5288341,9.014081,2.4454534,4.4863944,0.005
70,4.4119415,5.1058793,0.5505129,9.675625,2.5367448,4.3656735,0.005
71,4.0031896,5.136277,0.5360437,9.024136,2.451774,4.264978,0.005
72,3.5558593,5.1059985,0.57410556,9.290125,2.5509965,4.078917,0.005
73,3.487609,5.10342,0.63580424,9.074684,2.743864,4.0548744,0.005
74,3.1953745,5.056866,0.5461898,9.140342,2.4130876,4.1752124,0.005
75,2.900193,5.046849,0.5952072,8.961041,2.7048936,3.6725426,0.005
76,2.5032012,4.9921265,0.6880306,8.580989,3.0286136,3.7840815,0.005
77,2.299924,4.967596,0.61764157,7.759107,2.6953225,3.7266452,0.005
78,2.1635063,4.912567,0.6590899,8.217087,2.9498014,3.5857,0.005
79,1.9524096,4.920642,0.6866238,8.225535,2.897528,3.5495858,0.005
80,1.6891661,4.956116,0.7022928,8.144599,2.9590814,3.3107333,0.005
81,1.5258095,4.867663,0.6737246,7.18353,2.853889,3.5026531,0.005
82,1.2324888,4.8981433,0.7986587,7.24563,3.245066,3.165177,0.005
83,1.1656853,4.866623,0.73592263,7.2999654,3.145709,3.2990992,0.005
84,0.91602767,4.807573,0.7710496,6.6007495,3.1699958,3.0506558,0.005
85,0.9567903,4.8250227,0.87442267,6.7028675,3.4589849,3.2132137,0.005
86,0.6115515,4.761779,0.8931758,6.6415524,3.4822283,3.0608554,0.005
87,0.70828587,4.7951193,0.94594204,6.63571,3.574408,2.968795,0.005
88,0.37390077,4.792813,0.921692,6.5437307,3.6113532,3.065964,0.005
89,0.3178024,4.6530333,0.89373386,6.2677207,3.5589561,2.9120922,0.005
90,-0.011455017,4.743987,1.0620077,5.977074,4.0198946,2.9471552,0.005
91,-0.0713319,4.7419662,1.0707157,6.4867496,4.0603533,2.8584948,0.005
92,-0.18213907,4.727466,0.98506427,5.683189,3.8324146,2.8082829,0.005
93,-0.23684098,4.619581,1.0449198,5.654103,3.8933845,2.7455194,0.005
94,-0.53426963,4.713009,1.2082762,5.808357,4.4381366,3.0064611,0.005
95,-0.4948493,4.6479406,1.1750319,5.536713,4.268191,2.7787125,0.005
96,-0.8458048,4.5896306,1.0311606,5.400103,3.8493643,2.6254537,0.005
97,-0.86289173,4.691744,1.2085612,5.59625,4.409415,2.8050785,0.005
98,-0.8747389,4.572687,1.3197927,4.7967176,4.543811,2.760382,0.005
99,-0.92549837,4.642117,1.426517,4.939293,5.044545,2.873294,0.005
100,-1.2458196,4.609723,1.4292327,4.786478,4.81762,2.8138278,0.005
101,-1.3708223,4.655177,1.5213748,5.193414,5.0791197,2.8515072,0.005
102,-1.4356551,4.610664,1.4290013,5.325965,4.7192287,2.8060853,0.005
103,-1.5906489,4.514048,1.5249208,4.811919,5.097231,2.7301471,0.005
104,-1.6571189,4.631714,1.5447272,4.5158257,5.168485,2.7656546,0.005
105,-1.7739918,4.5936494,1.6571047,4.6359262,5.3921256,2.8821044,0.005
106,-1.9231418,4.7112164,2.0115411,3.9079018,6.232248,3.1184628,0.005
107,-2.0886216,4.648498,1.9801426,4.8828855,5.799797,3.1247523,0.005
108,-2.3620055,4.609506,1.8638774,4.568408,5.5645022,2.9719553,0.005
109,-2.3686204,4.5886526,2.1618705,4.100006,6.0349617,3.1694915,0.005
110,-2.6711864,4.6300244,2.3932304,4.117451,6.4721155,3.2967587,0.005
111,-2.7091572,4.6338863,2.4269252,4.1543307,6.2286983,3.3924243,0.005
112,-2.983186,4.628912,2.470695,3.544468,6.431428,3.333878,0.005
113,-3.2061224,4.5957274,2.539005,4.644773,6.418414,3.4291115,0.005
114,-3.2736685,4.710488,2.6473541,3.6605518,6.4641385,3.4136217,0.005
115,-3.6565878,4.61864,2.9135988,3.6064231,6.5056863,3.491727,0.005
116,-3.8044927,4.6327357,3.0134761,3.4353812,6.810313,3.6725721,0.005
117,-3.9995425,4.5431175,3.01029,3.329502,6.8916764,3.6271806,0.005
118,-4.0685606,4.6805563,3.2030258,3.4000645,7.078804,3.68397,0.005
119,-4.2204056,4.5892634,3.1026418,3.7660956,7.063298,3.6959352,0.005
120,-4.595712,4.701461,3.3100252,3.0748718,7.4164968,3.7997055,0.005
121,-4.9296722,4.595352,3.402152,3.4805071,7.7048926,3.8840082,0.005
122,-5.0876727,4.694428,3.5476458,2.6374485,7.7992764,3.8583364,0.005
123,-5.5196533,4.541371,3.0609643,3.8763099,7.139887,3.537429,0.005
124,-5.627418,4.6453195,3.348295,3.4105737,7.8476253,3.7020442,0.005
125,-5.9086847,4.6434007,3.1680312,2.8161376,7.6157684,3.614684,0.005
126,-6.208875,4.6422544,3.0600352,3.0367196,7.55143,3.5153787,0.005
127,-6.3886604,4.6155057,3.2591684,3.2024477,8.307128,3.8591735,0.005
128,-6.717639,4.7206326,3.421394,3.7605724,8.781568,3.889019,0.005
129,-6.9852886,4.605951,3.2965865,3.050207,8.701633,3.7272317,0.005
130,-7.0909553,4.589344,2.9506702,2.5955167,8.103878,3.527647,0.005
131,-7.411873,4.570974,2.8906746,3.1069095,7.975828,3.411346,0.005
132,-7.7658715,4.6312537,2.900045,3.2369518,8.273434,3.4241035,0.005
133,-7.8746634,4.6975636,2.8106048,3.1565475,8.133881,3.4625685,0.005
134,-8.304125,4.53883,2.5691533,2.773633,7.6034346,3.1238139,0.005
135,-8.465002,4.7232723,2.9781191,4.011948,8.745254,3.5323422,0.005
136,-8.567332,4.579368,2.719509,2.5615995,8.101723,3.28045,0.005
137,-8.896422,4.511674,2.5479958,2.768521,7.9407167,3.1413264,0.005
138,-9.028287,4.5130816,2.5245166,3.3224378,8.019389,3.1615536,0.005
139,-9.213442,4.631342,2.5301728,3.5311053,7.9286957,3.1592104,0.005
140,-9.495972,4.6704407,2.6527207,3.6498008,8.6490135,3.1807098,0.005
141,-9.612357,4.6460156,2.4566002,2.7996738,8.243386,3.1656828,0.005
142,-9.918752,4.593509,2.3318417,2.1699643,7.884381,2.9550898,0.005
143,-10.0198145,4.51235,2.380773,3.4815571,8.250559,2.9805079,0.005
144,-10.3221,4.4688277,2.3408048,2.963282,8.023251,2.9879193,0.005
145,-10.442781,4.6861663,2.272863,2.893033,7.968396,2.9776719,0.005
146,-10.615923,4.506369,2.2628794,3.3601003,7.8622813,2.8714063,0.005
147,-10.933031,4.4772434,2.2252302,3.880264,7.6156516,2.8027728,0.005
148,-11.038902,4.667392,2.160481,3.585216,7.4832134,2.916871,0.005
149,-11.169763,4.680694,2.0171335,2.78625,7.204284,2.9376283,0.005
150,-11.403842,4.461703,2.1955512,2.6509402,7.6936707,2.9160185,0.005
151,-11.533352,4.4924264,2.1710012,3.2038753,7.6521816,2.7695615,0.005
152,-11.696661,4.4271684,2.1103525,3.1338809,7.684206,3.0065768,0.005
153,-12.052732,4.609614,1.8918998,2.6738973,6.477127,2.9000285,0.005
154,-12.061524,4.557111,2.323809,3.3838153,8.213923,3.16092,0.005
155,-12.236617,4.6638527,2.2165163,4.410995,7.789706,3.2103198,0.005
156,-12.284707,4.6679926,2.678901,3.297155,9.287818,3.8361235,0.005
157,-12.471683,4.77695,2.4088953,3.1309874,8.435722,3.634742,0.005
158,-12.825762,4.472236,2.065574,4.8462725,7.236246,3.2403014,0.005
159,-12.929653,4.651781,2.3304079,3.5555565,8.1181965,3.4708755,0.005
160,-13.065303,4.6660295,2.3582864,3.6619494,8.460716,3.6313024,0.005
161,-13.093195,4.671599,2.5255795,3.7595713,8.799458,3.6895201,0.005
162,-13.600535,4.655405,2.3482924,4.525381,8.01763,3.6566634,0.005
163,-13.685756,4.596322,2.521639,5.133018,8.847071,3.8708282,0.005
164,-14.062801,4.4593654,2.6393595,5.270536,8.960787,3.717724,0.005
165,-14.14163,4.780384,2.905116,8.76261,10.123167,4.1257796,0.005
166,-14.592598,4.6788044,2.5833097,9.284094,8.74562,3.9158177,0.005
167,-14.609016,4.920469,3.1149402,9.005064,10.527934,4.3727107,0.005
168,-15.06419,5.162668,2.9017816,10.34755,10.605236,4.5002556,0.005
169,-15.373492,4.828728,2.9299889,9.373076,10.363915,4.477036,0.005
170,-15.675718,4.7389193,3.0640962,12.294876,11.47916,4.4846573,0.005
171,-16.017015,4.9774137,2.876813,14.445933,10.990864,4.4416575,0.005
172,-16.300034,4.8181424,2.7703178,10.250451,11.325589,4.29243,0.005
173,-16.722343,4.634689,2.4211454,12.980856,10.070505,3.957134,0.005
174,-17.081379,4.5934277,2.2071688,13.432252,9.51334,3.8853788,0.005
175,-17.250328,4.802523,2.1899083,11.402899,9.620084,4.1263685,0.005
176,-17.478325,4.4667034,1.7447643,12.203866,7.817308,3.682031,0.005
177,-17.620064,4.479065,1.6609294,10.339465,7.531321,3.9252646,0.005
178,-17.921846,4.350029,1.3682417,8.3070345,6.311153,3.6289248,0.005
179,-18.130308,4.3161163,1.0002241,10.44637,4.7051773,3.6905212,0.005
180,-18.239944,4.223957,0.88686526,10.22335,4.19964,3.4196143,0.005
181,-18.233425,4.772167,0.94119304,11.312628,4.468247,3.8116002,0.005
182,-18.52541,4.3779635,0.81128776,12.815886,3.447663,3.856193,0.005
183,-18.457165,4.353233,0.71863914,9.054644,3.4746268,3.0537817,0.005
184,-18.555529,4.3285637,0.6981286,5.635945,3.4222405,3.240559,0.005
185,-18.763777,4.0904756,0.60245484,7.2552314,2.823582,3.285869,0.005
186,-18.809822,4.4065614,0.67322826,5.382157,3.2207854,3.0550065,0.005
187,-18.820663,4.129336,0.5554961,7.2167034,2.6823227,2.858313,0.005
188,-18.833782,4.1345925,0.6147542,4.970187,2.888513,3.1036694,0.005
189,-18.887587,4.4124546,0.5979829,3.457392,2.819863,3.0489788,0.005
190,-18.97742,4.2948737,0.7076808,4.398522,3.2692401,3.068339,0.005
191,-19.079569,4.175032,0.8230481,7.4097595,3.6670656,2.941837,0.005
192,-19.124273,4.1022234,0.63494503,4.8437405,2.9393737,2.5476213,0.005
193,-19.02365,3.8997014,0.6438057,4.366118,3.0765603,2.7523825,0.005
194,-19.221,4.1047945,0.8326819,3.1239293,3.6896741,2.6912603,0.005
195,-19.260391,3.8353758,0.7082141,2.7901251,3.2438207,2.852606,0.005
196,-19.291584,4.271847,0.71409845,4.355735,3.2177887,3.2224913,0.005
197,-19.330761,4.3497586,0.81151444,4.8959002,3.7351522,3.4783406,0.005
198,-19.36437,3.589288,0.6563375,2.0615103,3.1056106,2.51692,0.005
199,-19.242086,4.183656,0.7868255,4.0715203,3.7296853,2.7699761,0.005
200,-19.58905,3.8753574,0.949971,3.4778438,4.08392,2.769574,0.005
201,-19.348244,4.0952764,0.7923897,3.0943987,3.690759,3.4346495,0.005
202,-19.658472,4.2187686,0.7846786,2.7513824,3.5444388,3.617118,0.005
203,-19.655989,4.42492,0.85025305,2.398843,3.7998168,4.119164,0.005
204,-19.613731,4.1128483,0.7757841,2.3026185,3.6480637,2.6088157,0.005
205,-19.718426,3.9702492,0.7851609,3.4766738,3.5824592,2.8158283,0.005
206,-19.751019,4.471117,0.7961485,4.311172,3.6016288,3.2111094,0.005
207,-19.926287,4.1555634,0.82292306,3.3461628,3.6166515,2.7541285,0.005
208,-19.978542,3.1760921,0.8185583,2.2953105,3.5604105,2.1880996,0.005
209,-20.02465,3.6019607,0.72495383,1.4905983,3.2823405,2.777354,0.005
210,-19.910501,4.134816,0.6955828,2.5000472,3.2562897,2.912143,0.005
211,-20.022238,3.2926059,0.68142384,1.8817303,3.1785655,2.1108043,0.005
212,-20.141863,3.7471983,0.77101076,2.8217955,3.372957,2.671526,0.005
213,-20.135332,3.7714653,0.5611785,2.1308653,2.6742861,2.178363,0.005
214,-20.042788,4.732682,0.89274365,2.0046089,4.1596494,2.976914,0.005
215,-20.102842,3.757639,0.6746941,1.6086617,3.1442118,2.235533,0.005
216,-20.207264,3.8982024,0.5756138,2.5330796,2.6445172,2.4867814,0.005
217,-20.151176,3.5590823,0.6073439,2.0472097,2.859386,2.8508036,0.005
218,-20.059208,3.8945975,0.7041755,1.5431993,3.4049785,2.6529305,0.005
219,-20.247208,3.98543,0.6357427,2.802871,2.9308727,2.4968717,0.005
220,-20.331333,3.5614526,0.60153437,1.5670918,2.6532798,2.4138746,0.005
221,-20.34123,2.9342148,0.59642667,1.0555001,2.7216449,1.6608404,0.005
222,-20.324286,3.875858,0.5720797,2.8375237,2.6633427,2.350852,0.005
223,-20.263874,4.0879683,0.6466398,2.9692993,3.0445433,3.3725753,0.005
224,-20.161491,4.7172294,0.9140827,1.9049577,4.358432,3.1213012,0.005
225,-20.281693,5.221594,0.65874815,3.2139368,2.9257522,3.102525,0.005
226,-20.234398,3.0105855,0.57975245,1.300834,2.803546,1.896562,0.005
227,-20.294567,3.8793926,0.6212799,1.6575414,2.9172137,2.410614,0.005
228,-20.297886,4.933557,0.59401435,3.0647933,2.7726274,4.1427917,0.005
229,-20.510185,3.9302232,0.7616173,3.2480795,3.3589008,3.4430606,0.005
