epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,1.0761836,3.9089153,6.8206367,2.8640106,8.339265,2.7877905,0.04
1,-0.42463726,3.9064238,6.5881805,3.0023966,7.773749,2.5936959,0.04
2,-2.006044,3.849792,6.4205527,2.9864793,7.337805,2.508072,0.04
3,-3.6190703,3.8794568,7.410947,2.8970165,7.7884154,2.4768493,0.04
4,-5.2960362,3.7737389,7.727614,2.6533666,8.367262,2.379044,0.04
5,-6.8150516,3.8328516,9.420199,2.7826145,8.283917,2.3056958,0.04
6,-8.186675,3.7471845,9.997685,2.5396993,8.687442,2.2258654,0.04
7,-9.274526,3.638188,11.489517,2.4526079,9.264042,2.0902035,0.04
8,-10.066341,3.5833297,8.346354,2.3460674,9.677333,2.141316,0.04
9,-11.108896,3.431932,7.856371,2.2383597,9.795117,2.0456138,0.04
10,-11.68755,3.3901615,7.2108393,2.0827785,10.105753,1.9078065,0.04
11,-12.254121,3.407565,9.856295,1.9777762,10.446773,1.9092431,0.04
12,-12.834059,3.3728874,9.100198,1.9267957,10.142178,1.7624648,0.04
13,-13.3029375,3.2555547,7.8334136,1.6997893,10.586796,1.6276855,0.04
14,-13.6255865,3.2454042,7.932099,1.5466194,10.680126,1.531927,0.04
15,-13.910348,3.2957299,8.163276,1.5680923,10.399817,1.510656,0.04
16,-14.236112,3.1595738,6.677285,1.3994268,10.804449,1.4109336,0.04
17,-14.350264,3.1935139,7.442558,1.30939,10.901528,1.3600831,0.04
18,-14.605739,3.1697226,6.5883064,1.2020216,10.896639,1.2659445,0.04
19,-14.650262,3.121584,6.0604005,1.2298937,10.361494,1.2967513,0.04
20,-14.933881,3.06046,6.30303,1.1166859,10.406099,1.1704239,0.04
21,-15.157006,3.0537348,6.2859526,1.0695783,11.280328,1.1347482,0.04
22,-15.250789,3.0838692,5.997182,1.0795505,10.954546,1.2380056,0.04
23,-15.255751,3.0447378,5.600188,0.99744946,10.520783,1.1831703,0.04
24,-15.506979,3.0820227,5.6811943,1.0737708,10.904641,1.1365845,0.04
25,-15.653043,3.148653,5.5977416,1.1182269,11.080649,1.1112297,0.04
26,-15.7624235,3.1391761,6.104544,1.0759956,11.154723,1.2453308,0.04
27,-16.021755,3.0675304,6.309518,1.0932136,10.291408,1.1975008,0.04
28,-16.158108,3.0347438,6.4897504,1.032987,10.343013,1.2170953,0.04
29,-16.314173,3.0724652,6.3047667,1.0480067,11.288825,1.1620008,0.04
30,-16.408445,3.1563637,6.7198877,1.1262182,11.312554,1.2749076,0.04
31,-16.68268,3.0277693,5.8648868,1.1212854,10.980222,1.3766522,0.04
