epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,1.0761836,3.9089153,13.6412735,2.8640103,4.7288165,2.559318,0.04
1,0.24546285,3.8662472,12.603281,2.8490782,4.8631415,2.5551443,0.04
2,-0.6032967,3.9746335,13.786416,3.0022936,4.463936,2.525111,0.04
3,-1.3114086,3.9730494,13.384214,3.0523033,4.56185,2.4298005,0.04
4,-1.923068,3.937371,13.847515,2.9147089,4.4608526,2.3898237,0.04
5,-2.6482134,3.963426,15.083497,2.971811,4.665756,2.3723805,0.04
6,-3.4039903,3.9225032,14.455332,2.9267504,4.492034,2.2454638,0.04
7,-4.128151,3.9509156,14.668132,3.041058,4.3282595,2.2251244,0.04
8,-4.8315487,3.7911563,14.162149,2.8032916,4.3776383,2.1300242,0.04
9,-5.4835644,3.9452622,17.103735,2.785057,4.5323668,2.1547594,0.04
10,-5.9652367,3.7355735,14.708951,2.6077065,4.6975513,2.0836387,0.04
11,-6.591658,3.7450092,15.481319,2.5450025,4.227409,2.0441294,0.04
12,-7.208002,3.7537453,15.972833,2.5544875,4.4235272,2.0448549,0.04
13,-7.6972365,3.6555476,15.581652,2.403013,4.588011,2.033749,0.04
14,-8.311959,3.7127836,16.548315,2.617785,4.6381774,1.9728556,0.04
15,-8.890634,3.6575487,16.884726,2.51251,4.7247334,1.9703586,0.04
16,-9.270288,3.6282144,16.616592,2.469515,4.577324,1.9233388,0.04
17,-9.921883,3.602257,18.573433,2.3104844,4.71025,1.9053016,0.04
18,-10.286923,3.6015136,18.825882,2.3333542,4.841644,1.8523625,0.04
19,-10.6806755,3.531116,18.62771,2.2182887,4.9521604,1.8441666,0.04
20,-11.228111,3.4695427,17.939758,2.2181966,4.772036,1.8665744,0.04
21,-11.487182,3.4139037,16.603456,2.2411556,5.2869363,1.8816348,0.04
22,-11.903625,3.3481848,17.058044,2.0977156,5.16067,1.7866757,0.04
23,-12.299809,3.239827,17.621403,1.9620824,5.1952105,1.716085,0.04
24,-12.583142,3.2875302,19.083048,2.0160155,5.2464037,1.787706,0.04
25,-12.813459,3.2741184,17.297346,1.8921258,5.5291657,1.6903394,0.04
26,-13.20223,3.2912855,20.648792,1.8510069,5.431188,1.6875614,0.04
27,-13.540886,3.1831918,18.345951,1.86506,5.5508027,1.5587289,0.04
28,-13.737545,3.151876,21.165314,1.6855502,5.8037863,1.6395861,0.04
29,-14.022406,3.1287045,19.953167,1.5410714,5.7053022,1.4692795,0.04
30,-14.252525,3.0963802,18.982195,1.6543522,5.7537837,1.4671082,0.04
31,-14.285654,3.0106435,17.098925,1.542831,5.82235,1.5120225,0.04
32,-14.485037,3.0435352,18.128338,1.4575869,6.022798,1.4081517,0.04
33,-14.740321,2.9559882,17.280256,1.3878115,5.7215405,1.4151605,0.04
34,-14.842924,2.9198961,16.003525,1.3728676,5.5987935,1.3667855,0.04
35,-15.11485,2.9936306,18.50411,1.3426639,6.098074,1.349312,0.04
36,-15.300865,2.9600246,21.397436,1.2986084,6.4116116,1.5233932,0.04
37,-15.288117,2.9030123,19.074034,1.2447165,5.731734,1.5357993,0.04
38,-15.491877,2.879166,18.931501,1.1681068,6.0035033,1.3062319,0.04
39,-15.534259,2.8733408,19.90549,1.2368374,6.0124245,1.2258896,0.04
40,-15.594123,2.8932853,18.484884,1.1883851,5.9494205,1.3346363,0.04
41,-15.772289,2.8515146,20.946661,1.2136574,6.1219754,1.1105765,0.04
42,-15.9200115,2.91591,20.461657,1.1494303,6.2952633,1.2767056,0.04
43,-16.071789,2.8855262,20.902494,1.0721507,6.2205434,1.3150955,0.04
44,-16.089434,2.7741504,18.31806,1.0996871,6.2916,1.1490775,0.04
45,-16.139542,2.9094222,19.950739,1.0791911,6.1744065,1.2328966,0.04
46,-16.157133,2.7619822,18.369463,1.0260992,6.2105365,1.1844614,0.04
47,-16.18217,2.8828814,21.86782,1.0375344,6.404622,1.3827968,0.04
48,-16.390215,2.8772998,20.51949,1.0829893,6.377498,1.1796757,0.04
49,-16.427347,2.7768226,18.494987,1.0556818,6.021745,1.1893522,0.04
