epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,8.516393,4.996646,11.017723,4.2904415,5.076826,3.7147472,0.04
1,7.0508146,4.941741,10.850835,4.2276306,5.231464,3.6228864,0.04
2,5.821446,4.767018,10.66405,3.91231,5.1282263,3.6227238,0.04
3,4.5448956,4.7004037,10.54809,3.830088,5.401818,3.34463,0.04
4,3.331956,4.6787734,10.455126,3.833332,5.4628754,3.3646452,0.04
5,2.2400908,4.7409663,10.641676,4.1478524,5.4250994,3.2612545,0.04
6,1.1881324,4.426441,10.094633,3.6217256,5.067487,3.106989,0.04
7,0.1682457,4.352431,9.929496,3.5781627,5.195343,2.8993814,0.04
8,-0.75241137,4.1786094,9.479364,3.2846,4.9544773,2.6976974,0.04
9,-1.4604634,4.118024,9.62207,3.140514,5.4001427,2.7328076,0.04
10,-2.1896503,4.043848,9.871191,3.0764654,5.510686,2.5669036,0.04
11,-3.0185938,3.9055185,9.55461,2.8694246,5.3065495,2.4685793,0.04
12,-3.5006402,3.829873,9.011561,2.837547,5.358488,2.318394,0.04
13,-4.1900926,3.7312396,8.501163,2.6978827,5.7949867,2.3276143,0.04
14,-4.7349296,3.5446444,8.709911,2.433604,5.2648697,2.1926744,0.04
15,-5.051425,3.4618552,8.225519,2.24882,5.428866,2.0187883,0.04
16,-5.608914,3.3665743,8.264766,2.2335002,5.285891,1.8642218,0.04
17,-5.941014,3.2886987,7.7502875,1.9825964,5.499756,1.7642512,0.04
18,-6.318847,3.3012292,7.877197,2.005997,5.234348,1.7859441,0.04
19,-6.6894736,3.2267306,7.6144567,1.9713734,5.4920173,1.647808,0.04
20,-6.9006925,3.2148843,7.681562,1.750825,5.157409,1.6615293,0.04
21,-7.2448153,3.197571,7.0841956,1.8768891,5.3495693,1.6174276,0.04
22,-7.4876213,3.0309703,6.673383,1.621341,5.4199615,1.6053009,0.04
23,-7.7583065,3.044135,6.9018545,1.6419765,5.4532228,1.5067229,0.04
24,-7.952529,3.0664594,6.676409,1.53994,5.738765,1.4603056,0.04
25,-8.239578,3.0213926,6.8357186,1.4537461,5.761883,1.343776,0.04
26,-8.3748665,2.934422,6.6380043,1.4140097,5.3917212,1.3338277,0.04
27,-8.636071,2.8780687,6.4614806,1.379981,5.6713176,1.2566645,0.04
28,-8.738085,2.904288,6.4353223,1.4209269,5.609725,1.2707844,0.04
29,-8.9496,2.9525678,6.5785613,1.3538884,5.5502143,1.3569405,0.04
30,-9.046553,2.9093595,6.065919,1.320069,5.878322,1.3471544,0.04
31,-9.292925,2.9039664,6.4847445,1.2886733,5.740429,1.2982981,0.04
32,-9.308367,2.9064064,6.546554,1.2564981,6.0472236,1.197129,0.04
33,-9.45781,2.8095543,5.5101404,1.1730466,5.9502544,1.2222979,0.04
34,-9.552099,2.8567357,5.5856557,1.2030387,5.634136,1.2153367,0.04
35,-9.712709,2.7537758,5.50991,1.0755373,5.838766,1.1187358,0.04
36,-9.950863,2.841541,5.6803803,1.1912512,5.8206244,1.1987249,0.04
37,-9.86458,2.7449527,5.7489996,1.0595429,5.582969,1.1570753,0.04
38,-9.983797,2.8873508,6.1859393,1.0892099,6.1032004,1.163669,0.04
39,-10.006795,2.7618868,5.7383556,1.0370677,5.755571,1.1244253,0.04
40,-10.188778,2.8010364,5.829321,0.99339074,6.0168905,1.2003059,0.04
41,-10.2136,2.809379,5.647663,1.093498,5.9232326,1.1289238,0.04
42,-10.315864,2.8281615,5.8124847,0.9885143,6.2478666,1.1867222,0.04
43,-10.492603,2.796071,5.653881,0.9483481,6.3998103,1.0862067,0.04
44,-10.510867,2.7850158,5.178129,0.9511962,5.7420163,1.1105398,0.04
45,-10.67537,2.7209525,4.8637066,0.9349171,5.8896995,1.0342377,0.04
46,-10.707889,2.756984,4.904765,0.90530074,6.3206267,0.9887035,0.04
47,-10.66288,2.7482975,5.445095,0.9534988,6.0812526,1.0294946,0.04
48,-10.753388,2.7393262,4.956571,0.90385324,6.0639257,1.020468,0.04
49,-10.851109,2.7445843,5.312324,0.9080838,6.177972,1.0498676,0.04
50,-10.968549,2.7418928,5.6359706,0.87923527,5.876898,0.996959,0.04
51,-10.993526,2.6681945,5.7030253,0.86555564,6.0481877,1.0106213,0.04
52,-11.068552,2.7448392,5.5082173,0.84488416,5.7522464,0.9545139,0.04
53,-11.093301,2.7159977,6.214763,0.87773824,5.9839516,1.0863245,0.04
54,-11.150011,2.6917477,5.5915165,0.7713044,5.931856,1.0055959,0.04
55,-11.133166,2.709274,5.464847,0.83727354,6.286651,1.0054419,0.04
56,-11.34934,2.7505777,5.4598904,0.8505527,6.3348393,1.019732,0.04
57,-11.350279,2.680049,5.591578,0.8243036,6.0321417,0.91526306,0.04
58,-11.397293,2.7410421,5.5129476,0.74198836,5.8476453,0.89890707,0.04
59,-11.416092,2.6650114,5.7538347,0.7498548,6.017533,1.0354501,0.04
60,-11.39594,2.6485455,5.331088,0.75538373,6.2199545,1.0656264,0.04
61,-11.557289,2.7354348,5.919636,0.74224246,6.1248884,0.8905443,0.04
62,-11.565534,2.6333165,5.0798163,0.7095403,5.97549,0.88466126,0.04
63,-11.475723,2.5998652,5.0904517,0.7365729,6.002953,0.93429357,0.04
64,-11.712474,2.7357652,5.5595875,0.77420044,6.754864,0.91619384,0.04
65,-11.682308,2.681915,5.57982,0.74992543,6.44074,0.99529654,0.04
66,-11.588428,2.6608036,5.6705627,0.7133513,5.9016247,0.9041098,0.04
67,-11.634061,2.7211373,5.576939,0.6680887,6.2192044,0.99740654,0.04
68,-11.6770935,2.7219143,5.5523257,0.6606673,6.15912,0.8960977,0.04
69,-11.849888,2.6239326,4.9812727,0.64928067,5.997382,0.9376518,0.04
