epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,13.179309,3.1811483,7.709468,3.0417883,3.081857,2.7059684,0.04
1,12.10713,3.4442325,8.656543,3.270532,3.2006567,2.9668415,0.04
2,10.670097,3.7840424,11.066827,3.6210256,3.6545455,3.190318,0.04
3,8.91085,4.1218977,15.170619,3.9013608,4.1007853,3.4248354,0.04
4,6.9210567,4.341316,15.86963,4.070629,4.5634055,3.5552812,0.04
5,4.6064425,4.398017,18.53582,3.898289,4.8898597,3.6232727,0.04
6,2.1430967,4.730863,22.445543,4.442956,5.418948,3.4964461,0.04
7,-0.07656258,4.5330257,24.369751,3.8215997,6.181295,3.2569664,0.04
8,-2.2269955,4.332613,25.14815,3.3544595,6.45719,2.941807,0.04
9,-3.9191089,4.229774,27.48899,2.9725497,6.8206105,2.5126855,0.04
10,-5.175223,3.9136717,26.029943,2.545132,7.0546627,2.088705,0.04
11,-6.3195834,3.747496,27.611128,2.149504,7.2194076,1.7263552,0.04
12,-6.956378,3.6401446,27.338253,1.7414005,7.736816,1.3587857,0.04
13,-7.389738,3.4556303,26.653126,1.3998775,7.152751,1.0923241,0.04
14,-7.6940646,3.373576,24.38188,1.0768356,7.710055,0.87377614,0.04
15,-8.196729,3.3646731,27.00152,0.8943717,7.993207,0.6965037,0.04
16,-8.226439,3.4097953,27.934906,0.7038936,8.253357,0.58043134,0.04
17,-8.292498,3.2605097,23.486834,0.54151607,7.949556,0.48076433,0.04
18,-8.280045,3.3144026,23.73876,0.4621663,8.014146,0.38984329,0.04
19,-8.476459,3.2591395,23.318012,0.3515689,8.054189,0.35863262,0.04
20,-8.310133,3.2640529,23.844954,0.3270404,7.8804555,0.2827215,0.04
21,-8.41622,3.2807703,24.622576,0.23369436,8.428343,0.26763043,0.04
22,-8.529789,3.3120198,24.443897,0.22679803,8.345524,0.20160492,0.04
23,-8.622698,3.2676177,23.757217,0.2511477,8.07413,0.23843284,0.04
24,-8.656328,3.269318,25.003117,0.19767076,7.9908376,0.26331744,0.04
25,-8.762749,3.2938015,23.454802,0.18222302,8.5475025,0.23432665,0.04
26,-8.763635,3.2683072,24.632774,0.20231566,8.352502,0.14816117,0.04
27,-9.011272,3.2386565,22.444891,0.13705792,8.301412,0.31067732,0.04
28,-8.872566,3.3303032,24.733028,0.21575217,9.0558195,0.25274166,0.04
29,-8.894529,3.2503371,22.83066,0.16457346,8.73747,0.39973065,0.04
30,-8.919091,3.329347,23.211187,0.14741306,8.798891,0.22444616,0.04
31,-8.986505,3.1798944,22.0232,0.11514646,8.332762,0.21161956,0.04
32,-9.238779,3.2331321,22.417961,0.18487181,9.228292,0.22615936,0.04
33,-9.18959,3.205789,22.666506,0.3026126,8.80899,0.22355787,0.04
34,-9.11593,3.2364728,22.820702,0.10565868,8.297848,0.27585635,0.04
35,-9.2037325,3.2432668,21.734848,0.1748196,8.369218,0.12706071,0.04
36,-9.17736,3.2651207,22.106258,0.10713077,9.018481,0.36528483,0.04
