epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,13.19084,3.1165204,0.82937586,3.0800245,0.9857451,2.6881778,0.04
1,12.117475,3.4296293,1.1590989,3.4041123,1.0881008,2.9080362,0.049999997
2,10.351752,3.7764084,1.8343585,3.627748,1.3687403,3.1578233,0.062499996
3,7.4333215,4.1662974,3.4098227,3.905836,1.2713231,3.334882,0.07812499
4,2.787265,4.624436,7.9502497,4.338285,0.89470464,3.274907,0.09765624
5,-3.2917647,4.484267,13.301845,3.7195563,0.91903585,2.7137253,0.122070305
6,-8.726186,3.8725605,14.18528,2.408445,0.41452643,0.0,0.15258788
7,-10.675258,4.047317,30.43238,1.9342108,0.22066282,0.0,0.19073485
8,-12.376617,4.386979,66.75202,1.4104873,0.14858858,0.0,0.2
9,-14.405489,5.0541673,105.86611,1.0695854,0.11928772,0.0,0.2
10,-16.125332,6.9987226,68.34515,0.99496377,0.07996594,0.0,0.2
11,-17.124922,9.497006,23.01538,0.82252485,0.3730191,0.0,0.2
12,-17.59327,4.814946,88.0656,0.50426733,0.01635509,0.0,0.02543859
13,-17.511452,4.355467,24.746838,0.36784032,0.3370704,0.0,0.031798236
14,-17.630808,4.331702,20.884573,0.39183408,0.56730336,0.0,0.039747797
15,-17.791576,4.045685,30.772161,0.44023806,0.3309747,0.0,0.009870825
16,-17.749668,4.4151917,35.273808,0.46980938,0.15731496,0.0,0.007353491
17,-17.766731,4.400955,34.75981,0.45926085,0.21467707,0.0,0.009191864
18,-17.777378,4.7739787,34.73895,0.50987655,0.33671424,0.0,0.01148983
19,-17.87827,4.4450107,30.579132,0.4034725,0.060618136,0.0,0.014362288
20,-17.942095,4.0381055,28.194508,0.4271328,0.035983514,0.0,0.01795286
21,-17.978048,3.8807724,27.142761,0.43910348,0.22478689,0.0,0.022441074
22,-17.900452,3.9140637,28.489397,0.39376733,0.1543521,0.0,0.028051343
23,-18.227194,3.7080753,13.901376,0.4195394,0.12472893,0.0,0.03506418
24,-17.974907,4.111959,22.004993,0.36567408,0.039449025,0.0,0.043830223
25,-18.270514,4.1912127,6.750314,0.3866333,0.0916802,0.0,0.054787777
26,-18.095661,4.1609077,14.999197,0.32726675,0.28262818,0.0,0.053538572
27,-18.07228,5.201465,24.680136,0.33834663,0.011239305,0.0,0.066923216
28,-18.163233,6.3092437,1.7676604,0.28256652,0.0012333051,0.0,0.083654016
29,-18.386774,5.834891,25.974333,0.27418768,0.032618638,0.0,0.008677452
30,-18.380337,5.4115868,24.752855,0.2244975,0.040241044,0.0,0.010846815
31,-18.280163,4.8902245,12.5922985,0.21260999,0.023776112,0.0,0.013558519
32,-18.143148,4.5638585,3.6509485,0.17643277,0.0073952,0.0,0.016948149
33,-18.226137,4.185398,6.2690787,0.13649176,0.014527882,0.0,0.021185186
34,-18.261852,4.336957,9.233977,0.1838365,0.018317915,0.0,0.026481483
35,-18.266035,4.0176816,7.4807673,0.15278983,0.014155169,0.0,0.033101853
36,-18.24459,3.7980542,3.4033175,0.13131897,0.0051781265,0.0,0.041377317
37,-18.347757,3.8111775,12.803279,0.14716445,0.017196335,0.0,0.051721647
38,-18.320765,3.4684455,3.8116767,0.17342937,0.0041182046,0.0,0.064652056
39,-18.264246,3.7343934,5.686277,0.20904906,0.004663304,0.0,0.08081507
40,-18.447992,6.1320386,18.582422,0.22862853,0.01478893,0.0,0.10101884
41,-18.34157,3.4717913,7.448828,0.22564149,0.003961892,0.0,0.12627354
42,-18.326027,3.5936513,6.689467,0.20546955,0.00373478,0.0,0.15784192
43,-18.26281,4.0116315,9.929088,0.23725344,0.005932409,0.0,0.1973024
44,-18.323996,4.790934,8.252082,0.26565933,0.005904746,0.0,0.1712658
45,-18.42671,3.9494987,12.3374605,0.24552962,0.008706944,0.0,0.2
46,-18.323895,3.4565482,14.665318,0.2097855,0.0069360477,0.0,0.11362502
47,-18.30059,4.032965,11.848129,0.25165075,0.0053342376,0.0,0.14203128
48,-18.373457,3.9861188,3.2513146,0.27810678,0.0017250144,0.0,0.17753911
49,-18.133493,3.9445105,27.095798,0.20732266,0.015262418,0.0,0.2
50,-18.013678,5.497398,19.977278,0.2072232,0.02014534,0.0,0.2
51,-18.403074,7.9721212,30.516233,0.27900836,0.08055978,0.0,0.2
52,-18.263945,3.0381,25.909275,0.28348678,0.1747685,0.0,0.17972937
53,-19.601183,24.275398,121.834915,1.3758016,2.1702468,0.0,0.002199061
