epoch,energy,energy_std
0,4.593414,4.610789
1,1.8635848,5.58498
2,-2.1381214,7.386683
3,-7.3637295,8.9791565
4,-11.682857,11.242611
5,-14.520847,14.544879
6,-15.977929,16.71901
7,-17.254868,17.27189
8,-18.187914,13.433945
9,-18.070984,6.4832397
10,-18.178509,5.1315904
11,-18.401882,4.7725377
12,-18.269346,4.0288453
13,-18.615839,4.746632
14,-18.406029,3.0733407
15,-18.353664,3.9403806
16,-18.453182,4.105453
17,-18.612999,4.009156
18,-18.61256,3.9741032
19,-18.728598,4.253134
20,-18.832735,3.4852762
21,-18.901701,3.9593613
22,-18.910704,3.4492228
23,-18.903084,3.9498165
24,-18.963152,3.702154
25,-19.036915,3.5264895
26,-19.17237,3.791708
27,-19.15215,3.6630802
28,-19.182861,4.2147636
29,-19.301348,3.4164813
30,-19.34335,3.7682657
31,-19.408705,3.4414217
32,-19.396715,3.3612664
33,-19.395485,3.7397065
34,-19.508303,3.602482
35,-19.593527,3.953887
36,-19.610373,3.608128
37,-19.664152,3.376086
38,-19.6221,3.4027503
39,-19.777477,3.4041536
40,-19.788635,3.9961832
41,-19.746832,3.473884
42,-19.943192,3.2020705
43,-19.908342,3.2717078
44,-20.038733,3.1739645
45,-20.037542,3.2758195
46,-20.029964,3.2914662
47,-20.058289,3.5646403
48,-20.09391,3.2255952
49,-20.09792,3.3129103
50,-20.108036,3.4813216
51,-20.237513,3.535776
52,-20.223656,3.2543778
53,-20.376886,3.1945066
54,-20.318106,3.4585376
55,-20.384523,3.4698174
56,-20.528326,3.0939283
57,-20.469557,3.2317154
58,-20.542843,3.1843944
59,-20.58505,3.2036347
0,-20.58505,3.2036355
1,-20.590288,3.3078299
2,-20.637848,3.1086106
3,-20.633303,2.9990444
4,-20.77305,3.4075027
5,-20.799679,2.968389
6,-20.784344,3.2482262
7,-20.81468,3.028449
8,-20.89029,3.0167735
9,-21.023453,3.177686
10,-20.935331,2.9091003
11,-20.919804,3.0277195
12,-21.012985,2.973576
13,-21.015942,2.9593053
14,-20.944868,3.1259913
15,-21.026102,3.0461738
16,-21.1081,2.9663837
17,-21.168047,2.9521198
18,-21.196293,3.1685677
19,-21.175816,2.9125159
20,-21.200554,2.8397596
21,-21.215034,3.04705
22,-21.183226,2.98699
23,-21.22053,2.9220915
24,-21.29338,3.0206115
25,-21.278614,3.0090303
26,-21.256649,2.7933877
27,-21.269098,2.757848
28,-21.23955,2.936964
29,-21.339428,2.9127004
30,-21.362963,2.8094542
31,-21.446684,2.889097
32,-21.528507,2.6984806
33,-21.343742,2.8274698
34,-21.457233,2.7906156
35,-21.456453,2.842836
36,-21.410942,2.6978679
37,-21.594492,2.7754822
38,-21.63876,2.7377589
39,-21.574327,2.6340125
40,-21.597685,2.7983415
41,-21.554695,2.85262
42,-21.644033,2.661592
43,-21.772856,2.8675025
44,-21.71227,2.7302184
45,-21.666899,2.7040992
46,-21.786884,2.6528373
47,-21.867004,2.6416569
48,-21.85124,2.6189816
49,-21.833052,2.6044896
50,-21.906223,2.6739788
51,-21.981653,2.6268964
52,-21.940985,2.6389537
53,-21.984812,2.568225
54,-22.054913,2.5343008
55,-22.230524,2.370292
56,-22.376713,2.4375582
57,-22.416664,2.1869476
58,-22.455736,2.3219771
59,-22.680931,2.482143
60,-22.668509,2.1245713
61,-22.774418,2.373445
62,-22.815092,2.2656264
63,-22.94891,2.1959255
64,-23.015766,2.2313395
65,-23.101519,2.149554
66,-23.133078,2.1356952
67,-23.274073,2.1879292
68,-23.239534,2.0724006
69,-23.345778,1.9800012
70,-23.315622,1.9925641
71,-23.395977,1.9669982
72,-23.394207,2.0172882
73,-23.49145,2.0313327
74,-23.525463,2.0581558
75,-23.41766,2.0833805
76,-23.487803,2.1336718
77,-23.492222,2.1515028
78,-23.559343,2.1699693
79,-23.494024,2.0103865
80,-23.557337,1.8867222
81,-23.582441,1.9737988
82,-23.450329,2.0163085
83,-23.580692,1.9680579
