epoch,energy,energy_std,learning_rate
0,17.874027,1.1747248,0.04
1,17.837715,1.2035135,0.049999997
2,17.848118,1.2338996,0.062499996
3,17.7871,1.3429683,0.07812499
4,17.73184,1.4081303,0.09765624
5,17.640541,1.6386192,0.122070305
6,17.319511,2.0346916,0.15
7,16.69861,2.8937402,0.15
8,13.58326,4.7394996,0.15
9,3.8503106,5.946625,0.15
10,-1.2432019,4.7111716,0.15
11,-1.5838252,4.320112,0.15
12,-1.8856611,4.1228995,0.15
13,-2.1216216,4.1864543,0.15
14,-2.60933,4.2364016,0.15
15,-3.1262896,4.365244,0.15
16,-3.743274,4.6641335,0.15
17,-4.5392704,4.7972503,0.15
18,-5.074761,5.1227694,0.15
19,-6.0655036,5.307047,0.15
20,-6.5866523,5.922915,0.15
21,-7.6783133,6.0922403,0.15
22,-8.575802,6.3459125,0.15
23,-10.034985,6.4216733,0.15
24,-10.88541,6.578494,0.15
25,-12.23884,6.574814,0.15
26,-13.624798,6.265345,0.15
27,-14.463273,5.9527183,0.15
28,-15.427885,5.6531405,0.15
29,-15.897096,5.929164,0.15
30,-15.724822,6.647854,0.05888466
31,-16.469954,5.7258906,0.07360583
32,-16.820858,5.4291,0.09200729
33,-17.037848,5.6705513,0.11500911
34,-17.523012,5.360624,0.14376138
35,-17.392452,5.8520703,0.078356415
36,-17.979176,5.249616,0.09794552
37,-18.397823,5.552852,0.061370894
38,-18.63199,5.3179736,0.07671362
39,-19.229723,5.3453345,0.09589203
40,-19.724012,5.5682855,0.11986503
41,-19.558989,7.357863,0.040136207
42,-21.036724,5.526898,0.050170258
43,-21.233978,5.56258,0.06271282
44,-21.46105,5.6265535,0.07839102
45,-21.677406,5.7314634,0.09798878
46,-21.678179,5.7928095,0.06341527
47,-22.125355,5.0184894,0.07926908
48,-22.043276,5.432682,0.038472004
49,-22.469555,4.8913813,0.048090003
50,-22.648653,4.4706383,0.060112506
51,-22.63601,4.694519,0.07514063
52,-22.645,4.6309466,0.04758346
53,-22.931995,4.1794114,0.059479326
54,-22.993813,4.089058,0.055112787
55,-22.998043,4.104186,0.03013289
56,-23.143991,3.6807718,0.037666112
57,-23.13584,3.4962518,0.04708264
58,-23.274889,3.3239713,0.0588533
59,-23.23662,3.5458064,0.07356662
60,-23.308132,3.4977956,0.044383056
61,-23.394636,3.2376766,0.05547882
62,-23.432997,3.1267111,0.045667857
63,-23.446875,3.1746619,0.0441413
64,-23.609886,3.0196447,0.032624044
65,-23.588167,2.978406,0.040780053
66,-23.609392,2.8585138,0.050975066
67,-23.626766,2.7362688,0.06371883
68,-23.601475,2.9549205,0.056928955
69,-23.59631,2.8757668,0.045912884
70,-23.669785,2.69144,0.057391107
71,-23.723824,2.8114455,0.053356383
72,-23.65093,2.8407605,0.02638268
73,-23.70513,2.5450613,0.03297835
74,-23.771929,2.5406811,0.041222937
75,-23.72341,2.4704878,0.05152867
76,-23.720266,2.5312893,0.064410836
77,-23.736004,2.459636,0.061299246
78,-23.727888,2.689028,0.053961664
79,-23.69184,2.7237613,0.029040197
80,-23.80741,2.3326862,0.036300246
81,-23.825731,2.340981,0.045375306
82,-23.806059,2.4083598,0.05671913
83,-23.778204,2.3706388,0.07089891
84,-23.821508,2.4525595,0.041759647
85,-23.843472,2.3370557,0.052199557
86,-23.816418,2.2412024,0.06524944
87,-23.869673,2.4455423,0.033070438
88,-23.871712,2.1932006,0.04133805
89,-23.912191,2.1298566,0.051672563
90,-23.900496,2.2366335,0.06459071
91,-23.84886,2.2848172,0.041693546
92,-23.875488,2.2064488,0.05211693
93,-23.924707,2.0739772,0.06514616
94,-23.964369,2.2606468,0.0814327
95,-23.851574,2.528409,0.029362205
96,-23.92341,2.1605413,0.036702756
97,-23.835283,2.1377094,0.045878444
98,-23.890705,2.0486872,0.057348054
99,-23.973927,2.024025,0.07168507
100,-23.946009,2.0677044,0.08960634
101,-23.861586,2.2937477,0.055457868
102,-23.861887,2.088986,0.052393027
103,-23.942001,2.0861626,0.04749242
104,-23.954075,1.9832762,0.059365522
105,-23.951284,2.011194,0.0742069
106,-24.002008,2.0191052,0.092758626
107,-23.938026,2.1723711,0.043350905
108,-23.951668,2.038507,0.05418863
109,-24.012383,1.9364072,0.06773579
110,-23.981575,1.9717792,0.08466974
111,-23.984768,1.9804689,0.06991629
112,-23.951992,2.0462039,0.053447593
113,-23.94371,1.9229832,0.06680949
114,-24.012554,1.9219071,0.08351186
115,-23.993618,1.9738214,0.07159383
116,-23.945019,2.0395725,0.051501386
117,-24.036406,1.8821179,0.064376734
118,-23.894764,1.8968087,0.08047092
119,-24.080832,1.9196848,0.075490944
120,-24.026382,2.0263655,0.04894004
121,-24.02959,1.8551595,0.06117505
122,-24.091017,1.7671524,0.07646881
123,-24.045486,1.8356858,0.09558602
124,-23.994785,2.1696322,0.039919764
125,-24.000917,1.8097655,0.049899705
126,-24.099394,1.7520065,0.06237463
127,-24.056656,1.7866336,0.077968284
128,-24.030287,1.9116392,0.09746036
129,-23.983667,2.22833,0.03598988
130,-24.033543,1.8042687,0.04498735
131,-24.065268,1.7594409,0.05623419
132,-24.022299,1.7213339,0.07029273
133,-24.064106,1.7382984,0.08786592
134,-24.041922,1.8183398,0.1098324
135,-23.993725,2.20521,0.043260198
136,-24.042004,1.8173078,0.05407525
137,-24.081379,1.7270013,0.06759406
138,-24.107656,1.7845159,0.08449257
139,-24.030947,1.9367554,0.04712854
140,-24.076704,1.7530777,0.037847124
141,-24.114056,1.6646578,0.047308907
142,-24.056007,1.6830496,0.059136134
143,-24.038918,1.6854898,0.07392017
144,-24.062735,1.7985977,0.09240021
145,-24.087988,1.7312852,0.090752736
146,-24.089083,1.835486,0.07899866
147,-24.056986,1.8758612,0.041638218
148,-24.110725,1.6522171,0.052047774
149,-24.074152,1.6700383,0.06505972
150,-24.123138,1.6792324,0.08132465
151,-24.046461,1.6441436,0.10165581
152,-24.094976,1.744906,0.066157036
153,-24.049967,1.7137048,0.044638295
154,-24.144405,1.6948357,0.055797867
155,-24.085302,1.5517997,0.069747336
156,-24.094728,1.629846,0.08718417
157,-24.128048,1.6427344,0.10898021
158,-24.085283,1.7728792,0.09201992
159,-24.077168,1.9601406,0.037154038
160,-24.1405,1.6063128,0.046442546
161,-24.085247,1.5924076,0.05805318
162,-24.088139,1.5742329,0.07256648
163,-24.124277,1.585111,0.0907081
164,-24.101145,1.5790017,0.113385126
165,-24.110582,1.786832,0.064793386
166,-24.121891,1.7487072,0.03539159
167,-24.11497,1.5462731,0.04423949
168,-24.060135,1.5604284,0.055299364
169,-24.061886,1.5294896,0.06912421
170,-24.159958,1.52174,0.08640526
171,-24.105726,1.6181221,0.10800658
172,-24.116146,1.7065774,0.07121819
173,-24.119438,1.7332582,0.04385015
174,-24.113024,1.5463314,0.05481269
175,-24.112192,1.5527806,0.06851586
176,-24.103558,1.5127679,0.08564483
177,-24.13433,1.5634907,0.10705604
178,-24.055979,1.8700342,0.041338746
179,-24.106642,1.5773412,0.036897376
180,-24.152958,1.5218936,0.04612172
181,-24.102247,1.4765078,0.05765215
182,-24.075438,1.5284871,0.07206519
183,-24.168785,1.5245508,0.09008148
184,-24.169682,1.5616311,0.112601854
185,-24.127155,1.6830302,0.06579942
186,-24.153307,1.6117226,0.04321486
187,-24.200611,1.5013238,0.054018576
188,-24.137909,1.5218846,0.06752322
189,-24.160526,1.4998819,0.08440402
190,-24.12757,1.5643039,0.10550503
191,-24.087633,1.8130847,0.047343515
192,-24.110939,1.537815,0.038445096
193,-24.091793,1.4875966,0.04805637
194,-24.156168,1.4786184,0.060070463
195,-24.11664,1.4863905,0.07508808
196,-24.171762,1.4894073,0.0938601
197,-24.121954,1.6381308,0.062061194
198,-24.089691,1.6472918,0.032966718
199,-24.14622,1.4799697,0.041208398
200,-24.15553,1.4495151,0.051510498
201,-24.202152,1.4155418,0.064388126
202,-24.18309,1.4049696,0.08048516
203,-24.204292,1.4890946,0.10060645
204,-24.168976,1.5242461,0.097382866
205,-24.086765,1.9019325,0.035898924
206,-24.209375,1.4098824,0.03578296
207,-24.163269,1.4250313,0.0447287
208,-24.163782,1.4156268,0.055910874
209,-24.16584,1.427125,0.06988859
210,-24.1773,1.4268016,0.08736074
211,-24.143719,1.4581782,0.109200925
212,-24.14269,1.7269025,0.0429918
213,-24.208855,1.4402782,0.031605188
214,-24.115456,1.4251821,0.039506484
215,-24.157598,1.381735,0.049383104
216,-24.15802,1.4395679,0.06172888
217,-24.09193,1.4398583,0.0771611
218,-24.17055,1.4157634,0.09645138
219,-24.13925,1.4044365,0.12056422
220,-24.174746,1.621574,0.074045815
221,-24.139172,1.7986095,0.027897706
222,-24.156776,1.4094388,0.034872133
223,-24.187008,1.3790181,0.043590166
224,-24.228521,1.4011811,0.054487705
225,-24.191465,1.3640164,0.06810963
226,-24.174442,1.3636447,0.08513704
227,-24.18032,1.4170785,0.1064213
