epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,9.369663,0.8405875,0.4783053,1.7609046,0.04
1,17.223503,2.1910229,10.110258,1.0672455,0.4761511,1.9886589,0.049999997
2,17.060118,2.4266064,10.998549,1.4971503,0.51195884,2.5194712,0.062499996
3,16.51885,2.7970843,12.12585,2.5289855,0.5272203,3.3398964,0.07812499
4,15.030166,3.5795977,15.788525,5.066317,0.59902346,4.5403423,0.09765624
5,10.9346485,4.7276554,19.272118,8.907519,0.95851445,5.5268836,0.122070305
6,3.0623481,4.6468997,20.104578,7.785865,1.1556326,3.801422,0.15258788
7,-1.5684475,4.147365,21.601788,3.4253027,1.056007,1.9157896,0.19073485
8,-2.4161837,4.085835,22.246721,2.937465,1.0407373,1.758887,0.2
9,-3.1356726,4.2030168,24.449905,3.583211,1.0633647,1.7828066,0.2
10,-3.8983476,4.173862,23.916426,4.133531,1.0423603,1.9762124,0.2
11,-5.241758,4.108318,25.351067,4.207681,1.0500591,2.03563,0.2
12,-6.442754,4.373882,29.530449,3.348177,1.1627008,2.1703062,0.2
13,-7.7229524,4.604366,25.36221,4.116224,1.314517,2.2645502,0.2
14,-8.620508,4.8295403,30.512259,3.9678385,1.3768451,2.213746,0.2
15,-9.580199,5.0139503,28.150778,4.5593376,1.4822434,2.3425844,0.2
16,-10.535055,5.2615666,34.20101,5.614999,1.6042305,2.3240113,0.2
17,-11.580091,5.720588,34.55854,4.5993524,1.8243275,2.4359622,0.2
18,-12.41943,6.1631584,31.758505,5.524228,2.007925,2.7266788,0.2
19,-13.5034275,6.2778883,27.002907,5.65916,1.9985762,2.9851701,0.2
20,-14.096196,6.6803417,21.698837,5.1083083,2.2621045,3.0013134,0.2
21,-14.925258,6.9021173,30.098392,7.323554,2.3757157,2.7729278,0.1956007
22,-15.5363035,7.140356,18.51202,7.0022206,2.4989347,2.873295,0.2
23,-15.994694,7.6258345,23.700802,8.609629,2.673901,3.445563,0.19998461
24,-16.745047,7.945219,22.74879,16.56662,2.7541482,3.1354809,0.19870153
25,-18.29284,7.543312,22.143364,10.330726,2.5148883,3.7818198,0.18216681
26,-19.3091,6.8141975,17.32401,23.197332,2.129009,4.790536,0.15921535
27,-18.492361,7.9014535,19.197105,17.056541,2.2873056,6.5801783,0.08764334
28,-20.37858,5.840574,14.22867,10.798766,1.5806971,5.484305,0.05393136
29,-22.236504,4.2512035,12.147285,5.4512653,1.1146606,4.6718373,0.0674142
30,-23.035366,3.1831253,13.916243,3.3395994,0.961823,2.4734542,0.08426775
31,-23.005371,2.9389925,13.640833,2.0900974,0.9266601,2.1180303,0.105334684
32,-23.21021,2.919819,13.107115,4.247406,0.8993311,2.4294322,0.08158781
33,-23.185495,3.1098402,12.8387165,6.28082,0.8664902,2.4027667,0.042926382
34,-23.29588,2.712956,11.053012,5.3023973,0.82160395,1.7428026,0.028712418
35,-23.493183,2.3442416,13.258816,1.1411259,0.8383015,0.5985662,0.035890523
36,-23.538021,2.2814913,11.483484,0.7140106,0.81964844,0.45922247,0.044863153
37,-23.490332,2.2355597,12.156884,0.5993993,0.8059557,0.484282,0.05607894
38,-23.565834,2.1615796,10.149752,0.61627823,0.79663825,0.37201527,0.070098676
39,-23.726812,2.112122,11.6743765,1.2173197,0.7738232,0.46438342,0.08762334
40,-23.594746,2.1282377,10.686636,3.635613,0.7441711,1.0248764,0.07513566
41,-23.469055,2.7674646,10.982956,7.976108,0.75637984,2.1863425,0.029275741
42,-23.741356,2.014153,11.895972,1.097824,0.7596393,0.44082525,0.02742025
43,-23.718575,1.9400144,10.955597,0.60895485,0.73447555,0.37590733,0.034275312
44,-23.687489,1.9112507,10.498243,0.46058524,0.7290576,0.27176484,0.04284414
45,-23.824047,1.8878131,9.338157,0.5516881,0.7269847,0.28570294,0.053555176
46,-23.825417,1.9245957,9.232914,0.67296976,0.75488335,0.33627987,0.06694397
47,-23.7562,1.8383899,8.426126,0.9989867,0.70910805,0.35620356,0.08367997
48,-23.813913,1.9047171,9.821503,2.4493167,0.7204078,0.7046678,0.10459996
49,-23.657423,2.6257658,10.325498,7.953112,0.69372106,2.216578,0.03431717
50,-23.83816,1.8941237,8.639217,3.3204603,0.6917213,0.7967142,0.026539275
51,-23.859156,1.768158,10.329746,0.5274378,0.69570935,0.25943437,0.033174094
52,-23.844193,1.7173152,9.242182,0.3648076,0.67719984,0.17318165,0.04146762
53,-23.845524,1.7051059,10.434054,0.22548899,0.66979057,0.15741122,0.051834524
54,-23.99239,1.6803632,9.515627,0.13171975,0.6778804,0.15121797,0.064793155
55,-23.849113,1.71978,10.723277,0.31869692,0.6773352,0.18361294,0.08099145
56,-23.954012,1.6444958,9.124474,0.390373,0.64898497,0.23080511,0.10123931
57,-23.94889,1.6796805,9.7238245,1.169246,0.65367615,0.51711076,0.12654914
58,-23.827942,2.2365396,9.506917,5.219933,0.66951126,1.811153,0.04588387
59,-23.861555,2.137381,11.426705,5.2480016,0.661243,1.4340278,0.026028395
60,-23.972492,1.6048067,8.275443,0.5781941,0.6532932,0.22659315,0.032535493
61,-23.966845,1.6297985,10.056756,0.64544696,0.64617187,0.20588012,0.040669367
62,-23.966387,1.5856327,8.993242,0.3170508,0.645594,0.13076475,0.05083671
63,-23.979832,1.5910476,9.477872,0.40108,0.6339168,0.15651909,0.06354588
64,-24.029636,1.5683792,8.567612,0.5859819,0.6258971,0.16203858,0.07943235
65,-24.018848,1.5800474,8.897385,1.3505337,0.6156436,0.3573217,0.099290445
