epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.269903,2.6502829,7.833916,0.95532185,0.70809776,2.2580683,0.04
1,26.17553,2.8290496,7.646355,1.4670453,0.73170406,2.784312,0.049999997
2,25.611746,3.2879424,8.258442,2.6985097,0.73889536,3.943796,0.062499996
3,24.133663,4.239102,8.0228,5.9764047,0.7863695,5.8299036,0.07812499
4,17.824463,6.2789283,8.9049,16.669542,0.9944999,8.1842785,0.09765624
5,1.161915,4.9657893,14.916971,12.908908,1.2809869,3.0637414,0.122070305
6,-1.0838747,4.0921535,13.986388,4.0342293,1.0376123,1.8300178,0.12106789
7,-1.3824099,3.921235,11.357305,4.183547,1.0516311,1.7218201,0.15133487
8,-1.9379585,3.871239,11.492767,5.239875,1.0293458,1.7699852,0.18916859
9,-2.8552759,3.8997712,11.8310375,4.417278,1.0025275,1.8111262,0.2
10,-3.788565,3.6471202,9.668808,4.768157,0.9816914,1.9676282,0.2
11,-4.8304415,3.615378,10.588616,4.3849306,0.91134363,1.9617873,0.2
12,-5.707796,3.640642,11.629898,3.3333306,0.93644595,1.7911941,0.2
13,-6.4882607,3.5074868,10.534773,3.3666875,0.91962075,1.7109357,0.2
14,-7.2719436,3.5494032,10.971623,3.3968787,0.94270307,1.7708286,0.2
15,-7.97529,3.3460763,9.902857,2.4078622,0.8700789,1.7501655,0.2
16,-8.570883,3.3447962,10.849828,2.693613,0.85422856,2.0147312,0.2
17,-9.38118,3.1692362,9.981839,2.163911,0.8414139,1.7718569,0.2
18,-9.826553,3.047234,9.673716,1.7176461,0.8534881,1.6501325,0.2
19,-10.286066,3.0022483,7.6077485,1.507112,0.85372216,1.5324148,0.2
20,-10.632969,2.9527566,8.712254,1.846406,0.8596159,1.4136757,0.2
21,-10.815246,2.9716089,8.192961,1.985589,0.84757715,1.4439694,0.2
22,-11.033488,2.9361796,8.10201,1.7641193,0.8744671,1.3866342,0.2
23,-11.284804,2.9467685,6.824831,1.4300478,0.8901305,1.3795627,0.2
24,-11.604623,3.000965,5.8309216,1.7396603,0.90698373,1.4331998,0.2
25,-11.588515,2.8547893,6.4721045,1.4277037,0.8934964,1.3058323,0.2
26,-11.758568,2.8303714,6.081131,1.8758297,0.8781065,1.3722212,0.2
27,-11.837747,2.991802,6.1037946,1.3557899,0.95239747,1.3209405,0.2
28,-11.962791,2.915602,6.1443315,0.8272699,0.91190875,1.2430996,0.2
29,-12.090649,2.8517077,6.2814445,0.87998354,0.9283309,1.2404274,0.2
30,-12.033111,2.7888136,5.63785,1.0638107,0.88841563,1.1582073,0.2
31,-12.041182,2.7865746,5.264509,0.6654858,0.9053581,1.0992609,0.2
32,-12.1405115,2.8045042,5.739278,0.69468,0.89562964,1.1283023,0.2
33,-12.133984,2.811079,5.738127,1.2443734,0.8995618,1.2121497,0.2
34,-12.2208395,2.7436028,5.553018,0.76871884,0.900534,1.1687124,0.2
35,-12.18914,2.7793794,5.2442503,0.9128243,0.90143216,1.1391354,0.2
36,-12.146389,2.855646,5.706258,1.5833931,0.937241,1.2198135,0.2
37,-12.207557,2.7599401,5.6519003,0.9794535,0.92641383,1.0534163,0.2
38,-12.2381935,2.7893763,6.222912,0.9427294,0.92688715,1.0142727,0.2
39,-12.253938,2.7860825,4.8603334,0.7989799,0.9473491,1.0931281,0.2
40,-12.369572,2.8187158,4.673622,0.99505085,0.946174,1.0554738,0.2
41,-12.414422,2.7926452,5.2844315,1.0469042,0.9290851,1.0043814,0.2
42,-12.3273535,2.6832843,4.8646717,1.0278329,0.9265268,1.0721735,0.2
43,-12.469902,2.7599912,5.160607,0.99770755,0.95497125,1.1028483,0.2
44,-12.325717,2.7532103,4.4130135,1.0417024,0.9555865,1.0237627,0.2
45,-12.34878,2.8324063,4.4657845,0.787513,0.9801424,1.0767319,0.2
46,-12.4676075,2.8396134,4.9208407,1.0173217,0.99757063,0.9824468,0.2
47,-12.397683,2.778949,4.4235897,0.85395736,0.99540615,1.0444747,0.2
48,-12.556186,2.823562,5.778559,0.90445685,0.96402663,1.0936323,0.2
49,-12.529401,2.8480477,4.3169365,1.2850213,0.99284106,1.0247439,0.2
50,-12.481003,2.766813,4.966914,1.2381444,0.98608327,1.0602688,0.2
51,-12.642716,2.9184186,4.8992176,1.4152809,1.0266702,1.2437781,0.2
52,-12.687957,2.9104738,4.7550936,1.0356088,1.0217398,1.2585778,0.2
53,-12.81584,2.766036,4.396325,1.253792,0.96547437,1.1821017,0.2
54,-12.754523,2.9259813,5.5988975,1.7723604,1.0186949,1.2544376,0.2
55,-12.974861,2.8459072,4.518147,1.028425,1.0121169,1.1642413,0.2
56,-13.092286,2.719542,5.0665607,1.3820537,0.9634776,1.1981553,0.2
57,-13.226286,2.720772,4.8605757,0.9884267,0.9604241,1.4219348,0.2
58,-13.398412,2.648458,5.723894,1.3909812,0.94457465,1.2604988,0.2
59,-13.498518,2.593224,5.178623,1.1277906,0.95255214,1.2154782,0.2
60,-13.545962,2.5832253,5.3113904,1.7639444,0.92304385,1.4047819,0.17581221
61,-13.672932,2.4584591,5.0435567,0.9915174,0.90578973,1.1325694,0.2
62,-13.657498,2.5970793,5.2921925,2.2444625,0.93466735,1.6891835,0.15020214
63,-13.694597,2.4386928,5.140702,1.4706334,0.90739006,1.1702288,0.14236732
