epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.37055,2.1096299,10.028448,0.78486246,0.48557466,1.6382422,0.04
1,17.349506,2.1132593,9.196729,0.92025065,0.48231316,1.8281263,0.049999997
2,17.19352,2.280088,10.485687,1.1686101,0.48827428,2.1465878,0.062499996
3,17.027077,2.4494007,10.797071,1.5417792,0.5097269,2.565772,0.07812499
4,16.646051,2.7350402,12.310542,2.3654034,0.51024395,3.1696947,0.09765624
5,15.751562,3.2756793,14.09919,3.957108,0.57702774,4.0962543,0.122070305
6,13.58106,4.0817633,15.440126,7.057349,0.74650085,5.176474,0.15258788
7,8.585345,4.9432664,20.17007,9.13094,1.0801286,5.4176373,0.19073485
8,1.7988703,4.7456684,21.042637,6.9429903,1.2171241,3.3153884,0.2
9,-0.8966116,4.242248,20.928473,4.7019563,1.0881894,2.1159384,0.2
10,-1.9328429,4.13467,20.309381,3.8030324,1.0625781,1.9847914,0.2
11,-2.6288762,4.152134,21.783691,4.0548725,1.0527865,1.8461667,0.2
12,-3.1280987,4.1762514,21.768549,3.703228,1.080743,2.0075784,0.2
13,-4.065153,4.137735,23.744762,3.218474,1.0688785,1.9781109,0.2
14,-4.830464,4.1723285,23.703661,3.87512,1.0794052,2.0012274,0.2
15,-5.4293337,4.3058467,24.93811,4.2160654,1.0906541,2.0936713,0.2
16,-5.9889245,4.3327255,24.208967,3.5943766,1.1506306,2.0222604,0.2
17,-6.5859556,4.470758,25.143847,3.423928,1.239314,2.0828748,0.2
18,-7.2050633,4.590167,29.11379,4.333313,1.2590585,2.2896888,0.2
19,-8.134666,4.6505613,25.013155,3.6193504,1.3708569,2.1631265,0.2
20,-8.619825,4.750831,23.152912,3.8051279,1.4374325,2.198366,0.2
21,-9.329266,4.9981637,27.59178,5.2541914,1.5620873,2.2366517,0.2
22,-9.873187,5.3892603,29.240757,4.7954006,1.6805865,2.3585382,0.2
23,-10.723573,5.6094,29.354506,4.8113337,1.7953779,2.2916512,0.2
24,-11.326803,5.7384486,24.429625,5.195503,1.8983831,2.5950487,0.2
25,-11.999149,6.065434,29.767807,5.527257,1.9730859,2.655636,0.2
26,-12.534813,6.2426605,28.417032,6.982222,2.073706,2.8201616,0.2
27,-13.395075,6.542538,26.709888,6.064164,2.2026482,3.067731,0.2
28,-13.996519,6.5113606,23.960056,4.4842052,2.2165842,2.9041004,0.2
29,-14.695668,6.6645393,27.747633,5.129768,2.3177478,2.6582997,0.2
30,-14.97912,6.765104,19.499063,5.0775127,2.421528,2.8332894,0.2
31,-15.273418,6.923258,20.390066,6.5755076,2.4619782,2.6893973,0.2
32,-15.817041,7.140256,21.428873,4.7346773,2.565612,2.8326087,0.2
33,-16.0286,7.275405,24.17327,7.323486,2.5896246,2.8799498,0.2
34,-16.550104,7.2074313,22.110945,6.2318554,2.6075764,3.2144427,0.2
35,-17.016527,7.3206124,20.080612,6.6231403,2.6388216,3.3209403,0.2
36,-17.256777,7.7191105,22.405836,9.730758,2.8045,2.9749265,0.2
37,-17.945164,7.254322,20.19294,7.8192654,2.531445,3.4221478,0.2
38,-19.152336,6.8717194,20.299643,12.291247,2.371289,3.4197779,0.2
39,-20.394903,6.518052,18.719278,7.4933853,2.1276195,4.294522,0.2
40,-21.309298,5.862789,18.006824,22.662237,1.624459,4.910009,0.16086857
41,-22.249292,4.482618,12.628095,11.090027,0.8661428,5.2507324,0.14784107
42,-20.328222,7.195806,18.994946,18.701164,1.8002723,8.13525,0.070717424
43,-22.642887,4.002082,12.223662,9.893651,1.0059279,3.9555407,0.055354644
44,-23.240965,2.6162765,11.187968,3.110063,0.73157877,2.2451012,0.0691933
45,-23.341812,2.3972893,12.973007,2.449011,0.70661545,1.5398303,0.08649163
46,-23.426918,2.2886376,10.806672,2.3743603,0.70743084,1.5481088,0.10811454
47,-23.48576,2.298077,12.6011505,3.1119938,0.70943046,1.5577096,0.09331786
48,-23.443895,2.3985617,11.207989,4.631378,0.67847097,1.8629907,0.05607379
49,-23.52455,2.1950762,11.397399,2.6538801,0.68339133,1.2256565,0.04135569
50,-23.609756,2.0599024,10.898534,1.1350974,0.69557583,0.79367495,0.051694617
51,-23.672472,2.00606,12.176982,0.95293427,0.66224724,0.7286213,0.064618275
52,-23.607782,1.945132,12.1759205,0.68244743,0.65359885,0.5690753,0.08077285
53,-23.697094,1.953881,10.638864,0.6030407,0.6738016,0.57949585,0.10096606
54,-23.653385,1.8615482,10.938487,0.8674497,0.62308776,0.6476828,0.12620758
55,-23.651543,1.8698747,10.058025,1.2178867,0.64377165,0.7040633,0.15775947
56,-23.76545,1.8478855,10.470304,2.2350488,0.62548035,0.87045985,0.19719934
57,-23.466242,2.7467809,11.391402,9.093804,0.640233,2.9519122,0.063651934
58,-23.70291,2.3789232,10.800986,6.1188335,0.6561974,2.1778324,0.040251784
59,-23.86585,1.7920554,9.417418,0.9848943,0.6372755,0.6186535,0.038603317
60,-23.895004,1.7632961,10.948949,0.6759171,0.6473281,0.54858863,0.048254147
61,-23.849531,1.7642487,10.920923,0.6886733,0.6318604,0.6180107,0.060317684
62,-23.876575,1.7061192,10.14383,0.69172037,0.6246487,0.5478211,0.075397104
63,-23.832148,1.6885058,9.626851,0.8358049,0.62510985,0.4633733,0.09424638
64,-23.844715,1.6617277,8.800762,0.72987074,0.6255843,0.4711013,0.11780798
65,-23.87398,1.6636037,10.075013,1.2736504,0.6201317,0.5922101,0.14725997
66,-23.805492,1.9175981,9.596689,3.6111975,0.63737327,1.321643,0.087039314
67,-23.820745,2.0693774,8.784572,4.9867334,0.63908625,1.8060772,0.041449495
68,-23.91344,1.6097203,9.605837,1.0576267,0.5978009,0.54577434,0.037824444
69,-23.938345,1.5935428,10.382101,0.6106975,0.6019485,0.36355338,0.047280557
70,-23.95269,1.6092366,11.094877,0.5169423,0.6200631,0.3483598,0.059100695
71,-23.93172,1.5301319,9.329799,0.46819252,0.6006911,0.37008625,0.07387587
72,-23.916348,1.6146774,11.101765,0.5479624,0.61516184,0.40247586,0.092344835
73,-23.90994,1.5503405,9.150427,0.5975501,0.5965442,0.451478,0.11543104
74,-23.89181,1.5993967,9.1054535,0.9674087,0.62023205,0.4755652,0.14428881
75,-23.925278,1.6294113,7.81922,1.4391392,0.6173185,0.7862247,0.180361
76,-23.79991,2.4516275,10.073909,6.3408685,0.6142298,2.484198,0.055202257
77,-23.923431,1.8072655,9.829089,3.3809674,0.6025348,1.2753083,0.039928876
78,-23.985117,1.5758822,10.247674,0.9397322,0.6290147,0.38095376,0.03923797
79,-24.008064,1.527361,8.077247,0.6201753,0.612602,0.32308474,0.049047463
80,-24.038094,1.5446024,8.142264,0.8855695,0.6004205,0.38412502,0.06130933
81,-23.997066,1.5454004,8.521259,0.76883703,0.6165224,0.3895429,0.076636665
82,-23.955454,1.4833957,8.236077,0.38579306,0.5934695,0.32771373,0.09579583
83,-23.996664,1.5763922,9.981402,0.6325977,0.6192428,0.41463992,0.11974479
84,-24.074625,1.5262806,9.509595,0.67585534,0.60498035,0.3618393,0.14968099
85,-23.987343,1.5627223,8.988987,1.6471539,0.59986126,0.63817775,0.18710123
86,-23.81479,2.4012215,9.204395,7.8742013,0.59880733,2.4739137,0.058877714
87,-23.948689,2.0026274,10.958787,4.6676064,0.61455685,1.7523354,0.037302174
88,-24.010395,1.5385206,10.441915,0.9414215,0.6203587,0.3557642,0.03620514
89,-24.080664,1.489388,10.30962,0.6765378,0.59082013,0.3419019,0.045256425
90,-24.043243,1.506555,8.080003,0.3719945,0.6005292,0.31347972,0.05657053
91,-24.07234,1.5237588,9.826545,0.3928747,0.6139341,0.31917906,0.07071316
92,-24.060923,1.5002946,8.379324,0.3807282,0.6159961,0.27270448,0.08839145
93,-24.019787,1.47492,9.577887,0.40416515,0.6016216,0.27591562,0.11048932
94,-24.036304,1.4951242,9.564603,0.3930778,0.60680723,0.4021982,0.13811165
95,-24.06477,1.519792,9.521173,1.4596702,0.59588,0.66485524,0.17263956
96,-23.951597,2.0513623,10.14782,4.5419936,0.59806633,2.0476449,0.06515221
97,-24.008099,1.8435247,10.3015585,3.8657472,0.5839372,1.6230373,0.03874439
98,-24.033049,1.4793653,9.102429,0.7221546,0.5953741,0.36829644,0.038080323
99,-24.024107,1.4181564,7.192097,0.29434633,0.5809625,0.30581632,0.047600403
100,-24.054918,1.4709842,8.139722,0.4951347,0.59675664,0.22693463,0.059500504
