epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.269903,2.6502829,7.833916,0.95532185,0.70809776,2.2580683,0.04
1,26.2876,2.746707,7.5377483,1.2197484,0.72071743,2.5401707,0.049999997
2,25.973282,2.9717555,8.103468,1.7828149,0.7315383,3.214369,0.062499996
3,25.513752,3.4995472,8.705787,3.0688784,0.7734501,4.2375,0.07812499
4,24.294523,4.0927033,8.174795,5.6140957,0.7515847,5.6414647,0.09765624
5,20.729433,5.6908827,8.338146,12.585669,0.8643866,8.024782,0.122070305
6,8.825148,6.4550147,11.042548,21.166473,1.3017958,6.6961045,0.15258788
7,-0.7703399,4.408737,14.9172735,6.781624,1.1497414,2.111045,0.19073485
8,-1.6277139,4.0712876,13.64576,4.807191,1.0477796,1.7905258,0.2
9,-2.1854155,4.0279164,14.445086,5.170705,1.0221655,1.9692274,0.2
10,-3.0395706,3.925033,14.011059,4.3497047,0.9939325,2.0744488,0.2
11,-3.48187,3.8339188,12.4983015,3.7867708,0.98397344,2.1772027,0.2
12,-4.2657247,3.728485,11.912608,3.758145,0.95313096,1.9341438,0.2
13,-4.7769933,3.7562687,12.573274,3.481385,0.9719305,1.92853,0.2
14,-5.1697087,3.759803,12.2479105,3.5181482,0.9708964,1.7913458,0.2
15,-5.5073075,3.6877728,12.720888,2.4068453,0.970099,1.7065904,0.2
16,-5.9452944,3.66368,11.993902,2.187992,0.9638448,1.7569743,0.2
17,-6.2371078,3.674266,12.702152,3.3758402,0.94352406,1.7292304,0.2
18,-6.928932,3.6677895,12.364568,2.2089095,0.96077234,1.8277392,0.2
19,-7.279541,3.565746,11.230285,3.4245737,0.96248156,1.8237716,0.2
20,-7.704822,3.5704849,12.556377,3.420739,0.9268419,1.9528482,0.2
21,-8.204371,3.528508,12.894753,2.5756826,0.94827193,1.8428669,0.2
22,-8.634721,3.4551756,12.17584,2.5931156,0.9210013,1.8437911,0.2
23,-9.0897665,3.4047413,11.55633,2.309411,0.9254669,1.8469908,0.2
24,-9.504557,3.3826628,11.15308,1.9911016,0.96638376,1.6585324,0.2
25,-9.943497,3.392831,11.453097,1.8316356,0.95478433,1.8998394,0.2
26,-10.193086,3.4562647,12.065005,2.5348856,0.96117914,1.8796985,0.2
27,-10.440679,3.4623466,10.3317995,2.0520527,1.001287,1.9088027,0.2
28,-10.9081135,3.3664956,10.320858,2.167476,1.0151434,1.858976,0.2
29,-11.203474,3.3516402,9.410367,2.0131152,1.0510746,1.7252953,0.2
30,-11.399461,3.4315605,10.943891,2.1497653,1.0828166,1.6746598,0.2
31,-11.79981,3.4158752,10.769495,1.6961664,1.1072025,1.4726876,0.2
32,-11.870004,3.3899305,9.186727,1.7577381,1.1185373,1.3786876,0.2
33,-12.096015,3.2911365,7.91955,2.0982187,1.095698,1.4848253,0.2
34,-12.287219,3.3238482,9.876746,2.9172292,1.1013963,1.8293021,0.2
35,-12.638726,2.975349,8.560315,3.1475942,0.98001325,1.6068813,0.2
36,-13.021584,2.8015475,8.308507,2.6578119,0.94411576,1.4591477,0.2
37,-13.209836,2.704853,6.9124765,1.7641497,0.9402784,1.4180522,0.2
38,-13.25098,2.8084288,7.5598507,2.555666,0.9536226,1.4817598,0.199463
39,-13.374545,2.6784437,7.460957,1.9847139,0.9006557,1.5037168,0.2
40,-13.436033,2.6471202,7.2985353,2.7617362,0.879381,1.6278319,0.1600839
41,-13.590137,2.562479,7.806399,2.2252686,0.87158865,1.303645,0.2
42,-13.835359,2.6278434,7.628613,2.999962,0.8827323,1.5311476,0.2
43,-13.972586,2.6032417,8.037366,3.0259895,0.8464269,1.7429408,0.2
44,-14.1179905,2.66239,7.9973445,3.9866388,0.80493593,2.1526282,0.17137508
45,-14.375636,2.5516636,8.749356,3.1485415,0.80068296,1.5322795,0.2
46,-14.644738,2.7027776,9.116744,4.2371993,0.76391894,2.1665564,0.2
47,-15.03997,2.4715884,10.311337,3.5862498,0.70506334,1.7220592,0.2
48,-15.351527,2.6576548,10.930318,4.285246,0.69807345,2.3623962,0.2
49,-15.689583,2.4022963,10.939381,3.13378,0.6858736,1.5158898,0.2
50,-15.871099,2.285448,10.546786,2.6402338,0.6418236,1.5438694,0.2
51,-16.093372,2.1728482,12.824423,2.1928864,0.60009795,1.3233615,0.2
52,-16.186289,2.337655,10.704381,2.5093153,0.6436735,2.0018194,0.18941855
53,-16.315409,2.2652683,12.009574,2.903438,0.63531566,1.5153891,0.17886141
54,-16.490545,2.0368998,10.467754,2.1559317,0.62264246,1.0766251,0.2
55,-16.602314,2.0257454,10.351215,0.9417789,0.64026594,1.0148029,0.2
56,-16.627996,1.9695395,9.513959,1.7900734,0.6097885,1.194807,0.2
57,-16.64248,1.9251754,8.799027,1.0780771,0.6303447,1.0618917,0.2
58,-16.707468,2.1574857,8.931002,2.7362294,0.6604847,1.8688105,0.14698826
59,-16.72635,1.9203632,8.901088,0.76296204,0.65002656,1.0953135,0.18373533
60,-16.770674,1.9262103,9.231237,1.8909243,0.61518157,1.4444206,0.13688111
61,-16.80505,1.9224248,8.019538,0.7168343,0.66281396,1.1547794,0.17110139
62,-16.77046,2.1022193,7.427395,2.4868486,0.67471826,1.825223,0.10720744
63,-16.891005,1.7933692,6.567377,0.7306024,0.65830255,0.61273015,0.1340093
64,-16.898571,1.7911329,6.783479,0.49764195,0.6579629,0.6496271,0.16751163
65,-16.960915,1.7529411,8.616819,0.7050119,0.63107216,0.71778464,0.2
66,-16.909895,1.8572332,6.789104,1.8259766,0.64375436,1.3033946,0.1610977
67,-16.944317,1.7565575,7.0479355,0.47247767,0.65481555,0.7648839,0.2
68,-16.930687,1.8772472,5.788363,1.9271104,0.64879876,1.4121112,0.15126137
69,-16.997011,1.7857583,5.7539406,1.2614895,0.6693966,0.70147264,0.12364173
70,-17.014912,1.7085954,7.7421784,0.6168511,0.64100975,0.5598212,0.15455216
71,-17.056215,1.7143693,6.7498837,1.3439049,0.6444209,0.7796938,0.1931902
72,-16.97954,1.7169076,6.9859715,0.5757805,0.6456989,0.5993124,0.2
73,-17.103628,1.7070657,5.6478972,0.78917813,0.6587604,0.7037461,0.2
74,-17.064266,1.6837324,5.2651057,0.46647134,0.6492863,0.63886887,0.2
75,-17.054668,1.8428777,7.2043557,1.7527645,0.6559772,1.3534336,0.14678006
76,-17.098577,1.6730556,5.824144,1.3845862,0.6328106,0.662109,0.12060585
77,-17.12875,1.6424371,5.606836,0.38066348,0.6425083,0.48826867,0.15075731
78,-17.11371,1.7149818,6.9379716,0.9202136,0.662,0.6827907,0.18844664
