epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,9.369663,0.8405875,0.4783049,1.7609047,0.04
1,17.231363,2.164074,10.612451,0.9483019,0.47523338,1.8796983,0.04
2,17.16965,2.246455,10.785362,1.1787947,0.4934817,2.0962675,0.04
3,17.034683,2.3864543,11.496922,1.4463563,0.47798693,2.4581037,0.04
4,16.957542,2.53369,11.767972,1.8823811,0.5006671,2.6616805,0.04
5,16.558975,2.7990937,12.793659,2.3869143,0.5062748,3.351065,0.04
6,16.258131,2.9860542,13.403293,2.913794,0.55132073,3.5947907,0.04
7,15.835582,3.1704686,11.7522545,3.7745986,0.5506014,4.142045,0.04
8,15.2626505,3.5080523,14.206008,4.533429,0.5981846,4.635796,0.04
9,14.326287,3.93398,16.01733,6.40787,0.66231525,5.1216307,0.04
10,13.215454,4.1173744,15.258568,7.041578,0.75103,5.272826,0.04
11,11.882242,4.5070353,15.174195,8.546525,0.89097124,5.620141,0.04
12,10.301402,4.8482356,16.946568,9.323496,0.9787383,5.8071485,0.04
13,8.411273,5.022388,17.495285,9.70462,1.0884442,5.632019,0.04
14,6.781551,5.129029,18.887264,10.230809,1.1955583,5.131317,0.04
15,5.0008545,5.2257056,19.24008,9.990598,1.2802706,4.748805,0.04
16,3.5190873,5.193607,21.34633,9.698301,1.2706671,4.347275,0.04
17,2.2371101,4.8431053,20.202139,8.715227,1.224971,3.557882,0.04
18,1.3659126,4.8125553,20.711226,7.386936,1.2247647,3.2159107,0.04
19,0.6349282,4.691805,21.706562,6.806132,1.1778146,3.1174157,0.04
20,0.05352401,4.564754,21.484493,5.7059493,1.1711164,2.8095112,0.04
21,-0.39142022,4.573996,22.388662,5.9424253,1.1725174,2.7485259,0.04
22,-0.79039395,4.3559794,19.901066,5.312773,1.109764,2.5648441,0.04
23,-1.1695324,4.3647757,21.409508,5.687035,1.0775937,2.4668896,0.04
24,-1.463528,4.3100734,19.812014,4.83867,1.09666,2.3799255,0.04
25,-1.8188068,4.282604,20.3732,4.4450216,1.1054008,2.2532148,0.04
26,-1.8730321,4.2664776,21.312332,4.077176,1.0818588,2.2098591,0.04
27,-2.1757448,4.162349,20.992212,4.208637,1.065361,2.121988,0.04
28,-2.2598512,4.1555614,19.79998,4.1174197,1.0575601,2.1434572,0.04
29,-2.390272,4.270872,22.663044,4.3296366,1.0804453,2.1187713,0.04
30,-2.730789,4.155577,18.968805,5.1520777,1.0650502,1.8507953,0.04
31,-2.8335924,4.1469316,20.754305,3.5505738,1.0488129,2.138027,0.04
32,-2.9373715,4.2968483,23.722923,3.9315047,1.0824137,2.2615402,0.04
33,-3.2000346,4.1033072,23.525509,4.240181,1.0424668,1.9038937,0.04
34,-3.1912122,4.1651163,21.271503,3.861096,1.0699914,2.0737405,0.04
35,-3.5100024,4.266203,24.497053,3.6118882,1.0600027,2.0159159,0.04
36,-3.5870981,4.071445,22.520754,3.6280031,1.0270981,1.7398313,0.04
37,-3.808875,4.168562,22.73498,4.311065,1.0852746,2.0275524,0.04
38,-3.9249957,4.2159243,23.541906,3.8681502,1.0887643,2.025541,0.04
39,-4.097578,4.2425556,21.646269,4.034509,1.121001,2.009706,0.04
40,-4.256301,4.2742934,24.437332,4.6371264,1.1132327,1.9569479,0.04
41,-4.2993712,4.2333593,23.660727,4.0791006,1.0964265,1.8863715,0.04
42,-4.5778546,4.2775235,23.746096,4.7547884,1.1266094,2.0561526,0.04
43,-4.8005724,4.238059,24.09882,3.8920817,1.1107337,2.076633,0.04
44,-5.041877,4.240818,25.068958,4.0756946,1.1065768,1.9503227,0.04
45,-5.1261997,4.278695,24.485947,4.111802,1.1299524,1.9549545,0.04
46,-5.149511,4.3489237,23.324627,3.696697,1.1602721,2.0634604,0.04
47,-5.324375,4.31926,24.93236,3.898231,1.137686,2.164931,0.04
48,-5.44741,4.3507376,25.01383,3.9113379,1.1785369,2.0551305,0.04
49,-5.5717893,4.480595,26.62266,4.5770698,1.1999732,2.1758356,0.04
50,-5.953132,4.293752,25.286682,3.7707894,1.17447,2.0413654,0.04
51,-5.9186435,4.370838,25.886528,4.051599,1.1410234,2.139878,0.04
52,-6.1774416,4.3036876,23.042068,3.3036752,1.1643444,2.161875,0.04
53,-6.55068,4.3731923,25.471828,4.378926,1.1868057,2.1988535,0.04
54,-6.4476776,4.404506,24.679085,4.121579,1.2178953,2.1238937,0.04
55,-6.699616,4.464685,27.122404,4.236815,1.2399147,2.192293,0.04
56,-7.0080853,4.383963,27.283926,4.727605,1.219716,1.9720396,0.04
57,-7.0666246,4.514264,25.833612,4.448434,1.2620456,2.1829097,0.04
58,-7.0609565,4.466828,23.636274,4.223878,1.2822047,2.1635108,0.04
59,-7.2973566,4.6322865,24.466402,4.7071066,1.352621,2.1576052,0.04
60,-7.478265,4.574254,23.729195,4.4163666,1.3290137,2.258388,0.04
61,-7.814236,4.655404,23.606901,4.748461,1.3703955,2.0918741,0.04
62,-7.787152,4.7486753,24.855555,5.115222,1.3885876,2.1887076,0.04
63,-8.029766,4.6436286,22.177732,4.477374,1.3873982,2.172509,0.04
64,-8.144299,4.7039967,25.26537,5.118228,1.4011168,2.1621275,0.04
65,-8.508427,4.8037887,23.238503,5.3946238,1.4657166,2.2497094,0.04
66,-8.57907,4.941032,27.086239,4.9908824,1.4884593,2.3416464,0.04
67,-8.922492,4.854585,29.13454,4.4689026,1.4515115,2.2655513,0.04
68,-9.049001,4.9228334,26.192192,4.79641,1.5292035,2.1682425,0.04
69,-9.243708,5.0666246,29.816626,4.4162292,1.5217913,2.2479932,0.04
70,-9.337877,5.2339063,25.945572,5.7839265,1.6714886,2.2693906,0.04
71,-9.376068,5.156509,27.56785,4.800654,1.6197273,2.0654216,0.04
72,-9.532973,5.3540597,26.027573,4.9543657,1.6834419,2.2341888,0.04
73,-9.703415,5.218555,25.151638,5.9565034,1.6671697,2.39791,0.04
74,-10.089311,5.213391,28.02922,5.0683293,1.6738715,2.2450647,0.04
75,-10.254203,5.375598,24.58664,4.418991,1.7400811,2.2988465,0.04
76,-10.118939,5.321092,28.383326,4.469316,1.6808155,2.3733306,0.04
77,-10.38841,5.524477,29.394253,4.301095,1.7909902,2.588896,0.04
78,-10.783816,5.360464,27.197031,5.1039977,1.7594122,2.124392,0.04
79,-10.602805,5.6612325,27.809908,5.8957953,1.8462601,2.3292856,0.04
80,-10.834955,5.481053,28.853516,4.965135,1.7808589,2.5115523,0.04
81,-11.056967,5.5411243,25.178253,4.894481,1.8188478,2.5272684,0.04
82,-11.238625,5.557306,27.999617,5.083817,1.8002867,2.4566386,0.04
83,-11.488751,5.633266,25.102085,5.290537,1.8482337,2.2566218,0.04
84,-11.6511,5.8022738,25.562752,5.5682073,1.9432143,2.469327,0.04
85,-11.838584,5.763703,30.038467,5.4737787,1.9151622,2.3408432,0.04
86,-11.877479,5.736614,27.719168,4.0729413,1.9574516,2.2892706,0.04
87,-12.026334,5.8016434,30.938986,4.9385366,1.9443492,2.4994664,0.04
88,-12.177962,5.815804,32.36402,5.355733,1.9736092,2.4205563,0.04
89,-12.381976,5.8243694,28.863892,5.690564,1.933659,2.2903488,0.04
90,-12.565703,5.9243374,29.104269,6.3400617,1.9833418,2.3715925,0.04
91,-12.685935,6.0215,28.411457,6.297732,2.0248332,2.602169,0.04
92,-12.855841,6.0544767,27.92369,6.4940042,2.0673356,2.5982902,0.04
93,-12.862124,6.158673,31.060305,7.7946177,2.0777059,2.8831587,0.04
94,-13.107428,6.214402,31.643055,5.3879933,2.1382506,2.7724555,0.04
95,-13.185744,6.3541756,31.698149,7.6352563,2.234087,2.7006059,0.04
96,-13.255695,6.4666524,36.1514,6.649445,2.2494884,2.6276226,0.04
97,-13.858871,6.4904346,43.695175,5.266473,2.1940734,2.484084,0.04
98,-13.535887,6.6002116,36.749355,8.940387,2.2597451,2.8123853,0.04
99,-14.008246,6.585364,32.034348,8.21021,2.2739527,2.851039,0.04
100,-14.157756,6.583487,33.5884,6.8215804,2.2617772,2.681496,0.04
101,-14.362315,6.792597,35.72643,7.9959793,2.3881998,2.9514818,0.04
102,-14.569988,6.7456594,45.257484,5.583995,2.3246787,2.8052855,0.04
103,-14.557986,6.9815435,45.476284,8.667151,2.375435,2.9888766,0.04
104,-14.883241,6.909139,40.530235,7.755832,2.4024966,3.1797962,0.04
105,-15.059516,6.8581133,33.58524,7.365053,2.4644513,2.9022334,0.04
106,-15.27549,6.902622,42.409332,6.155826,2.446962,2.9111054,0.04
107,-15.378313,6.918341,39.74214,6.428134,2.4390433,2.8061638,0.04
108,-15.676495,7.107771,47.598812,7.6511874,2.507431,3.0586748,0.04
109,-15.85985,7.070165,44.448532,5.9171057,2.5422714,3.1597507,0.04
110,-15.848795,7.134765,43.743526,7.2218513,2.4827952,2.9585743,0.04
111,-16.327919,7.071607,38.919746,6.1638045,2.4956226,3.0575664,0.04
112,-16.482347,7.031242,39.101982,5.486087,2.5221934,2.9147303,0.04
113,-16.245049,7.3340683,42.44222,6.8369765,2.6615696,2.933302,0.04
114,-16.471104,7.3217735,44.60216,6.044666,2.5999444,3.0795004,0.04
115,-16.756348,7.1615696,41.1515,6.8357143,2.6028962,3.0431488,0.04
116,-17.151009,7.2614923,48.663063,6.989378,2.6132357,3.1261075,0.04
117,-17.247261,7.210581,48.609352,5.411562,2.6260002,3.293783,0.04
118,-17.313253,7.2489104,45.911217,9.274424,2.6144624,3.345784,0.04
119,-17.44828,7.1900086,49.540478,7.4091983,2.5289185,3.341615,0.04
120,-18.134333,6.887491,51.083546,6.284327,2.4844508,3.2863832,0.04
121,-18.06625,7.088566,39.86587,9.995298,2.515694,3.3686395,0.04
122,-18.384617,6.963184,45.496136,7.425906,2.5037808,3.1650686,0.04
123,-18.425673,7.0729094,54.64096,8.487524,2.5257509,3.1937666,0.04
124,-18.738644,6.7762876,44.03278,8.752179,2.4080262,3.4049501,0.04
125,-18.896776,6.918699,44.70142,7.175911,2.4576225,3.3709562,0.04
126,-18.748226,7.185032,41.86544,6.8543286,2.6201317,3.3685715,0.04
127,-18.85056,7.230782,47.83287,8.54592,2.5536277,3.1572247,0.04
128,-19.125248,7.01041,37.526226,7.5696673,2.5093522,3.313686,0.04
129,-19.504648,6.7713194,30.435917,7.502832,2.391521,3.6706958,0.04
130,-19.768291,6.679284,32.434174,7.845532,2.3833702,3.351358,0.04
131,-19.96307,6.774991,30.310846,10.564308,2.421047,3.4450037,0.04
132,-20.140848,6.746888,40.935963,7.6566815,2.3965454,3.6217544,0.04
133,-20.539066,6.311486,38.5491,9.451483,2.1983812,3.564731,0.04
134,-20.689938,6.2857594,30.148138,9.064578,2.1529348,3.5043426,0.04
135,-20.941168,6.03168,36.89844,9.122835,2.0856705,3.6235096,0.04
136,-21.498833,5.490103,24.261074,8.093369,1.8387045,3.5160344,0.04
137,-21.667656,5.7251353,27.134966,13.92815,1.8906809,3.9369485,0.04
138,-22.330614,4.7673492,25.918644,13.976768,1.4681154,3.7657065,0.04
139,-23.222445,3.3276875,12.823237,7.79972,0.881918,3.5517116,0.04
140,-23.51744,2.638636,8.625094,6.187332,0.6492961,2.7929773,0.04
141,-23.58839,2.4275281,9.060339,5.0274615,0.665952,2.1968372,0.04
142,-23.721046,2.1463692,6.89913,2.7302403,0.6134771,1.5434301,0.04
143,-23.774872,2.111325,7.69957,2.4752548,0.62084603,1.6242987,0.04
144,-23.76848,2.0521405,9.082105,2.6430206,0.63463265,1.3201154,0.04
145,-23.784649,2.026144,9.000457,2.0116653,0.62603354,1.3650779,0.04
146,-23.82222,1.9720973,9.1587,1.0727721,0.63287175,1.1641172,0.04
147,-23.903055,1.9328338,5.6007113,2.4135633,0.62535113,1.0117463,0.04
148,-23.87164,1.9260385,6.589339,1.6488115,0.6101929,1.0992147,0.04
149,-23.818974,1.8789839,5.4243965,1.5121957,0.62684745,0.8825329,0.04
150,-23.874973,1.8723904,6.88822,1.1692865,0.6270647,1.0584917,0.04
151,-23.8402,1.8664045,9.544523,1.674401,0.62897515,0.92922986,0.04
152,-23.85575,1.8235528,6.789152,1.5812082,0.6246108,0.91952527,0.04
153,-23.888977,1.809036,7.0960097,0.8334947,0.6114943,0.8829633,0.04
154,-23.8512,1.7752717,7.4946804,0.8034538,0.61204803,0.8769627,0.04
155,-23.889326,1.759889,7.235807,1.4166907,0.61529845,0.79597,0.04
156,-23.93558,1.7854455,5.119713,1.1774175,0.60621893,0.8666995,0.04
157,-23.973372,1.7555313,6.783952,1.027258,0.6064883,0.87988585,0.04
158,-23.959778,1.7215195,4.742011,0.98064923,0.61543405,0.7489192,0.04
159,-23.966915,1.6722729,4.6367145,0.79961413,0.5989798,0.7140697,0.04
160,-24.003414,1.6455675,6.2275324,0.80264944,0.5810081,0.71593803,0.04
161,-24.038551,1.6485312,5.8406534,0.49739736,0.6061149,0.6587023,0.04
