epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,9.369663,0.8405875,0.4783049,1.7609047,0.04
1,17.202463,2.2352953,10.777367,1.1092857,0.48251715,2.0294924,0.049999997
2,16.967323,2.5165572,12.173852,1.6440179,0.50961345,2.6272044,0.062499996
3,16.070509,3.0610175,13.719209,3.3552103,0.5325365,3.6489246,0.07812499
4,13.546461,4.0564885,14.115213,7.3819366,0.75052536,5.1088915,0.09765624
5,6.2972293,4.750621,20.49648,9.550587,1.0168236,4.880102,0.122070305
6,-0.8882161,4.101959,19.824932,4.546917,1.0446997,2.1476874,0.15258788
7,-2.1963878,4.1013465,22.561075,3.01355,1.0393559,1.6517053,0.19073485
8,-2.4890845,4.0988283,22.66867,2.8970745,1.0782814,1.5770653,0.2
9,-2.9218361,4.2362785,25.275427,2.6201296,1.0711409,1.6730169,0.2
10,-3.320168,4.140604,24.448175,2.9311051,1.0744033,1.6469655,0.2
11,-3.7785833,4.1182456,27.374605,2.694633,1.03048,1.6641002,0.2
12,-4.4152155,4.2014375,29.312311,2.3911536,1.0745872,1.6731085,0.2
13,-4.932975,4.2209826,37.19875,3.852401,1.0804495,1.6749519,0.2
14,-5.4572177,4.248844,40.858597,3.2320967,1.0721302,1.8316494,0.2
15,-5.9610877,4.3969975,54.418854,2.8378756,1.0984156,1.7562724,0.2
16,-6.353606,4.4467516,59.225395,3.0651944,1.1367693,1.9313072,0.2
17,-7.0398054,4.5274134,72.18643,3.4242268,1.1360761,1.8562144,0.2
18,-7.476636,4.685943,93.27826,3.0370533,1.1713656,1.9626428,0.2
19,-8.074142,4.8200035,120.28248,4.04086,1.1857522,2.029396,0.2
20,-8.7814865,4.991887,144.94516,3.4865,1.2287502,2.2397852,0.2
21,-9.282904,4.960038,152.77806,3.9602723,1.2540855,2.1973224,0.2
22,-9.902273,5.1195054,169.51741,2.552061,1.2511111,2.4161487,0.2
23,-10.582264,5.220878,175.87842,3.0041215,1.3704164,2.288141,0.2
24,-11.10334,5.294997,170.58388,3.1991308,1.4261682,2.2831728,0.2
25,-11.548733,5.3829403,162.95067,4.6515665,1.4642955,2.4117994,0.2
26,-12.135445,5.5829945,141.41074,4.1178703,1.6312935,2.5364203,0.2
27,-12.598363,5.844145,142.26834,3.7874653,1.818883,2.452245,0.2
28,-12.887719,5.9188437,94.96807,5.993219,1.8524541,2.6392696,0.2
29,-13.158244,6.179021,45.546158,6.622991,2.1105092,2.6566508,0.2
30,-14.000978,6.4103675,23.378395,6.2133675,2.2123597,3.204455,0.2
31,-14.380228,6.9795275,18.890535,6.2837243,2.411839,3.76468,0.17228599
32,-15.20309,7.370918,15.675435,10.523516,2.5732794,3.801974,0.13104673
33,-16.39279,7.6965594,17.428629,8.733765,2.7271268,4.2269163,0.1638084
34,-16.785297,7.722227,14.752625,11.1810465,2.5657957,5.463813,0.1343946
35,-18.104887,7.5139318,15.491158,11.967676,2.3625042,6.2482176,0.10010787
36,-19.362585,7.425244,18.436756,10.823099,2.4761472,5.483842,0.08382879
37,-19.995907,6.9273853,16.2733,7.2546363,2.4467108,4.107455,0.10478599
38,-20.379007,6.551625,17.885403,4.56395,2.2887318,4.3134227,0.13098249
39,-20.045418,7.0462165,21.530901,10.251909,2.4250007,5.307646,0.088907056
40,-20.614775,6.6087365,13.2960615,5.7439594,2.1990726,5.145457,0.06692434
41,-21.273771,6.319265,17.77486,8.144982,2.158569,4.203117,0.063059784
42,-21.622183,5.9707904,18.083145,6.1338964,2.0518725,3.924658,0.06117967
43,-21.536709,5.7910576,18.435806,5.24903,2.070826,3.1679833,0.07647459
44,-22.069695,5.2363415,15.082025,5.5645976,1.7554953,3.3215795,0.095593244
45,-21.887136,5.7348046,16.921013,8.347156,1.8886807,4.327227,0.06075524
46,-22.301918,5.151005,14.074118,6.5999937,1.7355508,3.2694933,0.053258277
47,-22.475384,4.8387985,13.302418,4.967347,1.6078109,3.210032,0.066572845
48,-22.548033,4.958346,13.166217,5.663725,1.7066864,3.2093685,0.083216056
49,-22.665503,4.875385,14.007505,4.4637733,1.6210502,3.639301,0.068380855
50,-22.934496,3.9226205,10.867468,3.9401553,1.3039869,2.824766,0.057193816
51,-22.90195,4.486264,13.964794,3.9172592,1.592196,2.4244213,0.07149227
52,-23.06821,4.213582,12.342335,2.9192667,1.4835931,2.6303227,0.08936533
53,-22.94762,4.5530915,11.393371,7.6947765,1.5743091,2.989877,0.06554714
54,-23.106123,4.04134,11.875326,7.950845,1.3788,2.9143684,0.05261443
55,-23.155891,3.754168,12.340819,3.2784975,1.3264513,2.3004253,0.05027607
56,-23.366945,3.6678345,11.970465,3.4504445,1.3111781,1.9997251,0.06284509
57,-23.515993,3.3113105,9.319587,2.710093,1.1985286,1.983709,0.07855636
58,-23.334915,3.6482794,11.413063,5.622874,1.2883109,2.380004,0.068199016
59,-23.579239,3.1444492,8.099746,3.8890245,1.1141946,2.1241562,0.06389047
60,-23.705055,3.000417,9.145883,5.672965,1.0376819,1.9139194,0.05425387
61,-23.75529,2.8127005,10.6543455,3.0736022,1.0378395,1.6391215,0.06781734
62,-23.70932,2.619203,8.03187,3.393401,0.9383233,1.6296068,0.063239805
63,-23.689987,2.5588915,9.557933,4.05068,0.9288038,1.2919037,0.053191174
64,-23.791477,2.4275968,9.412912,2.8943243,0.8835872,1.5823853,0.050676875
65,-23.823183,2.3633807,8.207218,1.9696963,0.877896,1.3296041,0.04941128
66,-23.933008,2.0472958,7.476106,1.1602787,0.8001788,0.7487613,0.0617641
67,-23.975668,2.003013,7.7806516,2.165279,0.78446287,0.72760487,0.07720512
68,-23.951393,1.9689192,7.925762,1.0816733,0.75539404,0.83439356,0.0965064
69,-23.99352,2.2544746,16.89696,2.6981633,0.73947877,1.070296,0.0831521
70,-23.992039,1.9687777,7.7832856,3.1925802,0.7320248,1.2840374,0.06523508
71,-24.027067,1.9530891,11.021767,4.0651464,0.7224753,1.1165136,0.040569622
72,-23.987326,1.709053,9.807407,1.9613912,0.6745234,0.4805003,0.050712027
73,-24.073133,1.7302153,9.549386,0.34664378,0.6963411,0.36442018,0.06339003
74,-24.089758,1.7086555,9.509387,0.37082273,0.69270223,0.31765115,0.079237536
75,-24.097677,1.6942974,8.822342,0.5274124,0.6850397,0.39322472,0.099046916
76,-24.044971,1.7453775,7.9818377,1.8758053,0.6776934,0.8413431,0.123808645
77,-23.96941,1.9391254,8.107418,2.2210639,0.68396574,1.5839949,0.06999696
78,-24.075129,1.8459208,9.958225,2.364763,0.6408533,1.5837594,0.04507462
79,-24.105976,1.622741,8.734893,1.3590796,0.65495265,0.6175813,0.0379145
80,-24.078913,1.5924543,12.489203,0.68625706,0.6467129,0.3141155,0.047393125
81,-24.07714,1.5970562,11.782054,0.41688502,0.65671504,0.2522488,0.059241407
82,-24.132868,1.5733778,10.424606,0.8221746,0.63736826,0.22143982,0.07405176
83,-24.095375,1.5880653,11.329684,0.4425201,0.6580929,0.23700823,0.0925647
84,-24.161652,1.549901,9.143201,0.80659753,0.6405307,0.35759526,0.11570588
85,-24.082542,1.5834103,9.787909,2.517611,0.6172171,0.74233025,0.11456576
86,-24.020657,1.8734454,9.368661,4.5297184,0.6294171,1.6658362,0.047450196
87,-24.117846,1.599442,10.336134,1.9711367,0.6269518,0.5885815,0.04037979
88,-24.150661,1.5273974,8.94338,0.95047945,0.6266461,0.33550897,0.050474737
89,-24.143757,1.4933335,11.946549,0.67470855,0.6051013,0.21019273,0.063093424
90,-24.187325,1.4798592,12.095517,0.67718136,0.60695493,0.18956433,0.07886678
91,-24.126925,1.4758538,10.421135,0.40580603,0.6025857,0.26225108,0.098583475
92,-24.141834,1.4157001,11.032538,0.74114054,0.5874621,0.43773785,0.12322934
93,-24.165375,1.5277064,11.494555,1.4205029,0.5789975,0.97469646,0.086760335
94,-24.146292,1.616918,11.003766,2.2793145,0.5788474,1.3696786,0.0526981
95,-24.179556,1.527064,10.969024,1.3230302,0.59139645,0.8095334,0.039449356
96,-24.158445,1.4601696,12.265921,0.5608785,0.5954291,0.21900125,0.049311697
97,-24.124697,1.3975478,12.084724,0.56042504,0.55923456,0.19446,0.06163962
98,-24.161266,1.3832855,11.317139,0.3072376,0.56628036,0.1831188,0.07704952
99,-24.162563,1.376031,12.010483,0.34623814,0.55489314,0.18418442,0.096311904
100,-24.174301,1.4125607,10.280745,0.95785713,0.5729513,0.3157479,0.12038988
101,-24.200588,1.3841923,11.120791,1.5633743,0.54358464,0.71863115,0.15048735
102,-23.959356,2.119218,12.763772,7.4064546,0.5610376,2.4408383,0.043074932
103,-24.170961,1.4269451,11.805546,1.4754131,0.5643423,0.6491491,0.038015895
104,-24.183895,1.3116393,12.674105,0.73826325,0.51954603,0.3920602,0.04751987
105,-24.221853,1.3291395,11.55689,0.52336955,0.5364629,0.25819835,0.059399836
106,-24.181444,1.3416624,13.065241,0.51969355,0.547401,0.19153307,0.0742498
107,-24.15218,1.289363,14.494944,0.40711197,0.5209292,0.20165697,0.09281225
108,-24.154778,1.3319113,13.7691145,0.75879973,0.53385913,0.28803486,0.11601531
109,-24.114407,1.3688926,14.103454,2.0014176,0.5178101,0.63109684,0.099832304
110,-24.111225,1.6444886,13.667376,4.6344275,0.5120106,1.4300113,0.04074797
111,-24.209564,1.2925825,12.834845,1.0667357,0.5219258,0.3928335,0.036063146
