epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420076,2.0744917,9.369672,0.8405845,0.47829026,1.760956,0.04
1,17.226,2.1666203,10.690028,0.9404612,0.4736013,1.8821719,0.049999997
2,17.156626,2.2715127,11.014885,1.1744113,0.5015804,2.096899,0.062499996
3,17.047739,2.4056196,9.900373,1.6163634,0.50388587,2.5652113,0.07812499
4,16.620375,2.7304835,11.705124,2.465541,0.5068612,3.188048,0.09765624
5,15.780332,3.2095819,14.482827,3.7335937,0.55911565,3.93097,0.122070305
6,13.652735,4.072955,17.481192,6.819531,0.7313849,5.1560206,0.15258788
7,8.604663,4.897191,19.590212,10.138653,1.0650468,5.313004,0.19073485
8,1.8003539,4.6552496,19.186499,7.684616,1.2015646,3.3215659,0.2
9,-0.93857336,4.183629,17.998178,4.671094,1.1160424,2.320507,0.2
10,-2.0428362,4.1733727,19.51811,4.015566,1.0508243,2.0594463,0.2
11,-2.674433,4.12001,20.750555,3.676078,1.0405569,1.9225564,0.2
12,-3.4847753,4.1634626,22.307512,3.8011794,1.0519017,1.8942752,0.2
13,-4.036971,4.1336637,20.116564,3.0727432,1.0457536,2.0583687,0.2
14,-4.791879,4.236841,21.91065,3.4726624,1.0859625,2.1827137,0.2
15,-5.5288506,4.224579,21.693232,3.266814,1.0930924,2.136505,0.2
16,-6.008176,4.3375626,22.412136,3.115849,1.1501513,2.1233246,0.2
17,-6.7935634,4.466534,25.65265,3.7353315,1.2117321,2.139974,0.2
18,-7.512652,4.6002192,25.337116,3.7932298,1.267789,2.1570606,0.2
19,-8.000811,4.7272496,24.786867,4.1555095,1.3521048,2.1539965,0.2
20,-8.801215,4.6534214,22.274923,4.0138993,1.3848972,2.3007238,0.2
21,-9.643529,4.938532,29.170637,4.640498,1.4414372,2.4286003,0.2
22,-10.067046,5.190671,28.517502,4.3597016,1.5549742,2.4490788,0.2
23,-10.608923,5.292097,27.414341,5.074597,1.6681571,2.2203872,0.2
24,-11.273718,5.5321336,28.290985,5.1946316,1.7256078,2.4724371,0.2
25,-11.908855,5.754797,29.029446,5.4106913,1.8470523,2.5393848,0.2
26,-12.575705,5.836639,31.977955,6.3670917,1.8690892,2.4299972,0.2
27,-13.261605,6.086737,29.755404,7.245461,1.9716983,2.7958617,0.2
28,-13.8569,6.285577,32.88748,7.24896,2.1239467,2.6742964,0.2
29,-14.41823,6.4884887,29.694256,5.566623,2.2158287,2.7992244,0.2
30,-14.998947,6.52475,24.542126,5.3974075,2.254393,2.737301,0.2
31,-15.309987,6.7551775,24.02774,6.1960025,2.3755746,2.7175977,0.2
32,-15.731215,6.741445,22.956524,5.326519,2.3978043,2.7613006,0.2
33,-15.963622,7.172621,25.171993,5.403955,2.5850868,2.6687205,0.2
34,-16.066137,7.2262926,25.710157,5.9184666,2.554215,2.762247,0.2
35,-16.626486,7.385183,24.966436,8.190144,2.6385467,2.9002094,0.2
36,-17.232063,7.3764114,25.16573,7.7064357,2.624064,3.181256,0.2
37,-17.779375,7.5537233,24.549599,9.050314,2.651537,3.1476932,0.2
38,-18.54051,7.2551174,22.565289,8.540771,2.5304482,3.5823705,0.2
39,-19.487673,6.84026,19.560684,8.798566,2.2838788,3.869103,0.2
40,-21.142633,5.835348,16.24475,12.431069,1.9350297,3.7983022,0.2
41,-22.46961,4.263813,13.399025,12.474559,1.0221198,4.435054,0.16965316
42,-22.797617,4.0001674,11.8066435,9.670548,0.8833444,4.2791257,0.14540558
43,-20.780521,6.857259,13.850167,16.325706,1.8671682,6.5550723,0.07081384
44,-23.030714,3.4163423,12.700411,6.443057,0.74976,4.2594028,0.059275154
45,-23.406567,2.4454799,11.450794,3.9622777,0.7265169,1.8524082,0.056123417
46,-23.52974,2.306208,10.4438505,2.948653,0.7157688,1.2928762,0.07015427
47,-23.63246,2.2216842,10.272446,2.5985234,0.6960642,1.33283,0.08769284
48,-23.562689,2.1988745,11.734006,2.8470292,0.69450825,1.3131765,0.062202867
49,-23.589994,2.172449,9.876623,3.169427,0.6866121,1.216073,0.04627369
50,-23.660137,1.9883515,11.194771,1.5339932,0.67472947,0.7605571,0.057842113
51,-23.626513,1.9866314,10.62781,1.2148072,0.6800745,0.65689015,0.07230264
52,-23.65187,1.9713166,9.031924,1.24851,0.67333764,0.9259115,0.0903783
53,-23.689352,1.9659984,10.147182,2.326844,0.6599691,0.94634193,0.08775574
