epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.42009,2.0744882,18.925554,0.4472431,3.5403569,1.6054024,0.04
1,17.322094,2.1560678,19.419426,0.49503475,3.7475114,1.636078,0.049999997
1,17.322094,2.1560678,19.419426,0.49503475,3.7475114,1.636078,0.049999997
2,17.218351,2.372729,22.20089,0.5343222,3.9959347,1.7748498,0.062499996
3,17.021797,2.596457,26.13347,0.6456531,4.0664167,1.8891689,0.07812499
4,16.77511,2.8225095,29.42083,0.7891683,4.448584,2.114401,0.09765624
5,16.348125,3.3062124,36.228374,1.1723633,4.825992,2.6495783,0.122070305
6,15.521739,3.8466384,38.991173,1.6214212,5.588757,3.1884768,0.15258788
7,14.2551565,4.6503186,45.905693,2.501981,6.4992127,4.1552076,0.19073485
8,10.648771,5.55327,51.73029,4.802657,7.3289843,4.395492,0.2
9,5.52791,5.736732,47.335102,6.283576,8.34501,4.5304093,0.2
10,1.6398178,5.3802266,41.27269,6.479629,9.029412,4.0055223,0.2
11,-0.11431327,4.939177,30.65618,5.785629,9.168642,3.9777212,0.2
12,-1.1110076,4.941172,30.077436,5.963015,9.205299,3.7718077,0.2
13,-1.8317406,4.9842143,30.625242,6.715129,9.206527,3.6269574,0.2
14,-2.3818047,4.7134843,32.683422,5.6421814,9.267734,3.9381726,0.04309802
15,-2.5987344,4.9117637,29.83005,5.675451,9.71706,4.0114307,0.053872526
16,-2.768316,4.770275,32.298813,6.204196,9.127561,3.8550308,0.06734066
17,-2.9221098,4.813919,35.20271,6.2495055,8.866843,3.6231258,0.084175825
18,-3.1180103,4.7923765,32.911453,6.581758,8.896496,3.6619434,0.10521978
19,-3.286992,4.938295,33.999935,7.1584244,9.478132,3.8877578,0.13152473
20,-3.5950027,4.9776683,34.71432,7.4492064,9.530739,3.9282618,0.16440591
21,-3.5738292,4.8759937,33.96097,6.9655967,8.9901285,3.8013608,0.2
22,-3.970474,4.78579,29.384954,7.1759725,9.098445,3.8881333,0.2
23,-4.3183994,4.9772444,30.07674,7.889713,9.510095,4.116554,0.064032815
24,-4.4039645,4.863165,27.380505,7.387889,9.367609,4.1439867,0.0075902953
25,-4.4520626,4.8945436,30.67082,8.206821,9.141529,3.6789799,0.00038338534
26,-4.2823563,4.8413553,27.98972,7.851142,9.064459,3.9370272,7.331156e-05
27,-4.4021444,5.072797,30.971819,8.595777,9.845556,4.3813925,3.937109e-06
28,-4.3647933,4.9851527,31.740753,8.207072,9.264956,4.0938306,3.32186e-07
29,-4.419593,5.009279,31.55841,7.90502,9.545342,4.009136,8.3175316e-09
30,-4.262011,4.8713584,28.796028,7.659771,9.506897,3.999576,2.2482907e-09
31,-4.4165306,4.9079347,31.471394,8.04727,9.351165,3.9544053,1.07613876e-10
32,-4.246154,5.000457,30.32693,8.197692,9.8123455,4.2153926,1.9674871e-11
33,-4.4124517,4.9270864,29.516357,7.7648573,9.3286085,4.0143375,1.3932745e-12
34,-4.3215466,4.9406433,28.702503,7.83067,9.871102,4.064388,3.344241e-13
35,-4.5084367,5.067521,30.365828,9.005996,9.43754,4.2043314,1.436323e-14
36,-4.4219413,4.9979706,31.413607,8.182939,9.390163,3.9836183,1.8655606e-15
37,-4.375238,5.0448117,33.924976,8.360435,9.38489,4.150687,2.646698e-16
38,-4.314931,4.879744,28.16692,7.862193,9.310221,4.10468,2.8150233e-17
39,-4.398732,4.993281,30.333508,8.525351,9.534099,4.052636,1.4356774e-18
40,-4.364915,4.965406,31.637325,7.78186,9.861271,4.1907406,1.7847324e-19
41,-4.44304,4.8996415,30.929705,8.094513,9.4379015,3.9957244,5.7721293e-21
