epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.064166,0.4246464,8.592831,4.47148,0.01
1,17.35295,2.1442602,5.0107665,0.48007256,8.596416,4.6752696,0.01
2,17.309023,2.2620587,5.432221,0.47116473,9.26989,4.6303873,0.01
3,17.131695,2.3839092,6.0014625,0.5236398,9.248592,4.755519,0.01
4,17.00534,2.649329,8.107481,0.55077004,9.512312,4.916509,0.01
5,17.017254,2.7120845,7.6990833,0.5951024,9.753395,5.1644278,0.01
6,16.917795,2.8072095,8.157901,0.5630404,10.264458,5.0888987,0.01
7,16.779095,2.9466376,9.036524,0.6187864,10.332036,5.1430316,0.01
8,16.65516,3.1197147,10.33003,0.67301893,11.206509,5.622178,0.01
9,16.365726,3.4263077,13.2673855,0.7323503,11.080667,5.5088434,0.01
10,16.207026,3.5606105,13.258135,0.74596906,11.736643,5.9417863,0.01
11,16.046217,3.7087817,14.535378,0.8172382,12.321919,6.013066,0.01
12,16.067558,3.9858387,14.578028,0.8869794,12.967368,6.3084307,0.01
13,15.664781,4.203738,17.81758,0.92195463,13.364373,6.6647615,0.01
14,15.4332,4.353297,17.65632,1.025944,13.8708105,6.5034966,0.01
15,15.227958,4.686769,21.90649,1.1173662,14.05911,6.6050615,0.01
16,14.637671,5.096551,26.889585,1.2456031,14.9324465,7.097689,0.01
17,14.382732,5.2213664,26.973131,1.2634592,15.526424,6.970637,0.01
18,14.052352,5.5034356,31.56181,1.4447904,16.96019,7.4804354,0.01
19,13.616625,5.8300014,33.44775,1.5376499,17.192348,7.7274113,0.01
20,13.091129,6.1044135,37.219376,1.7096789,17.83182,7.9181485,0.01
21,12.714907,6.3727694,38.769764,1.9176376,19.059895,7.9250402,0.01
22,12.147365,6.57331,41.347458,1.9855447,18.935999,8.090174,0.01
23,11.6721735,6.6561065,43.115005,2.0822268,19.884565,8.3326645,0.01
24,11.271242,6.8446736,42.832565,2.197797,21.07148,8.613868,0.01
25,10.71148,6.912179,43.8819,2.2708106,21.473282,8.573884,0.01
26,9.971506,7.3724127,49.75141,2.587316,22.670095,8.674922,0.01
27,9.526691,7.4391165,52.428402,2.8086739,22.888723,8.764194,0.01
28,8.8939905,7.39556,54.844772,2.8125393,22.980938,8.802052,0.01
29,8.873299,7.343275,50.057316,2.8526227,23.358324,8.5406475,0.01
30,8.474807,7.1714296,47.57167,2.7714732,23.355108,8.840576,0.01
31,7.9689083,7.419824,48.63543,2.8370411,24.968786,9.430997,0.01
32,7.5111566,7.7876463,49.757404,3.0140512,28.123676,9.8698635,0.01
0,7.5111566,7.7876463,49.757404,3.0140512,28.123676,9.8698635,0.01
1,7.1528983,7.6254554,45.31633,2.930249,28.909855,10.816576,0.01
2,6.5489817,7.559578,45.0791,2.8845546,27.291428,10.186802,0.01
3,5.8684325,7.8351994,47.149467,3.0767736,30.28217,9.962375,0.01
4,5.3713365,7.271219,45.151424,2.9473631,27.42223,9.025387,0.01
5,5.2113194,7.5884867,45.443245,3.1095119,28.715433,9.709983,0.01
6,4.7685122,7.207477,40.712204,2.8442652,28.036781,9.516986,0.01
7,4.2298193,7.268702,39.745045,3.0347865,31.457253,10.536407,0.01
8,3.7984884,7.1068034,40.17083,3.0396519,28.878588,9.506697,0.01
9,3.5389562,7.2624917,36.26779,2.6739652,32.572845,10.2349,0.01
10,2.8919463,6.8046536,37.41211,2.9193563,28.81404,8.887233,0.01
11,2.883947,7.135943,36.586716,2.860282,31.1753,9.963726,0.01
12,2.3344245,6.7640824,33.42846,2.481094,30.147127,9.703077,0.01
13,2.201147,6.863356,32.98895,2.62103,32.80075,10.164734,0.01
14,1.8166826,6.8596787,32.104183,2.8746364,33.24941,9.804858,0.01
15,1.5883362,6.3166566,28.636442,2.4864063,27.790247,8.495932,0.01
16,1.0514067,6.2808924,30.661427,2.662408,29.080242,8.0614195,0.01
17,1.0344964,6.1208334,28.568693,2.732297,28.23587,8.0380125,0.01
18,0.59990805,6.048315,29.073107,2.591981,27.428062,7.869964,0.01
19,0.34904656,6.454833,28.766977,2.6197217,30.561684,8.641827,0.01
20,0.025139434,5.5610003,23.17526,2.1836522,27.613625,8.272291,0.01
0,0.025139434,5.5610003,23.17526,2.1836522,27.613625,8.272291,0.01
1,-0.06617715,6.9507003,26.489658,2.7323036,37.204704,10.083513,0.01
2,-0.2421609,6.2120714,24.858868,2.379549,30.892244,7.6793876,0.01
3,-0.1254191,6.3515625,23.743267,2.3633409,32.619095,8.989703,0.01
4,-0.97591025,5.162947,21.698399,2.0392597,26.56513,6.5499086,0.01
5,-0.8387386,5.8802786,20.979486,2.1597278,31.682636,7.496983,0.01
6,-1.1034753,5.338461,21.806738,2.1867929,27.231369,6.241096,0.01
7,-1.4185581,5.330278,18.8944,2.0707438,27.93899,6.6746917,0.01
8,-1.7472969,4.722067,20.366121,2.0711377,22.348644,5.2001805,0.01
9,-1.5436233,5.9274197,19.939365,2.0816817,32.3433,7.474889,0.01
10,-1.7985644,5.094239,19.207825,2.011994,25.72371,5.8427873,0.01
11,-1.7634435,6.1300964,19.871038,2.3095424,33.646675,7.3677588,0.01
12,-2.1102078,5.126608,19.489794,2.1262364,27.242136,5.8724365,0.01
13,-2.1807573,7.584822,16.546091,2.0021756,53.82306,11.466945,0.01
14,-2.4713087,5.209122,17.364738,1.91099,28.5323,6.0109997,0.01
15,-2.4784124,6.3236666,18.297472,2.1793249,35.594643,6.2320094,0.01
16,-2.7919307,4.317842,16.697626,1.754294,20.83626,4.299044,0.01
17,-2.794772,5.1954722,17.628988,1.9106224,27.122637,5.250591,0.01
18,-2.84774,4.950771,17.082035,1.8591039,25.78941,6.292743,0.01
19,-3.0125518,5.2164664,16.820345,1.8655341,27.080744,5.0445757,0.01
20,-3.1075866,5.016675,15.175161,1.6885481,28.346716,5.02764,0.01
21,-3.1886504,4.8428135,15.713229,1.768816,26.541878,4.694739,0.01
22,-3.3769283,4.3722486,16.113333,1.8642744,22.696312,4.729937,0.01
23,-3.66312,4.100285,16.40505,1.7823504,20.195763,3.723934,0.01
24,-3.5915086,4.2300444,14.5657215,1.5604008,22.069658,4.509948,0.01
25,-3.6935682,4.3854027,15.048532,1.6383461,23.061453,3.789505,0.01
26,-3.6090508,4.438657,14.360258,1.5073483,24.162224,4.32049,0.01
27,-3.8830101,4.4585524,14.389113,1.7050525,24.185585,4.0949693,0.01
28,-3.6888292,7.8478513,13.65011,2.011768,49.521496,6.316267,0.01
29,-4.0059485,3.974267,13.507214,1.5637581,21.23749,3.528111,0.01
30,-4.029535,4.879899,13.681499,1.7071561,27.886599,4.1378117,0.01
31,-4.1807537,7.5231147,14.748962,2.2327046,45.327744,5.487357,0.01
32,-4.321873,3.5482337,12.276708,1.493271,18.486433,3.334295,0.01
33,-4.334733,3.8947754,13.9733925,1.6309781,19.574638,3.342656,0.01
34,-4.259966,5.0135174,13.560536,1.7524256,27.983965,4.033733,0.01
35,-4.458464,4.1324244,12.215082,1.5162057,24.329628,3.3947349,0.01
36,-4.6167245,3.8320916,11.53025,1.4692881,19.733871,3.2127504,0.01
37,-4.6779256,4.229225,12.596127,1.4086798,23.61457,3.3320253,0.01
38,-4.784221,3.862321,11.940783,1.4707638,19.64589,2.7621245,0.01
39,-4.8016095,3.861541,12.247671,1.5178994,20.83306,3.0233893,0.01
40,-4.921304,3.4784126,11.647236,1.2736894,17.124464,2.8130417,0.01
41,-4.951908,3.9854658,10.958027,1.3696415,20.878756,2.8108785,0.01
42,-5.034072,3.7678196,11.328861,1.2964096,20.299242,2.9975243,0.01
43,-4.9778967,4.0931163,12.792822,1.549976,21.979866,3.1654568,0.01
44,-4.977877,4.3717585,11.342683,1.4478043,22.93678,3.0227773,0.01
45,-5.219088,3.0728495,10.137231,1.176497,15.492948,2.8047442,0.01
46,-5.224173,4.4944983,10.370989,1.3824024,24.750078,2.8624537,0.01
47,-5.2195683,4.3355756,10.635106,1.2321326,24.837704,3.2640238,0.01
48,-5.1808004,4.7686396,11.298856,1.6514827,26.949858,3.3168728,0.01
49,-5.456039,3.29334,10.738895,1.2137781,16.497742,2.6805468,0.01
50,-5.441501,4.076783,10.0912285,1.223207,21.800009,2.6743906,0.01
51,-5.476761,5.683154,11.099236,1.5861136,30.396463,3.0703313,0.01
52,-5.636018,2.9020727,9.83575,1.3288478,13.559748,4.9852996,0.01
53,-5.684257,2.482826,9.435108,1.0412984,10.110471,2.1583493,0.01
54,-5.7024612,3.2275794,10.700436,1.1992592,15.085899,2.3520498,0.01
55,-5.714772,3.79207,9.957954,1.3851889,20.620867,4.5383224,0.01
56,-5.7833943,3.4300005,9.896151,1.3734704,19.790428,4.153404,0.01
57,-5.718839,4.454389,9.489648,1.432614,23.391434,2.8307528,0.01
58,-5.731332,4.066622,9.776871,1.234979,23.326002,2.9875908,0.01
59,-5.909682,3.1725578,9.65187,1.1764121,13.935691,3.0528047,0.01
60,-5.726613,5.706643,9.497829,1.4966431,31.590696,3.1492007,0.01
61,-5.9717097,2.7533019,9.239192,1.0745305,11.443904,3.6270523,0.01
62,-6.049771,2.290673,8.694634,0.9521428,8.548786,2.5621748,0.01
63,-5.932223,4.6258373,9.373837,1.6261654,23.959175,3.0342731,0.01
64,-5.9774933,4.8118086,9.381978,1.5110204,29.52356,3.1309924,0.01
65,-5.9615993,5.242803,9.090472,1.3283583,24.070717,2.078097,0.01
66,-6.08267,4.682503,9.585867,1.4508578,26.667852,2.7564237,0.01
67,-6.217559,2.1385345,9.087519,1.082839,8.186776,1.3848716,0.01
68,-6.131013,4.602928,9.372732,1.3208909,23.689318,3.0274847,0.01
69,-6.1812315,2.743803,9.854767,1.033836,11.624527,2.2993743,0.01
70,-6.2296557,2.9147856,9.90202,1.1006234,13.9235525,2.6357062,0.01
71,-6.2249503,2.7190995,10.003796,1.1041163,12.200434,2.000109,0.01
72,-6.204082,4.5303664,11.263015,1.4230814,21.040913,2.9545445,0.01
73,-6.3124504,3.168535,10.322267,1.1597157,15.823471,2.6843317,0.01
74,-6.257766,7.8703938,10.509244,1.8431798,34.026596,3.899093,0.01
75,-6.3297873,3.042146,9.713692,1.0933684,12.762414,1.8397998,0.01
76,-6.3380275,2.7115872,9.87804,1.1776431,11.525554,2.2197046,0.01
77,-6.3281326,2.741387,9.638553,1.0612209,11.764785,1.849328,0.01
78,-6.320585,8.795148,9.238106,2.7857203,43.618904,4.1122108,0.01
79,-6.399856,2.3351898,9.271135,1.0671562,10.151461,1.4566078,0.01
80,-6.3272495,2.3654218,8.986192,0.9960486,11.201309,2.0778756,0.01
81,-6.3818197,2.7197874,8.603854,1.0762795,12.954156,1.8744484,0.01
82,-6.353961,3.0610864,9.301117,1.1377226,13.0384,1.7413267,0.01
83,-6.3469152,2.3936002,8.698705,0.9584569,10.801264,1.9528044,0.01
84,-6.457023,1.6148185,9.958008,1.026956,5.1986504,1.7175816,0.01
85,-6.4011006,4.794534,9.519004,1.2499448,22.962202,2.1742501,0.01
86,-6.455013,2.3031986,9.427123,1.0532093,10.397539,1.4966676,0.01
87,-6.4567785,1.6791306,9.34807,0.93103206,5.8538446,1.2105271,0.01
88,-6.441931,2.4857976,9.39585,0.9671776,11.985817,1.8189192,0.01
0,-6.441931,2.4857976,9.39585,0.9671776,11.985817,1.8189192,0.01
1,-6.3911123,4.12388,8.148886,1.106951,19.856688,3.3341038,0.01
2,-6.077501,10.422623,11.473046,2.412081,48.92582,5.7997603,0.01
0,-6.077501,10.422623,11.473046,2.412081,48.92582,5.7997603,0.005
1,-6.4434953,3.0849793,9.920484,1.1444511,15.083974,2.2572894,0.005
2,-6.3551145,4.2805924,9.481254,1.3353828,21.093153,2.6119568,0.005
3,-6.4808736,1.6921107,9.666147,1.01883,6.890836,1.4429479,0.005
4,-6.458923,1.2338018,9.050695,0.9033797,2.8307364,1.2731582,0.005
5,-6.3866944,2.111028,8.197049,0.85902095,8.4446335,3.9607959,0.005
0,-6.3867407,2.1110013,8.197351,0.85925525,8.44392,3.972379,0.005
1,-6.3543983,4.536382,8.460845,1.1948601,22.580511,10.68225,0.005
2,-6.49361,1.2515837,9.148416,0.85656124,2.5785835,2.0815656,0.005
3,-6.3785467,4.274897,8.463358,1.1128173,15.900259,2.280766,0.005
4,-6.476669,1.5719312,9.594993,0.9923316,6.3212657,1.4831566,0.005
5,-6.3354573,5.123188,9.582896,1.2982956,21.994644,2.8667965,0.005
6,-6.018171,25.641068,15.564085,6.2004266,77.37637,8.325949,0.005
7,-6.4341707,1.9582604,9.052786,0.9332404,8.192759,1.5717505,0.005
8,-6.4815016,2.7767167,9.295748,1.0871465,10.291909,1.9530693,0.005
9,-6.459359,2.2831538,9.116849,0.93796426,7.945453,2.9146025,0.005
10,-6.5187354,1.9338977,9.403269,0.94853395,7.973292,1.7704536,0.005
11,-6.5354404,1.2726375,9.133142,0.9385782,3.3251073,1.5110645,0.005
12,-6.473272,2.4847353,8.321307,0.9912548,10.472306,1.8067197,0.005
13,-6.551145,1.1825062,9.819412,0.9671529,1.9436365,0.97748834,0.005
14,-6.474167,2.935574,9.773074,1.1019217,6.81785,8.8976145,0.005
15,-6.2653813,9.049711,9.007951,2.0246568,33.01126,2.9377422,0.005
16,-6.364952,4.602348,9.591088,1.2845504,23.447037,3.2189176,0.005
17,-6.544662,1.3714755,9.694157,0.9506336,3.7324553,1.5069441,0.005
18,-6.3752294,6.895471,8.23618,1.6921033,34.810387,4.5731115,0.005
19,-6.5335393,1.1619836,9.879351,0.93754613,2.39513,1.0024765,0.005
20,-6.473917,2.4771733,9.236683,0.996509,11.362013,2.7636669,0.005
21,-6.524204,1.3392271,9.661196,0.924451,3.8233883,2.171368,0.005
22,-6.550685,1.230744,10.248437,0.95973086,2.1311057,1.5319692,0.005
23,-6.5465117,1.2683386,10.317801,0.91049016,2.490272,1.4270444,0.005
24,-6.5702906,1.4780798,10.21442,0.9556569,4.7893887,1.127431,0.005
25,-6.594307,1.2835772,10.589011,0.93680364,3.0662298,1.1795657,0.005
26,-6.529875,2.1010659,10.387983,0.99855465,8.019814,1.76115,0.005
27,-6.5195446,2.9564583,10.762308,1.0572225,13.155581,1.8315347,0.005
28,-6.6058836,1.3398073,10.990587,1.0587705,2.8958666,0.91947156,0.005
29,-6.6134553,1.9533935,11.513368,1.1080272,8.515487,1.8872604,0.005
30,-6.6115184,1.2418815,11.189994,1.0614119,1.997407,1.2053864,0.005
31,-6.6301565,1.2859874,11.677785,1.1043509,3.0526867,1.150595,0.005
32,-6.591059,2.694998,11.262432,1.0696301,10.815329,1.7408171,0.005
33,-6.63617,1.2734798,11.781406,1.1204307,2.1142206,0.62985486,0.005
34,-6.6349845,1.2460518,11.125502,1.0376227,2.2768817,1.0501047,0.005
35,-6.588159,2.6028588,10.010993,0.9558507,11.154548,1.9114354,0.005
36,-6.597027,3.321482,11.670933,1.2770544,16.8227,2.300306,0.005
37,-6.6789575,1.3856418,11.222973,1.0698844,3.6331604,1.2412271,0.005
38,-6.662428,2.1251419,11.919377,1.2245044,9.192895,1.9497706,0.005
39,-6.654443,1.2653009,10.628061,0.981748,2.667535,1.1181595,0.005
40,-6.6438894,1.2620518,11.28769,1.0467123,2.3877609,0.79172075,0.005
41,-6.650588,2.1235936,12.416811,1.1920409,9.634366,2.1177669,0.005
42,-6.702305,1.2712076,11.99382,1.1140846,1.7820264,0.9203748,0.005
43,-6.5148935,4.4130187,10.248699,1.0960515,22.511673,3.6267705,0.005
44,-6.642617,2.4317358,11.734613,1.1183497,10.369685,2.0346177,0.005
45,-6.696342,1.5946462,11.887103,1.1423963,4.559421,1.739685,0.005
46,-6.7059383,1.6229717,11.892311,1.093026,5.1438603,0.8872568,0.005
47,-6.776075,1.2630228,12.608972,1.1868418,1.9894879,1.1556115,0.005
48,-6.668291,6.6201587,13.825041,1.8492188,26.864105,3.9246905,0.005
49,-6.6618595,3.7365596,12.803133,1.3641833,13.824,2.101784,0.005
50,-6.6779675,4.0175304,11.765572,1.2705723,17.971384,2.9203446,0.005
51,-6.8383374,1.2552814,13.375568,1.3509138,1.1388787,0.7609221,0.005
52,-6.800823,1.2665765,12.597923,1.1986754,1.7956066,0.8339156,0.005
53,-6.833046,1.2644068,13.363515,1.311578,1.0945412,1.0382752,0.005
54,-6.740887,2.6683586,12.6334095,1.2321554,13.7349615,2.0127726,0.005
