epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420074,2.074479,18.930756,0.0,3.5420072,1.605803,0.04
1,17.206059,2.2302036,20.856068,0.0,3.728038,1.6857545,0.04
2,17.024765,2.5079656,25.9314,0.0,3.9195724,1.8111994,0.04
3,16.899664,2.7903497,28.801182,0.0,4.19159,2.2710736,0.04
4,16.579233,3.1086085,31.58628,0.0,4.6957994,2.5990756,0.04
5,16.125257,3.5059946,39.730877,0.0,5.178281,3.0210655,0.04
6,15.464797,4.010597,47.85695,0.0,5.572276,3.3606455,0.04
7,14.590674,4.4688873,55.47012,0.0,5.894979,3.7565894,0.04
8,13.442008,5.0597677,67.564766,0.0,6.2792783,3.998307,0.04
9,11.960961,5.4174,70.14303,0.0,6.902011,4.2618113,0.04
10,10.085564,5.783194,87.619064,0.0,7.2836704,4.480564,0.04
11,8.006206,6.088916,101.141945,0.0,8.133081,4.472203,0.04
12,5.9460974,6.120039,102.15023,0.0,8.83607,4.897642,0.04
13,4.0461364,6.0130854,101.87282,0.0,8.88179,4.50634,0.04
14,2.5546372,5.7376018,90.27583,0.0,9.091185,4.5270243,0.04
15,1.2652427,5.610318,87.49504,0.0,9.553961,4.3237605,0.04
16,0.35956767,5.3032174,82.859146,0.0,9.318817,4.2571335,0.04
17,-0.455332,5.0295887,73.735756,0.0,9.336808,3.9561872,0.04
18,-0.93551356,4.950889,70.81049,0.0,8.968118,3.797825,0.04
19,-1.6730624,4.8358026,66.034584,0.0,9.346304,3.9978065,0.04
20,-2.041743,4.715425,67.890076,0.0,9.408733,3.910308,0.04
21,-2.3772304,4.6368833,63.55736,0.0,8.437602,3.5646641,0.04
22,-2.5697896,4.501356,57.210537,0.0,8.822411,3.7191675,0.04
23,-2.9118013,4.585479,57.758446,0.0,8.921333,3.7338378,0.04
24,-3.273584,4.4134827,56.46721,0.0,8.47719,3.3910658,0.04
25,-3.3323364,4.573391,62.450214,0.0,9.583864,3.8483746,0.04
26,-3.528248,4.4033523,52.85659,0.0,8.953243,3.7065816,0.04
27,-3.6626852,4.4394484,55.271214,0.0,8.935801,3.728499,0.04
28,-3.765567,4.388718,50.850853,0.0,9.04973,3.5820608,0.04
29,-3.9384217,4.235779,50.25853,0.0,8.432124,3.355288,0.04
30,-4.0113273,4.4463286,53.734108,0.0,9.19159,3.5948465,0.04
31,-4.1537495,4.358716,50.958683,0.0,8.939683,3.6090624,0.04
32,-4.225056,4.384591,51.585186,0.0,9.221239,3.5745292,0.04
33,-4.492714,4.3970985,48.03841,0.0,8.921398,3.713732,0.04
34,-4.6805673,4.411005,53.550037,0.0,9.149484,3.9569945,0.04
35,-4.6635113,4.4210725,50.63146,0.0,9.140281,3.7895503,0.04
36,-4.9016056,4.3283334,47.80714,0.0,9.06811,4.0239472,0.04
37,-4.9947515,4.4884515,52.050537,0.0,9.01737,3.8555634,0.04
38,-5.070337,4.3416247,51.97926,0.0,8.85779,3.8035185,0.04
39,-4.9755654,4.3572516,46.280674,0.0,9.248613,3.5528877,0.04
40,-5.207825,4.4296203,54.651737,0.0,9.018963,3.6655328,0.04
41,-5.206174,4.5001955,51.327118,0.0,9.147348,3.8285482,0.04
42,-5.348265,4.348304,50.149643,0.0,9.133979,3.687359,0.04
43,-5.3816867,4.4611096,52.399452,0.0,9.307645,4.030266,0.04
44,-5.637739,4.43986,53.485237,0.0,9.171058,4.0193243,0.04
45,-5.6766515,4.436298,49.863483,0.0,9.10342,3.9472303,0.04
46,-5.66612,4.41777,49.48694,0.0,9.008164,3.8181841,0.04
47,-5.7778864,4.363581,45.709103,0.0,9.247832,4.1417637,0.04
48,-6.068291,4.495715,41.565502,0.0,9.479987,3.934403,0.04
49,-6.130318,4.404711,44.85634,0.0,9.32552,3.946618,0.04
50,-6.1137867,4.489923,49.57795,0.0,9.557052,4.021825,0.04
51,-6.323342,4.5451026,50.780434,0.0,9.064722,3.9606383,0.04
52,-6.27687,4.630646,47.346313,0.0,9.844118,4.1608915,0.04
53,-6.2940617,4.482992,44.06254,0.0,9.383278,3.9402356,0.04
54,-6.4400177,4.5903773,43.380203,0.0,9.575723,4.0677757,0.04
55,-6.72546,4.5706997,42.463345,0.0,9.30043,4.009606,0.04
56,-6.755527,4.521644,50.115658,0.0,9.406179,3.9706144,0.04
57,-6.746124,4.5822835,44.127167,0.0,9.721396,4.1532364,0.04
58,-6.81923,4.5928125,46.01677,0.0,9.327223,3.8641102,0.04
59,-6.9212294,4.58913,41.34387,0.0,8.99283,3.9470286,0.04
60,-6.9985027,4.554921,43.392548,0.0,9.157703,3.9535933,0.04
61,-7.119382,4.622172,38.07265,0.0,9.403416,3.7730882,0.04
62,-7.375771,4.576746,39.33857,0.0,9.336579,3.6783073,0.04
63,-7.3722854,4.645587,39.388306,0.0,9.587331,4.103806,0.04
64,-7.3829503,4.7682085,44.806767,0.0,9.338552,4.139967,0.04
65,-7.560546,4.7876806,46.67663,0.0,9.562959,4.1772923,0.04
66,-7.5599737,4.730876,43.431656,0.0,9.523145,4.139975,0.04
67,-7.8729463,4.7365685,41.89356,0.0,9.482725,4.000022,0.04
68,-8.007898,4.878457,48.405735,0.0,9.800428,4.1977873,0.04
69,-8.157686,4.8888183,43.18747,0.0,9.772794,4.3099904,0.04
70,-8.27016,4.9051685,40.9027,0.0,9.903999,4.3984675,0.04
71,-8.417804,5.005426,43.20735,0.0,10.055626,4.2752056,0.04
72,-8.35824,5.0695376,47.732307,0.0,10.399739,4.6006117,0.04
73,-8.375418,5.074544,43.529976,0.0,10.212204,4.1470723,0.04
74,-8.57881,5.1565437,47.89418,0.0,9.81775,4.266724,0.04
75,-8.5006695,5.0587397,41.497494,0.0,9.870287,4.339409,0.04
76,-8.659455,5.173115,41.00714,0.0,10.34702,4.631025,0.04
77,-8.76194,5.096866,48.28767,0.0,9.823287,4.52332,0.04
78,-9.032367,5.222827,51.598755,0.0,10.350037,4.5207477,0.04
79,-9.161564,5.2231297,41.841274,0.0,9.881499,4.4536357,0.04
80,-9.2014265,5.2246656,44.589287,0.0,9.57447,4.3411713,0.04
81,-9.289912,5.3987913,45.1599,0.0,10.345448,4.9143124,0.04
82,-9.424395,5.4005737,43.802193,0.0,10.687617,4.9878936,0.04
83,-9.325477,5.5748363,48.208584,0.0,10.285005,4.747761,0.04
84,-9.496617,5.642503,51.569057,0.0,10.796173,4.702546,0.04
85,-9.681277,5.6462865,42.732937,0.0,10.80434,4.571755,0.04
86,-9.942504,5.7093983,48.76339,0.0,10.2034,4.4964232,0.04
87,-10.034836,5.7638984,47.85677,0.0,10.90062,4.7894998,0.04
88,-10.228601,5.818615,43.33717,0.0,11.175515,5.094544,0.04
89,-10.190286,5.812578,39.564365,0.0,10.778517,4.7412405,0.04
90,-10.606121,5.872703,44.35172,0.0,10.873776,4.935488,0.04
91,-10.659474,6.041581,42.781372,0.0,11.443356,5.273648,0.04
92,-10.734008,6.184136,46.35012,0.0,11.671525,5.0044613,0.04
93,-11.257112,6.2544737,43.517357,0.0,11.067054,4.904994,0.04
94,-11.316504,6.316136,46.665665,0.0,11.624263,4.9876833,0.04
95,-11.371863,6.578672,52.380352,0.0,11.759593,5.6335096,0.04
96,-11.60802,6.469146,41.98526,0.0,11.76048,5.113644,0.04
97,-12.030943,6.668318,46.790443,0.0,12.441357,5.319386,0.04
98,-12.16462,6.742985,41.695908,0.0,11.950795,5.474392,0.04
99,-12.492519,7.001503,43.87513,0.0,12.22914,5.50953,0.04
100,-12.699883,7.1241364,45.222145,0.0,12.900739,5.758532,0.04
101,-12.9183035,7.1359005,41.37537,0.0,12.7042885,5.6480384,0.04
102,-13.027098,7.2633057,47.154774,0.0,12.226307,5.2298083,0.04
103,-13.135207,7.3118253,43.032288,0.0,12.600527,5.748443,0.04
104,-13.519585,7.4073734,45.364597,0.0,13.26104,5.777447,0.04
105,-13.659336,7.592103,45.20522,0.0,13.431162,6.141164,0.04
106,-14.325998,7.6311383,42.81456,0.0,13.887218,6.6308923,0.04
107,-14.658043,7.690135,42.122368,0.0,13.729314,6.482249,0.04
108,-14.760278,7.7904205,44.881886,0.0,14.324915,6.55669,0.04
109,-14.972754,7.8560443,45.904594,0.0,14.453809,7.1485114,0.04
110,-15.317185,7.886316,44.95884,0.0,14.306134,6.5312414,0.04
111,-15.439648,8.000095,46.998753,0.0,14.573185,6.395082,0.04
112,-15.6202965,8.084664,44.613438,0.0,14.869809,6.982807,0.04
113,-16.087076,7.834884,43.74503,0.0,14.006153,6.5697665,0.04
114,-16.17935,7.798536,46.236687,0.0,14.846584,7.099636,0.04
115,-16.519096,7.6089664,42.453094,0.0,13.776953,6.4158235,0.04
116,-16.78494,7.5060773,43.567886,0.0,14.092709,6.1366997,0.04
117,-16.890371,7.33512,45.75731,0.0,14.03237,6.463581,0.04
118,-16.775356,7.4304633,43.665184,0.0,13.980903,6.1730967,0.04
119,-17.004303,7.423137,46.042725,0.0,13.729794,6.160699,0.04
120,-16.934454,7.468101,45.949257,0.0,13.761359,5.6631565,0.04
121,-17.069366,7.3629727,47.939396,0.0,14.078246,6.6815367,0.04
122,-17.042368,7.29554,42.163887,0.0,14.149187,5.798623,0.04
123,-17.263376,7.2777133,41.28875,0.0,14.651504,6.239019,0.04
124,-17.365757,7.2281365,44.30371,0.0,14.170028,6.4702396,0.04
125,-17.506842,6.94642,40.934734,0.0,14.102846,5.5811515,0.04
126,-17.601261,6.9079275,40.241135,0.0,13.760491,5.8973985,0.04
127,-17.785019,6.9010043,43.115772,0.0,14.2379875,5.737776,0.04
128,-17.695238,6.8434715,44.37268,0.0,13.745074,5.9559712,0.04
129,-17.668903,6.871099,42.587265,0.0,13.612666,5.8382587,0.04
130,-17.756433,6.7735953,42.165894,0.0,14.113942,5.647217,0.04
131,-18.038301,6.511062,42.45033,0.0,12.97325,5.291183,0.04
132,-17.945637,6.622191,40.902115,0.0,14.476404,6.0771174,0.04
133,-18.152248,6.455469,42.80478,0.0,12.88149,5.6979785,0.04
134,-18.299093,6.61602,42.807587,0.0,13.375787,5.960592,0.04
135,-17.997097,6.5095205,43.16356,0.0,12.970795,5.6529765,0.04
136,-18.0674,6.611598,42.973602,0.0,13.035235,5.322266,0.04
137,-18.012222,6.572403,42.18837,0.0,13.901343,5.6332626,0.04
138,-18.165615,6.2165985,37.907726,0.0,12.391406,5.2034235,0.04
139,-17.964226,6.4569926,41.462387,0.0,13.040019,5.542792,0.04
140,-18.239016,6.203797,38.949318,0.0,12.797014,5.295126,0.04
141,-18.254002,6.3240385,40.299046,0.0,13.226583,5.365398,0.04
142,-18.179039,6.2941623,38.73896,0.0,13.21835,5.2646775,0.04
143,-18.205935,6.3348184,44.15803,0.0,12.429117,5.1534996,0.04
144,-18.40352,6.178798,41.344513,0.0,11.877742,4.8128815,0.04
145,-18.697063,6.0693893,47.134384,0.0,12.222895,4.970871,0.04
146,-18.826485,6.2527823,43.23163,0.0,12.664104,5.5100403,0.04
147,-19.111258,5.8511305,41.149433,0.0,11.180189,4.669993,0.04
148,-19.09635,6.210536,44.78654,0.0,11.740088,4.4686923,0.04
149,-19.379644,5.9086695,40.939106,0.0,11.73982,4.796515,0.04
150,-19.549185,5.6228995,38.106148,0.0,10.320068,4.310893,0.04
151,-19.935738,5.3874755,43.073753,0.0,10.399345,4.2634377,0.04
152,-20.334457,5.241989,38.97065,0.0,9.42978,4.074381,0.04
153,-20.718328,4.9683976,39.6994,0.0,8.695385,3.9055758,0.04
154,-21.322536,4.0725555,35.13034,0.0,6.7309947,2.7129948,0.04
155,-21.646862,4.012532,35.91031,0.0,6.87912,3.137663,0.04
156,-21.904919,4.0093074,36.795242,0.0,6.5073113,3.0884125,0.04
157,-22.065647,3.250446,30.439468,0.0,5.667443,2.3398156,0.04
158,-22.397587,3.38581,34.814438,0.0,5.7728796,2.7110958,0.04
159,-22.582678,2.9707897,32.69691,0.0,5.249305,2.1836367,0.04
160,-22.457598,3.2702422,33.315563,0.0,5.9813905,2.6446404,0.04
161,-22.538486,3.190486,31.466413,0.0,5.9941916,2.7679374,0.04
162,-22.62575,3.0388448,32.56905,0.0,5.3377614,2.4084928,0.04
163,-22.663067,3.370584,34.467785,0.0,5.9545693,2.8640838,0.04
164,-22.586552,3.006111,31.359667,0.0,5.313247,2.3882105,0.04
165,-22.802055,2.6629958,30.355902,0.0,5.0829663,1.8621745,0.04
166,-22.750715,2.9960725,28.70566,0.0,5.4353895,2.5261383,0.04
167,-22.866167,2.9744556,32.15869,0.0,5.4522576,2.430959,0.04
168,-22.753414,2.8199096,28.987043,0.0,5.387687,2.135102,0.04
169,-22.868052,2.9266963,30.468317,0.0,5.4507203,2.4637234,0.04
170,-22.853579,2.855146,28.77674,0.0,5.586308,2.43306,0.04
171,-22.907827,2.5800595,27.167595,0.0,4.723793,2.1124473,0.04
172,-23.028004,2.468659,25.86284,0.0,5.0354395,2.075637,0.04
173,-23.051641,2.5232837,27.402506,0.0,5.0600405,2.2480574,0.04
174,-23.090872,2.4249372,28.417349,0.0,4.6763086,1.8093976,0.04
175,-23.071613,2.6076643,27.136003,0.0,5.4500713,2.3533354,0.04
176,-23.057663,2.448924,27.17673,0.0,4.8671684,1.8723254,0.04
177,-23.133224,2.188678,26.19017,0.0,4.136539,1.6544318,0.04
178,-23.181461,2.3091745,28.280518,0.0,4.2977886,1.6142973,0.04
179,-23.209007,2.4653075,28.337938,0.0,5.2843246,2.0458274,0.04
180,-23.260815,2.3016446,27.321978,0.0,4.6863256,1.6811333,0.04
181,-23.198402,2.2721717,28.221947,0.0,4.6706367,1.7576073,0.04
182,-23.185835,2.6052818,30.890923,0.0,4.797735,2.0610514,0.04
183,-23.178085,2.4369195,28.100346,0.0,4.7989163,2.1379142,0.04
184,-23.190292,2.3565235,28.552744,0.0,4.6328325,1.8647029,0.04
185,-23.254652,2.2483897,27.172562,0.0,4.463861,1.7334471,0.04
186,-23.236153,2.232376,27.896873,0.0,4.537106,1.864759,0.04
187,-23.289469,2.2966814,25.109377,0.0,4.8810825,1.8211428,0.04
188,-23.250599,2.390176,28.50434,0.0,4.881337,2.09942,0.04
189,-23.30703,2.2313716,28.694715,0.0,4.511377,1.8099413,0.04
190,-23.298653,2.4890373,28.895498,0.0,5.0085573,2.5070302,0.04
191,-23.31407,2.3370736,27.476553,0.0,4.425304,1.8514925,0.04
192,-23.32982,2.2687664,28.334476,0.0,4.7495227,1.8914638,0.04
193,-23.334574,2.105782,25.433254,0.0,4.1998825,1.4712409,0.04
194,-23.432167,2.0811605,24.81797,0.0,4.35618,1.7119663,0.04
195,-23.370827,2.2759097,25.584576,0.0,4.7858343,1.9472631,0.04
196,-23.402695,2.3287573,26.15453,0.0,4.8763037,2.0867524,0.04
