epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.064166,0.4246464,8.592831,4.47148,0.04
1,16.982962,2.6376493,6.9071665,0.57788515,9.947349,5.1269693,0.04
2,16.31558,3.49665,11.458753,0.78505164,12.525779,6.319614,0.04
3,15.088178,4.7277184,20.584694,1.2894406,14.765738,7.3823013,0.04
4,12.903424,6.2932954,37.06752,2.155476,18.61505,8.671219,0.04
5,10.571062,6.8519425,42.087246,2.8850224,21.093834,9.307125,0.04
6,7.9904346,7.4127703,45.63722,4.194339,25.499601,10.47827,0.04
7,6.064441,7.490037,37.997166,4.708047,28.912125,10.721786,0.04
8,3.7306664,6.734759,26.567307,4.360802,29.20373,9.97311,0.04
9,1.6364144,5.999528,22.089638,4.277364,28.44254,8.515513,0.04
10,0.10710735,5.664473,19.60918,4.057868,28.439398,8.64591,0.04
11,-1.0187224,5.3551292,18.475779,3.9402838,27.81754,6.845747,0.04
12,-1.7569077,5.422054,18.318144,4.0578465,29.682945,6.984231,0.04
13,-2.140478,5.652513,16.638567,3.8846054,32.70649,7.0959005,0.04
14,-2.873528,5.6819725,15.109877,3.6622872,31.250223,5.8980465,0.04
15,-3.154252,4.3078623,14.475009,3.1758816,24.268093,5.1046576,0.04
16,-3.3181245,4.4469614,13.472815,3.3579683,26.183678,5.40064,0.04
17,-3.5791872,3.8844347,15.044648,3.2605734,21.401375,4.1866717,0.04
18,-3.8143408,4.099728,16.671503,3.944675,22.765772,4.526702,0.04
19,-3.9777486,4.137372,12.543636,3.3974733,25.32415,4.617449,0.04
20,-4.131679,3.968544,12.146858,3.1182299,24.059,4.3782034,0.04
21,-4.3476853,3.5307424,11.208118,3.0019057,20.465212,3.7084603,0.04
22,-4.4363194,3.9709735,11.657836,2.8753033,23.673014,4.3234353,0.04
23,-4.766181,4.145506,11.958169,3.5498552,24.746742,4.434061,0.04
24,-4.8927226,3.8674276,13.469435,3.2933233,22.809107,3.952596,0.04
25,-4.7428975,5.102495,11.719706,3.016564,32.85859,4.605743,0.04
26,-5.149306,4.547584,12.165003,3.45881,28.022482,4.4063463,0.04
27,-5.251518,3.565003,13.110633,3.276279,22.053707,3.2935522,0.04
28,-5.3448462,4.0860434,12.998578,3.8875358,25.068142,3.9153898,0.04
29,-5.5390024,3.4522176,12.659229,3.4897695,21.147429,3.4307373,0.04
30,-5.5489025,4.821885,12.053445,3.7758687,31.005281,4.4511456,0.04
31,-5.6396675,4.852809,11.097405,3.5353508,32.06392,4.4660025,0.04
32,-5.764787,2.9842231,9.993865,2.7057664,17.974676,2.6295362,0.04
33,-5.7667303,3.2823055,9.746747,2.9091349,20.490765,2.9963546,0.04
34,-5.950932,3.3387825,9.869023,2.8053272,21.172646,2.8595283,0.04
35,-6.068916,3.4572597,9.790077,3.0946808,22.071207,3.366256,0.04
36,-6.134203,3.502677,9.762203,2.9944508,22.564943,3.1035073,0.04
37,-6.1183915,3.170653,9.096923,2.758695,19.901117,3.2578206,0.04
38,-6.2062902,3.8892112,8.360449,2.5828934,24.547268,3.9110012,0.04
39,-6.3071766,3.373655,8.383249,2.991396,21.072119,3.4655333,0.04
40,-6.3839927,2.8910177,7.7953777,2.7563589,17.767504,2.8199873,0.04
41,-6.340601,4.1529846,9.495702,3.2158713,24.25713,3.4879816,0.04
42,-6.4533567,4.845815,9.4731045,3.2991483,30.157532,3.8512642,0.04
43,-6.475504,2.9975243,8.323799,2.6913533,18.30688,3.1404765,0.04
44,-6.486049,3.3050027,7.546995,2.4467118,20.989122,3.4102025,0.04
45,-6.5932565,2.8156667,7.8419986,2.5659804,16.806776,3.160962,0.04
46,-6.743237,2.6833684,8.098211,2.700863,15.671183,3.2311714,0.04
47,-6.7373486,2.8406377,8.528269,2.7699654,16.256132,3.9623342,0.04
48,-6.737164,3.3069541,9.216641,3.1586568,19.717886,3.3742595,0.04
49,-6.795989,3.1564984,10.187929,3.3837702,17.988377,3.4377646,0.04
50,-6.9855413,3.3731618,10.70958,3.594295,19.894718,3.8267019,0.04
51,-6.990185,3.6699727,10.45313,3.918094,21.708918,3.997682,0.04
52,-7.0870957,3.0196843,10.359464,3.2579849,16.8143,3.7231762,0.04
53,-7.0499725,2.8533835,9.2235155,3.2027478,16.034754,4.224937,0.04
54,-7.1258264,3.7884445,9.800924,3.6135652,21.11706,5.0753713,0.04
55,-7.2020235,2.7640245,8.3946905,2.835087,14.538783,5.1231394,0.04
56,-7.128931,3.267794,7.0868144,3.0699906,17.73573,6.3494363,0.04
57,-7.149095,3.2128139,6.23005,2.5199308,16.573227,7.489157,0.04
58,-7.241751,3.7456594,5.9204507,2.5593252,19.588871,7.646199,0.04
59,-7.206254,4.364142,5.819519,2.567551,21.790121,7.895289,0.04
60,-7.242374,3.2995284,5.6046796,2.281905,15.732012,7.987133,0.04
61,-7.4656935,3.1218889,5.6835136,2.0577784,15.988403,7.6799135,0.04
62,-7.431562,3.7437618,5.1694674,2.4349647,19.961395,8.665099,0.04
63,-7.5192804,5.1604295,6.461962,2.5607128,23.856003,17.282246,0.04
64,-7.5095644,3.3726423,4.5464864,2.3756816,16.125483,12.393077,0.04
65,-7.62414,3.4773235,5.796702,2.6165044,13.8698635,15.521286,0.04
66,-7.5432444,7.8867226,6.5085754,4.6421733,38.545288,17.28556,0.04
67,-7.423668,5.5602655,6.4270296,2.9411407,22.513664,31.87906,0.04
68,-7.4877567,3.2459226,7.008547,2.3742821,11.714306,17.660385,0.04
69,-7.715081,5.2406726,8.924029,3.6770763,15.5695,17.200708,0.04
70,-7.985261,4.1826277,8.592163,3.8067348,13.226315,16.733412,0.04
71,-8.621002,11.591364,9.458767,5.6145186,40.20134,29.869987,0.04
72,-90.244934,5969.2354,2517.523,2518.8862,27666.152,8178.233,0.04
