epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.064166,0.4246464,8.592831,4.47148,0.04
1,17.044254,2.4772894,6.8116074,0.51360613,9.514308,4.949984,0.04
2,16.870243,2.9997938,9.38189,0.669799,10.466668,5.346469,0.04
3,16.311838,3.5334256,12.368666,0.82957804,11.878087,5.977684,0.04
4,15.642058,4.258407,16.39743,1.049696,13.792889,6.8499007,0.04
5,14.291981,5.2571106,27.143686,1.4613652,15.589317,7.3516674,0.04
6,13.059345,5.86091,32.120335,1.8781441,17.727182,8.216558,0.04
7,11.595724,6.8154697,40.494823,2.241381,21.155746,8.957107,0.04
8,9.751423,7.2576137,48.388367,3.0822065,21.93168,8.832612,0.04
9,8.55361,7.4540606,45.251472,3.168502,24.4805,9.830209,0.04
10,6.782344,7.1959214,40.00686,3.405207,26.149448,9.7554035,0.04
11,5.3381686,7.0169487,36.61577,3.3266876,27.665537,9.844137,0.04
12,4.600294,7.2920384,34.44627,3.560666,29.856245,10.297239,0.04
13,3.209227,6.4578195,29.971584,3.601333,27.676199,8.908778,0.04
14,2.5149379,6.6936707,25.17591,3.2989056,30.236694,9.44896,0.04
15,1.2761557,5.77116,22.972069,2.843742,25.982883,8.457082,0.04
16,0.45353758,6.43515,23.060116,3.2071898,32.926373,8.759848,0.04
17,0.05986599,6.0186934,21.44965,3.0945785,29.712399,8.675443,0.04
18,-0.906478,5.3927794,19.406532,2.7799494,28.111334,7.0468974,0.04
19,-1.4563394,5.7445965,18.705128,2.7079844,31.69414,6.7843246,0.04
20,-1.7292469,4.837282,16.976828,2.5427952,24.856909,5.3883767,0.04
21,-2.0310433,5.2482324,18.669619,2.7579982,27.115711,6.056398,0.04
22,-2.4570432,4.322843,18.234608,2.7181478,21.752138,4.4590673,0.04
23,-2.7860987,4.4027033,17.422142,2.6555228,23.51802,4.8517776,0.04
24,-2.8753233,4.6954107,16.356037,2.3190627,27.429424,5.1075983,0.04
25,-3.2067068,4.3714895,16.913746,2.428274,24.349905,4.0577426,0.04
26,-3.494393,4.1279855,17.786251,2.3982637,21.371477,3.5994146,0.04
27,-3.7592251,4.380604,16.266222,2.505546,22.025507,3.496376,0.04
28,-3.8547738,3.9739692,16.314814,2.4443052,20.266294,4.2251215,0.04
29,-3.9868069,4.2365217,16.579382,2.4404206,24.017788,3.7691765,0.04
30,-4.093465,6.375901,17.08294,2.8745785,38.870922,4.694464,0.04
31,-4.210586,3.5493238,15.8464,2.3730094,17.827036,3.679202,0.04
32,-4.31025,3.6544676,16.352825,2.4346678,19.314955,2.901834,0.04
33,-4.391744,3.421695,14.822238,2.2770076,16.361277,3.1572733,0.04
34,-4.4039354,4.7085724,13.912206,2.4208071,24.172274,2.8068278,0.04
35,-4.474036,3.2196903,14.464966,2.0959542,15.478505,4.7283583,0.04
36,-4.549284,3.1177049,14.391728,2.0834396,15.730833,2.5681615,0.04
37,-4.6595254,3.3668296,13.670079,2.033761,15.686526,2.3828442,0.04
38,-4.687227,4.109838,14.463654,2.314977,21.242044,3.8177178,0.04
39,-4.715445,2.6420658,13.349143,2.0722485,10.724313,2.072192,0.04
40,-4.71019,3.3753734,13.991783,2.128541,17.18827,2.3627043,0.04
41,-4.7569203,3.0730655,13.945482,2.0948777,14.4310665,2.5153244,0.04
42,-4.8109922,2.355594,13.659598,2.0437632,8.854556,2.3920336,0.04
43,-4.7727227,3.6045003,12.778922,1.9801887,19.831017,2.476568,0.04
44,-4.8232236,2.581069,13.553604,1.9911016,10.727697,1.7205398,0.04
45,-4.8818274,2.7227342,13.178204,2.0430527,12.510432,2.5857182,0.04
46,-4.7744265,3.557521,12.772883,2.0524685,17.599463,1.9632604,0.04
47,-4.7990394,2.5013556,13.480173,2.0416436,9.369741,2.935106,0.04
48,-4.8943653,2.7571888,13.870083,2.2503366,11.607811,2.7079833,0.04
49,-4.944614,2.4182487,14.69954,2.2529721,8.69,2.3902607,0.04
50,-4.7706447,5.7264395,13.943355,2.5360312,31.189062,2.2687616,0.04
51,-4.9606786,2.2465622,13.217032,1.9786464,8.197562,2.1822283,0.04
52,-4.950431,2.415314,13.300436,2.0809798,8.987153,1.7774967,0.04
53,-4.8829036,6.5468593,12.811304,2.2780623,38.58047,2.9230516,0.04
54,-5.066257,3.9815414,12.451822,2.013941,18.239082,6.7206216,0.04
55,-5.252544,3.000779,11.0658455,1.6815475,14.002864,2.7715135,0.04
56,-5.3999324,2.202798,10.021894,1.5981562,8.773303,2.8183026,0.04
57,-5.474886,4.2801905,10.0668,1.8414718,21.59329,3.1036024,0.04
58,-5.4408007,3.110708,9.397189,1.6716863,14.387751,7.005324,0.04
59,-5.6293736,2.31363,8.898076,1.5406077,7.5713425,11.524478,0.04
60,-5.8762236,4.0535793,7.812837,1.7513454,20.041245,8.690527,0.04
61,-5.786707,1.8246317,7.8867292,1.4655194,5.358372,8.797611,0.04
62,-5.760037,12.355449,8.202332,3.7208247,66.468285,18.059607,0.04
63,-6.9794393,121.43389,43.269516,37.005196,592.68835,307.58072,0.04
64,-184834750000.0,119637660000000.0,57369130000000.0,55757077000000.0,550484950000000.0,183784620000000.0,0.04
