epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.064166,0.4246464,8.136151,7.24324,0.04
1,17.092031,2.6776726,6.4143877,0.5600389,9.759565,9.322196,0.04
2,16.203266,3.6242776,11.542956,0.9591061,11.827188,11.291775,0.04
3,14.897057,5.046104,18.647676,1.6926353,15.450079,14.011206,0.04
4,12.298207,6.5015535,33.33277,2.7623508,18.593452,15.831294,0.04
5,9.544154,6.958266,27.822577,3.5279458,22.130753,15.79598,0.04
6,6.354061,7.0789685,23.794619,4.743474,27.173712,13.625529,0.04
7,3.7658305,6.4370146,18.205906,5.322933,26.774937,10.557849,0.04
8,1.5973758,5.692362,13.542375,5.062513,27.057053,7.5919394,0.04
9,0.21147375,5.1351185,8.764488,4.372593,23.886242,6.277014,0.04
10,-0.54905677,4.5279512,7.6418667,3.7083716,22.215302,4.3695235,0.04
11,-1.1875962,4.5102715,7.5601773,3.8115938,22.488222,4.272661,0.04
12,-1.698299,4.205418,8.354053,2.944329,21.354937,3.5967548,0.04
13,-1.8411616,4.346209,9.707188,3.8979337,21.039272,3.149147,0.04
14,-2.328365,4.2423882,12.987749,3.547173,21.885942,2.9778655,0.04
15,-2.3111832,4.098676,7.9141498,3.2587302,20.644152,2.592716,0.04
16,-2.7852004,4.0262012,7.9211345,3.0213535,20.395721,2.667375,0.04
17,-2.9142857,4.1083946,8.757285,3.2299542,20.508322,2.398046,0.04
18,-3.3171825,4.034075,9.48311,3.5025942,20.191257,2.8812807,0.04
19,-3.3840375,3.9055264,9.12984,3.5867372,19.448767,2.3705227,0.04
20,-3.7219107,3.999533,10.282757,3.7254739,19.655922,2.6046984,0.04
21,-3.622176,3.944942,8.595934,3.2825906,20.922743,2.0915127,0.04
22,-3.9407792,4.013999,8.816178,3.5208182,20.470144,2.4573085,0.04
23,-4.21893,4.2396955,9.1494665,3.4286833,21.69852,2.5363095,0.04
24,-4.0964913,3.7885933,7.597896,2.8385592,19.43117,2.1138425,0.04
25,-4.244362,3.7546642,9.16475,3.0960202,19.565193,2.266853,0.04
26,8.121774,5432.5303,15918.003,3355.6843,4287.5464,3679.9988,0.04
