epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.42009,2.0744882,4.7313886,0.4472431,8.296416,4.283354,0.04
1,17.172237,2.4112697,6.139134,0.5141708,9.275784,4.8637724,0.04
2,16.793297,2.936543,7.9591293,0.6568235,10.813335,5.3892384,0.04
3,16.235785,3.7309825,13.751396,0.8307531,12.505694,6.1224937,0.04
4,15.522913,4.381491,18.54708,1.0705806,13.781407,6.8784485,0.04
5,14.504387,5.1639676,26.249954,1.415982,15.504377,7.633973,0.04
6,13.196006,6.237048,37.41484,1.939728,17.592148,7.9814553,0.04
7,11.306147,6.5996356,38.197285,2.298365,19.43459,8.517247,0.04
8,9.59189,7.244631,47.46719,3.0397773,22.279318,8.893755,0.04
9,8.628212,7.2824235,44.331585,3.0985942,24.110863,9.289,0.04
10,7.0652537,7.26729,38.618107,3.4376793,26.369541,10.296446,0.04
11,5.867416,7.481024,39.022243,3.8492012,28.288681,9.97738,0.04
12,4.7601585,7.0038295,32.1951,3.4652426,28.74493,10.225505,0.04
13,3.2205093,6.781584,31.556334,3.610444,28.549719,9.706021,0.04
14,2.0845296,6.6494665,27.362358,3.3386827,30.148373,9.730603,0.04
15,1.2258748,6.048599,22.604973,3.0134609,29.029978,8.222214,0.04
16,0.45472935,5.9168005,21.326576,3.0615215,28.301079,8.499183,0.04
17,-0.19004694,5.805486,19.96419,3.3533008,28.871872,8.192418,0.04
18,-1.03726,5.1677327,17.088068,2.679028,26.373348,6.761828,0.04
19,-1.4402372,6.740776,17.798796,3.106423,38.763947,9.580819,0.04
20,-2.2786279,4.920261,18.227737,2.627145,26.048391,5.8485794,0.04
21,-2.3586953,5.0189157,18.406109,2.908347,26.101974,5.5780973,0.04
22,-2.930185,4.411667,16.326513,2.6828952,23.234858,5.1205015,0.04
23,-3.1280565,4.761711,16.124317,2.595836,27.41568,5.6088862,0.04
24,-3.1210153,5.4548745,16.309433,2.6338606,31.662172,5.4379277,0.04
25,-3.5819907,4.2438116,16.61408,2.6475058,22.040676,3.8724449,0.04
26,-3.6728296,3.9951901,14.406088,2.3153129,21.479027,3.9441385,0.04
27,-3.8980908,5.1180534,14.783651,2.4813645,29.409986,4.845551,0.04
28,-4.0648627,4.662937,13.989231,2.321733,26.485222,4.0043488,0.04
29,-4.1918526,3.9173625,14.143838,2.2824934,21.113283,3.4902124,0.04
30,-4.142421,4.7588606,14.657423,2.3169394,26.887152,3.68508,0.04
31,-4.4810576,3.4199078,13.753039,2.227852,16.780088,3.476187,0.04
32,-4.596581,3.7671297,12.946266,2.0231218,20.831007,3.1647904,0.04
33,-4.615539,4.9525857,14.707811,2.53481,28.103354,3.2876458,0.04
34,-4.7988477,4.2526593,15.508236,2.3963137,22.535706,3.0935864,0.04
35,-4.8720317,3.2644591,15.192894,2.4878404,15.405715,2.84178,0.04
36,-4.951572,3.3398917,16.15385,2.63608,15.712796,2.758592,0.04
37,-4.9069057,3.6218927,14.92863,2.4603689,18.200907,2.6956697,0.04
38,-4.9184375,4.744858,14.083022,2.691681,25.69344,3.47634,0.04
39,-5.0233164,3.1457865,14.219153,2.3706152,15.083145,3.2908745,0.04
40,-4.9333515,5.895705,15.687726,3.1526341,31.675217,4.0206857,0.04
41,-4.973699,4.404943,13.607096,2.3902144,26.005173,3.2984986,0.04
42,-5.0698133,3.4418454,10.475733,1.9262054,18.641155,4.156789,0.04
43,-4.961455,4.4855175,9.904597,2.0444572,22.341093,4.032134,0.04
44,-5.1593485,2.523957,9.336432,1.650522,9.610595,5.046647,0.04
45,-5.163587,2.9514258,8.620048,1.4705139,15.258209,5.020037,0.04
46,-5.3494043,2.6095123,9.344215,1.6435419,12.127455,5.2377567,0.04
47,-5.396873,2.3356495,9.081141,1.4163547,8.356721,5.071166,0.04
48,-5.4011292,3.5754259,9.598908,1.8905668,18.913982,6.193833,0.04
49,-5.4503036,2.680252,9.797545,1.6989709,10.81334,4.6670475,0.04
50,-5.5573177,2.3813555,10.372556,1.6580932,9.664334,4.460509,0.04
51,-5.601556,2.1628141,10.742002,1.793874,7.6797547,4.1891913,0.04
52,-5.5938997,2.323096,11.468018,1.8280336,8.137182,4.8758945,0.04
53,-5.5803037,5.5137687,10.821332,2.2759097,28.175909,5.4315076,0.04
54,-5.5902247,3.6840098,10.43428,1.7755744,13.943257,6.0378523,0.04
55,-6.1980014,26.712917,14.833839,9.561863,137.06549,13.247232,0.04
56,0.025213135,94.450226,75.68689,28.517965,638.0578,72.003685,0.04
57,4956620400000000.0,4.3932782e+16,2.2983488e+17,9.421508e+16,1.2364689e+16,6.741275e+16,0.04
