epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.064166,0.4246464,10.018468,5.8592134,0.04
1,17.319298,2.1696193,3.5244942,0.59616566,5.7036157,7.348282,0.04
2,17.086435,2.4418273,2.962354,0.8390574,4.1677275,8.994382,0.04
3,16.606527,3.04017,3.0771809,1.3528739,3.8266325,11.689551,0.04
4,15.636806,3.9200509,3.6184933,2.1223593,4.6087112,14.199162,0.04
5,13.733937,5.158159,4.7783394,3.472549,5.988807,15.728256,0.04
6,10.572014,6.175271,5.494256,5.2143025,7.91186,15.63283,0.04
7,6.6140265,6.375677,6.5538564,6.7334723,9.662614,12.418943,0.04
8,3.4266562,5.8434834,12.854503,6.291554,121.94686,8.190737,0.04
0,3.4253788,5.8429394,12.851241,6.291625,2.5109951,8.270427,0.04
1,2.3355172,5.428509,14.048301,6.1773176,2.4119008,6.943296,0.04
0,2.335233,5.4283533,14.04887,6.1783447,1352.4531,7.0521097,0.04
0,2.335233,5.4283533,14.04887,6.1783447,1352.4531,7.0521097,0.04
