epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.014231,0.39245194,0.27420887,0.93176544,0.01
1,17.329842,2.0721455,4.7786493,0.41592816,0.2676732,0.96105134,0.012499999
2,17.308186,2.1935081,5.553438,0.45122725,0.2734411,1.0364277,0.015624999
3,17.290104,2.0788348,4.6618757,0.4392921,0.27641192,1.0543821,0.019531248
4,17.246931,2.192893,5.2347035,0.5078711,0.27037698,1.1246943,0.02441406
5,17.251972,2.3105948,5.7409587,0.5950582,0.27712172,1.2448169,0.030517576
6,17.109236,2.384071,5.8273077,0.6735445,0.2788516,1.3439901,0.03814697
7,16.965492,2.4049063,5.3470187,0.8016947,0.27886617,1.4601382,0.047683712
8,16.804937,2.6093268,5.8526587,0.96986,0.28783584,1.7436547,0.05960464
9,16.357761,2.9405622,6.126483,1.3449813,0.29733846,2.1464422,0.0745058
10,15.595173,3.314615,6.982125,1.954403,0.31978837,2.5337458,0.09313225
11,13.833658,4.065821,8.01045,3.1867173,0.4003434,3.06838,0.116415314
12,10.152711,4.8699737,9.798574,4.2191386,0.55208176,3.2230022,0.14551914
13,4.307911,5.1274953,9.304154,4.5109634,0.71321046,2.3827596,0.18189892
14,0.13949893,4.361068,9.360499,2.1295414,0.6478116,1.3643793,0.2
15,-1.2253082,4.186208,9.529493,1.4845481,0.63467556,1.1165135,0.2
16,-1.8758625,4.190432,9.266138,1.8182966,0.6353738,1.0512649,0.2
17,-2.3609746,4.0766416,9.434222,1.2714045,0.61221486,1.0371908,0.2
18,-2.752791,4.1732616,10.622655,1.0908133,0.6085768,0.97180355,0.2
19,-3.0205035,4.1471887,10.418821,1.0251799,0.621522,0.9431112,0.2
20,-3.2244759,4.2221537,10.20272,1.5255684,0.64873654,1.0025225,0.2
21,-3.7062721,4.150624,10.380097,1.6116402,0.63200724,1.0457177,0.2
22,-4.1440744,4.2197375,11.048366,1.1760683,0.6385463,1.1595078,0.2
23,-4.651647,4.3292184,11.747838,1.5432473,0.6453678,1.109376,0.2
24,-5.0470595,4.326941,11.761703,1.5723397,0.66772896,1.0881752,0.2
25,-5.7541337,4.3173337,11.464017,1.8904698,0.67345744,1.2033443,0.2
26,-6.311365,4.4562387,12.315643,1.6060909,0.6861658,1.1456189,0.2
27,-6.6100183,4.5265613,11.632675,1.504389,0.7044607,1.2745438,0.2
28,-7.480315,4.5278196,11.203925,1.8914505,0.74486023,1.3139673,0.2
29,-7.9001594,4.5926228,10.741918,2.0309389,0.740743,1.3872985,0.2
30,-8.448176,4.7083783,11.604682,1.8818444,0.78244776,1.3814385,0.2
31,-8.73286,4.9555655,10.806048,2.0208392,0.81681263,1.4909503,0.2
32,-9.657568,4.91271,10.382265,2.2496476,0.85356665,1.5100985,0.2
33,-10.202609,5.16267,10.615348,2.1446638,0.91504633,1.5449499,0.2
34,-10.703901,5.3820653,11.613148,2.5955844,0.96087164,1.622298,0.2
35,-11.154488,5.5216494,11.681087,1.7533966,0.9973916,1.4320809,0.2
36,-11.575568,5.536891,9.792652,1.9107744,1.0462228,1.5216663,0.2
37,-11.827892,5.8874784,10.554217,2.4442155,1.1080823,1.6060603,0.2
38,-12.152069,6.057402,9.776689,1.6179854,1.1394761,1.7435207,0.2
39,-12.52908,6.056435,9.621074,1.7890414,1.171879,1.6395885,0.2
40,-12.695402,6.333141,10.12403,2.600253,1.233587,1.7089435,0.2
41,-13.132811,6.577322,9.942178,3.3193648,1.2908,1.7844232,0.2
42,-13.489444,6.7780704,9.018158,3.2165804,1.3444252,1.8588403,0.2
43,-13.961328,7.3219156,10.73987,4.0331526,1.510062,1.7973369,0.2
44,-14.478206,7.3020344,8.708133,3.736879,1.5101062,1.9226422,0.2
45,-15.168598,7.459706,10.537515,3.8143234,1.5380654,1.8713425,0.2
46,-15.358833,7.839322,10.543798,4.3209844,1.6030992,1.9354684,0.2
47,-16.328022,7.916771,10.978412,4.82868,1.6305877,2.1131673,0.2
48,-17.001116,8.223059,10.442355,5.9427924,1.708887,2.3681304,0.2
49,-18.07263,7.7669764,7.436671,5.7316933,1.5473858,2.6808066,0.2
50,-18.980974,7.566241,8.559708,7.900231,1.4348412,2.647359,0.16941977
51,-20.681051,6.503588,6.735475,7.6231666,1.119134,3.0043576,0.14385982
52,-21.548252,5.940203,6.9872217,6.1941876,0.8933444,3.0289288,0.100262746
53,-22.42054,4.2579713,6.804534,3.790631,0.6172892,2.407435,0.08354094
54,-22.711485,3.9289358,7.0423875,4.138817,0.5885775,1.9575448,0.06554269
55,-22.823109,3.6407518,5.963705,2.7661502,0.5761025,1.7076243,0.081928365
56,-22.948774,3.3805497,5.884771,2.526287,0.5106203,1.5767337,0.10241046
57,-23.182528,3.1186926,6.1703205,1.7656031,0.4668394,1.4801321,0.12801307
58,-23.142668,3.478905,5.462811,2.3384259,0.5292167,1.8435512,0.07918311
59,-23.301805,2.9313557,4.814207,1.629197,0.46901345,1.3491203,0.06973323
60,-23.345129,2.8409402,6.943845,2.0007987,0.4656236,1.0067542,0.08716654
61,-23.341011,2.6781058,5.1635184,1.3780661,0.4420294,1.1226652,0.10895818
62,-23.322166,3.046082,5.5005536,3.242459,0.5276536,1.4114854,0.09340179
63,-23.419725,2.827586,5.176568,1.1445225,0.46031594,1.4492728,0.06760288
64,-23.503563,2.487801,5.0784745,1.0906827,0.41172397,0.9825403,0.0845036
65,-23.57155,2.7080328,5.4636245,1.7530086,0.47427538,1.0724356,0.1056295
66,-23.566866,2.7494605,5.239088,1.8161169,0.47765836,1.2060541,0.07742479
67,-23.509987,2.505966,4.7625494,1.9878464,0.42474943,0.9332876,0.096780986
68,-23.640196,2.5480988,4.6735387,2.0805006,0.41566864,1.2403475,0.0691141
69,-23.556313,2.737038,5.0449533,1.8446876,0.50304073,0.98176455,0.05640097
70,-23.654627,2.3368177,5.112271,1.3567674,0.41924354,0.91717064,0.07050121
71,-23.64097,2.345758,5.2627788,1.4663818,0.41027778,0.9351172,0.08812651
72,-23.668636,2.6645577,4.9273877,2.149259,0.49252537,1.0762594,0.08064223
73,-23.667662,2.2856019,5.12486,1.6880411,0.39934698,0.8525054,0.06495565
74,-23.710333,2.5214245,4.968289,1.4751713,0.4649798,0.9557448,0.081194565
75,-23.6834,2.2752836,4.747679,1.459499,0.40335208,1.0165156,0.10149321
76,-23.74723,2.4684668,5.0363493,1.4537691,0.45257846,1.0645679,0.06380316
77,-23.711712,2.3145008,5.4525967,2.98256,0.42184457,0.9360398,0.07975395
78,-23.75009,2.491999,4.7277894,1.55239,0.47178948,0.92004365,0.057364758
79,-23.818176,2.5416007,5.5600777,1.4771204,0.49790034,0.95330006,0.071705945
80,-23.758718,2.3024786,4.233159,0.9102597,0.43436217,0.8504048,0.08963243
81,-23.7555,2.103731,4.384406,1.5062548,0.3846919,0.9800718,0.112040535
82,-23.727215,2.642428,5.4142103,2.306576,0.4992245,1.012888,0.05270492
83,-23.811058,2.224094,4.4282966,1.6515651,0.41283453,0.8963042,0.06588115
84,-23.869673,2.0744457,4.764775,1.2544001,0.37527245,0.8321527,0.08235143
85,-23.820824,2.2614837,4.957663,2.3273342,0.39997187,0.8888967,0.0734134
86,-23.857254,2.1423419,5.100078,1.3270736,0.3887564,0.9270446,0.06388544
87,-23.79357,2.3164523,5.0171547,1.1962324,0.4423045,0.79110277,0.062510096
88,-23.92298,2.1285064,4.6385593,1.3794603,0.42316517,0.7957333,0.07813762
89,-23.888,2.3795755,4.7219825,1.5709194,0.46499422,0.84802705,0.09767203
90,-23.82241,2.218901,5.3722477,1.6822406,0.41127005,0.8693953,0.07681552
91,-23.889507,2.0428095,4.8747888,1.656181,0.3777892,0.8836143,0.0960194
92,-23.841995,2.26338,4.4853306,1.6907738,0.40073237,0.95915854,0.05888761
93,-23.828672,2.1454804,4.642749,1.6136163,0.41643664,0.77651566,0.07360951
94,-23.90534,2.1308742,4.9428163,1.4385892,0.41419998,0.79251784,0.092011884
95,-23.941746,2.0683663,4.5316286,1.656739,0.37020695,1.0352029,0.067892894
96,-23.852654,2.304406,5.290787,1.2152313,0.46995953,0.8000398,0.08486612
97,-23.969252,2.040789,5.1593833,1.3040516,0.3931818,0.93078893,0.10608265
98,-23.89393,2.0803106,5.3702955,1.2681077,0.3717886,1.0591117,0.06911755
99,-23.885578,1.9906509,4.6489415,0.753816,0.38005576,0.64616054,0.08639694
100,-23.985031,2.053373,4.170441,1.1718606,0.4110737,0.69590324,0.10799617
101,-23.905315,2.4808424,4.5962253,2.5858238,0.45399043,1.0400286,0.13499522
102,-23.848843,2.445018,5.1419683,2.9965725,0.3673456,1.5102385,0.056750026
103,-23.95348,1.9023727,4.9890404,1.0334114,0.36822504,0.8657425,0.07093753
104,-23.992695,1.8088707,4.1298285,1.2705745,0.3597811,0.6921156,0.08867191
105,-23.939215,2.2657528,4.833161,1.3435229,0.46232328,0.76276743,0.11083989
106,-23.836992,2.5610125,5.176345,2.6833706,0.4428077,1.2238328,0.046007186
107,-23.905563,1.9289343,4.8365045,1.6769894,0.36362737,0.84057266,0.057508983
108,-23.952843,1.820818,5.0742073,0.90892553,0.3527112,0.6726787,0.07188623
109,-23.975418,2.0077536,5.425228,0.8403995,0.4124103,0.6426254,0.08985779
110,-23.967085,2.092822,4.629211,1.6364926,0.4448086,0.66785294,0.11232223
111,-23.96073,1.9543923,4.976952,1.4229184,0.3483593,0.9804308,0.0795023
112,-24.012619,1.8912959,4.4661846,1.0440841,0.37185225,0.76190877,0.045595802
113,-24.001003,2.051099,4.199292,0.9424715,0.41826552,0.7032612,0.05699475
114,-23.956701,2.2818727,4.310969,1.5032964,0.46673924,0.7784429,0.071243435
115,-23.962458,2.0871673,4.1768384,1.5911834,0.400258,0.7934636,0.089054294
116,-23.927977,2.0610754,4.3919873,1.2783047,0.3822127,0.8369608,0.06321737
117,-23.941391,1.9419692,5.1607647,1.033538,0.38208386,0.7124935,0.079021715
118,-23.954035,1.8306999,3.8744638,0.73906803,0.36304855,0.78094,0.098777145
