epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.269886,2.6502817,3.9169652,0.47775027,0.3991885,1.3179413,0.01
1,26.35105,2.6323013,3.662224,0.51584727,0.39721942,1.3573083,0.012499999
2,26.247824,2.675126,3.9060507,0.57965356,0.3948563,1.4365788,0.015624999
3,26.258152,2.7209363,3.8101149,0.59024084,0.4032639,1.490892,0.019531248
4,26.120855,2.7992282,3.9640946,0.6843742,0.40226713,1.7195338,0.02441406
5,25.969753,2.868533,3.871433,0.8198101,0.39917728,1.8262702,0.030517576
6,25.858767,3.110292,4.028548,1.0766463,0.40531486,2.083343,0.03814697
7,25.426994,3.4910665,4.1074433,1.6217453,0.4313144,2.6251225,0.047683712
8,24.818043,3.939261,4.201091,2.4892092,0.41955477,3.1149998,0.05960464
9,23.264248,4.7244096,4.253267,3.5969362,0.46202183,4.000424,0.0745058
10,19.390335,5.9974937,3.5436013,6.6309285,0.54448974,4.7792983,0.09313225
11,10.016281,7.170429,6.1215534,10.316642,0.8825208,4.086749,0.116415314
12,0.607433,5.1436243,7.2345448,4.8975883,0.78034514,1.5596501,0.14551914
13,-0.7754311,4.203383,6.6567802,1.5857995,0.633815,1.1246076,0.18189892
14,-1.058337,4.163194,6.2780266,1.4623629,0.6403301,1.0314801,0.2
15,-1.5560188,4.0063186,5.9382772,1.5031916,0.6136259,1.007599,0.2
16,-1.762252,3.8717291,5.405019,1.8042506,0.592524,0.96937656,0.2
17,-2.113733,3.947214,6.205461,1.4879812,0.5935607,0.97863346,0.2
18,-2.7091815,3.8883088,4.974873,1.8699912,0.599182,1.0522861,0.2
19,-3.0600934,3.8527484,5.6324687,1.5682486,0.59819645,1.0047143,0.2
20,-3.433236,3.7845302,5.6270275,1.6999682,0.5622722,0.9430845,0.2
21,-3.8817468,3.8546374,5.7105412,1.5814172,0.5980934,0.95910084,0.2
22,-4.257586,3.7188616,5.3188586,1.8623003,0.57894003,1.0172324,0.2
23,-4.6093163,3.626697,5.331923,1.2717822,0.5619085,0.93010235,0.2
24,-5.0830927,3.6927347,5.3961363,1.2658093,0.58331746,0.95425946,0.2
25,-5.2261186,3.6584482,5.4970093,1.361883,0.5749019,0.8820589,0.2
26,-5.58261,3.5973334,5.418292,1.5027304,0.5690377,0.9146761,0.2
27,-5.922553,3.4983332,4.8269076,1.3761199,0.54848295,0.95743835,0.2
28,-6.2522125,3.5481567,4.8339205,1.5353305,0.5642619,0.970058,0.2
29,-6.507719,3.5876555,5.4010625,1.5029291,0.5549497,0.9543171,0.2
30,-6.7787337,3.6091747,5.280613,1.1621902,0.58098257,0.9238087,0.2
31,-7.074613,3.566968,4.9944944,1.1687831,0.5523697,1.046685,0.2
32,-7.332114,3.5162961,4.863692,0.86075133,0.5706328,0.92979914,0.2
33,-7.5549603,3.5415318,4.9052653,1.2152882,0.57891047,0.97174114,0.2
34,-7.7018948,3.5745187,4.7894387,0.9518554,0.59306705,1.0779369,0.2
35,-8.010845,3.5575356,4.842198,0.92227346,0.5946893,0.9708216,0.2
36,-8.137801,3.621161,4.8388677,0.8775865,0.58959657,1.0567989,0.2
37,-8.5225315,3.6065903,5.2376504,0.9229378,0.57447004,1.0222439,0.2
38,-8.764074,3.6539683,5.163831,1.0646468,0.5879294,1.1308429,0.2
39,-8.908313,3.5818746,5.032093,0.83271205,0.5891874,1.020352,0.2
40,-9.080637,3.675878,4.618516,1.017927,0.6004285,1.0961806,0.2
41,-9.184413,3.6285856,4.5125694,1.3220582,0.60837495,1.0779967,0.2
42,-9.517283,3.631704,4.9651937,1.0007886,0.60357803,1.1215628,0.2
43,-9.676549,3.6452036,4.4425735,0.7373269,0.5897243,1.1154174,0.2
44,-9.8896885,3.5668793,4.683276,1.2487125,0.5858962,1.0963614,0.2
45,-10.105787,3.6418636,4.4640455,0.93684465,0.6209942,1.1656969,0.2
46,-10.314197,3.6759596,4.9470615,1.4333283,0.60832584,1.2119718,0.2
47,-10.480158,3.5562205,4.332246,0.97344834,0.6043376,1.0679053,0.2
