epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.014231,0.39245194,0.7057179,126.051384,0.04
1,15.397042,3.6019194,4.871431,2.1673276,0.9302105,1314.6987,0.002697329
2,12.402959,4.54827,5.392776,5.455823,1.4105041,350.93045,0.0007131144
3,10.684872,4.866541,5.701733,5.6404433,1.5727975,2313.5835,0.000891393
4,1.5828252,4.0560436,8.16286,1.9971007,2.0055869,234.75496,0.0011142412
5,0.7377934,3.9647546,7.6063495,1.5228716,2.0916903,93.50815,0.0013928015
6,0.07584587,3.8719432,8.173594,1.2293109,1.8977122,73.59885,0.0017410018
7,0.039015345,3.9419932,8.7463045,1.3700414,2.046382,201.53238,0.0021762522
8,-0.047513958,3.7841108,7.835412,0.95721555,1.9639013,31.37193,0.0027203152
9,-0.2245716,3.851965,7.960808,0.8434662,1.9739536,89.780075,0.003400394
10,-0.47578883,3.9162843,8.757891,0.8842244,2.0040994,472.1976,0.0042504924
11,-0.67574906,3.857024,8.472467,0.66010344,1.9034557,45.299145,0.0053131157
12,-0.5991466,3.815598,8.500251,0.6602777,1.8226562,16.293608,0.0066413945
13,-0.699813,3.7356348,7.784284,1.0114506,1.8607802,17.654234,0.008301743
14,-0.64421606,3.7652109,8.317011,0.7544291,1.8625208,22.856972,0.001885978
15,-0.69119924,3.8130527,8.236224,0.9197235,1.7880274,51.8928,0.0023574727
16,-0.7151691,3.7720125,8.306117,1.1387657,1.8417267,78.03034,0.0029468408
17,-0.72071534,3.716846,7.797351,0.7118752,1.8248273,39.261066,0.003683551
18,-0.6983301,3.7544453,8.075158,0.9253613,1.8135978,113.38487,0.004604439
19,-0.8163258,3.7462397,7.952364,0.89779454,1.813965,170.12785,0.0057555484
20,-0.7177053,3.861313,8.698193,0.6548758,1.8237983,54.90671,0.007194435
21,-0.6913501,3.776894,8.153873,0.7490942,1.9214453,30.541586,0.0089930445
22,-0.63170826,3.7984025,8.38495,0.81491345,2.0558472,141.93874,0.011241306
23,-0.8905255,3.7621572,8.119239,0.8778907,1.8773667,23.80625,0.014051632
24,-0.85424924,3.831694,8.200394,0.72288376,1.9432328,60.259136,0.01756454
25,-0.9879951,3.7722988,8.588108,0.6732354,1.7711177,85.39491,0.0013875391
26,-0.9191499,3.7150166,7.709533,0.9973955,1.8291924,33.31063,0.0017344239
27,-0.95204324,3.7774394,8.369343,0.69737595,1.8485986,25.002928,0.00216803
28,-1.0430294,3.7021346,8.368091,0.8609049,1.6622484,18.556808,0.0027100374
29,-0.96886253,3.7687562,8.092773,0.73930883,1.9668312,36.10548,0.0033875466
30,-0.98661566,3.7427197,7.4986444,0.86396074,1.8480282,25.55708,0.004234433
31,-0.9516819,3.7747138,8.595785,0.8380945,1.7229209,25.44349,0.0052930415
32,-0.99338037,3.774957,8.22553,0.9322763,1.8497146,21.156235,0.006616302
33,-0.9301573,3.7560954,7.762705,0.92012495,1.8317863,20.003023,0.008270377
34,-1.0893513,3.7355628,8.067914,0.7044521,1.9148523,18.81017,0.010337971
35,-1.1227837,3.7077682,7.684345,0.9165936,1.8225292,64.958496,0.012922464
36,-1.0334042,3.730914,8.284979,0.899751,1.7710637,13.203802,0.008494468
37,-0.93523914,3.8662307,8.471556,0.9813888,1.8546879,30.838902,0.010618085
38,-0.96808517,3.7121167,8.417878,1.0468693,1.9663453,22.79979,0.013272606
39,-1.1036046,3.7837865,8.21744,0.8727533,1.8043799,19.622536,0.016590757
40,-1.1222017,3.727171,7.795436,0.87878686,1.8842566,27.686388,0.020738447
41,-1.057542,3.7275364,7.854701,1.0335535,1.79583,39.553486,0.025923058
42,-1.1010015,3.7128136,8.168159,1.0405902,1.8145471,14.06459,0.032403823
43,-1.037564,3.7884707,8.129467,1.1779628,1.8268162,25.193516,0.04050478
44,-1.2534312,3.8341358,8.164808,1.3182685,1.9378089,28.55523,0.016176501
45,-1.1441113,3.7483463,8.283426,0.9942654,1.8687234,59.052242,0.020220626
46,-1.2877316,3.792664,8.433835,1.1287134,1.775069,13.608394,0.025275782
47,-1.2381184,3.709926,7.713232,1.1564423,1.8053672,110.17089,0.031594727
48,0.64528763,4.358696,8.565086,3.8628037,2.233214,786.8029,0.0017554206
49,-0.6921797,3.8000863,8.441082,0.94343466,1.7481337,76.53101,0.0021942756
50,-0.44947302,3.807843,8.1954565,1.6178433,1.7878404,517.3658,0.0027428446
51,-1.0052228,3.8502715,8.033063,0.63977677,1.8744155,56.916393,0.0013048914
52,-1.3109784,3.8417683,8.807561,0.6467071,1.8602024,24.505136,0.0005748466
53,-1.1283028,3.7585585,8.383761,0.76591426,1.9607334,19.738995,0.0007185582
54,-1.2307005,3.7464669,7.7679296,0.6489385,1.8958833,158.62743,0.00089819776
55,-1.1868978,3.7374177,7.7849617,0.89260805,1.817883,19.45544,0.0011227472
56,-1.1956577,3.798791,7.989163,0.770184,1.8876045,26.488605,0.001403434
57,-1.2579578,3.787063,7.9976115,0.6447642,1.8261812,183.44164,0.0017542925
58,-1.3987658,3.7149165,8.037662,0.87141156,1.7784635,304.94162,0.00012723458
59,-1.1238097,3.836543,8.579861,0.83171624,1.8857344,48.48428,0.00015904324
60,-1.2225484,3.8073795,8.462276,0.8006796,1.8187653,210.24785,0.00019880405
61,-1.2253556,3.7489097,7.8292394,1.0509223,1.9100527,21.54418,0.00024850506
62,-1.2536663,3.8292513,8.216474,0.6921064,1.9794366,31.883213,0.00031063132
63,-1.2360951,3.797235,8.130189,0.89816856,1.863967,23.247438,0.00038828916
64,-1.4057658,3.8449886,8.455819,0.6954126,1.8192996,122.40588,0.00048536144
65,-1.283124,3.8059387,8.1562395,0.54173595,1.7285405,13.5894375,0.0006067018
66,-1.1904131,3.7891035,7.95329,0.67327124,1.8974718,246.56949,0.00075837725
67,-1.3166872,3.898988,8.559758,0.8164519,1.8161645,40.343838,1.003142e-05
68,-1.203174,3.8111382,8.220133,0.8932727,1.7252071,28.150743,1.2539275e-05
69,-1.1651784,3.7762234,7.877958,1.0879852,1.8808616,43.07778,1.5674093e-05
70,-1.32899,3.7910974,8.301725,0.6543474,1.817823,75.87871,1.9592617e-05
71,-1.1737373,3.7809765,7.783437,0.6705841,1.8952961,62.025856,2.4490771e-05
72,-1.3286967,3.72282,8.144496,0.8019796,1.7792016,30.075312,3.0613464e-05
73,-1.223906,3.7279394,7.774434,0.9438984,1.7479756,61.05475,3.826683e-05
74,-1.3898044,3.8683069,8.503943,0.73109156,1.9331495,185.7151,4.7833535e-05
75,-1.2563401,3.7416344,8.111474,0.95213383,1.8081369,44.25967,5.979192e-05
76,-1.163427,3.8586779,8.306582,0.73899466,1.8918173,17.438383,7.47399e-05
77,-1.1715566,3.808977,8.6846,0.6920159,1.8130605,20.417864,9.342488e-05
78,-1.2148042,3.7538545,7.823673,0.82082033,2.0340605,31.687233,0.0001167811
79,-1.26464,3.7988594,8.196728,0.99408025,2.1119218,34.27648,0.00014597637
80,-1.2044282,3.7683573,8.179395,0.7592077,1.9187897,35.909187,0.00018247047
81,-1.2010163,3.7777662,7.6433744,0.8436172,1.7801858,199.23323,0.00022808809
82,-1.1882566,3.8586745,7.7748814,0.75746566,1.9338869,35.430645,0.00028511012
83,-1.2887719,3.8248498,8.669901,0.6529297,1.8729843,22.847595,0.00035638764
84,-1.1733537,3.7780764,8.127312,0.8174968,1.859471,62.095287,0.00044548453
85,-1.152146,3.7660456,7.8184047,0.683533,1.8082819,27.201239,0.0005568557
86,-1.2930306,3.8804758,8.297583,0.93830585,1.9184018,66.1243,0.0006960696
87,-1.2188098,3.8416252,8.71314,0.6159711,1.8735291,37.662838,0.000870087
88,-1.3118755,3.7746868,8.144143,0.8103016,1.7352163,87.84035,0.0010876087
89,-1.1895905,3.7786357,8.170868,0.67191166,1.7899021,80.5112,0.0013595109
90,-1.1762902,3.8025744,8.190621,0.809062,1.7807435,184.4109,0.0016993887
91,-1.069363,3.842647,8.579475,0.68653214,1.6663566,23.95064,0.0012731598
92,-1.2135183,3.8393815,8.278737,0.80436873,1.8949822,22.824896,0.0006217714
93,-1.2247185,3.8027887,8.57554,0.67412174,1.8873152,40.074417,0.00077721424
94,-1.2201943,3.712213,7.2154202,0.9239094,1.7751565,45.444622,0.0009715178
95,-1.2218376,3.8166816,8.681881,0.7920319,1.7429309,50.559105,0.0012143973
96,-1.1468858,3.8063722,8.066288,0.7168319,1.7663169,70.94955,0.0015179965
97,-1.2323952,3.8593588,8.874326,0.63932455,1.8636831,109.135056,0.0018974957
98,-1.3992019,3.776309,7.960254,1.1211183,1.8251212,31.247568,0.0023718695
99,-1.1250215,3.8214173,8.755185,0.7125367,1.896067,28.19327,0.002964837
100,-1.2450825,3.7715025,8.4023695,0.69628674,1.9676077,36.90175,0.0037060464
101,-1.1285789,3.8554623,8.915714,0.7163388,1.8992845,1847.5286,0.0046325577
102,-1.4712942,3.8413553,7.9844007,1.8884492,2.0010798,19.346626,0.0057906974
103,-1.2842253,3.7793498,8.21157,1.4572986,1.8617848,31.449741,0.0072383718
104,-1.3338311,3.7982697,8.963412,1.8466765,1.9049308,69.936264,0.009047965
105,-1.2238258,3.7770317,8.151541,1.5172755,1.9162536,7.232333,0.0019857413
106,-1.319432,3.8153775,8.82476,1.7149949,1.7386793,47.637127,0.0024821768
107,-1.3023965,3.817124,8.070063,1.3886772,1.7550075,700.7364,0.001357545
108,-1.4011286,3.8276205,8.536221,2.1861858,1.821486,22.549007,0.0001316987
109,-1.3105527,3.8471484,8.819609,1.9113878,1.8545431,15.104067,0.00016462337
110,-1.399922,3.8158438,8.270971,1.738018,2.0461752,234.53896,0.00020577922
111,-1.4284099,3.7626827,7.970088,1.8385444,1.7608724,16.437574,0.00025722402
112,-1.2452521,3.8039255,8.023288,2.3971548,1.8279221,9.165852,0.00032153004
113,-1.207479,3.6180727,7.0604296,1.5671514,1.7753248,27.256258,0.00040191255
114,-1.3001726,3.860563,8.856163,1.5728183,1.8566233,11.337234,0.0001934491
115,-1.3160353,3.7475867,8.34314,1.5119793,1.749404,138.36461,5.9496364e-05
116,-1.319187,3.7331657,8.073897,2.112553,1.8116446,93.77898,7.437046e-05
117,-1.4484471,3.863208,8.968427,1.457439,1.8245703,9.850634,9.296308e-05
118,-1.4320581,3.827739,8.1585245,2.750886,1.8064463,440.36154,0.000116203846
119,-1.4371883,3.7854018,8.201658,1.4718211,1.721255,21.452984,0.0001452548
120,-1.2671986,3.8992345,8.836408,1.9850616,1.9689986,104.547806,0.0001815685
121,-1.2789291,3.7060175,7.8389516,1.8759319,1.8092268,16.645468,0.00022696062
122,-1.4381616,3.8172617,8.844947,1.5624901,1.751056,31.117537,0.00028370076
123,-1.3435711,3.7819822,8.322001,1.7003261,1.8874371,10.180167,0.00035462595
124,-1.3582251,3.7782419,7.9489813,1.872595,1.7641445,23.378723,0.00044328245
125,-1.4871969,3.7947102,8.675092,1.7125314,1.9339098,15.722618,0.00055410306
126,-1.5252411,3.8392894,8.279895,1.6797246,1.9226384,22.40329,0.0006926288
127,-1.3277781,3.7646408,8.050104,1.9175335,1.7642118,766.61017,0.000865786
128,-1.4406581,3.8045263,8.379744,1.9528376,1.9078438,143.59557,0.0003702433
129,-1.3707459,3.8639255,8.542881,1.87616,1.7923514,10.716489,0.00046280414
130,-1.2620089,3.7704737,8.128273,1.651955,1.7951463,10.880149,0.00057850516
131,-1.3718649,3.8125007,8.53816,1.8852333,1.7892764,13.171423,0.00072313147
132,-1.2822102,3.8804426,8.546918,1.5897826,2.0900357,11.110163,0.00090391433
133,-1.4405073,3.7831693,8.249218,1.6630886,1.7997915,10.994359,0.0011298929
134,-1.4839802,3.7837472,8.600742,1.4978145,1.9344738,10.976326,0.001412366
135,-1.3134655,3.7456286,8.144582,2.956216,1.7978455,26.704596,0.0017654576
136,-1.4973725,3.822297,8.422399,1.8928922,1.9062408,10.395624,0.002206822
137,-1.2264979,3.828753,8.813544,2.2326021,1.8482646,38.00836,0.0027585274
138,-1.48272,3.7067804,8.291097,1.6153497,1.9113946,15.742363,0.0034481592
139,-1.4111352,3.8017597,8.530481,2.469765,1.8312682,19.95846,0.002820658
140,-1.516395,3.7945967,8.564325,2.5293937,1.9315195,6.7588983,0.0035258224
141,-1.3533323,3.7746692,8.478973,1.426507,1.9365783,65.5813,0.0044072783
142,-1.4962598,3.8221343,8.635046,1.8413384,1.9216484,48.286194,0.005509098
143,-1.4018402,3.8289664,8.274256,2.4872208,1.8414544,14.204893,0.003963267
144,-1.4794201,3.76471,8.282273,1.8680102,1.8116261,9.908721,0.004954084
145,-1.3758141,3.8183794,7.9622555,2.1735542,1.8654331,83.64993,0.006192605
146,-1.4409512,3.751995,8.333436,1.8149574,1.8570266,14.887284,0.0077407565
147,-1.362744,3.793946,8.62407,2.1367614,1.958756,13.933827,0.009675946
148,-1.3828831,3.7855713,8.24523,1.7287534,1.6853799,15.335925,0.012094933
149,-1.447156,3.8490758,8.630095,1.8170533,1.8518234,20.22847,0.015118666
150,-1.5007138,3.7040505,7.7254815,1.4908092,1.6914915,15.093201,0.0023785762
151,-1.586557,3.7428365,8.416513,1.8940156,1.735254,16.444891,0.0029732203
152,-1.4616061,3.8283677,8.151898,1.8598739,2.0212371,17.4791,0.0037165254
153,-1.4959004,3.8040948,8.110425,1.9134489,1.815042,15.895446,0.004645657
154,-1.634213,3.8574433,8.61227,1.9041291,2.003789,18.304893,0.005807071
155,-1.5651541,3.7966104,8.135575,1.2988298,1.7497948,9.978985,0.007258839
156,-1.5224516,3.8262975,8.7445545,2.040303,1.8166233,18.131388,0.009073549
157,-1.4654778,3.7920392,7.9841123,2.2997844,1.7495886,166.1421,0.011341936
158,-1.6612881,3.7700193,8.35163,1.9301162,1.7527641,64.63486,0.004223752
159,-1.4842303,3.8149502,8.711897,2.2123322,1.8626912,8.741917,0.00527969
160,-1.5697545,3.805991,8.883079,1.9618108,1.7908516,10.580017,0.0065996125
161,-1.4397737,3.8133945,8.505399,1.9636941,1.7928406,381.98935,0.008249516
162,-1.5437864,3.789037,8.488237,1.527766,1.7655128,22.006804,0.00506621
163,-1.4732382,3.8645732,8.762204,1.9315219,1.8251591,20.239155,0.0015277653
164,-1.5829316,3.7475545,8.116755,1.55636,1.803077,16.016024,0.0019097066
165,-1.5691507,3.7659798,8.177795,1.7213888,1.712804,12.503222,0.0023871332
166,-1.4585185,3.824296,8.365249,1.8560988,1.802115,35.92341,0.0029839166
167,-1.6194121,3.8694248,9.396497,1.8456333,1.8514339,12.114679,0.0022838933
168,-1.5834745,3.8680482,8.443979,1.4793586,1.7938017,12.102787,0.0028548667
169,-1.5673437,3.7986887,8.158621,1.7252876,1.9620777,12.893774,0.0035685834
170,-1.5909284,3.8632262,8.361862,1.7676507,1.9545029,16.024513,0.004460729
171,-1.6529303,3.7949483,8.661366,1.5353906,1.8077846,11.450582,0.0055759116
172,-1.4000256,3.8217573,8.246922,1.7106501,1.8341185,19.59734,0.0069698896
173,-1.5929122,3.8192744,8.503287,3.1470258,1.874916,21.175278,0.0087123625
174,-1.6355525,3.8201668,8.731944,1.5542381,1.7816967,11.882358,0.010890453
175,-1.7339622,3.6667752,8.023343,1.8343441,1.6571599,16.75159,0.013613067
176,-1.6843413,3.7646313,8.070607,1.892932,1.815314,16.461475,0.00352598
177,-1.7136296,3.7178957,7.655675,1.6430746,1.7956629,1160.607,0.0044074752
178,-1.6561,3.7684274,8.203268,2.0786417,1.8214959,50.58438,0.00049262994
179,-1.564896,3.8650625,8.559515,1.9432724,1.8610711,13.2745285,0.00027893574
180,-1.5485514,3.7521636,7.6131463,1.9068234,1.8359905,14.449825,0.00034866968
181,-1.6989169,3.8086696,7.902272,2.2513509,1.8453534,19.302958,0.0004358371
182,-1.6146853,3.8707874,8.753611,1.7240134,1.8218163,11.470504,0.0005447964
183,-1.6291815,3.8142257,8.984416,1.6245538,1.8756291,15.456787,0.0006809955
184,-1.7475325,3.8206859,8.762364,1.5278872,1.7503346,17.811172,0.00085124443
185,-1.6770936,3.8500848,8.750569,1.994626,1.9804103,26.468359,0.0010640556
186,-1.5819086,3.817293,8.650635,1.7732939,1.852253,354.1693,0.0013300695
187,-1.621801,3.770322,8.616384,1.4224544,1.7890751,48.025936,0.0002138008
188,-1.7678337,3.7829425,8.330838,1.3729557,1.7178261,11.598732,0.000267251
189,-1.7392986,3.7837417,8.3102665,1.7923284,1.9108514,25.413008,0.00033406372
190,-1.4356849,3.788593,8.70033,2.268848,1.7721789,14.010441,0.00041757966
191,-1.8027537,3.8261964,8.894453,1.6339169,1.8266495,8.780474,0.0005219746
192,-1.7517543,3.8359342,8.609276,1.7662632,1.8560996,36.67134,0.00065246824
193,-1.7618756,3.7699397,8.366038,1.9028739,1.8890485,10.580508,0.0008155853
194,-1.6997235,3.8283684,8.941876,2.447498,1.8317705,11.457304,0.0010194817
195,-1.6668239,3.7654288,8.33978,2.0949612,1.8889532,16.748512,0.0012743521
196,-1.7815748,3.8097901,8.564144,1.8336425,1.8264508,11.748357,0.0015929401
197,-1.6585943,3.8511462,8.881925,1.7891717,1.9642485,102.839134,0.001991175
198,-1.6391413,3.8498497,9.067983,1.5567371,1.8665414,20.038244,0.001988393
199,-1.7872946,3.8359478,9.065374,1.767357,51.330894,21.59184,0.0024854913
200,-1.5573338,3.7365146,7.9836426,2.0311074,1.7745051,22.13484,0.0031068642
201,-1.6316433,3.7601047,8.401214,2.2126672,1.739555,58.891563,0.0038835802
202,-1.5524397,3.8234506,8.161387,1.7368902,1.7821026,35.481636,0.0009787487
203,-1.5380281,3.7780492,8.147973,1.7989385,1.8213989,88.38713,0.00021802868
204,-1.7087014,3.8267255,8.573061,2.4853237,1.7457807,14.883239,0.00027253586
205,-1.545991,3.8676028,8.911928,2.1138124,1.8102453,17.172085,0.00034066982
206,-1.5474907,3.743043,8.311429,1.7186067,1.7761688,10.644722,0.0004258373
207,-1.7122102,3.8066096,8.826726,1.7155665,1.80273,16.620113,0.0005322966
208,-1.582261,3.8534658,8.530268,2.0597243,1.7272183,15.328695,0.0006653707
209,-1.5556242,3.8137193,8.115557,2.1389968,1.7703327,15.325841,0.00083171343
210,-1.6460624,3.793632,8.676429,1.7176031,1.8312949,16.557135,0.0010396418
211,-1.609658,3.8720899,9.078227,1.7345945,1.9292392,17.996672,0.0012995523
212,-1.3936362,3.8593705,8.595411,1.9191531,1.8938714,27.663177,0.0016244403
213,-1.6267499,3.8342512,8.879438,1.4447706,1.7945381,16.238535,0.0020305505
214,-1.5892674,3.8270073,8.561353,2.1884625,1.9275745,31.03137,0.0025381881
215,-1.6145844,3.788737,8.109471,1.654134,1.9298501,22.659342,0.0031727352
216,-1.5043926,3.7760653,7.6015215,2.6364484,1.8672851,10.676903,0.003965919
217,-1.6463796,3.824122,8.514355,2.4298038,1.8100842,76.06559,0.0049573984
218,-1.5281262,3.7873616,8.307333,2.3266943,1.7942014,207.15724,0.006196748
219,-1.5192568,3.8516479,8.434681,1.89776,1.8355497,14.120452,0.007745935
220,-1.5319043,3.8183367,8.703144,1.6788466,1.7537524,195.67375,0.009682419
221,-1.6133031,3.822734,9.088189,1.8387538,1.8217146,14.46684,0.012103023
222,-1.5532587,3.7898629,8.335848,2.961822,1.7801802,31.329525,0.00036919976
223,-1.6684563,3.754519,8.397772,3.0316868,1.8283157,88.882645,0.0004614997
224,-1.6512681,3.8580303,8.136902,3.1248536,1.7434037,24.29166,0.00057687465
225,-1.7265,3.76428,7.7498546,1.8568715,2.080776,41.61042,0.0007210933
226,-1.7162634,3.8553684,8.713333,2.3100026,1.9552364,49.711094,0.00090136664
227,-1.7290897,3.8039591,8.265995,2.0767348,1.9083256,31.73042,0.00011950533
228,-1.5620441,3.7506905,8.200793,1.705219,1.7457023,16.803532,0.00014938165
229,-1.6395417,3.8163865,8.604587,1.6519285,1.7937752,15.842841,0.00018672706
230,-1.6894952,3.8225281,8.639986,1.7279695,1.8475622,29.063084,0.00023340882
231,-1.7398021,3.852201,8.936107,1.811722,1.8679923,16.347212,0.000291761
232,-1.7285225,3.8467016,9.526538,2.0068367,1.8366888,10.582869,0.00036470126
233,-1.5473096,3.8156471,8.650171,2.1635928,1.8597641,17.462915,0.00045587658
234,-1.5541538,3.8057003,8.30797,1.7233472,1.8220382,133.55353,0.0005698457
235,-1.7461772,3.8745046,8.588228,1.7179238,1.8343607,11.716485,0.00071230717
236,-1.7086047,3.7621453,8.407788,1.9413863,1.7345222,12.715406,0.00089038396
237,-1.5639329,3.8729813,8.852038,1.8140967,1.8956774,13.081049,0.00111298
238,-1.7525508,3.833561,8.803039,1.7165488,1.7433188,54.596104,0.0013912249
239,-1.7406207,3.7756891,7.8672185,2.0556183,1.8039434,24.085524,0.0017390312
240,-1.5642848,3.8256905,8.521273,1.652312,1.811902,19.60113,0.0021737888
241,-1.5604182,3.8532474,8.198679,1.9566149,1.825357,89.6448,0.002717236
242,-1.8084517,3.8342223,8.45405,2.1356475,1.9205607,29.475887,0.003396545
243,-1.7002246,3.7637115,8.283835,1.916749,1.8510851,13.696923,0.004245681
244,-1.7461585,3.8280158,9.097451,1.6804945,1.8502711,42.073715,0.0053071016
245,-1.7198927,3.7151997,7.3237143,1.9598327,1.737,59.00092,0.00062718877
246,-1.805282,3.7805078,8.657374,1.8956578,1.9001223,10.554781,0.00078398595
247,-1.6844722,3.7776775,8.207657,2.7379947,1.8356514,12.883721,0.0009799824
248,-1.6958003,3.8832088,8.762575,1.9930111,1.8290361,15.455698,0.001224978
249,-1.7730353,3.8291612,8.502618,2.2223144,1.8827895,15.422357,0.0015312225
250,-1.7212881,3.7870986,8.190167,2.3284974,1.8007042,8.261837,0.0019140281
251,-1.6717522,3.814683,8.51282,2.0420203,1.8874388,57.512207,0.002392535
252,-1.6833366,3.8916037,8.695583,2.177341,1.8223591,637.63464,0.0029906689
253,-1.6613438,3.7872765,8.798636,2.2510314,1.7693157,20.331902,0.0022612612
254,-1.7194186,3.866721,9.024486,2.0140133,1.7022856,7.665942,0.0011765023
255,-1.781414,3.8489242,9.174532,2.1070776,1.7338353,6.459413,0.001470628
256,-1.6239643,3.9038699,8.817911,2.511789,1.8361068,8.815704,0.001838285
257,-1.6795864,3.8793333,8.84899,2.5251076,1.9160436,81.067856,0.0022978564
258,-1.6720012,3.8138354,8.470114,2.5019965,1.8382525,12.10259,0.0005240695
259,-1.7428533,3.8041782,8.702391,2.7190702,1.8567559,72.75258,0.0006550868
260,-1.5922542,3.7649148,8.220728,2.1790297,1.761309,5.9848766,0.0008188585
261,-1.6091954,3.8110116,8.053908,1.7271833,1.8352273,11.315378,0.0010235731
262,-1.8130695,3.8326414,8.699566,2.889772,1.8066587,16.501883,0.0012794663
263,-1.8179818,3.8183768,8.389406,2.4791164,1.8259401,27.936003,0.0015993329
264,-1.6380664,3.761656,8.996174,2.2567246,1.8212154,23.211311,0.001999166
265,-1.7217095,3.8225062,8.747821,2.6962574,1.8532181,11.0614195,0.0024989576
266,-1.7904998,3.7630627,8.189068,2.4420176,1.7817652,18.954039,0.003123697
267,-1.724647,3.8452055,9.081167,2.0694492,1.8360895,10.135029,0.0007104643
268,-1.7285117,3.7986872,8.345599,2.1389112,1.6898878,22.802195,0.0008880804
269,-1.6542729,3.8485277,8.673341,2.3174212,1.8758751,16.442232,0.0011101005
270,-1.8570802,3.8556082,8.728625,2.2083776,1.9388239,7.335096,0.0013876257
271,-1.6684635,3.9498594,9.447551,2.7562308,1.8265972,13.846652,0.0017345322
272,-1.7679799,3.8138318,8.622224,2.1927328,1.9842751,41.13159,0.0021681653
273,-1.6736724,3.827001,8.856067,2.7936914,1.7694167,7.018951,0.0006359367
274,-1.7633055,3.8821852,9.449821,1.4806113,1.8764447,6.754737,0.00079492084
275,-1.8376958,3.871857,8.918663,2.2314475,1.9203613,20.500668,0.0009936511
276,-1.744876,3.8162124,8.97853,2.5789468,1.7989106,9.06748,0.0012420639
277,-1.7154399,3.7536404,8.446931,2.0259569,1.9651747,6.771656,0.0015525799
278,-1.778019,3.8198774,8.6238165,2.182664,1.8712494,13.347043,0.0019407249
279,-1.7700202,3.8342047,8.757521,2.0804493,1.9005295,6.9443088,0.0024259062
