epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.269892,2.6502829,3.916944,0.47769162,1.0638165,798.243,0.04
1,-0.68819475,4.00352,7.446704,7.8093715,2.1589293,3.8474567,0.049999997
2,-0.7205603,4.0191765,6.857958,12.637312,2.0902774,4.508172,0.02733164
3,-0.67939365,4.018252,6.8178873,14.779333,2.2003517,37.929626,0.01111778
4,-0.7492304,3.9479368,6.570464,16.148472,1.9786148,12.282107,0.002076657
5,-0.839281,3.9202354,6.1771235,12.391079,2.093834,4.6530986,0.0025958214
6,-0.65489256,3.9625542,6.3648386,20.61318,1.9448359,6.9715786,0.0032447767
7,-0.7680438,3.9940467,7.000943,14.076628,1.8598479,10.302005,0.0003934988
8,-0.7942089,3.9720697,6.837745,14.117359,2.023757,10.044361,6.524521e-05
9,-0.71630424,3.9382806,7.037939,14.852953,1.9818068,2.7273529,8.155651e-05
10,-0.8557378,3.9204948,6.512807,12.222857,2.0307322,10.359101,0.00010194563
11,-0.6535989,3.99469,6.338355,14.459024,1.8725084,13.174475,0.00012743204
12,-0.72809345,3.9600809,6.949582,16.209923,1.9687215,4.4378223,0.00015929005
13,-0.7961283,3.9464004,7.1701703,23.707638,2.121425,7.8014426,0.00019911256
14,-0.74893606,3.949835,6.548374,19.134485,2.068469,13.514453,0.0002488907
15,-0.7695085,3.921962,6.6052656,12.6211815,1.8358898,6.253579,0.00031111337
16,-0.79701126,4.0183625,6.991901,21.479744,1.9644071,3.992871,0.00038889173
17,-0.7057277,3.9838524,6.840757,19.743885,2.0315056,10.45394,0.00048611464
18,-0.8157423,3.931464,6.4843316,12.860638,2.0808847,5.708238,0.0006076433
19,-0.7748969,4.0830355,7.317167,12.849289,2.0089014,4.3602867,0.0007595541
20,-0.70883936,3.9738054,6.548813,12.287899,2.0530953,5.232542,0.0009494426
21,-0.89298314,3.905924,6.357395,15.757386,2.048517,3.4002643,0.0011868032
22,-0.6453777,3.9730425,6.41634,15.650729,2.155462,5.716478,0.001483504
