epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370546,2.1096246,5.014221,0.39243034,0.18856671,0.4858198,0.04
1,17.353422,2.0824542,4.4853306,0.44730422,0.19100752,0.53737813,0.049999997
2,17.335821,2.2131596,5.116994,0.53210616,0.19259383,0.6163536,0.062499996
3,17.12936,2.315402,5.8072114,0.6029838,0.19428924,0.6773866,0.07812499
4,17.026335,2.4473448,6.0029364,0.7615395,0.20473328,0.75943273,0.09765624
5,16.612976,2.7573369,7.6435213,1.0964577,0.21152838,0.9548468,0.122070305
6,16.074045,3.0110333,7.1401777,1.7310932,0.21542883,1.2263143,0.15258788
7,14.537473,3.5911052,8.625055,2.993611,0.2533418,1.4984009,0.19073485
8,11.189881,4.1233,10.188069,4.3104715,0.3203663,1.5605912,0.2
9,7.29454,4.0282526,11.967038,3.0775895,0.3264853,1.6852602,0.2
10,3.72503,4.511773,13.221122,3.1510615,0.3674535,1.8651311,0.2
11,-0.40740728,4.51886,13.199986,3.2815776,0.41102263,1.1764727,0.2
12,-2.7426648,4.45703,13.24265,2.7255626,0.41693687,0.7986721,0.2
13,-3.8853028,4.4743686,13.986988,2.2950528,0.42127293,0.67426074,0.2
14,-4.6703534,4.381947,14.231499,1.5327321,0.41926524,0.63388115,0.2
15,-5.328667,4.3590636,13.487383,2.0771456,0.427428,0.6525123,0.2
16,-5.936621,4.6500063,15.046519,2.2150552,0.4622575,0.6992601,0.2
17,-6.6431804,4.7165036,14.702444,1.8778056,0.47713453,0.69139624,0.2
18,-7.5711503,4.8866997,15.4766245,2.3441381,0.49652523,0.71910053,0.2
19,-8.367596,4.9025917,14.435021,3.008647,0.50684154,0.81129205,0.2
20,-9.663547,5.0604815,13.594979,2.8256724,0.5539452,0.91946346,0.2
21,-10.7112875,5.3074784,14.008598,2.7145097,0.56569,0.8621163,0.2
22,-12.137502,5.556284,13.447543,2.3096697,0.6213475,0.88804734,0.2
23,-12.704396,5.841547,11.50578,2.0150166,0.68089527,0.8498153,0.2
24,-13.622664,6.2638736,12.915488,2.32892,0.7689403,0.7746867,0.2
25,-14.413043,6.6684976,14.214507,2.3569741,0.8263281,0.85031575,0.2
26,-15.145186,7.0878124,13.859378,2.7140164,0.8785648,0.912697,0.2
27,-16.03139,7.1733375,14.4045315,2.4552608,0.8924352,0.9168006,0.2
28,-16.890364,7.4529166,13.034519,2.847716,0.88428164,1.1245673,0.2
29,-18.032082,7.5984645,13.314168,3.8067286,0.8782001,1.4371388,0.2
30,-20.40537,6.4250937,9.328314,3.4779944,0.60336095,1.780892,0.2
31,-22.337307,4.042639,5.984234,2.092077,0.25508782,1.4321781,0.2
32,-22.695957,3.8618624,5.1186614,2.606359,0.2652154,1.2861319,0.13491534
33,-23.043959,3.2160335,4.7515697,1.3163011,0.24559572,0.72832674,0.16864417
34,-23.20466,3.0742004,4.4782925,1.30437,0.24851507,0.6983998,0.2
35,-23.346014,2.9357946,4.7026286,1.3351723,0.23755965,0.6191931,0.2
36,-23.335825,2.7031417,3.9884987,1.0849335,0.23793706,0.7242649,0.16724135
37,-23.451431,2.8736124,4.8004465,1.73455,0.24224922,0.793632,0.12033523
38,-23.484358,2.5303702,4.2758093,0.76803994,0.23206832,0.51606804,0.09345027
39,-23.594828,2.4645114,4.9764276,0.84654605,0.22760226,0.38255793,0.11681284
40,-23.560087,2.491477,4.7832894,0.8373799,0.22058012,0.44737485,0.14601605
41,-23.574316,2.4595668,4.9138384,0.62277526,0.21853694,0.4131791,0.18252006
42,-23.7135,2.3667204,4.3643656,0.87751323,0.21459177,0.40104714,0.2
43,-23.66537,2.3611062,4.722197,0.93193406,0.2216995,0.49428183,0.1817
44,-23.624008,2.604996,4.8314247,1.4645857,0.21898574,0.824227,0.09193145
45,-23.754011,2.229379,3.977644,0.53131765,0.2143454,0.31828853,0.11491431
46,-23.766626,2.2481935,4.568301,0.560436,0.22153036,0.2923042,0.14364289
47,-23.755754,2.265876,4.3660045,0.5414723,0.21504474,0.35831532,0.17955361
48,-23.751453,2.2610867,5.3191166,0.8587604,0.2117282,0.42495102,0.2
49,-23.836153,2.2391236,3.7060347,0.5647779,0.21371453,0.3609873,0.2
50,-23.794867,2.2547715,4.06872,0.6677217,0.22166868,0.5248937,0.16950725
51,-23.767656,2.2358336,5.0111003,0.85925287,0.21836166,0.547241,0.09231091
52,-23.88109,2.162281,3.317655,0.47693405,0.2161518,0.28895977,0.11538864
53,-23.829887,2.1443782,3.0991127,0.53548914,0.21636209,0.23876308,0.1442358
54,-23.781116,2.1378112,3.559984,0.46070355,0.21828094,0.23704006,0.18029475
55,-23.853504,2.1427886,4.0449433,0.48377156,0.22184937,0.29615638,0.2
56,-23.830938,2.0873773,5.0192623,0.41295582,0.21014719,0.3033718,0.2
57,-23.83364,2.1115267,4.421109,0.5682937,0.22373986,0.34728667,0.2
58,-23.854876,2.2024148,4.254303,0.81159294,0.22792938,0.4494493,0.144926
59,-23.865711,2.0599267,4.140892,0.5593852,0.21941023,0.33685648,0.14220144
60,-23.94461,2.069008,4.454319,0.52912635,0.22236358,0.26728705,0.1777518
61,-23.98039,2.0480154,4.3554387,0.70198095,0.2185685,0.31438705,0.2
62,-23.92622,2.0483398,4.267913,0.8149387,0.21278372,0.43574956,0.15156698
63,-23.940125,2.0430489,3.9168823,0.49224073,0.2155035,0.37523562,0.13107501
64,-23.966446,1.9957688,4.9410834,0.7055207,0.21605772,0.31094906,0.16384377
65,-23.982262,1.9531795,3.9087915,0.44021156,0.21783344,0.28413865,0.2
66,-23.936678,1.9757249,4.487612,0.65270376,0.21205598,0.3861781,0.16772257
67,-23.909626,1.9687679,5.130937,0.6485565,0.20484027,0.45237458,0.11894434
68,-23.969975,1.9928195,3.296708,0.78297853,0.21883202,0.42209998,0.08627738
69,-23.959375,1.9291185,5.7410502,0.40285942,0.21467036,0.32184872,0.10784672
70,-23.985502,1.9179223,4.2919736,0.29016662,0.22127102,0.20524594,0.1348084
71,-23.939722,1.8796325,3.6720617,0.30939192,0.2168224,0.20324056,0.16851051
72,-24.00218,1.8979251,3.666697,0.35349312,0.21674785,0.28064042,0.2
73,-23.995497,1.8961133,3.187018,0.51755655,0.2213829,0.26389915,0.2
74,-24.020784,1.9601083,3.2921913,0.60644114,0.21792652,0.48120213,0.14437105
75,-24.040497,1.896285,4.621182,0.59970886,0.21431617,0.43890634,0.09407413
76,-24.002325,1.7929881,4.6069536,0.34091264,0.20066431,0.1996165,0.11759266
77,-24.040218,1.8065861,5.0313,0.38133293,0.20642994,0.19847758,0.14699084
78,-24.075697,1.7871214,4.210461,0.30648878,0.2084784,0.20294096,0.18373854
79,-24.063915,1.8317554,4.5315204,0.46369368,0.21533808,0.18633607,0.2
80,-24.023266,1.7992749,4.7851496,0.73837185,0.21136421,0.24358141,0.2
81,-24.009329,1.8521715,4.723578,0.9279614,0.21030393,0.40364695,0.11510257
82,-24.069105,1.7693509,4.596675,0.42713195,0.20853493,0.23813745,0.1438782
83,-24.053205,1.7656529,5.3008265,0.5358859,0.20423475,0.21607117,0.17984776
84,-24.084652,1.7639599,4.9538584,0.31443843,0.20739728,0.23478836,0.2
85,-24.059515,1.8016822,4.7746572,0.42164966,0.20547517,0.3264764,0.1656501
86,-24.072641,1.7373427,4.029447,0.5489823,0.1982643,0.31977808,0.14766762
87,-24.0808,1.709367,4.3211927,0.32928833,0.2025063,0.20762391,0.18458453
88,-24.090027,1.7441536,4.516109,0.4043882,0.20849772,0.26479295,0.2
89,-24.100227,1.7860879,4.77555,0.7242942,0.21070896,0.3868907,0.100223176
90,-24.140326,1.6595732,3.6399078,0.30685413,0.20183085,0.15971668,0.12527896
91,-24.090694,1.6924843,4.210404,0.29993823,0.20636228,0.17038196,0.1565987
92,-24.102352,1.6778928,4.8523126,0.45208508,0.20314275,0.21243696,0.19574837
