epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.014231,0.39245194,0.27420887,0.93176544,0.04
1,17.356873,2.0971794,4.5103,0.4729918,0.2705393,1.054192,0.049999997
2,17.189117,2.2860787,5.230703,0.59026545,0.28231633,1.2308728,0.062499996
3,16.984879,2.3880987,5.45172,0.7479973,0.27752665,1.417725,0.07812499
4,16.710297,2.6320035,5.6467175,1.1059725,0.28231487,1.7785144,0.09765624
5,15.940412,3.1923547,6.6588297,1.7989659,0.32037225,2.3523686,0.122070305
6,13.976343,4.0070443,7.5881376,3.3334322,0.41203165,2.9923391,0.15258788
7,9.195928,4.9102507,9.589047,4.564306,0.5832257,2.9940426,0.19073485
8,1.9996943,4.7977996,9.482559,3.8703778,0.683785,1.9500726,0.2
9,-1.1617587,4.3600974,10.59192,2.1743882,0.6483065,1.197621,0.2
10,-1.9631728,4.174441,10.415001,1.2762867,0.61988986,0.90499157,0.2
11,-2.4052868,4.12918,10.46123,1.28877,0.59779096,1.025246,0.2
12,-2.90912,4.162396,9.5166645,1.5617383,0.61772996,1.0627669,0.2
13,-3.0891519,4.245084,11.422962,1.5675017,0.617382,0.97384316,0.2
14,-3.5448291,4.2179484,10.4306755,1.6044244,0.6292772,1.0938126,0.2
15,-4.2373257,4.155343,10.392298,2.2045972,0.6171624,0.943817,0.2
16,-4.8906307,4.1556497,10.586567,2.208862,0.62754846,1.1660727,0.2
17,-5.4643874,4.3222165,10.939387,2.0005107,0.6622152,1.1861712,0.2
18,-6.3656797,4.403688,12.235723,2.1310716,0.6692207,1.2161925,0.2
19,-7.0713787,4.5241976,11.753371,2.2781951,0.71726066,1.211335,0.2
20,-7.926261,4.7172766,11.923895,1.8574846,0.79124403,1.2271564,0.2
21,-8.519467,5.014937,13.191127,2.2052352,0.8729498,1.2353842,0.2
22,-9.08968,5.265143,13.828011,2.1261222,0.93725973,1.4631634,0.2
23,-9.822379,5.4215984,15.043677,1.9756603,0.9913813,1.3003777,0.2
24,-10.319974,5.5038724,13.23538,2.3999183,1.0231208,1.391812,0.2
25,-10.685279,5.6090093,11.7289715,2.974934,1.0740169,1.4181765,0.2
26,-11.483825,5.9809227,14.212175,2.9471009,1.1390157,1.3451834,0.2
27,-12.352082,6.154365,15.194722,3.6553228,1.1550788,1.5290608,0.2
28,-12.960837,6.540664,13.235729,4.1045446,1.2592221,1.6037368,0.2
29,-13.964515,6.608093,12.510334,3.351154,1.288078,1.5380396,0.2
30,-14.283892,6.9886456,11.72313,3.218704,1.3915864,1.5526737,0.2
31,-14.859725,7.1961184,13.964462,3.9174547,1.4245527,1.5438337,0.2
32,-15.29093,7.2982483,11.988741,3.5236058,1.4703771,1.6180278,0.2
33,-15.690143,7.417072,12.669965,3.3292298,1.5212281,1.5871717,0.2
34,-16.607151,7.4267774,10.47714,3.2714741,1.5224088,1.677462,0.2
35,-16.472204,7.611043,12.020178,3.974551,1.5958384,1.4675488,0.2
36,-16.888111,7.756569,11.232665,3.3286123,1.5551658,1.5456117,0.2
37,-17.336552,7.7256618,8.824196,3.8248427,1.616933,1.6899239,0.2
38,-18.059694,7.412737,8.9031515,3.8255086,1.4931929,1.7986158,0.2
39,-18.51213,7.5973225,9.508746,5.389377,1.5502331,1.9287649,0.2
40,-19.356562,7.095225,8.224899,3.938173,1.433009,1.9072342,0.2
41,-20.209482,6.970808,8.862046,8.097876,1.3262972,2.3313618,0.2
42,-21.95191,4.7577176,7.250355,5.284217,0.69235754,2.760912,0.17940809
43,-22.462744,4.0410604,7.1306944,5.64869,0.56864345,2.2435846,0.11664819
44,-23.20021,2.7717566,6.413482,2.3480117,0.46906972,1.1793927,0.14581023
45,-23.327765,2.5460818,5.5428944,1.9037136,0.45315993,0.9705995,0.1822628
46,-23.346601,2.5280278,6.3019013,1.3823838,0.44250387,1.0317874,0.15219346
47,-23.445473,2.4023132,6.838998,1.4646921,0.43079573,0.743932,0.19024181
