epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,20.056925,0.39240766,2.8274698,7.2460923,0.04
1,17.184793,2.2541082,19.895765,0.46008137,2.9901512,8.2883005,0.049999997
2,17.05638,2.568548,20.101372,0.67574036,3.126608,10.516824,0.062499996
3,16.61621,3.1325529,25.259716,0.97954625,3.3750484,13.083819,0.07812499
4,15.60022,4.098111,30.104336,1.6395055,4.3798275,16.691195,0.09765624
5,13.009439,5.75062,30.359024,2.9194431,6.507582,19.592987,0.122070305
6,6.817841,6.788225,25.146044,3.8380764,10.251343,14.545529,0.15258788
7,1.8263638,5.1040616,25.420984,2.2513294,10.381725,6.301924,0.19073485
8,0.048986174,4.342482,31.43902,1.6951686,8.31595,3.870093,0.2
9,-0.32220712,4.1488943,32.266014,1.6375577,7.9210005,3.0654733,0.2
10,-0.8743954,3.9481072,28.847921,1.3384315,7.863861,2.6739645,0.2
11,-0.9991277,3.96855,27.771965,1.1887398,7.518512,1.9391283,0.2
12,-1.1506511,3.9301765,29.18275,1.3770452,7.087231,1.884518,0.2
13,-1.5193678,3.9524472,29.773813,1.1554418,7.5096326,2.3970408,0.2
14,-1.5485281,3.8749046,28.27697,1.21593,7.165012,2.1617014,0.2
15,-1.6932554,3.9218402,27.664732,1.2992774,7.3682866,1.774681,0.2
16,-2.083107,4.0008125,33.87617,1.3279021,7.7036104,1.7611306,0.2
17,-2.1108017,3.8537695,28.316854,1.1664208,7.483354,1.8068557,0.18412937
18,-2.0339527,3.9073536,31.381992,1.1090263,7.079351,2.0667121,0.2
19,-2.364165,3.8216813,29.796495,1.1910051,7.3630004,1.7601883,0.2
20,-2.3802006,3.8674862,30.256073,1.2291062,7.4298525,1.9826481,0.18973213
21,-2.3329098,3.903798,31.918736,1.4077405,6.9885626,1.6221541,0.2
22,-2.492294,3.8613088,30.528257,1.3943074,7.4717665,1.8413326,0.2
23,-2.5596185,3.8714256,30.312992,1.1074266,7.2219625,1.710279,0.19312233
24,-2.7235744,3.8218548,29.338652,1.3514392,7.361678,1.980126,0.2
25,-2.6032605,3.8784184,32.555386,1.320411,7.0990577,2.1706934,0.2
26,-2.7305977,3.7921293,28.82012,1.4131423,7.535639,1.8151616,0.2
27,-2.6637032,3.7714295,29.80517,1.2651702,7.6941376,1.6488196,0.2
28,-2.618308,3.7636902,28.323341,1.294333,6.953981,1.9817754,0.1823972
29,-2.8960783,3.8244784,31.17294,1.4092153,7.267803,1.8982321,0.2
30,-2.9369125,3.850483,29.331997,1.3579994,7.3536134,1.6120992,0.2
31,-2.8487945,3.8623066,30.998266,1.3245913,7.52737,2.1388423,0.2
32,-2.9552686,3.8454797,29.95813,1.3588163,7.4285464,1.7082705,0.2
33,-3.0177495,3.852936,30.667488,1.3565242,7.0393014,1.9768449,0.2
34,-2.968272,3.825817,27.451721,1.4255272,7.505483,1.930915,0.2
35,-2.8285415,3.8982513,29.770004,1.4809213,7.410621,1.5399978,0.2
36,-2.8217304,3.974491,34.139626,1.5045378,7.797912,1.8301843,0.2
37,-2.935784,3.9077067,30.2499,1.5442847,7.607656,2.0755112,0.2
38,-3.2266734,3.8340042,27.89904,1.246142,7.512309,2.0215683,0.2
39,-2.9958105,3.8821003,26.837656,1.4018257,7.5469565,2.0380096,0.2
40,-3.083968,3.8320951,29.782478,1.6663328,7.313829,1.625594,0.2
41,-3.1422725,3.908338,30.38409,1.198278,8.041064,2.2247972,0.2
42,-3.274091,3.9124548,31.477312,1.4504148,7.4036527,1.7077955,0.2
43,-3.276363,3.9400935,36.76117,1.3780761,7.647076,2.278065,0.2
44,-3.475701,4.024716,35.691566,1.4215337,7.6768603,2.105804,0.2
45,-3.1055753,3.9523573,31.927303,1.4016352,7.949073,2.5274227,0.19603391
46,-3.147183,3.9703724,33.485806,1.340419,7.6293,1.9533516,0.2
47,-3.4642215,3.712536,29.603737,1.4286476,7.3600044,2.2474911,0.2
48,-3.5610702,3.9761648,33.80626,1.9315068,7.946175,2.2706742,0.2
49,-3.5360677,3.9619215,35.818092,1.5361954,7.2439966,2.0674698,0.2
50,-3.5984156,3.9053905,31.936764,1.30841,7.4587226,1.9898313,0.2
51,-3.5511787,3.9574797,35.549023,1.4008448,8.19412,1.8448701,0.2
52,-3.5334983,3.9308505,35.609123,1.2947083,7.8496237,2.3217387,0.2
53,-3.7532797,3.919858,41.16464,1.4167278,7.5842094,1.8027896,0.2
54,-3.6518824,3.8571322,37.686478,1.4623432,7.409503,2.140368,0.2
55,-3.7519968,3.944167,39.14809,1.3974438,7.935192,1.9048045,0.2
56,-3.4496503,3.9028156,30.538425,1.4467392,7.8279023,2.0533657,0.17617364
57,-3.3540957,3.7927406,28.332127,1.2765021,7.727176,2.2765062,0.2
58,-3.449909,3.9025652,32.022354,1.2645534,7.6566534,1.7996304,0.2
