epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.269886,2.6502817,15.667861,0.4777444,4.258232,8.537687,0.04
1,26.120148,2.9547753,16.038008,0.63284147,4.1383376,10.465094,0.049999997
2,25.734821,3.527138,15.771551,1.0292022,4.605128,13.578034,0.062499996
3,24.748278,4.6588397,17.718899,1.822209,5.1153393,18.038017,0.07812499
4,21.752222,6.7398267,14.863072,3.6998231,7.0402923,23.29406,0.09765624
5,12.924541,8.885555,17.686506,5.9769244,12.245227,22.212046,0.122070305
6,2.2446938,5.990177,31.114105,4.123881,11.502385,7.167362,0.15258788
7,0.5002792,4.7766743,30.570374,2.3834174,8.65499,5.245017,0.19073485
8,-0.64443105,4.414833,25.895054,2.043976,8.58727,4.340567,0.2
9,-1.0291551,4.2343655,23.920162,2.0418735,8.2819195,3.765134,0.2
10,-1.1284196,4.152593,25.617199,1.7518308,8.070937,4.1290994,0.2
11,-1.3643942,4.129357,25.647844,1.5089122,8.614822,3.2395198,0.2
12,-1.6308079,4.046008,23.630854,1.8881238,8.543346,3.6289737,0.2
13,-1.6123655,4.149117,24.135601,1.7052466,8.217517,3.7733052,0.2
14,-1.7285075,3.9910653,22.009714,1.7593118,8.528232,3.899269,0.2
15,-1.6066911,3.933989,21.391903,1.4915681,7.6285653,3.0503464,0.2
16,-1.7435822,4.129766,22.398487,1.8323324,8.969051,4.0673313,0.2
17,-1.808072,4.0409493,20.75389,1.772175,8.557345,3.3319108,0.2
18,-1.812022,4.0510135,22.770971,2.3828206,8.444146,2.7528484,0.2
19,-1.7797692,3.9371955,21.277592,1.3892233,7.6482716,3.2723246,0.2
20,-1.9920915,3.8941905,19.25331,2.3025153,8.422579,3.328784,0.2
21,-2.0785503,4.0137763,21.066105,1.894779,8.6199045,2.6433,0.2
22,-2.2005277,3.8473272,16.648426,1.8724936,7.7237015,2.9891968,0.2
23,-2.242552,3.8870478,20.277412,1.6171552,7.6914825,2.4526079,0.2
24,-2.4028792,3.929931,18.98489,2.3074784,8.095135,2.6168225,0.2
25,-2.3810031,4.0401325,20.523247,2.2425687,8.204394,2.6790485,0.2
26,-2.5207036,3.9613056,19.74891,2.0965161,8.095911,2.7204287,0.2
27,-2.6669648,3.9694066,20.442827,1.679586,8.519687,3.1407704,0.2
28,-2.5990984,3.9236236,21.422255,1.7505376,8.07728,2.4534621,0.2
29,-2.5649598,3.8352888,19.532284,1.6737311,7.5524755,2.3059137,0.2
30,-2.8114252,3.977701,20.917738,1.6104298,8.551623,2.8226779,0.2
31,-2.6484487,3.994779,21.370275,1.7579521,8.313555,3.1496203,0.2
32,-2.797376,3.9273365,17.18158,1.9209505,8.699312,2.9646835,0.2
33,-2.837541,3.8348198,17.811632,1.7344321,8.470342,3.534332,0.2
34,-2.8376691,3.8348467,19.368227,1.7187895,7.6390696,2.9398355,0.2
35,-3.0032904,3.8730402,18.850906,2.0225368,8.460689,3.250429,0.2
36,-2.9166274,3.885425,19.602697,1.6880711,7.9496326,2.8262975,0.2
37,-2.7336938,3.9265049,19.20474,1.764737,8.544601,3.007043,0.2
38,-2.9252398,3.9683843,17.5539,2.3410797,8.554819,2.5802236,0.2
39,-2.9973564,3.8845544,17.607746,1.6391959,8.283864,2.4840777,0.2
40,-2.8757617,3.8681684,18.706017,1.5469573,7.4387345,2.650772,0.2
41,-3.0829873,3.941198,15.138938,2.0211027,8.146714,3.1904798,0.2
42,-3.2349706,3.914118,16.791182,1.9098227,8.521216,2.678872,0.2
43,-2.979255,3.9406762,18.47149,1.7467667,8.786889,3.1890752,0.2
44,-3.0137208,3.8206093,16.74344,1.9700729,7.9918942,3.0441945,0.2
45,-3.1650643,3.9767451,17.648844,2.0158892,8.109093,2.3584793,0.2
46,-3.0280006,3.821274,15.8568125,1.5798827,8.422519,4.1014023,0.2
47,-3.1431816,3.9465675,16.215673,1.8744674,8.469205,3.1256742,0.2
