epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370546,2.1096246,5.014221,0.3924304,0.28431618,0.9720837,0.04
1,17.344822,2.099527,4.5172467,0.47702107,0.28202894,1.1109636,0.049999997
2,17.219149,2.3017554,5.2333546,0.5831716,0.2950918,1.3051292,0.062499996
3,16.949802,2.394647,5.488027,0.76001954,0.29625666,1.4974986,0.07812499
4,16.706608,2.653458,5.209829,1.1987612,0.2964685,1.8976067,0.09765624
5,15.806404,3.226076,6.57923,1.9086299,0.32642335,2.546797,0.122070305
6,13.699411,4.1212764,7.331382,3.3965442,0.4316248,3.1735272,0.15258788
7,8.398394,4.9237394,8.554284,4.6197753,0.62494004,3.143485,0.19073485
8,1.5211098,4.577495,9.821945,3.5664587,0.6840257,1.6739708,0.2
9,-0.9257737,4.0857716,9.163558,1.8293433,0.6276057,1.0777886,0.2
10,-1.8538179,4.036742,9.3935795,1.2903597,0.61849785,1.0615717,0.2
11,-2.185325,4.036204,9.8035555,1.3109996,0.61275554,0.9538932,0.2
12,-2.4620712,4.0541067,9.840563,1.4376165,0.6258911,1.0058622,0.2
13,-2.9621994,3.9936771,10.024454,1.3599155,0.6081008,0.92151386,0.2
14,-3.2254643,4.0876617,11.117125,1.4979091,0.60323614,1.0900542,0.2
15,-3.706236,4.045243,10.353652,1.4539044,0.63505757,1.0988458,0.2
16,-4.162218,4.216051,11.593294,1.7767314,0.6488274,1.1630301,0.2
17,-4.748073,4.2962613,12.938836,2.1559157,0.65755194,1.0955274,0.2
18,-5.2151856,4.2415366,11.911021,2.1839163,0.6704112,1.2472755,0.2
19,-5.9170675,4.2247105,11.995075,2.6364548,0.6592718,1.2529083,0.2
20,-6.81325,4.415626,13.3372345,2.712927,0.6826399,1.2792058,0.2
21,-7.511981,4.420418,12.604866,3.0676346,0.7214528,1.2843777,0.2
22,-8.479737,4.671791,12.720016,2.6344388,0.78992873,1.4180799,0.2
23,-9.502531,4.9396663,12.954251,2.7487423,0.8578075,1.6353499,0.2
24,-10.343907,5.4212265,12.711552,3.7667391,1.006922,1.535601,0.2
25,-11.258152,5.6953883,13.421794,2.4619694,1.0706407,1.5905322,0.2
26,-11.971882,5.9816914,12.921764,2.5703485,1.1663009,1.7127266,0.2
27,-12.84283,5.964555,12.129528,2.8113046,1.1702138,1.6864161,0.2
28,-13.429377,6.330022,12.293175,3.366052,1.3017758,1.5696307,0.2
29,-14.071685,6.414289,13.354034,2.948641,1.3064373,1.6525795,0.2
30,-14.566226,6.5861406,13.243213,2.6390245,1.3553767,1.6044893,0.2
31,-14.95878,6.8201423,13.742296,2.8073506,1.4313891,1.4396967,0.2
32,-14.959818,7.221806,12.231458,2.5876915,1.5090464,1.5678129,0.2
33,-15.798765,7.0880218,11.010419,2.4635284,1.493053,1.7673128,0.2
34,-15.791064,7.291047,12.813791,3.5128202,1.5170007,1.5470458,0.2
35,-16.47251,7.344098,12.970126,3.4104276,1.5510089,1.649288,0.2
36,-16.611261,7.528006,12.874105,3.134896,1.5771271,1.7805796,0.2
37,-16.660925,7.643708,10.302001,2.4065697,1.6476482,1.7357277,0.2
38,-16.981413,7.7231016,11.626182,3.9977393,1.6565759,1.8699467,0.2
39,-17.42505,7.8516765,11.851189,3.57213,1.6593441,1.9291832,0.2
40,-18.542141,7.3876843,9.608554,3.147057,1.5524518,1.9378854,0.2
41,-19.087662,7.1742353,10.553353,6.5830207,1.4638162,2.226086,0.2
42,-19.872356,6.925616,10.754314,7.2637286,1.3804114,2.3366919,0.2
43,-21.723484,4.9026375,9.102583,5.1414356,0.7895726,2.700162,0.2
44,-22.397167,4.258453,7.881678,6.967193,0.62202173,2.3892155,0.09411581
45,-22.905811,2.98425,7.9367685,2.637132,0.49972916,1.4496576,0.11764476
46,-23.142162,2.771452,6.5477753,2.689077,0.47172222,1.0032344,0.14705595
47,-23.142694,2.7466087,6.4601603,1.9577769,0.45981464,1.0579382,0.10034657
48,-23.246187,2.5648801,5.9671235,2.1733027,0.43904105,0.9569887,0.049461104
49,-23.370687,2.36906,6.2824616,1.1641878,0.45079702,0.6069787,0.061826378
50,-23.385605,2.3307407,7.064938,0.56044644,0.43403432,0.5200729,0.07728297
51,-23.480143,2.25283,6.623871,0.556025,0.4354543,0.54544044,0.096603714
52,-23.427687,2.2147036,6.8789244,0.73685163,0.43429086,0.45355755,0.120754644
53,-23.486605,2.0951679,5.138725,0.80936253,0.40759167,0.50804764,0.15094331
54,-23.486189,2.1459136,6.0371575,1.5817657,0.40113097,0.75378925,0.1268076
55,-23.563555,2.3123372,5.8349643,2.3626888,0.42414752,0.95719004,0.059538487
56,-23.565922,1.9736941,5.573039,0.4446696,0.4041593,0.36606956,0.07442311
57,-23.67426,1.9031087,5.266683,0.3599583,0.38595104,0.35325474,0.09302889
58,-23.692257,1.9114578,5.785282,0.29242897,0.39544046,0.35012466,0.116286114
59,-23.82473,1.8318688,5.1232905,0.3083474,0.3897087,0.3647231,0.14535764
60,-23.724363,1.8625381,5.0611,0.3721852,0.38272431,0.5125598,0.18169704
61,-23.706047,2.0793242,6.998429,0.9437902,0.38444972,0.8736256,0.09034429
62,-23.80347,1.7518848,4.57445,0.95560753,0.37256962,0.49689904,0.063874885
63,-23.79695,1.7936621,6.963857,0.19006059,0.36933625,0.2688784,0.07984361
64,-23.83152,1.7095808,4.893854,0.34913224,0.37580582,0.2931205,0.09980451
65,-23.810743,1.699972,4.7223167,0.35768175,0.37559846,0.2608052,0.12475564
