epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.370567,2.10961,5.014231,0.39240766,0.70686746,7.2460923,0.04
1,17.231575,2.2600732,4.560642,0.5384464,0.70666903,9.19928,0.04
2,16.977942,2.6504254,4.6259103,0.78671896,0.7197111,11.36115,0.04
3,16.29626,3.4536521,5.585073,1.3948271,0.86236095,14.55287,0.04
4,15.120945,4.3989506,5.0891156,2.0114136,1.110501,17.478369,0.04
5,12.679145,5.7426357,4.7472734,3.147892,1.7829244,19.021698,0.04
6,8.993091,6.523748,6.635974,3.5643523,2.5948064,16.780804,0.04
7,5.0679436,6.2964835,7.113179,3.586296,2.8090587,13.14281,0.04
8,2.383685,5.6477604,7.580258,2.7725737,2.8054457,8.231615,0.04
9,1.0485212,4.862406,7.1459875,2.3849683,2.522183,5.2923193,0.04
10,0.31961384,4.6046743,7.792333,1.7272613,2.3481812,4.5517,0.04
11,0.02635472,4.2812114,7.9747076,1.303366,2.061771,3.1020863,0.04
12,-0.21477969,4.191263,7.821787,1.4498086,2.0852852,3.316059,0.04
13,-0.44967312,4.070929,7.1762342,1.5818728,1.9198669,2.7408242,0.04
14,-0.6133701,4.12212,8.221686,1.5423623,2.2257462,2.8052409,0.04
15,-0.68067974,4.0257626,7.5545635,1.4488482,1.9917362,2.358618,0.04
16,-0.7118612,3.9313283,7.450711,1.3893828,1.979947,2.7781398,0.04
17,-0.8670951,3.9316885,7.459984,1.2260242,1.9488813,2.1464722,0.04
18,-0.94232374,3.913957,7.4844,1.0659503,1.8449507,2.258783,0.04
19,-0.9602175,3.9252295,7.732845,1.4163947,1.8609058,1.9822439,0.04
20,-0.98253465,3.903982,7.7039495,1.28136,1.7275585,2.725252,0.04
21,-1.1636993,3.9057977,7.5407825,1.4972357,1.8437822,2.4900217,0.04
22,-1.1737695,3.898452,7.680058,1.2710849,1.8675275,2.1925063,0.04
23,-1.2198433,3.850824,7.29352,1.2602217,1.7339925,2.6588378,0.04
24,-1.1747068,3.861662,7.5208697,1.1533382,1.8866084,2.2412124,0.04
25,-1.1830784,3.8389618,7.3389044,1.2037747,1.8786523,2.1513448,0.04
26,-1.3432505,3.8815231,7.88969,1.1278458,1.7769728,2.203501,0.04
27,-1.4577966,3.8594651,8.055176,1.2604542,1.9057982,2.3178163,0.04
28,-1.3927875,3.883597,7.8092127,1.1049,1.8375912,3.1239738,0.04
29,-1.4219171,3.8228302,7.752212,1.2937814,1.9073566,2.2278123,0.04
30,-1.4541761,3.8706977,7.3770127,1.2123963,1.8411558,1.9610666,0.04
31,-1.4998684,3.9139,8.231396,1.3182944,1.8092333,2.3717868,0.04
32,-1.5972074,3.912313,8.014332,1.2049707,1.8731387,2.019323,0.04
33,-1.5524954,3.8193202,7.807586,1.4717785,1.7584283,2.540805,0.04
34,-1.5237988,3.8508813,8.113826,1.1418107,1.7252585,1.8632587,0.04
35,-1.5367299,3.8563833,7.954873,1.3059797,1.7678604,2.0876687,0.04
36,-1.6630979,3.8552399,7.987847,1.1888291,1.6999661,1.693984,0.04
37,-1.7457618,3.9366066,7.9404774,1.0504913,1.7956412,2.2433858,0.04
38,-1.7436281,3.8556366,7.82784,1.4479438,1.8786396,2.0292218,0.04
39,-1.7955174,3.7884467,7.644713,1.2134024,1.8972992,1.825982,0.04
40,-1.7685716,3.8870618,7.8604517,1.2226156,1.9012995,2.2836597,0.04
41,-1.8437165,3.8837667,8.361879,1.3390782,1.7521139,2.31027,0.04
42,-1.7916614,3.826849,8.020378,1.1907718,1.7654887,2.6315486,0.04
43,-1.7445143,3.9019415,8.688374,1.1751097,1.7278848,2.070373,0.04
44,-1.9870919,3.8930454,8.245234,1.2846761,1.747146,1.368602,0.04
45,-1.9002709,3.8981857,7.8478017,1.37354,1.894299,1.7248756,0.04
46,-1.8221915,3.8518877,7.976692,1.4203221,1.8173795,2.2998405,0.04
47,-1.9679782,3.828479,8.098411,1.4549774,1.8575886,2.4405694,0.04
48,-2.0363371,3.829835,8.148933,1.088685,1.8451647,2.4176533,0.04
49,-2.0065396,3.8599412,8.138373,1.2026802,1.8607222,2.0084748,0.04
50,-2.0766392,3.7499688,7.870788,1.300174,1.7634565,2.242897,0.04
51,-2.049534,3.9035783,8.767794,1.102495,1.8477085,1.898398,0.04
52,-2.1379926,3.9044034,8.31812,1.1850302,1.782413,2.2768843,0.04
53,-2.1558452,3.8996022,9.099983,1.2704507,1.6888111,1.9680086,0.04
54,-2.2065313,3.8716867,8.364969,1.3011752,1.8207644,1.882511,0.04
55,-2.0478544,3.9423294,8.520124,1.3238848,1.9054179,2.1571343,0.04
56,-2.273227,3.876822,8.319958,1.1415431,1.746178,2.2394361,0.04
57,-2.224404,3.933565,8.533493,1.4203228,1.8586084,1.8461386,0.04
58,-2.3584962,3.8554983,8.462606,1.3794011,1.7474377,2.0350614,0.04
59,-2.4041176,3.8957787,9.080782,1.363934,1.8693377,1.5509148,0.04
60,-2.4554107,3.8889668,8.895376,1.2764736,1.8696074,1.6685276,0.04
61,-2.3108418,3.9145582,8.258434,1.3138785,1.9080133,2.2402742,0.04
62,-2.401287,3.9564095,8.69064,1.3140924,1.8910832,2.0777326,0.04
63,-2.352126,3.8636618,8.354294,1.6079037,1.878707,2.0401933,0.04
64,-2.3991055,3.8702078,8.824362,1.4973761,1.8502513,1.7772504,0.04
65,-2.5520053,3.9698637,9.158927,1.6692702,1.918368,1.756703,0.04
66,-2.3802705,3.865525,7.981852,1.4148823,1.7960747,1.9894845,0.04
67,-2.3644722,3.8925996,9.033298,1.4753213,1.8203055,2.1032526,0.04
68,-2.63568,3.9495566,9.030433,1.3918519,1.8429234,2.5246775,0.04
69,-2.5209851,3.9697485,8.967887,1.2249186,1.8190075,2.3712554,0.04
70,-2.5611384,3.9519315,9.664737,1.4811965,1.7704655,1.9859526,0.04
71,-2.667773,3.8384945,8.569368,1.4467329,1.7532262,2.017423,0.04
72,-2.5700316,3.9784312,8.625107,1.3101628,1.9676671,2.1457412,0.04
73,-2.6524947,3.904168,9.042426,1.4592406,1.8161628,1.9767469,0.04
74,-2.6454544,4.0116453,9.216515,1.3921186,1.887286,2.1548345,0.04
75,-2.7427578,3.8780935,9.434655,1.7557423,1.8358366,1.8480505,0.04
76,-2.7717087,3.9476173,10.287305,1.4109678,1.8112764,1.9177302,0.04
77,-2.6344306,3.952482,9.441104,1.3042707,1.8864918,1.4211093,0.04
78,-2.862516,3.9809885,9.742738,1.2202336,2.026548,2.178057,0.04
79,-2.7522423,3.9235334,9.832887,1.387787,1.7749407,1.8934548,0.04
80,-2.8272393,4.002657,9.958075,1.2858876,1.8540957,1.5974323,0.04
81,-2.921162,3.983057,9.237804,1.2766021,1.880846,1.733412,0.04
82,-2.8258667,3.911663,8.94878,1.5985638,1.9034283,1.6451904,0.04
83,-3.0142248,3.864077,9.568677,1.3401066,1.8942654,1.6804509,0.04
84,-3.0875025,3.9995797,10.259003,1.6083335,1.8963301,1.9401265,0.04
85,-2.8921182,3.8861177,8.194043,1.5876112,1.8142962,1.8493477,0.04
86,-3.0820956,3.995957,9.624698,1.457066,1.9353586,1.960277,0.04
87,-2.9789402,3.9098494,10.321897,1.4810293,1.9137588,1.4450101,0.04
88,-2.9793422,3.932268,9.824149,1.2918087,1.9281411,1.7161611,0.04
89,-3.1148677,3.8916585,9.340329,1.259614,1.910936,1.9856949,0.04
90,-3.0893056,3.9877594,10.179725,1.3741727,1.8688223,1.6396046,0.04
91,-3.101278,3.9918756,10.164355,1.4022357,1.9848298,1.9595245,0.04
92,-3.1268651,3.9377952,10.055261,1.217581,1.8471838,1.7523924,0.04
93,-3.0956109,4.032889,9.945861,1.6151351,1.816986,1.9363,0.04
94,-3.1749475,4.0035625,10.559691,1.7777379,1.9700248,1.913958,0.04
95,-3.1867979,3.880471,9.705697,1.4687091,1.787209,2.2405326,0.04
96,-3.1717927,3.9810228,10.4251995,1.3950572,1.9562774,1.5918721,0.04
97,-3.183462,4.002251,9.982792,1.4491258,1.9434965,2.9807472,0.04
98,-3.3186407,3.9977572,11.056272,1.3737003,1.7852769,2.428203,0.04
99,-3.3727791,4.025591,10.534131,1.5601742,1.8190413,2.9161742,0.04
100,-3.3778718,3.9124024,9.489719,1.4354699,1.9855603,1.8567405,0.04
101,-3.3292227,3.959348,10.61261,1.2403271,1.9827571,2.251918,0.04
102,-3.2368767,4.00903,11.298353,1.3750578,1.7605239,2.139327,0.04
103,-3.4583912,4.096584,11.2916,1.449918,1.8563954,2.351624,0.04
104,-3.451892,3.8933158,10.202044,1.2979045,1.7276956,1.7829496,0.04
105,-3.3614774,3.9304464,10.502309,1.2350347,1.8639256,1.9236997,0.04
106,-3.4605885,3.9718406,11.159729,1.4034085,2.0913792,1.9688174,0.04
