epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,26.269886,2.6502817,15.667861,0.4777444,4.258232,8.537687,0.04
1,25.945871,2.9937959,14.473212,0.67892593,4.3121886,11.23243,0.04
2,25.220993,4.0559845,16.47595,1.3130283,4.825829,15.900978,0.04
3,23.69648,5.789678,15.462061,2.619186,6.085288,21.066273,0.04
4,19.47659,7.990217,15.167087,4.779959,9.200305,24.61126,0.04
5,11.307395,8.928308,17.442856,6.172341,13.398706,20.662062,0.04
6,4.528751,7.1462283,26.79889,5.412971,13.905465,11.833478,0.04
7,1.2712731,5.4337993,24.767834,3.3094559,11.219919,6.508949,0.04
8,0.042663787,4.7499533,26.259703,2.626012,9.544888,5.1040573,0.04
9,-0.33870453,4.5996294,27.924593,2.223684,9.487604,4.1627846,0.04
10,-0.83512515,4.440498,27.339567,2.0341876,8.602168,3.5599475,0.04
11,-1.0620366,4.259364,25.443941,1.844871,8.443338,4.481645,0.04
12,-1.2380457,4.264539,25.161573,1.7385247,7.870353,4.302917,0.04
13,-1.3857322,4.2533903,24.398031,1.6970708,7.739389,5.2186675,0.04
14,-1.4932076,4.2172236,23.332832,1.72223,8.496614,4.408849,0.04
15,-1.6017603,4.0579114,21.14261,2.0999444,8.552847,3.685713,0.04
16,-1.6326052,4.1050057,21.728281,1.8614327,7.6489625,3.3715253,0.04
17,-1.6599964,4.1104007,22.409592,1.8520402,7.883852,2.930157,0.04
18,-1.8059156,4.032268,20.432322,1.7152108,8.369233,3.9834533,0.04
19,-1.8909214,4.0972657,20.850866,1.6698159,8.166349,3.4727771,0.04
20,-1.78877,4.0710673,21.652246,2.1727326,7.6488924,3.687353,0.04
21,-2.057615,4.0929475,21.272133,1.9941418,8.232161,4.1691895,0.04
22,-2.1577702,4.039258,19.403465,1.6033107,8.100637,3.9695055,0.04
23,-2.2922454,3.978861,20.000835,2.3020375,8.1228,3.1597586,0.04
24,-2.2467628,3.9663115,17.533665,1.6260443,8.234394,3.298191,0.04
25,-2.2936325,3.9411473,16.009045,1.8196453,7.9668794,4.3888335,0.04
26,-2.256647,3.91047,17.750595,1.9112904,8.198636,3.6923902,0.04
27,-2.2920318,4.0753846,18.769081,2.280105,8.015344,4.07624,0.04
28,-2.4130971,3.9446337,17.289328,1.719312,8.3647785,3.774961,0.04
29,-2.3641708,4.0552,20.363724,2.0388222,8.175675,4.082135,0.04
30,-2.3838847,4.0172334,18.996168,1.9947366,8.239231,3.627286,0.04
31,-2.490117,3.8923302,17.0756,1.849138,8.419709,3.5008078,0.04
32,-2.581741,3.8989685,17.057074,2.1530676,7.8185883,3.5819106,0.04
33,-2.4940403,4.0213714,18.589588,1.6874739,8.0485325,4.7834125,0.04
34,-2.6826978,3.9744127,16.51582,1.7205373,7.9394164,3.546784,0.04
35,-2.627813,3.9002728,15.722366,2.1318557,8.430831,3.0293431,0.04
36,-2.50015,3.9773812,16.01439,2.4850364,8.031138,4.596543,0.04
37,-2.6453347,3.895044,16.459156,2.0719078,7.629411,3.447444,0.04
38,-2.769017,3.8584611,14.433843,1.897729,8.310469,3.0584366,0.04
39,-2.7423582,3.91881,16.333933,1.8825024,8.557866,3.5533493,0.04
40,-2.7304218,3.9798906,17.092428,1.7539307,8.816595,3.4563253,0.04
41,-2.873308,3.862842,15.589124,2.037961,8.679269,3.5827715,0.04
42,-2.8908482,3.8945103,15.364887,2.162889,8.376795,3.9598985,0.04
43,-2.9084914,3.8210049,15.781782,1.9079033,8.528944,2.4538872,0.04
44,-2.927349,4.006864,16.581688,2.3719122,8.439267,4.0405173,0.04
45,-2.865253,3.9541128,16.852798,1.6670113,8.324967,3.7884321,0.04
46,-2.9975095,4.0110884,16.326654,2.1308064,8.566593,3.673484,0.04
47,-3.025655,3.8750138,16.241014,1.6974424,7.9595623,3.7885225,0.04
48,-2.8911524,3.917473,17.0219,1.9191172,8.380246,4.067785,0.04
49,-3.0981865,3.9788039,16.716257,2.6132178,8.210491,3.9220066,0.04
50,-3.0129216,3.850224,15.282362,1.4660419,7.7179413,3.5025303,0.04
51,-2.9979737,3.891638,15.655404,1.6360476,8.454343,4.1019273,0.04
52,-3.138569,3.8724098,15.339822,1.6491418,8.306462,3.7901173,0.04
53,-3.0912187,3.9104364,15.96225,2.1628783,8.597921,3.7285216,0.04
54,-3.1063523,3.9388945,17.207144,2.0687873,8.350715,3.4821343,0.04
55,-3.1746578,3.9274461,17.054245,1.7143172,7.902112,4.0483174,0.04
56,-3.1858563,3.897822,15.520763,1.6269796,8.379474,2.7618392,0.04
57,-3.176352,3.8564887,15.287588,2.1254337,8.386062,3.313956,0.04
58,-3.242453,3.8431702,15.355676,2.0153022,8.134667,4.0675054,0.04
59,-3.2488344,3.8680065,14.838641,1.9455656,7.7922845,3.3761473,0.04
60,-3.285251,3.8403566,15.89897,1.7160047,7.9654727,2.9209654,0.04
61,-3.2590346,3.8979943,15.346009,2.1228902,8.546592,3.24139,0.04
62,-3.2736979,3.7635725,14.771834,1.6746104,8.083072,4.075306,0.04
63,-3.4231045,3.8881516,15.9209585,2.191967,8.213787,3.2960172,0.04
64,-3.378787,3.886888,16.389112,1.8316079,8.845264,4.0550895,0.04
65,-3.3003418,3.8614633,14.313578,2.2141738,8.499385,2.8621109,0.04
66,-3.2989855,3.8108478,14.336264,1.6703918,8.498978,3.2283373,0.04
67,-3.304568,3.874563,15.947908,1.7720543,8.707177,4.6877236,0.04
68,-3.3938465,3.8606172,15.013096,2.009338,8.206405,4.0293026,0.04
69,-3.2772388,3.9260862,16.945652,2.0924776,8.551824,3.3643339,0.04
70,-3.4935977,3.8096592,14.895224,1.5696877,8.202263,2.8597765,0.04
71,-3.5075176,3.7884805,14.176003,1.9255095,8.189946,3.69591,0.04
72,-3.3317506,3.8593533,17.603687,1.8412464,8.410406,2.961046,0.04
73,-3.3352633,3.9003024,15.4309,2.1482534,9.110458,3.4847174,0.04
74,-3.3052351,3.9563925,16.028866,2.1431315,8.312217,3.261194,0.04
75,-3.4777772,3.8456385,14.6803055,1.9216537,7.73504,4.269346,0.04
76,-3.4802637,3.9226534,15.928906,1.5904498,8.675712,2.8319862,0.04
77,-3.4600008,3.9157014,17.614826,1.623117,7.9966817,2.7722874,0.04
78,-3.491999,3.8764374,15.414271,2.217043,8.093039,2.9350388,0.04
79,-3.5326188,3.9419663,15.493891,1.9639047,8.753621,3.506997,0.04
80,-3.6726801,3.8002827,13.631838,1.4994606,8.3917055,4.246378,0.04
81,-3.4778237,3.9780087,15.250318,2.0387623,8.486324,3.3549056,0.04
82,-3.50292,3.7917902,15.111839,1.9392214,8.663446,3.2644348,0.04
83,-3.5216837,3.8653684,13.578529,1.8089607,8.420195,3.9993124,0.04
84,-3.652267,3.8874137,14.308732,1.9314365,9.134568,3.409617,0.04
85,-3.6650991,3.9131458,13.290601,2.0474675,8.955927,2.9520493,0.04
86,-3.670233,3.8347027,14.6116495,1.9164475,9.299365,3.1383505,0.04
87,-3.5676823,3.8419063,15.88808,2.492006,8.225295,3.075366,0.04
88,-3.5873077,3.7940986,14.180096,1.9352107,8.359034,3.6667304,0.04
89,-3.6044407,3.9048984,15.96947,1.8916347,8.456364,3.9020379,0.04
90,-3.623644,3.9349759,14.026622,2.4746475,8.578718,3.543757,0.04
91,-3.6397698,3.7415283,14.375358,2.0186985,8.349334,3.4547448,0.04
92,-3.6552541,3.7741845,14.841132,2.0898592,8.226154,3.6802197,0.04
93,-3.7070024,3.8582773,14.857647,2.0906236,8.416969,3.59173,0.04
94,-3.557247,3.8753784,15.237446,2.318912,8.693381,3.9541714,0.04
95,-3.7825005,3.8803775,15.399501,2.126933,8.548315,2.9594126,0.04
96,-3.600818,3.8670466,16.436275,1.5944085,8.459683,2.8493588,0.04
97,-3.690629,3.8730342,14.629064,1.8900206,8.834242,2.9786856,0.04
98,-3.7081964,3.8009505,13.174929,2.394412,8.426425,4.246095,0.04
99,-3.6318161,3.8844545,13.287554,2.0713704,8.757263,3.2210503,0.04
100,-3.7731044,3.8823574,14.959026,2.1919436,8.423784,3.664654,0.04
101,-3.7260494,3.8758347,14.174919,1.8792818,8.6235695,3.1528006,0.04
102,-3.734047,3.8782618,14.856088,1.9636264,8.866501,3.150394,0.04
103,-3.8138409,3.8460896,15.733309,1.6450483,8.407403,3.2703109,0.04
104,-3.8101487,3.8639362,15.321486,1.7971838,8.558018,3.0402327,0.04
105,-3.6547208,3.8517547,14.043758,1.9600995,8.489185,4.065099,0.04
106,-3.850227,3.7825143,12.690896,2.3562655,8.088981,3.8784127,0.04
107,-3.7857559,3.8382134,15.442578,1.8866946,8.135988,3.0941837,0.04
108,-3.824953,3.8820772,14.520111,2.0953867,8.432089,3.2824364,0.04
109,-4.0218034,3.9166548,14.846269,2.2905676,8.358314,3.633211,0.04
110,-3.9460816,3.9617207,15.684496,1.9114058,8.829647,3.8820462,0.04
111,-4.0554857,3.858189,18.88629,2.1117885,8.768977,3.6988263,0.04
112,-3.9466064,3.8563936,17.198473,2.1837714,8.518278,3.5922506,0.04
113,-3.9450717,3.875931,17.779118,1.9914963,8.262455,3.117934,0.04
114,-4.0055113,3.9147491,16.483067,2.1232667,8.59696,3.2728562,0.04
115,-3.9596353,3.9282713,16.506588,2.4243484,8.886076,3.107418,0.04
116,-3.9893887,3.7800877,15.209937,1.7309164,8.353951,4.100806,0.04
117,-4.011904,3.949987,16.343237,1.6300336,9.421445,3.1603787,0.04
118,-3.9868803,3.7554803,14.046541,2.112207,8.655233,3.129129,0.04
119,-4.0647078,3.8336155,16.90931,1.9252065,8.183438,3.0137866,0.04
120,-3.9971666,3.8763406,14.996715,2.1264358,9.2214365,3.4503727,0.04
121,-3.9869072,3.9001884,16.40462,1.6172082,8.61652,3.4699073,0.04
122,-3.9450629,3.7911916,14.002413,1.6984098,8.672617,3.256492,0.04
123,-3.9881377,3.8545501,15.233819,1.893697,8.740903,3.1839926,0.04
124,-4.077813,3.7740564,13.028743,2.295209,8.467534,2.8454316,0.04
125,-3.9934137,3.845376,14.407453,1.7365179,8.225982,3.7080932,0.04
126,-3.9639535,3.9120402,15.512752,2.8489566,8.42786,3.2222822,0.04
127,-4.0520234,3.8267384,15.152339,2.0768795,8.770239,3.702841,0.04
128,-4.0348897,3.872961,14.075459,2.0715806,8.454563,3.7519505,0.04
129,-4.010109,3.9222465,16.368557,1.7680959,8.226675,3.0548193,0.04
130,-4.105536,3.7993362,14.775389,1.9946862,8.641059,3.341404,0.04
131,-4.165623,3.7379148,15.278757,1.965085,8.435067,3.2150939,0.04
132,-4.1627197,3.8388913,17.215631,2.2394364,8.678325,3.0823343,0.04
133,-4.117496,3.7897754,15.05624,2.1846564,9.067585,3.5720716,0.04
134,-4.146954,3.833156,16.490313,1.9039768,9.065574,2.9320471,0.04
135,-4.1937637,3.894066,16.72753,1.8118293,9.183671,2.9441957,0.04
136,-4.2011147,3.7695305,16.30686,1.8974357,7.698915,3.215818,0.04
137,-4.253881,3.7964194,16.718132,1.3950377,8.14759,2.8485813,0.04
138,-4.1668363,3.8894992,15.1758,2.1631565,8.884941,3.0639205,0.04
139,-4.228644,3.8905168,14.613107,1.8713177,8.420188,3.0061464,0.04
140,-4.327924,3.8766367,13.076283,1.991881,9.11048,2.8974576,0.04
141,-4.2957606,3.8655326,14.646865,2.1504004,9.195976,3.583711,0.04
142,-4.21328,3.8697433,15.495792,2.1596935,9.264135,3.216331,0.04
143,-4.2322793,3.808594,15.028863,2.0100842,8.247746,2.8760905,0.04
144,-4.321692,3.7892973,15.389406,2.1762197,8.520757,3.0561032,0.04
145,-4.1748357,3.8859804,15.11067,1.5955312,8.315952,2.7561717,0.04
146,-4.220445,3.8302865,16.559063,1.6543018,9.294871,2.8054507,0.04
147,-4.1757593,3.8813531,16.445919,2.0887852,8.965185,3.447727,0.04
148,-4.303818,3.8497622,14.758483,2.056178,9.4204445,2.644227,0.04
149,-4.4763155,3.7031064,14.2791195,2.0179849,8.592612,3.3383684,0.04
150,-4.1007156,3.8663578,13.968017,1.7172091,8.65849,3.203872,0.04
151,-4.3508368,3.81904,14.926699,2.0442932,8.722005,2.7307255,0.04
152,-4.206209,3.9425824,15.2372675,1.7261341,8.756475,2.3836756,0.04
153,-4.265558,3.7934022,13.890452,1.8569405,8.841428,3.1214035,0.04
154,-4.3611593,3.867735,14.793017,1.9553415,8.919739,3.2264915,0.04
155,-4.2885036,3.8388886,15.35226,2.0558841,9.132001,2.7922487,0.04
156,-4.228236,3.8236573,15.800227,1.9009898,8.410388,3.318129,0.04
157,-4.2869787,3.9816022,17.008266,1.7945108,8.993529,4.111774,0.04
158,-4.3118973,3.728011,14.301322,1.8629388,8.637578,2.847279,0.04
159,-4.286572,3.8178322,14.94859,1.9163629,8.555202,3.918406,0.04
160,-4.4104795,3.7410226,12.719374,2.0492013,8.567953,3.096886,0.04
161,-4.4377065,3.7730858,12.515849,1.6392539,8.722532,3.6186397,0.04
162,-4.377484,3.9128458,15.214156,2.0830953,9.287714,3.880402,0.04
163,-4.295536,3.787234,14.194734,2.0404315,8.756406,3.4871764,0.04
164,-4.374726,3.8606148,14.055652,1.8977797,9.432423,3.2743597,0.04
165,-4.48353,3.7179112,12.115448,2.2391741,9.374236,3.808091,0.04
166,-4.337161,3.8148654,15.529701,2.0751054,8.299369,2.5115001,0.04
