epoch,energy,energy_std,learning_rate
0,17.567259,1.8380606,0.04
1,17.493637,1.8774832,0.049999997
2,17.410793,1.992752,0.062499996
3,17.340511,2.2086515,0.07812499
4,17.165945,2.3472092,0.09765624
5,16.92583,2.7538772,0.122070305
6,16.068512,3.3706038,0.15
7,13.802679,4.72156,0.15
8,5.9261174,6.3775487,0.15
9,-1.7155037,5.4496317,0.15
10,-2.3736005,5.3784595,0.15
11,-3.2755604,5.579263,0.15
12,-4.790605,5.8241262,0.15
13,-6.2785497,5.955825,0.15
14,-7.479791,6.226041,0.15
15,-8.564468,6.5082283,0.15
16,-9.726744,6.628041,0.15
17,-10.5258255,6.789181,0.15
18,-11.022925,6.989374,0.15
19,-12.168167,6.7948117,0.15
20,-13.879074,6.3376274,0.15
21,-16.737417,4.789954,0.15
22,-18.254454,4.6970305,0.15
23,-19.27648,4.9125223,0.15
24,-19.209835,6.8190145,0.06562073
25,-20.941755,4.165091,0.054772593
26,-21.390478,3.6706147,0.06846574
27,-21.798182,3.3902955,0.085582174
28,-22.074615,3.2087202,0.106977716
29,-22.42032,3.0261896,0.13372214
30,-22.5457,3.1435509,0.15
31,-22.44074,4.0259604,0.037045565
32,-22.671873,2.7650182,0.046306957
33,-22.920097,2.4503827,0.057883695
34,-23.006784,2.2956033,0.072354615
35,-23.155672,2.2659147,0.09044327
36,-23.333557,2.1335084,0.11305408
37,-23.234968,2.0626154,0.1413176
38,-23.342415,1.974635,0.15
39,-23.448578,1.9964197,0.12039692
40,-23.407253,1.9347992,0.15
41,-23.486376,1.9714463,0.11931387
42,-23.472216,2.1224468,0.043435615
43,-23.474825,1.7605244,0.05429452
44,-23.565617,1.6968297,0.06786815
45,-23.562412,1.787592,0.08483519
46,-23.608656,1.6819195,0.10604398
47,-23.604746,1.6833208,0.13255498
48,-23.63219,1.7072334,0.15
49,-23.659847,1.7129971,0.12998413
50,-23.62468,1.6720146,0.15
51,-23.626345,1.6872134,0.15
52,-23.587835,1.7280644,0.13210589
53,-23.674212,1.6690092,0.15
54,-23.641842,1.6889203,0.12537132
55,-23.672874,1.6765835,0.15
56,-23.693254,1.7258098,0.15
57,-23.645933,1.6662183,0.15
58,-23.654228,1.6418132,0.15
59,-23.659124,1.7069819,0.12199961
60,-23.638124,1.8106301,0.055644467
61,-23.634197,1.6849022,0.04076014
62,-23.646431,1.6296618,0.050950177
63,-23.66124,1.6242987,0.06368772
64,-23.774992,1.6738732,0.07960965
65,-23.771122,1.616308,0.099512056
66,-23.716703,1.5872449,0.124390066
67,-23.812336,1.5463482,0.15
68,-23.73325,1.5675894,0.1450794
69,-23.763083,1.5834666,0.15
70,-23.784752,1.5732461,0.15
71,-23.718239,1.5864452,0.15
72,-23.829704,1.6288191,0.15
73,-23.713089,1.6299354,0.15
74,-23.772652,1.6042854,0.13558388
75,-23.796766,1.6848643,0.09102562
76,-23.668924,1.7846738,0.046922337
77,-23.725374,1.6128762,0.058652923
78,-23.771832,1.606464,0.07331616
79,-23.727222,1.5611227,0.091645196
80,-23.799168,1.5100971,0.11455649
81,-23.77408,1.5723912,0.08857132
82,-23.766489,1.6665757,0.046639398
83,-23.847353,1.5064521,0.058299247
84,-23.822227,1.5214272,0.07287406
85,-23.828726,1.5226729,0.09109258
86,-23.830126,1.4731951,0.113865726
87,-23.851162,1.6321776,0.06052971
88,-23.851599,1.5480571,0.042397965
89,-23.837984,1.4457479,0.052997455
90,-23.828352,1.4317921,0.06624682
91,-23.872023,1.4954276,0.082808524
92,-23.924973,1.4270462,0.103510655
93,-23.901669,1.4277726,0.12938832
94,-23.863726,1.5590924,0.065361895
95,-23.912703,1.5154003,0.042544734
96,-23.924818,1.4305086,0.053180918
97,-23.976707,1.3966773,0.06647615
98,-24.008904,1.4369248,0.08309519
99,-23.97038,1.401498,0.10386899
100,-23.911367,1.4641662,0.12983623
101,-23.892094,1.6146624,0.05142737
102,-23.90959,1.4480603,0.038578987
103,-23.961082,1.417742,0.048223734
104,-23.908117,1.3768325,0.060279667
105,-23.902737,1.417317,0.075349584
106,-23.972086,1.3950994,0.09418698
107,-23.943668,1.3593774,0.11773372
108,-23.910704,1.4271243,0.07408475
109,-23.942997,1.4467447,0.04534804
110,-23.972965,1.4041319,0.056685053
111,-23.981062,1.3410068,0.07085632
112,-24.001247,1.346994,0.0885704
113,-23.96789,1.4110785,0.110713005
114,-23.926233,1.4368953,0.08624546
115,-23.892675,1.5155096,0.043644223
116,-24.008486,1.3439089,0.05455528
117,-24.04155,1.3301456,0.0681941
118,-23.966413,1.3482518,0.08524262
119,-24.02661,1.3827109,0.10655328
120,-23.947718,1.3465433,0.1331916
121,-23.976194,1.5129398,0.05462599
122,-23.989254,1.3351291,0.04072624
123,-24.038492,1.3336143,0.0509078
124,-23.97779,1.3223324,0.06363475
125,-23.974241,1.3019404,0.07954344
126,-24.025465,1.2849954,0.0994293
127,-23.973164,1.2838342,0.12428663
128,-24.000347,1.375958,0.07950158
129,-24.021204,1.3354521,0.046209138
130,-24.00677,1.2629061,0.057761423
131,-24.037556,1.205085,0.07220178
132,-24.051647,1.2422715,0.09025223
133,-24.030155,1.2285948,0.11281528
134,-24.004574,1.2985063,0.066666566
135,-24.033703,1.2325718,0.042446792
136,-24.047699,1.2031959,0.05305849
137,-24.04001,1.1865603,0.06632312
138,-24.057617,1.1635764,0.08290389
139,-24.036724,1.158091,0.103629865
140,-24.094728,1.1886431,0.12953733
141,-24.043756,1.2310901,0.076853685
142,-24.106308,1.2101544,0.04267202
143,-24.060919,1.1245018,0.053340025
144,-24.04739,1.1255101,0.06667503
145,-24.0548,1.1390156,0.08334379
146,-24.098532,1.1018994,0.10417974
147,-24.040497,1.1295327,0.10285061
148,-24.088818,1.1542675,0.06428407
149,-24.135195,1.0768684,0.05683076
150,-24.097803,1.0717049,0.07103845
151,-24.111198,1.0559148,0.08879806
152,-24.088352,1.0670339,0.11099757
153,-24.134623,1.1333201,0.06400108
154,-24.118738,1.0621576,0.044846676
