epoch,energy,energy_std,learning_rate
0,17.567259,1.8380606,0.04
1,17.493637,1.8774827,0.049999997
2,17.401365,1.9912592,0.062499996
3,17.340744,2.2256777,0.07812499
4,17.302147,2.3921769,0.09765624
5,16.913746,2.790057,0.122070305
6,16.097057,3.3739612,0.15
7,13.596238,4.6477795,0.15
8,6.020643,6.2684646,0.15
9,-1.631483,5.5706224,0.15
10,-2.5066226,5.4234486,0.15
11,-3.452279,5.515727,0.15
12,-4.9072948,5.744546,0.15
13,-6.7349453,5.8938646,0.15
14,-7.582286,6.153821,0.15
15,-8.588904,6.4740906,0.15
16,-9.65026,6.586088,0.15
17,-10.170013,6.652133,0.15
18,-10.924219,6.853507,0.15
19,-11.575379,6.804613,0.15
20,-12.156153,6.8685045,0.15
21,-13.367119,6.7968297,0.15
22,-15.485817,6.1310143,0.15
23,-18.13452,4.7590623,0.15
24,-19.552444,4.215999,0.15
25,-20.444407,3.9421675,0.15
26,-21.302954,3.5989826,0.15
27,-21.782717,3.4063196,0.15
28,-21.896791,4.228848,0.0512959
29,-22.207825,3.0163643,0.042314045
30,-22.509594,2.7829983,0.05289256
31,-22.702667,2.5491993,0.0661157
32,-22.789106,2.4958377,0.08264463
33,-22.931614,2.4178817,0.10330579
34,-23.164082,2.2749958,0.12913224
35,-23.137028,2.2643566,0.15
36,-23.214182,2.2202892,0.13984984
37,-23.070892,3.0577621,0.0324889
38,-23.2601,2.1739516,0.040611126
39,-23.372805,2.0322843,0.033598002
40,-23.368105,1.9247209,0.041997503
41,-23.436222,1.9181858,0.05249688
42,-23.393036,1.8726268,0.0656211
43,-23.430414,1.8055224,0.08202638
44,-23.569338,1.8036481,0.10253297
45,-23.485325,1.9103802,0.05494792
46,-23.545807,1.6952877,0.036769606
47,-23.611876,1.6887548,0.045962006
48,-23.645033,1.6375779,0.057452507
49,-23.619055,1.6475185,0.07181563
50,-23.68609,1.5857298,0.08976954
51,-23.653107,1.57997,0.11221193
52,-23.667204,1.705199,0.05924382
53,-23.794243,1.6538539,0.03497566
54,-23.666931,1.5586407,0.043719575
55,-23.689383,1.5738622,0.05464947
56,-23.776524,1.5035808,0.06831183
57,-23.777067,1.5400828,0.08538979
58,-23.748835,1.53553,0.10673724
59,-23.741726,1.7001758,0.05168681
60,-23.723528,1.5362517,0.039755404
61,-23.796774,1.5196178,0.049694255
62,-23.793022,1.5353084,0.06211782
63,-23.806658,1.5017473,0.077647276
64,-23.860317,1.5219922,0.09705909
65,-23.804285,1.5309247,0.07893446
66,-23.779161,1.5921416,0.04688569
67,-23.818283,1.4877293,0.058607116
