clearepoch,energy,energy_std,learning_rate
0,26.269886,2.6502817,0.006
1,26.187935,2.8057349,0.006
2,25.682446,3.2584062,0.006
3,24.804276,3.9649599,0.006
4,22.733273,5.089528,0.006
5,18.203289,6.5505257,0.006
6,10.403039,7.15964,0.006
7,3.574425,6.1748085,0.006
8,0.7982682,5.11761,0.006
9,-0.08775523,4.544632,0.006
10,-0.54358816,4.352715,0.006
11,-0.9065505,4.2869296,0.006
12,-0.90184605,4.2721043,0.006
13,-1.1252034,4.153637,0.006
14,-1.213839,4.1216984,0.006
15,-1.3700594,4.0953064,0.006
16,-1.5714701,4.0294485,0.006
17,-1.5521041,4.037447,0.006
18,-1.7860075,4.1009984,0.006
19,-1.7444735,4.017284,0.006
20,-2.0173707,4.0491357,0.006
21,-2.104,3.9837968,0.006
22,-2.2173998,4.0040402,0.006
23,-2.1844761,3.9633334,0.006
24,-2.457492,3.9521034,0.006
25,-2.5329878,3.897037,0.006
26,-2.6737273,3.9454675,0.006
27,-2.802582,3.9495733,0.006
28,-2.9755054,3.9733346,0.006
29,-3.0434031,3.8347077,0.006
30,-3.1667993,3.9183912,0.006
31,-3.2555566,3.848251,0.006
32,-3.2433157,3.8401344,0.006
33,-3.4289389,3.8689313,0.006
34,-3.5439732,3.8626366,0.006
35,-3.641543,3.9425898,0.006
36,-3.8435626,3.8786142,0.006
37,-3.92817,3.8754354,0.006
38,-3.9690022,3.8796377,0.006
39,-4.0644403,3.8542278,0.006
40,-4.2063427,3.86469,0.006
41,-4.3239994,3.7508123,0.006
42,-4.4521084,3.8763962,0.006
43,-4.5894012,3.851118,0.006
44,-4.749057,3.8420053,0.006
45,-4.8573008,3.8238626,0.006
46,-4.9631443,3.8175843,0.006
47,-5.1282578,3.8687143,0.006
48,-5.244525,3.778099,0.006
49,-5.2413692,3.7801628,0.006
50,-5.4461827,3.8030918,0.006
51,-5.6425157,3.6553905,0.006
52,-5.7686963,3.7281518,0.006
53,-5.8580647,3.67338,0.006
54,-5.951175,3.7533956,0.006
55,-6.0891633,3.6504188,0.006
56,-6.1938195,3.650808,0.006
57,-6.2857785,3.6951478,0.006
58,-6.443202,3.6289198,0.006
59,-6.5540476,3.639212,0.006
60,-6.581258,3.6164405,0.006
61,-6.6543126,3.6905055,0.006
62,-6.929512,3.624732,0.006
63,-6.888748,3.6602104,0.006
64,-7.1078076,3.5483751,0.006
65,-7.0669546,3.579384,0.006
66,-7.084588,3.5830452,0.006
67,-7.4328537,3.587148,0.006
68,-7.431666,3.564614,0.006
69,-7.441151,3.5118399,0.006
70,-7.6592793,3.5695963,0.006
71,-7.6832914,3.531294,0.006
72,-7.744214,3.534303,0.006
73,-7.953948,3.4972205,0.006
74,-7.960943,3.50086,0.006
75,-8.047483,3.4236672,0.006
76,-8.108456,3.4997303,0.006
