epoch,energy,energy_std,learning_rate
0,17.567259,1.8380606,0.04
1,17.506113,1.8476421,0.04
2,17.481785,1.9895446,0.04
3,17.45924,2.1063442,0.04
4,17.331356,2.1766195,0.04
5,17.236214,2.2385743,0.04
6,17.164145,2.481723,0.04
7,16.997465,2.638305,0.04
8,16.92175,2.7378712,0.04
9,16.561993,3.0368884,0.04
10,16.286081,3.283934,0.04
11,15.684054,3.652931,0.04
12,14.821252,4.054463,0.04
13,13.769802,4.6896505,0.04
14,11.81105,5.4841785,0.04
15,9.17808,6.1446176,0.04
16,5.808111,6.6771073,0.04
17,2.7439919,6.6258454,0.04
18,0.1459629,6.5219936,0.04
19,-1.4804248,6.2853227,0.04
20,-2.4732125,6.109853,0.04
21,-3.2415426,6.1077237,0.04
22,-4.000116,6.1308956,0.04
23,-4.756771,6.2277894,0.04
24,-5.399757,6.2043166,0.04
25,-5.64891,6.2188916,0.04
26,-6.4185233,6.4529605,0.04
27,-6.7043185,6.4371257,0.04
28,-6.8543196,6.7508583,0.04
29,-7.7948093,6.721607,0.04
30,-7.775625,6.713008,0.04
31,-8.280173,6.6950655,0.04
32,-8.525314,6.8956656,0.04
33,-8.807695,6.88846,0.04
34,-9.080686,7.050355,0.04
35,-9.356573,7.1462636,0.04
36,-9.701717,6.9466863,0.04
37,-10.0762615,6.9355674,0.04
38,-10.246853,6.928288,0.04
39,-10.757317,6.8793917,0.04
40,-10.938056,7.104705,0.04
41,-11.114168,7.0844164,0.04
42,-11.578979,7.047468,0.04
43,-12.152065,7.032585,0.04
44,-12.745454,6.8458004,0.04
45,-13.616047,6.683186,0.04
46,-14.687634,6.2007947,0.04
47,-15.877838,5.3054457,0.04
48,-17.053457,4.4842334,0.04
49,-17.663439,4.1592436,0.04
50,-17.995836,4.035839,0.04
51,-18.671085,4.0397334,0.04
52,-18.954948,3.869782,0.04
53,-19.36034,3.7826903,0.04
54,-19.76754,3.6991956,0.04
55,-19.856937,3.6824577,0.04
56,-20.292408,3.439326,0.04
57,-20.532082,3.4226024,0.04
58,-20.957457,3.3692558,0.04
59,-21.133074,3.2686968,0.04
60,-21.23282,3.1427987,0.04
61,-21.525536,2.9286716,0.04
62,-21.789257,2.9085193,0.04
63,-21.98255,2.772635,0.04
64,-22.032614,2.798202,0.04
65,-22.294617,2.6795554,0.04
66,-22.417671,2.5440245,0.04
67,-22.430523,2.3836172,0.04
68,-22.558453,2.3239353,0.04
69,-22.738781,2.3443372,0.04
70,-22.71045,2.2259004,0.04
71,-22.872229,2.1691332,0.04
72,-22.952948,2.2295394,0.04
73,-22.98213,2.061195,0.04
74,-23.005407,2.0406249,0.04
75,-23.165348,2.0916853,0.04
76,-23.212547,1.9946517,0.04
77,-23.197094,1.9293863,0.04
78,-23.221687,1.8404795,0.04
79,-23.29963,1.8562487,0.04
80,-23.33434,1.8686658,0.04
81,-23.362108,1.7769384,0.04
82,-23.403648,1.8330232,0.04
83,-23.415125,1.7907768,0.04
84,-23.448172,1.7408164,0.04
85,-23.488874,1.7597792,0.04
86,-23.412,1.7103276,0.04
87,-23.534307,1.687986,0.04
88,-23.532219,1.642558,0.04
89,-23.61289,1.6544799,0.04
90,-23.506098,1.6897601,0.04
91,-23.553078,1.623478,0.04
92,-23.538868,1.6488595,0.04
93,-23.596628,1.6417238,0.04
94,-23.566265,1.5706611,0.04
95,-23.6289,1.576015,0.04
96,-23.644829,1.5797077,0.04
97,-23.594313,1.4958314,0.04
98,-23.730438,1.5981472,0.04
99,-23.657856,1.5577943,0.04
100,-23.70889,1.5518616,0.04
101,-23.6623,1.5122837,0.04
102,-23.733772,1.5822718,0.04
103,-23.78857,1.5253385,0.04
104,-23.762833,1.5287257,0.04
105,-23.69077,1.4864799,0.04
106,-23.723522,1.5841025,0.04
107,-23.709633,1.4888548,0.04
108,-23.762432,1.5067246,0.04
109,-23.73852,1.4727961,0.04
110,-23.755875,1.5379622,0.04
111,-23.777422,1.4591877,0.04
112,-23.784246,1.4704652,0.04
113,-23.808928,1.4629995,0.04
114,-23.767403,1.4679244,0.04
115,-23.797195,1.4795803,0.04
116,-23.805222,1.441365,0.04
117,-23.76778,1.4738282,0.04
118,-23.814762,1.4600285,0.04
119,-23.890514,1.4564098,0.04
120,-23.87152,1.4659673,0.04
121,-23.870844,1.4691843,0.04
122,-23.871214,1.4631435,0.04
123,-23.870352,1.4343787,0.04
124,-23.934637,1.4212976,0.04
125,-23.878736,1.4172773,0.04
126,-23.926231,1.4121815,0.04
127,-23.863062,1.4135658,0.04
128,-23.873112,1.4171579,0.04
129,-23.910498,1.4778836,0.04
130,-23.862793,1.4173185,0.04
131,-23.887115,1.378277,0.04
132,-23.906334,1.3899171,0.04
133,-23.96157,1.4159098,0.04
134,-23.929205,1.393143,0.04
135,-23.896965,1.4076347,0.04
136,-23.964762,1.4442977,0.04
137,-23.870998,1.4558438,0.04
138,-23.965057,1.3983011,0.04
139,-23.958782,1.4346547,0.04
140,-23.911047,1.416391,0.04
141,-23.936058,1.5143703,0.04
142,-23.948763,1.38109,0.04
143,-23.973219,1.4494045,0.04
144,-23.914356,1.4109851,0.04
145,-23.988005,1.3909018,0.04
146,-24.000013,1.3877449,0.04
147,-23.906612,1.4028645,0.04
148,-23.99193,1.4297928,0.04
149,-23.880949,1.4042426,0.04
150,-23.977163,1.3761383,0.04
151,-23.9695,1.3964149,0.04
152,-24.001333,1.423179,0.04
153,-23.974953,1.3639143,0.04
154,-23.997395,1.3733497,0.04
155,-23.959303,1.4499568,0.04
156,-24.005507,1.3779209,0.04
157,-24.041996,1.3857824,0.04
158,-24.019274,1.3829457,0.04
159,-24.03654,1.3619415,0.04
160,-24.02078,1.3973988,0.04
161,-23.943607,1.4207599,0.04
162,-24.000566,1.3573086,0.04
163,-24.058851,1.3580133,0.04
164,-24.01133,1.3610427,0.04
165,-24.01141,1.3913146,0.04
166,-24.01946,1.3348309,0.04
167,-23.973518,1.3584669,0.04
168,-24.068352,1.3668658,0.04
169,-24.058578,1.3362732,0.04
170,-24.019442,1.3727331,0.04
171,-24.074898,1.3566917,0.04
172,-24.039692,1.3478321,0.04
173,-23.999498,1.3604033,0.04
174,-24.030102,1.3389958,0.04
175,-24.022406,1.3747002,0.04
176,-24.012424,1.307285,0.04
177,-24.00215,1.3827183,0.04
178,-24.021433,1.3716431,0.04
179,-24.061703,1.3431745,0.04
180,-24.078773,1.3429672,0.04
