epoch,energy,energy_std,learning_rate
0,26.269886,2.6502817,0.003
1,26.262106,2.7090824,0.003
2,26.145832,2.9021676,0.003
3,25.866785,3.1637192,0.003
4,25.374657,3.5098925,0.003
5,24.844297,4.0336266,0.003
6,23.750355,4.610152,0.003
7,22.145555,5.398176,0.003
8,19.491583,6.2362056,0.003
9,15.77242,6.7961245,0.003
10,11.140421,7.1795716,0.003
11,6.815873,6.9477997,0.003
12,3.8915708,6.1623063,0.003
13,2.061439,5.5874543,0.003
14,0.82275087,5.049445,0.003
15,0.37805176,4.7354074,0.003
16,-0.013733376,4.675644,0.003
17,-0.40468204,4.550749,0.003
18,-0.40800846,4.4001045,0.003
19,-0.6078651,4.435297,0.003
20,-0.75379646,4.2790546,0.003
21,-0.9248224,4.389605,0.003
22,-1.0313152,4.3013916,0.003
23,-1.1942899,4.3077245,0.003
24,-1.2350396,4.189362,0.003
25,-1.1906908,4.2230115,0.003
26,-1.3036257,4.0784416,0.003
27,-1.4431387,4.1143913,0.003
28,-1.5630738,4.086961,0.003
29,-1.5839195,4.119433,0.003
30,-1.7219397,4.1198792,0.003
31,-1.7142437,3.9743779,0.003
32,-1.7528242,4.0765786,0.003
33,-1.9028256,4.05852,0.003
34,-1.8302803,4.024001,0.003
35,-1.8898621,4.057509,0.003
36,-1.9848593,3.9817224,0.003
37,-2.1056597,4.002136,0.003
38,-2.112811,3.9612527,0.003
39,-2.191723,4.020983,0.003
40,-2.2397254,3.9727433,0.003
41,-2.302572,3.956247,0.003
42,-2.3659122,4.0063457,0.003
43,-2.5120268,3.9633577,0.003
44,-2.5097578,4.0193834,0.003
45,-2.527696,3.9559708,0.003
46,-2.5838456,3.9400897,0.003
47,-2.7657423,3.9887662,0.003
48,-2.8986094,3.9569364,0.003
49,-2.8985791,3.932278,0.003
50,-2.8404496,3.911915,0.003
51,-2.8502564,3.9128518,0.003
52,-2.859033,3.8957958,0.003
53,-3.0123632,3.9172878,0.003
54,-3.0434809,3.7911038,0.003
55,-3.124399,3.982774,0.003
56,-3.1679826,3.9238012,0.003
57,-3.2631292,3.9506717,0.003
58,-3.3540258,3.889527,0.003
59,-3.3450987,3.9356642,0.003
60,-3.4901311,3.9632292,0.003
61,-3.5857005,3.8472645,0.003
62,-3.5152876,3.837936,0.003
63,-3.7174435,3.8870776,0.003
64,-3.6890352,3.8935387,0.003
65,-3.7803764,3.8755589,0.003
66,-3.6962097,3.9184113,0.003
67,-3.7179668,3.8609831,0.003
68,-3.8809345,3.8801177,0.003
