epoch,energy,energy_std,learning_rate
0,17.370546,2.1096246,0.005
1,17.315918,2.1234798,0.005
2,17.289978,2.2148335,0.005
3,17.311012,2.2878332,0.005
4,17.136082,2.3664274,0.005
5,17.098503,2.5095434,0.005
6,17.063766,2.6003299,0.005
7,16.964539,2.7560709,0.005
8,16.773634,2.9039764,0.005
9,16.750126,3.0160604,0.005
10,16.613644,3.140112,0.005
11,16.49091,3.352649,0.005
12,16.213055,3.6051414,0.005
13,16.154736,3.7654848,0.005
14,16.040234,3.9040852,0.005
15,15.582655,4.3728914,0.005
16,15.342547,4.392775,0.005
17,14.931542,4.866593,0.005
18,14.319245,5.322502,0.005
19,13.969406,5.640554,0.005
20,13.4754,5.807799,0.005
21,12.899621,6.1326966,0.005
22,12.0809555,6.5914917,0.005
23,11.512901,6.9642587,0.005
24,10.334254,7.1890926,0.005
25,9.389097,7.2120814,0.005
26,8.624514,7.2992716,0.005
27,7.7184434,7.652776,0.005
28,6.760158,7.60722,0.005
29,6.1311736,7.7167273,0.005
30,4.9780445,7.486833,0.005
31,4.047272,7.5117207,0.005
32,3.2742858,7.612347,0.005
33,2.0427096,7.0437937,0.005
34,1.3368754,6.816776,0.005
35,0.5686622,6.7630854,0.005
36,-0.06140573,6.5293336,0.005
37,-0.82313406,6.2165422,0.005
38,-1.2982903,6.5609555,0.005
39,-2.100639,5.900017,0.005
40,-2.5479164,5.7013745,0.005
41,-2.7799964,6.0508466,0.005
42,-3.0462635,6.3212767,0.005
43,-3.6976578,6.0022564,0.005
44,-4.1822753,5.6477284,0.005
45,-4.4683037,5.7868333,0.005
46,-4.8312707,5.1282578,0.005
47,-5.1034346,4.889344,0.005
48,-5.1951575,5.4135704,0.005
49,-5.635116,5.605555,0.005
50,-5.8843493,5.5776095,0.005
51,-6.183581,4.419594,0.005
52,-6.423988,4.5825586,0.005
53,-6.4075108,6.0216055,0.005
54,-6.7353234,4.439009,0.005
55,-6.9962406,5.3288603,0.005
56,-7.3445234,4.5328255,0.005
57,-7.4752793,4.622074,0.005
58,-7.6184473,4.414603,0.005
59,-7.7314935,5.020944,0.005
60,-7.845668,4.8265514,0.005
61,-8.083143,4.3323035,0.005
62,-8.034648,7.2789354,0.005
63,-8.390284,3.8208706,0.005
64,-8.326032,5.2261105,0.005
65,-8.431684,3.976308,0.005
66,-8.58084,4.816935,0.005
67,-8.513801,8.152049,0.005
68,-8.548562,11.888517,0.005
69,-8.991628,5.424192,0.005
70,-9.132555,6.7375402,0.005
71,-9.440443,3.6373432,0.005
72,-9.520637,4.563211,0.005
73,-9.569513,3.808833,0.005
74,-9.626047,5.6083612,0.005
75,-9.817539,2.5569425,0.005
76,-9.569638,6.32052,0.005
77,-9.874184,2.761421,0.005
78,-9.940668,2.48468,0.005
79,-9.974953,3.334729,0.005
80,-9.829114,9.18034,0.005
