epoch,energy,energy_std,learning_rate
0,26.075012,2.9912317,0.005
1,25.956736,3.048008,0.005
2,25.936611,3.2271128,0.005
3,25.91318,3.3340127,0.005
4,25.698671,3.4340954,0.005
5,25.501905,3.5935676,0.005
6,25.415356,3.9332025,0.005
7,25.226006,4.0067916,0.005
8,24.862192,4.224608,0.005
9,24.56636,4.623879,0.005
10,24.30489,4.9358253,0.005
11,24.265684,5.0841203,0.005
12,23.768562,5.40158,0.005
13,23.044361,5.8634,0.005
14,22.956884,6.1553135,0.005
15,22.241467,6.785101,0.005
16,21.565535,7.1044483,0.005
17,20.421309,7.4236665,0.005
18,19.63016,7.8068247,0.005
19,18.542011,8.2613,0.005
20,17.267002,8.908749,0.005
21,16.050241,8.895275,0.005
22,14.945694,9.370682,0.005
23,13.088711,9.249545,0.005
24,11.434263,9.416712,0.005
25,10.168424,9.187785,0.005
26,9.183497,9.591431,0.005
27,7.578718,9.163541,0.005
28,6.065029,8.309133,0.005
29,5.063703,8.269531,0.005
30,4.284203,8.080562,0.005
31,3.1038063,7.862144,0.005
32,2.0030966,6.913586,0.005
33,1.3879788,7.23862,0.005
34,0.7827204,6.9504166,0.005
35,0.32450524,6.8250356,0.005
36,-0.22256058,7.879302,0.005
37,-0.9117267,6.681631,0.005
38,-1.2264816,6.2461967,0.005
39,-1.7086662,5.9288607,0.005
40,-2.349273,5.6290526,0.005
41,-2.702678,5.0215726,0.005
42,-2.957793,4.8344398,0.005
43,-3.540508,4.6580377,0.005
44,-3.6477113,4.9615197,0.005
45,-4.090711,4.0950127,0.005
46,-4.168694,5.5999165,0.005
47,-4.2525854,5.1480327,0.005
48,-4.6957726,4.203826,0.005
49,-4.8090067,4.236273,0.005
50,-5.042744,3.9889646,0.005
51,-5.0952754,4.553664,0.005
52,-5.2442346,4.095312,0.005
53,-5.131905,9.540284,0.005
54,-5.5908937,4.038609,0.005
55,-5.6726027,4.9527745,0.005
56,-6.022409,3.7466023,0.005
57,-6.204805,3.8145916,0.005
58,-6.302489,3.569415,0.005
59,-6.391438,3.957147,0.005
60,-6.456547,4.389728,0.005
61,-6.6910653,4.0535755,0.005
62,-6.8230004,3.2274883,0.005
63,-7.0058966,2.898172,0.005
64,-6.899439,5.7038336,0.005
65,-7.0142674,5.328848,0.005
66,-7.1355557,3.1641917,0.005
67,-7.284525,2.750166,0.005
68,-7.289691,3.1406803,0.005
69,-7.3933916,3.1068466,0.005
70,-7.5339513,2.2485106,0.005
71,-7.399048,3.952672,0.005
72,-7.5360537,3.2417753,0.005
73,-7.606722,2.8831072,0.005
74,-7.69877,2.6213167,0.005
75,-7.773073,2.238695,0.005
76,-7.855684,2.5348186,0.005
77,-7.8711376,4.0528564,0.005
78,-7.821434,4.4431796,0.005
79,-7.8620334,3.923584,0.005
80,-7.968408,3.1748514,0.005
81,-8.053022,1.9431272,0.005
82,-7.813076,10.547922,0.005
83,-8.134102,2.0156767,0.005
84,-8.0255,4.3189626,0.005
85,-8.261459,1.7898763,0.005
86,-8.188192,4.859742,0.005
87,-8.353299,1.8174393,0.005
88,-8.326142,2.2993662,0.005
89,-8.419762,1.5836167,0.005
90,-7.781468,26.28805,0.005
91,-8.351678,2.5300617,0.005
92,-8.35551,7.063587,0.005
93,-8.330254,7.549209,0.005
94,-8.510545,1.8219792,0.005
95,-8.485443,5.9902687,0.005
96,-8.51979,2.3282406,0.005
