epoch,energy,energy_std,learning_rate
0,17.370546,2.1096246,0.005
1,17.311382,2.1766324,0.005
2,17.187515,2.3436124,0.005
3,17.054161,2.488297,0.005
4,16.77314,2.7913275,0.005
5,16.662817,3.0938847,0.005
6,16.4073,3.4695587,0.005
7,15.924987,3.777207,0.005
8,15.3680105,4.306866,0.005
9,14.709187,4.857194,0.005
10,13.629136,5.6552935,0.005
11,12.428566,6.4608665,0.005
12,10.329305,7.0546823,0.005
13,7.899852,7.280163,0.005
14,5.7567,7.4048824,0.005
15,3.4229906,7.27079,0.005
16,1.499665,7.1228113,0.005
17,0.015959388,6.9662375,0.005
18,-1.9394375,6.187583,0.005
19,-3.3634348,6.029333,0.005
20,-4.686199,5.4204607,0.005
21,-5.7044263,5.466747,0.005
22,-7.5850363,5.8987126,0.005
23,-8.797242,5.145737,0.005
24,-10.034234,5.756578,0.005
25,-10.741509,12.147834,0.005
26,-13.147672,20.387745,0.005
27,-14.615666,5.7200775,0.005
28,-12.174638,96.49383,0.005
29,266.4068,6885.097,0.005
