epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.420076,2.0744917,9.369672,0.8405845,2.5341718,2.3541625,0.01
1,17.198484,2.3539333,13.078595,0.8813858,2.7676542,2.669202,0.012499999
2,16.826399,2.8165386,20.653751,1.0144775,3.006456,3.3972862,0.015624999
3,15.982312,3.687753,38.415497,1.0876094,3.5664735,4.810227,0.019531248
4,13.751793,5.548033,89.86385,1.2142701,4.422761,8.504104,0.02441406
5,6.7395697,7.410105,157.72101,1.0610753,5.6542697,15.109309,0.030517576
6,-1.7861165,5.987512,113.994064,0.7730305,6.291502,12.739176,0.03814697
7,-5.9629188,6.137353,139.18909,0.584608,8.079406,17.58976,0.047683712
8,-8.643418,11.721191,119.52936,1.2493805,17.834084,21.458311,0.05960464
9,2947.2375,33741.676,262275.0,2711.0554,43546.645,51146.285,5.2075986e-05
