epoch,energy,energy_std,learning_rate
0,26.075012,2.9912317,0.005
1,25.894606,3.1818984,0.005
2,25.695383,3.3786595,0.005
3,25.338726,3.7545638,0.005
4,25.041376,4.0309744,0.005
5,24.511696,4.625387,0.005
6,23.952354,5.0682497,0.005
7,22.842524,6.100005,0.005
8,21.58306,7.154129,0.005
9,19.465847,7.895198,0.005
10,16.808762,8.670353,0.005
11,13.313599,9.304211,0.005
12,9.230573,9.187339,0.005
13,5.4488225,8.690145,0.005
14,2.2865205,8.268047,0.005
15,-0.24723071,7.8923583,0.005
16,-2.3035045,7.7032933,0.005
17,-4.0431643,7.06438,0.005
18,-5.140123,7.536662,0.005
19,-8.007091,4.479453,0.005
20,-8.704741,1.5669069,0.005
21,-8.72747,2.1867964,0.005
22,-8.800271,2.2792044,0.005
23,-8.512172,9.928153,0.005
24,-8.76754,2.876032,0.005
25,-8.785619,2.1565433,0.005
26,-8.872035,1.2587891,0.005
27,-8.848346,3.3376157,0.005
28,-8.917689,0.38189977,0.005
29,-8.895603,1.8471013,0.005
30,-8.79799,4.0328856,0.005
31,-8.958271,0.095901325,0.005
32,-8.86359,4.154992,0.005
33,-8.874109,5.0511837,0.005
34,-8.974773,0.10141047,0.005
35,-8.978898,0.013489206,0.005
36,-8.97805,0.057218395,0.005
37,-8.979623,0.012807839,0.005
38,-8.979739,0.0127095785,0.005
39,-8.979799,0.012668763,0.005
40,-8.977949,0.0858891,0.005
41,-8.803394,8.542614,0.005
42,-8.990807,0.004034942,0.005
43,-8.99178,0.0034400942,0.005
44,-8.992223,0.0031957913,0.005
45,-8.992432,0.0030804812,0.005
46,-8.992537,0.0030250915,0.005
47,-8.992586,0.0029980734,0.005
48,-8.992612,0.0029845033,0.005
49,-8.992628,0.002977966,0.005
50,-8.992634,0.002975132,0.005
51,-8.992637,0.0029739523,0.005
52,-8.992638,0.0029737419,0.005
53,-8.992639,0.0029742636,0.005
54,-8.990795,0.08680605,0.005
55,-8.992682,0.0029518486,0.005
56,-8.992691,0.0029484231,0.005
57,-8.992697,0.0029461705,0.005
58,-8.9927,0.0029453503,0.005
59,-8.992701,0.0029451598,0.005
60,-8.992703,0.0029451423,0.005
61,-8.992704,0.0029453188,0.005
62,-8.992705,0.0029456425,0.005
63,-8.992705,0.0029459866,0.005
64,-8.992707,0.002946409,0.005
65,-8.992707,0.0029466986,0.005
66,-8.992707,0.002947028,0.005
67,-8.992707,0.002947669,0.005
68,-8.992708,0.0029483216,0.005
69,-8.992709,0.0029490264,0.005
70,-8.992709,0.0029496553,0.005
71,-8.992709,0.0029502916,0.005
72,-8.992709,0.002951143,0.005
73,-8.990898,0.08214196,0.005
74,-8.992758,0.0029311809,0.005
75,-8.992766,0.002928167,0.005
76,-8.992769,0.002927061,0.005
77,-8.992771,0.0029269834,0.005
78,-8.992772,0.0029273715,0.005
79,-8.992774,0.0029276975,0.005
80,-8.992775,0.0029273306,0.005
81,-8.992777,0.0029269492,0.005
82,-8.992782,0.002926862,0.005
83,-8.992783,0.0029267694,0.005
84,-8.992784,0.0029270074,0.005
85,-8.992784,0.002927547,0.005
86,-8.9927845,0.002927691,0.005
87,-8.992785,0.002927724,0.005
88,-8.992786,0.0029277112,0.005
89,-8.992787,0.0029278696,0.005
90,-8.992789,0.0029281548,0.005
91,-8.992791,0.0029283133,0.005
92,-8.992791,0.002928685,0.005
93,-8.992792,0.0029292228,0.005
94,-8.992792,0.0029298777,0.005
95,-8.992792,0.0029305867,0.005
96,-8.992792,0.002931317,0.005
97,-8.992792,0.0029322382,0.005
98,-8.432668,26.658012,0.005
99,-8.998238,0.0004216359,0.005
100,-8.998535,0.0003220602,0.005
