lepoch,energy,energy_std,learning_rate
0,17.567272,1.838041,0.04
1,17.485817,1.8668362,0.049999997
2,17.448145,2.0022712,0.062499996
3,17.35062,2.2358463,0.07812499
4,17.089054,2.4837534,0.09765624
5,16.419966,3.1033154,0.122070305
6,14.346018,4.612382,0.15
7,4.6994348,6.6699357,0.15
8,-1.6970879,5.685901,0.14831352
9,-2.18518,5.5871906,0.15
10,-2.9498458,5.963897,0.15
11,-4.584419,6.0768967,0.15
12,-6.4119415,5.972561,0.15
13,-8.041004,5.6808567,0.15
14,-8.819955,5.634013,0.15
15,-9.381168,5.6267443,0.15
16,-9.931215,5.5999837,0.15
17,-10.761574,5.5867906,0.15
18,-10.906424,5.5451565,0.11557449
19,-11.615909,5.336347,0.14446811
20,-11.410762,6.422634,0.056014776
21,-12.044871,5.173167,0.07001847
22,-12.260479,5.0997605,0.08752309
23,-12.344202,5.027851,0.10940386
24,-12.549357,4.969067,0.13675483
25,-12.4518795,5.1535234,0.09518909
26,-12.763438,5.0361443,0.06961704
27,-13.084,4.850328,0.0870213
28,-13.137805,4.7318163,0.10877662
29,-13.057743,5.118848,0.073395
30,-13.287238,4.8924007,0.061503213
31,-13.629362,4.702088,0.07687902
32,-13.586322,4.726066,0.09609877
33,-13.781293,4.6577625,0.12012347
34,-13.818443,4.904362,0.07611239
35,-13.855604,4.947307,0.057117693
36,-14.093264,4.7846355,0.07139712
37,-14.0949335,4.717842,0.0892464
38,-14.281717,4.741101,0.111558
39,-14.489338,4.6994314,0.1394475
40,-14.4328165,5.126573,0.08747576
41,-14.416867,5.0906534,0.07202089
42,-14.643178,5.03908,0.09002611
43,-14.431405,4.959692,0.08986835
44,-14.96354,5.0949388,0.07448938
45,-15.085015,4.9031487,0.09311172
46,-15.006055,5.2081075,0.079466954
47,-15.331818,5.1244082,0.09933369
48,-15.505899,5.401611,0.064233996
49,-15.7701645,5.2517405,0.08029249
50,-16.213856,5.4055114,0.10036562
51,-16.73876,5.590488,0.12545702
52,-16.720867,7.109605,0.044373754
53,-17.952316,5.6085815,0.055467192
54,-18.80825,5.431733,0.06933399
55,-19.801872,5.1425796,0.08666749
56,-20.47194,4.9873395,0.10833436
57,-21.463774,3.9647796,0.13541795
58,-21.412457,4.863967,0.05794075
59,-21.660517,4.363653,0.024872549
60,-22.118649,3.422743,0.031090686
61,-22.406855,2.994172,0.038863357
62,-22.403156,3.0141897,0.048579197
63,-22.420105,2.935662,0.060723998
64,-22.61437,2.7800136,0.075904995
65,-22.708961,2.6716197,0.094881244
66,-22.972672,2.3086214,0.11860155
67,-22.994331,2.4234695,0.14825194
68,-22.74891,3.7164278,0.033832546
69,-23.150976,2.0703468,0.042290684
70,-23.223196,2.0016954,0.052863356
71,-23.259867,2.0421796,0.06607919
72,-23.246746,2.0244732,0.08259899
73,-23.353836,1.9146646,0.10324874
74,-23.369808,1.9403989,0.12906092
75,-23.334484,2.1975079,0.050528158
76,-23.365788,1.8821734,0.030506268
77,-23.420341,1.7580694,0.038132835
78,-23.442314,1.8323972,0.047666043
79,-23.489338,1.7236062,0.059582554
80,-23.501837,1.6955564,0.074478194
81,-23.501997,1.7356042,0.09309775
82,-23.598564,1.6839697,0.11637218
83,-23.663822,1.6608446,0.14546522
84,-23.62144,1.6598693,0.08346154
85,-23.56267,1.6348027,0.10432692
86,-23.638235,1.7991133,0.06050023
87,-23.56434,1.7286671,0.039298676
88,-23.624847,1.5968332,0.049123347
89,-23.579586,1.6377225,0.061404184
90,-23.67985,1.6292585,0.076755226
91,-23.692652,1.6215945,0.09594403
92,-23.656343,1.6088431,0.119930044
93,-23.667912,1.6747209,0.08456787
94,-23.630539,1.7036823,0.057196192
95,-23.680159,1.6494751,0.04481269
96,-23.672417,1.5657908,0.056015864
97,-23.7507,1.5510919,0.07001983
98,-23.730406,1.5642767,0.08752479
99,-23.790361,1.5464444,0.10940598
100,-23.713455,1.5581722,0.13675748
101,-23.736261,1.5924615,0.08951619
102,-23.730816,1.8271737,0.03867713
103,-23.759947,1.5433431,0.04834641
104,-23.777712,1.5751423,0.060433015
105,-23.818136,1.5397393,0.07554127
106,-23.812763,1.5266991,0.09442659
107,-23.767855,1.504673,0.11803323
108,-23.825274,1.5468562,0.14754154
109,-23.708698,1.5560062,0.09447707
110,-23.76502,1.6344235,0.06577949
111,-23.769531,1.6376907,0.048573975
112,-23.726631,1.5792706,0.060717467
113,-23.769587,1.5211035,0.07589684
114,-23.716114,1.5380708,0.094871044
115,-23.834435,1.5825139,0.118588805
116,-23.746035,1.7083379,0.05353295
117,-23.785728,1.6182827,0.0363571
118,-23.85276,1.493952,0.045446377
119,-23.807825,1.5292808,0.056807972
120,-23.824684,1.4951398,0.071009964
121,-23.857393,1.4854989,0.088762455
122,-23.821266,1.486034,0.11095307
123,-23.846207,1.5300002,0.13869134
124,-23.847612,1.5312941,0.104655035
125,-23.817957,1.5578127,0.0952093
126,-23.862917,1.6534814,0.04519743
127,-23.74933,1.498539,0.044565868
128,-23.868868,1.488404,0.055707335
129,-23.877039,1.4578474,0.06963417
130,-23.832785,1.4635143,0.08704271
131,-23.86343,1.4672624,0.10880339
132,-23.861383,1.4531482,0.13600424
133,-23.82316,1.4616677,0.12233724
134,-23.854485,1.4852755,0.15
135,-23.727976,1.8060353,0.047665555
136,-23.83784,1.5597911,0.036033016
137,-23.800547,1.4843633,0.04504127
138,-23.847403,1.4350682,0.056301586
139,-23.851135,1.4707751,0.070376985
140,-23.909727,1.4360392,0.08797123
141,-23.876617,1.4356903,0.10996404
142,-23.902025,1.4060857,0.13745505
143,-23.929379,1.4903021,0.08642066
144,-23.977758,1.51304,0.055538397
145,-23.95125,1.4787624,0.04437968
146,-23.86146,1.4768494,0.0554746
147,-23.915369,1.3918537,0.069343254
148,-23.927664,1.3936771,0.08667907
149,-23.90697,1.4162687,0.10834884
150,-23.96685,1.3709339,0.13543604
151,-23.914343,1.5038309,0.06679571
152,-23.914745,1.4885659,0.042067207
153,-23.975016,1.3842995,0.052584007
154,-23.948719,1.396638,0.065730006
155,-23.885735,1.4014381,0.08216251
156,-23.95346,1.3429338,0.10270313
157,-23.9772,1.3843983,0.12837891
158,-23.979996,1.3485614,0.11014844
159,-23.960438,1.3440238,0.13768555
160,-23.927563,1.3230478,0.13264762
161,-23.873985,1.4393681,0.113003924
162,-23.908304,1.4220654,0.10834778
163,-23.875633,1.5186148,0.057291806
164,-23.912693,1.4000992,0.040094264
165,-23.91348,1.3159491,0.050117828
166,-23.958141,1.3518909,0.06264728
167,-23.94437,1.3388889,0.078309104
168,-23.958473,1.3082345,0.09788638
169,-23.969236,1.2941957,0.12235798
170,-23.980736,1.3176619,0.15
171,-23.901129,1.3193626,0.10541465
172,-23.911392,1.3623004,0.13176832
173,-23.883352,1.6916955,0.03929671
174,-23.899317,1.3109574,0.049120888
175,-23.933079,1.3260121,0.06140111
176,-23.92398,1.282306,0.07675139
177,-23.912678,1.2720823,0.095939234
178,-23.976921,1.2466589,0.11992404
179,-23.988869,1.2758864,0.14990506
180,-23.917868,1.307532,0.08828804
181,-23.971312,1.4933091,0.0343496
182,-23.96445,1.2373195,0.042937003
183,-23.985626,1.2601215,0.053671256
184,-23.973658,1.2345921,0.067089066
185,-23.977789,1.2076595,0.083861336
186,-24.009195,1.1575712,0.104826674
187,-23.998327,1.1793178,0.13103335
188,-24.034204,1.2035037,0.12255598
189,-23.956995,1.4025828,0.049099434
190,-24.026762,1.208625,0.03821504
191,-24.017067,1.1812477,0.0477688
192,-24.013027,1.183906,0.059711
193,-23.993454,1.0987096,0.074638754
194,-24.067219,1.1126302,0.09329844
195,-24.054832,1.095876,0.11662305
196,-24.051884,1.0999379,0.14577882
197,-24.005932,1.2053723,0.068677805
198,-24.060394,1.233937,0.03421308
199,-24.00369,1.1233038,0.04276635
200,-24.026934,1.1009455,0.053457938
201,-24.07988,1.0835457,0.066822425
202,-24.064552,1.0838013,0.08352803
203,-24.074778,1.0565131,0.10441004
204,-24.068157,1.0431913,0.13051255
205,-24.124266,1.0175457,0.15
206,-24.071566,1.2113618,0.06429764
207,-24.039946,1.1651907,0.030901317
208,-24.05739,1.044936,0.038626645
209,-24.102633,1.0349569,0.048283305
210,-24.080788,1.0378131,0.060354132
211,-24.071062,0.9765229,0.075442664
212,-24.08162,0.99880356,0.09430333
213,-24.104853,0.99873644,0.11787917
214,-24.14427,0.9507841,0.14734896
215,-24.103563,1.0266149,0.080827326
216,-24.112242,1.12623,0.032700684
217,-24.11059,0.9327452,0.040875856
218,-24.096262,0.94522864,0.05109482
219,-24.113733,0.91767156,0.06386852
220,-24.133884,0.9201876,0.07983565
221,-24.143063,0.8905936,0.09979457
222,-24.146633,0.8977452,0.12474321
223,-24.142437,0.88798827,0.15
224,-24.153172,0.95350134,0.09571757
225,-24.124537,1.1049638,0.034110006
226,-24.170757,0.879271,0.04263751
227,-24.137148,0.9085268,0.053296886
228,-24.146894,0.8833098,0.06662111
229,-24.179306,0.83901083,0.08327639
230,-24.151173,0.82706183,0.10409549
231,-24.169304,0.8371779,0.13011935
232,-24.179106,0.81887686,0.15
233,-24.19825,0.8968541,0.08999181
234,-24.140923,1.0339866,0.03089311
235,-24.196907,0.8216561,0.03861639
236,-24.200384,0.7648317,0.048270486
237,-24.197414,0.79824376,0.06033811
238,-24.175745,0.77351993,0.07542264
239,-24.198639,0.77879673,0.0942783
240,-24.199615,0.75796336,0.117847875
241,-24.208591,0.70728195,0.14730984
242,-24.20251,0.7455869,0.15
243,-24.204863,0.85912097,0.06262501
244,-24.229294,0.7932254,0.03283558
245,-24.236423,0.69683504,0.041044474
246,-24.24694,0.6906831,0.051305592
247,-24.223825,0.6936941,0.06413199
248,-24.185833,0.6816375,0.080164984
249,-24.243843,0.6658258,0.100206226
250,-24.241709,0.65447176,0.12525779
251,-24.240696,0.6659832,0.15
252,-24.247984,0.74635005,0.06807836
253,-24.252483,0.73927975,0.029343186
254,-24.233824,0.63789904,0.03667898
255,-24.247044,0.61246043,0.045848727
256,-24.235624,0.6389928,0.05731091
257,-24.222317,0.5960239,0.07163864
258,-24.249676,0.5969627,0.0895483
259,-24.266144,0.59738076,0.11193537
260,-24.262129,0.5532772,0.1399192
261,-24.271126,0.55538833,0.15
262,-24.273735,0.5539561,0.15
263,-24.273157,0.59492755,0.10062579
264,-24.284477,0.71932346,0.032109205
265,-24.274445,0.5500107,0.040136505
266,-24.27366,0.54864514,0.05017063
267,-24.25571,0.55405885,0.06271329
268,-24.2862,0.5087025,0.07839161
269,-24.287157,0.5247954,0.097989514
270,-24.288607,0.5160426,0.12248689
271,-24.289183,0.49379054,0.15
272,-24.303005,0.54299575,0.12022453
273,-24.283878,0.7365651,0.032053854
274,-24.295145,0.5157335,0.04006732
275,-24.302858,0.4933351,0.050084148
276,-24.293516,0.48840338,0.06260519
277,-24.290825,0.47463435,0.07825649
278,-24.320543,0.4703277,0.09782061
279,-24.315102,0.47550344,0.12227576
280,-24.321262,0.4659815,0.15
281,-24.321848,0.59414023,0.0506931
282,-24.304934,0.4910657,0.03461535
283,-24.333744,0.45837328,0.043269187
284,-24.333675,0.44320375,0.054086484
285,-24.319237,0.4303591,0.0676081
286,-24.310122,0.43847242,0.08451013
287,-24.325043,0.44998845,0.10563767
288,-24.336718,0.44090137,0.13204709
289,-24.35202,0.4473513,0.121354744
290,-24.31632,0.5649593,0.03666853
291,-24.327637,0.4469527,0.045835666
292,-24.335234,0.44180378,0.057294585
293,-24.332378,0.4292391,0.07161823
294,-24.334923,0.4122552,0.08952279
295,-24.33809,0.41434023,0.11190348
296,-24.336983,0.41538602,0.13987935
297,-24.331675,0.461365,0.10093812
298,-24.342236,0.5384994,0.032841988
299,-24.353447,0.4151063,0.041052483
300,-24.355026,0.40334094,0.051315606
301,-24.338652,0.39459515,0.06414451
302,-24.325949,0.41104764,0.08018063
303,-24.351013,0.39108518,0.10022579
304,-24.351639,0.40612692,0.12528224
305,-24.332844,0.40772888,0.15
306,-24.3478,0.48236212,0.05985953
307,-24.348648,0.43918872,0.031068519
308,-24.355854,0.40034857,0.03883565
309,-24.365555,0.4122955,0.04854456
310,-24.349258,0.3733108,0.0606807
311,-24.365713,0.3777089,0.075850874
312,-24.358448,0.3891817,0.09481359
313,-24.352737,0.38471973,0.11851699
314,-24.367388,0.3832525,0.14814624
315,-24.369827,0.3799019,0.15
316,-24.369184,0.48057705,0.046694443
317,-24.368282,0.38259834,0.038692664
318,-24.346216,0.37728304,0.04836583
319,-24.362865,0.3562593,0.06045729
320,-24.364613,0.36777186,0.07557161
321,-24.369915,0.37512,0.09446451
322,-24.367344,0.36628678,0.11808064
323,-24.360836,0.35944805,0.1476008
324,-24.376263,0.35232887,0.15
325,-24.371101,0.3678166,0.12994261
326,-24.369965,0.40393832,0.06442313
327,-24.373558,0.64060646,0.047793902
328,-24.381403,0.35164538,0.059742376
329,-24.374023,0.35527793,0.074677974
330,-24.391472,0.35508302,0.09334747
331,-24.373367,0.36457565,0.11668433
332,-24.388617,0.3602672,0.14585541
333,-24.39472,0.41835135,0.05941455
334,-24.381128,0.3785734,0.031241577
335,-24.369461,0.35794097,0.039051972
336,-24.375183,0.34462386,0.048814967
337,-24.375637,0.3377249,0.06101871
338,-24.380497,0.336507,0.07627339
339,-24.389791,0.32403684,0.095341735
340,-24.390621,0.33712417,0.11917717
341,-24.392208,0.33285514,0.14897147
342,-24.392124,0.3829545,0.06094092
343,-24.382263,0.3479805,0.035896484
344,-24.383202,0.3387769,0.044870604
345,-24.372316,0.33872738,0.056088254
346,-24.378668,0.32654208,0.07011032
347,-24.387056,0.32416704,0.0876379
348,-24.391184,0.3274593,0.10954738
349,-24.397388,0.32474256,0.13693422
350,-24.381147,0.38874656,0.055664275
351,-24.379211,0.3384949,0.03871617
352,-24.38983,0.32545227,0.048395213
353,-24.377043,0.34160262,0.060494017
354,-24.383278,0.31925428,0.07561752
355,-24.395435,0.32438505,0.0945219
356,-24.401695,0.30382147,0.11815238
357,-24.38111,0.3254578,0.1168012
358,-24.384079,0.38913962,0.04030818
359,-24.378105,0.30226007,0.050385226
360,-24.380976,0.30566493,0.06298153
361,-24.394564,0.31368542,0.07872692
362,-24.396738,0.30452326,0.09840865
363,-24.400234,0.31439745,0.12301081
364,-24.399504,0.31989172,0.15
365,-24.394983,0.35312068,0.082347445
366,-24.383383,0.38311425,0.030006561
367,-24.379053,0.3212752,0.0375082
368,-24.404509,0.3159116,0.046885252
369,-24.385015,0.31819966,0.058606565
370,-24.387484,0.31866217,0.073258206
371,-24.362375,0.6045191,0.09157276
372,-24.385777,0.31403172,0.11446595
373,-24.396519,0.3130357,0.14308244
374,-24.400385,0.35300627,0.08233131
375,-24.400778,0.3769653,0.03518642
376,-24.381351,0.32067016,0.043983027
377,-24.379099,0.31013915,0.054978784
378,-24.401663,0.30966845,0.06872348
379,-24.401375,0.29934162,0.085904345
380,-24.408514,0.29792193,0.107380435
381,-24.396204,0.31602955,0.13422555
382,-24.397543,0.39022654,0.04235899
383,-24.397158,0.2949678,0.05294874
384,-24.41173,0.29970962,0.06618592
385,-24.394894,0.31120262,0.0827324
386,-24.389875,0.31359878,0.103415504
387,-24.384,0.31242362,0.12926938
388,-24.393461,0.34081402,0.061293002
389,-24.403824,0.31415927,0.036550492
390,-24.407652,0.2925513,0.045688115
391,-24.406868,0.2905372,0.057110146
392,-24.411573,0.29015014,0.07138768
393,-24.41647,0.2941128,0.0892346
394,-24.405455,0.29532441,0.111543246
395,-24.398941,0.29348978,0.13942906
396,-24.403976,0.32876492,0.07099842
397,-24.391691,0.33087617,0.034012657
398,-24.408442,0.2865755,0.04251582
