epoch,energy,energy_std,learning_rate
0,17.567272,1.838041,0.04
1,17.49014,1.8757532,0.049999997
2,17.402344,1.9981717,0.062499996
3,17.378056,2.2000647,0.07812499
4,17.194183,2.342784,0.09765624
5,16.865372,2.7439811,0.122070305
6,16.09718,3.3045788,0.15
7,13.645074,4.7402267,0.15
8,5.598343,6.2259717,0.15
9,-1.6298144,5.1720138,0.15
10,-2.6973255,5.3429027,0.15
11,-3.3426943,5.4213047,0.15
12,-4.9174833,5.6555595,0.15
13,-6.372994,5.9617357,0.15
14,-7.545267,6.10866,0.15
15,-8.748532,6.368162,0.15
16,-9.602645,6.58105,0.15
17,-10.398247,6.7747426,0.15
18,-11.26512,6.8740063,0.15
19,-12.512264,7.007883,0.15
20,-14.108441,6.5769224,0.15
21,-17.033869,5.1854033,0.15
22,-18.229488,5.6201043,0.08207864
23,-19.227703,4.8468404,0.050001238
24,-20.057516,4.1461835,0.06250155
25,-20.685503,3.9222,0.07812694
26,-21.002285,3.795312,0.09765867
27,-21.512745,3.4146962,0.12207334
28,-22.08498,3.2017217,0.15
29,-22.321928,3.0901024,0.15
30,-22.611662,3.2020023,0.08605062
31,-22.838833,2.6835527,0.064947866
32,-22.89048,2.4470918,0.081184834
33,-23.103592,2.3133328,0.10148104
34,-23.145407,2.2431076,0.1268513
35,-23.332796,2.0647674,0.15
36,-23.298433,2.1336758,0.10372436
37,-23.408876,1.8729243,0.12965545
38,-23.454092,1.9200642,0.15
39,-23.540106,1.795057,0.15
40,-23.473505,1.9453787,0.08713891
41,-23.504663,1.7157263,0.108923644
42,-23.567583,1.758866,0.13615456
43,-23.610039,1.66353,0.15
44,-23.611656,1.7335703,0.14367676
45,-23.661066,1.6888509,0.15
46,-23.59738,1.7306021,0.122133724
47,-23.615814,1.6597574,0.097176954
48,-23.695457,1.6100336,0.1214712
49,-23.764957,1.6045455,0.15
50,-23.700262,1.5892079,0.15
51,-23.693981,1.6309801,0.15
52,-23.656895,1.6159797,0.15
53,-23.712523,1.6722838,0.13484475
54,-23.66168,1.650405,0.12372561
55,-23.738441,1.6108019,0.15
56,-23.752445,1.5769727,0.15
57,-23.72414,1.611601,0.15
58,-23.697222,1.6985755,0.115768805
59,-23.762402,1.6497027,0.06692947
60,-23.686218,1.6608264,0.08366183
61,-23.78568,1.5462825,0.10457729
62,-23.77182,1.5685027,0.13072161
63,-23.824398,1.5870281,0.15
64,-23.8414,1.6133816,0.14061737
65,-23.801008,1.6634121,0.13503863
66,-23.834974,1.645811,0.100095995
67,-23.753887,1.6477466,0.12512
68,-23.745571,1.5752883,0.15
69,-23.757856,1.5547044,0.15
70,-23.782356,1.5355933,0.15
71,-23.810648,1.5944839,0.15
72,-23.802898,1.5940946,0.15
73,-23.83557,1.5487416,0.136321
74,-23.818333,1.624752,0.118997425
75,-23.752789,1.5925672,0.083143346
76,-23.84214,1.5672699,0.103929184
77,-23.826109,1.5190928,0.12991148
78,-23.828932,1.4870331,0.15
79,-23.871634,1.528392,0.15
80,-23.812435,1.5173969,0.15
81,-23.838549,1.5454212,0.1477859
82,-23.87773,1.509866,0.15
83,-23.811115,1.5363821,0.15
84,-23.853445,1.5404474,0.15
85,-23.804146,1.5430202,0.15
86,-23.887836,1.5293913,0.15
87,-23.869078,1.5090227,0.15
88,-23.895351,1.515473,0.15
89,-23.87632,1.4927149,0.14480713
90,-23.82724,1.5117011,0.15
91,-23.880304,1.5369753,0.12541923
92,-23.827719,1.5091854,0.08517418
93,-23.871485,1.4769094,0.07784948
94,-23.87643,1.4498186,0.09731185
95,-23.890375,1.4529155,0.12163981
96,-23.950123,1.4256657,0.15
97,-23.87767,1.4414539,0.15
98,-23.961798,1.4568422,0.15
99,-23.857735,1.4586558,0.15
100,-23.847593,1.432247,0.15
101,-23.951267,1.349993,0.15
102,-23.878716,1.4615096,0.13368924
103,-23.883268,1.4308836,0.10923903
104,-23.921242,1.4543291,0.13654879
105,-23.86841,1.4265473,0.15
106,-23.948256,1.411687,0.116155915
107,-23.916676,1.4738839,0.087310016
108,-23.932114,1.4161733,0.10913752
109,-23.856855,1.380315,0.1364219
110,-23.922428,1.3862095,0.15
111,-24.036402,1.370417,0.13069244
112,-23.886906,1.4403418,0.07839355
113,-23.923723,1.3722157,0.097991936
114,-23.941204,1.3334559,0.12248992
115,-23.95945,1.3353344,0.15
116,-23.940395,1.3471068,0.15
117,-23.969164,1.3106855,0.15
118,-23.958315,1.3443398,0.15
119,-23.966578,1.3538591,0.14451426
120,-23.96503,1.3577815,0.15
121,-23.982588,1.3192658,0.15
122,-23.92525,1.3684629,0.15
123,-23.9902,1.3788396,0.15
124,-23.991508,1.3322552,0.15
125,-23.961329,1.3332202,0.15
126,-23.922523,1.3807665,0.15
127,-24.007847,1.3620389,0.15
128,-23.997484,1.3060694,0.15
129,-23.951708,1.308757,0.15
130,-23.9925,1.3201348,0.15
131,-23.931105,1.3168099,0.15
132,-23.999466,1.3238631,0.11593873
133,-23.937086,1.2932318,0.11563673
134,-23.935707,1.3255355,0.14454591
135,-23.942902,1.2579588,0.15
136,-24.015772,1.3646111,0.09929823
137,-23.989676,1.2947783,0.0913888
138,-24.010746,1.273622,0.114236
139,-24.06133,1.2011608,0.142795
140,-24.02787,1.2451369,0.15
141,-24.01037,1.2317207,0.15
142,-24.044498,1.1818092,0.15
143,-23.993212,1.1715842,0.15
144,-24.037346,1.1798779,0.15
145,-24.018656,1.1854614,0.15
146,-23.991184,1.1738682,0.15
147,-24.056082,1.1861411,0.15
148,-23.98004,1.2201607,0.084749304
149,-24.032093,1.1423723,0.10593663
150,-24.050491,1.1500423,0.1324208
151,-24.031301,1.1588374,0.15
152,-24.018696,1.1394998,0.15
153,-24.08564,1.1097833,0.15
154,-24.073774,1.1721321,0.15
155,-24.090778,1.1189615,0.14544186
156,-24.108175,1.1382655,0.094395906
157,-24.107605,1.1140301,0.078305416
158,-24.074781,1.089737,0.09788177
159,-24.061968,1.0582714,0.12235221
160,-24.07494,1.0397456,0.15
161,-24.088575,1.047791,0.15
162,-24.13284,1.060026,0.15
163,-24.10272,1.0612943,0.15
164,-24.145033,1.0437121,0.15
165,-24.117165,1.0477797,0.14346081
166,-24.085098,1.0376986,0.15
167,-24.09896,1.0127608,0.15
168,-24.09923,1.037308,0.15
169,-24.123024,1.0204768,0.15
170,-24.133905,1.0276107,0.15
171,-24.15623,1.0048851,0.15
172,-24.142485,1.0020087,0.15
173,-24.125277,0.975379,0.14094302
174,-24.128384,1.0493494,0.082973026
175,-24.138807,0.97212166,0.07540672
176,-24.17023,0.9358783,0.094258405
177,-24.13434,0.93758315,0.117823005
178,-24.201534,0.91005856,0.14727876
179,-24.183342,0.88585615,0.15
180,-24.151222,0.9033679,0.15
181,-24.144726,0.9392343,0.07907256
182,-24.188644,0.87604016,0.0988407
183,-24.187094,0.89159757,0.12355088
184,-24.212631,0.8679105,0.15
185,-24.19271,0.9130628,0.15
186,-24.196396,0.9035443,0.0846755
187,-24.13992,0.8670886,0.10584437
188,-24.180523,0.8411464,0.13230546
189,-24.23433,0.830908,0.15
190,-24.2149,0.8359271,0.15
191,-24.227915,0.8479243,0.13517563
192,-24.228052,0.82509863,0.15
193,-24.214542,0.79745334,0.15
194,-24.239214,0.8262725,0.15
195,-24.220572,0.77624065,0.11412626
196,-24.22447,0.7842304,0.14265782
197,-24.227535,0.75114864,0.15
198,-24.226345,0.76717407,0.15
199,-24.254875,0.7466896,0.15
200,-24.248882,0.723383,0.15
201,-24.238665,0.71643955,0.15
202,-24.271255,0.7125604,0.15
203,-24.27431,0.7270275,0.15
204,-24.265759,0.6993919,0.15
205,-24.238817,0.7023042,0.15
206,-24.266598,0.6759722,0.15
207,-24.25961,0.6605225,0.15
208,-24.27677,0.67317235,0.15
209,-24.280964,0.66811556,0.15
210,-24.276217,0.6451848,0.15
211,-24.270552,0.61878604,0.15
212,-24.254745,0.6437479,0.15
213,-24.27639,0.65870637,0.12823284
214,-24.27439,0.64760923,0.068911284
215,-24.271431,0.60549337,0.086139105
216,-24.286314,0.58371353,0.10767388
217,-24.30051,0.57664955,0.13459235
218,-24.307116,0.5917219,0.15
219,-24.300488,0.552402,0.15
220,-24.296618,0.5752595,0.15
221,-24.294666,0.6037135,0.0907981
222,-24.302185,0.55564123,0.11349763
223,-24.306162,0.5417936,0.14187203
224,-24.282953,0.5315195,0.15
225,-24.311886,0.5335562,0.15
226,-24.30249,0.5469321,0.15
227,-24.296703,0.5354346,0.15
228,-24.32284,0.498908,0.15
229,-24.332933,0.48772225,0.15
230,-24.324453,0.48116583,0.15
231,-24.32742,0.49668738,0.15
232,-24.345867,0.5164444,0.14343628
233,-24.330807,0.5187611,0.073132016
234,-24.31609,0.46174318,0.09141502
235,-24.344088,0.4509404,0.11426877
236,-24.348904,0.44459504,0.14283596
237,-24.3462,0.44758046,0.15
238,-24.361954,0.44134703,0.15
239,-24.337845,0.48518565,0.103332974
240,-24.330437,0.43796957,0.12916622
241,-24.348677,0.42470515,0.15
242,-24.325047,0.42227778,0.15
243,-24.345942,0.4123952,0.15
244,-24.347832,0.41628402,0.15
245,-24.348406,0.42095777,0.15
246,-24.348042,0.43104628,0.15
247,-24.363808,0.39814332,0.15
248,-24.347486,0.3925374,0.15
249,-24.364042,0.39963618,0.15
250,-24.361427,0.3902006,0.15
251,-24.35996,0.40388572,0.15
252,-24.36434,0.39736536,0.11135503
253,-24.368832,0.37754184,0.13919379
254,-24.37238,0.37990603,0.15
255,-24.378422,0.37581888,0.15
256,-24.368044,0.36379832,0.15
257,-24.374752,0.38056257,0.15
258,-24.37188,0.3736011,0.15
259,-24.395555,0.35743216,0.15
260,-24.378906,0.36337742,0.15
261,-24.373587,0.36350656,0.15
262,-24.374556,0.3643262,0.15
263,-24.380358,0.3788947,0.082857296
264,-24.392939,0.34154204,0.10357162
265,-24.372976,0.3537008,0.12946454
266,-24.380297,0.34178895,0.15
267,-24.383957,0.35902795,0.15
268,-24.38445,0.36206663,0.06657074
269,-24.385727,0.33829698,0.08321342
270,-24.38762,0.33077705,0.10401677
271,-24.390549,0.3155679,0.13002096
272,-24.393599,0.33559158,0.15
273,-24.375662,0.32788044,0.15
274,-24.390896,0.34535217,0.15
275,-24.409388,0.32192245,0.11124774
276,-24.402708,0.31877953,0.13905968
277,-24.3883,0.32595703,0.15
278,-24.401539,0.3237327,0.15
279,-24.394793,0.3469028,0.12371679
280,-24.398252,0.31885913,0.11510615
281,-24.407455,0.30475566,0.14388269
282,-24.400013,0.30591795,0.15
283,-24.399305,0.30175653,0.15
284,-24.394596,0.30298802,0.15
285,-24.39759,0.2970468,0.15
286,-24.396809,0.31277567,0.15
287,-24.397816,0.31531695,0.15
288,-24.4077,0.3223527,0.073732615
289,-24.402079,0.30368036,0.09216577
290,-24.40597,0.29056337,0.11520721
291,-24.40539,0.29645917,0.14400901
292,-24.398314,0.2923474,0.15
293,-24.414886,0.29080373,0.15
294,-24.413383,0.30142742,0.15
295,-24.40432,0.2998156,0.10615244
296,-24.409721,0.2866129,0.13269055
297,-24.401613,0.2958225,0.15
298,-24.404385,0.28782278,0.15
299,-24.417168,0.29026473,0.15
300,-24.404,0.27957165,0.15
301,-24.400425,0.30253163,0.15
302,-24.394808,0.31041124,0.07779828
303,-24.407875,0.27611306,0.09724785
304,-24.40726,0.28107738,0.121559806
305,-24.411293,0.27954155,0.15
306,-24.408886,0.28581625,0.15
307,-24.415018,0.2821686,0.15
308,-24.406061,0.29419807,0.15
309,-24.419468,0.2836591,0.15
310,-24.410503,0.29284617,0.15
311,-24.407995,0.29180676,0.15
312,-24.410234,0.28239366,0.15
313,-24.410307,0.2720334,0.15
314,-24.414238,0.27832282,0.15
315,-24.417774,0.29351532,0.15
316,-24.410267,0.29644993,0.08925302
317,-24.415083,0.27421674,0.111566275
318,-24.41873,0.27099326,0.13945785
319,-24.413929,0.27331883,0.15
320,-24.415867,0.26896855,0.15
321,-24.412176,0.28405958,0.15
322,-24.41018,0.27953443,0.15
323,-24.41372,0.27459753,0.15
324,-24.40748,0.28372663,0.15
325,-24.41882,0.26797274,0.15
326,-24.412188,0.2722034,0.15
327,-24.421524,0.26331377,0.15
328,-24.420563,0.27350438,0.15
329,-24.413076,0.28743872,0.15
330,-24.418598,0.27125552,0.15
331,-24.421715,0.27246806,0.14310789
332,-24.422773,0.28267267,0.10141528
333,-24.414072,0.26513255,0.1267691
334,-24.418789,0.2659247,0.15
335,-24.428083,0.27222732,0.15
336,-24.417398,0.27940118,0.15
337,-24.40314,0.2719351,0.102262594
338,-24.426996,0.25378066,0.12782824
339,-24.427532,0.25189078,0.15
340,-24.417465,0.26221046,0.15
341,-24.424984,0.2620671,0.15
342,-24.414093,0.26751554,0.15
343,-24.412188,0.25564137,0.15
344,-24.42657,0.2660808,0.12981069
345,-24.419159,0.25841317,0.15
346,-24.418604,0.26066935,0.15
347,-24.42331,0.2509321,0.15
348,-24.426489,0.2582929,0.15
349,-24.426601,0.25740162,0.15
350,-24.420458,0.26428008,0.15
351,-24.408073,0.26551166,0.13036603
352,-24.41712,0.24927187,0.15
353,-24.420654,0.24980454,0.15
354,-24.416166,0.25399297,0.15
355,-24.422005,0.25786376,0.15
356,-24.416098,0.25329354,0.15
357,-24.424015,0.25477368,0.15
358,-24.417027,0.26371646,0.15
359,-24.419771,0.25209007,0.15
360,-24.425734,0.24316159,0.15
361,-24.420946,0.2538938,0.15
362,-24.419754,0.26851228,0.15
363,-24.438686,0.25257343,0.15
364,-24.414812,0.2602299,0.15
365,-24.415451,0.2572457,0.15
366,-24.415459,0.2454578,0.15
367,-24.4184,0.2554378,0.15
368,-24.418428,0.2613413,0.15
369,-24.423563,0.25385058,0.15
370,-24.413286,0.25177872,0.15
371,-24.411106,0.25263155,0.15
372,-24.41964,0.25138825,0.15
373,-24.422266,0.24219993,0.15
374,-24.419735,0.25448415,0.15
375,-24.42064,0.25483266,0.15
376,-24.42887,0.24963878,0.15
377,-24.426817,0.2531089,0.15
378,-24.422276,0.23814361,0.15
379,-24.417278,0.24936198,0.15
380,-24.424578,0.24898322,0.15
381,-24.419168,0.2565119,0.15
382,-24.417704,0.25494596,0.15
383,-24.41584,0.2507553,0.15
384,-24.419203,0.24440585,0.15
385,-24.415697,0.24398533,0.15
386,-24.42463,0.23648496,0.15
387,-24.427635,0.24993332,0.15
388,-24.412762,0.2620496,0.11966089
389,-24.420948,0.25189888,0.08397362
390,-24.422281,0.23724462,0.10496702
391,-24.439707,0.23342131,0.13120878
392,-24.422215,0.24055535,0.15
393,-24.415726,0.23853534,0.15
394,-24.421495,0.23931,0.15
395,-24.42518,0.23927613,0.15
396,-24.423452,0.22713631,0.15
397,-24.420443,0.24238722,0.15
398,-24.418829,0.23921771,0.15
399,-24.422857,0.24351664,0.15
400,-24.42772,0.23341161,0.15
401,-24.42161,0.23764089,0.15
402,-24.431265,0.23682268,0.15
403,-24.416609,0.24091263,0.15
404,-24.422024,0.2313973,0.15
405,-24.429787,0.24439584,0.15
406,-24.41864,0.23642504,0.15
407,-24.424704,0.24334383,0.15
408,-24.424622,0.24097717,0.15
409,-24.434332,0.24464142,0.15
410,-24.42666,0.22745639,0.15
411,-24.42734,0.23461701,0.15
412,-24.427906,0.24617411,0.15
413,-24.43636,0.23107828,0.15
414,-24.427711,0.23927747,0.15
415,-24.419039,0.23655047,0.15
416,-24.426968,0.23793453,0.15
417,-24.422953,0.22894454,0.15
418,-24.42655,0.23663636,0.15
419,-24.424633,0.23652633,0.15
420,-24.416456,0.24392956,0.15
421,-24.43189,0.23442644,0.15
422,-24.426296,0.23110911,0.15
423,-24.427052,0.24164404,0.15
424,-24.427149,0.23846129,0.15
425,-24.42013,0.25165075,0.15
426,-24.417768,0.24644004,0.15
427,-24.429087,0.25840405,0.09823736
428,-24.421455,0.25487414,0.055304382
