epoch,energy,energy_std,learning_rate
0,17.567272,1.838041,0.04
1,17.49364,1.8774762,0.049999997
2,17.400892,1.9914738,0.062499996
3,17.331833,2.2298453,0.07812499
4,17.230408,2.3377552,0.09765624
5,16.883867,2.6674438,0.122070305
6,16.148464,3.3090777,0.15
7,13.79193,4.70732,0.15
8,5.5360346,6.248279,0.15
9,-1.7035673,5.2548776,0.15
10,-2.6311684,5.3429756,0.15
11,-3.4903352,5.516795,0.15
12,-5.04884,5.8327875,0.15
13,-6.4327526,5.789545,0.15
14,-7.494949,6.0394454,0.15
15,-8.42272,6.4228806,0.15
16,-9.358769,6.5035334,0.15
17,-10.183131,6.518045,0.15
18,-11.267455,6.6334743,0.15
19,-12.678002,6.4609857,0.15
20,-14.964129,5.7514243,0.15
21,-17.567484,4.344968,0.15
22,-18.702282,4.405072,0.15
23,-19.740107,4.569341,0.15
24,-19.312067,6.9684925,0.04515624
25,-21.175602,3.9511225,0.0564453
26,-21.449387,3.504712,0.070556626
27,-21.787891,3.2784488,0.088195786
28,-22.142088,3.155377,0.110244736
29,-22.464222,3.0468907,0.13780592
30,-22.507282,3.5908768,0.05807782
31,-22.901857,2.6564088,0.04094482
32,-22.891361,2.3618624,0.051181022
33,-23.064001,2.3094506,0.06397628
34,-23.084766,2.2577353,0.07997035
35,-23.23039,2.1561275,0.09996294
36,-23.202335,2.070939,0.12495368
37,-23.345934,2.0348487,0.15
38,-23.411762,1.925295,0.15
39,-23.459377,1.979428,0.13749109
40,-23.387995,2.2702413,0.055916306
41,-23.53171,1.7920384,0.06989538
42,-23.57205,1.7625561,0.087369226
43,-23.550856,1.7228425,0.109211534
44,-23.649473,1.701598,0.13651443
45,-23.62667,1.7362012,0.08641375
46,-23.687624,1.7591444,0.04479873
47,-23.663101,1.5825342,0.055998415
48,-23.636578,1.6120939,0.06999802
49,-23.741718,1.5710323,0.087497525
50,-23.69302,1.6284082,0.10937191
51,-23.744965,1.5761112,0.13671489
52,-23.828207,1.4887552,0.15
53,-23.753855,1.7069753,0.07894905
54,-23.742016,1.7264425,0.04173228
55,-23.78184,1.5236224,0.05216535
56,-23.791075,1.5340099,0.06520669
57,-23.795757,1.5213352,0.08150837
58,-23.805393,1.4807636,0.10188546
59,-23.854418,1.483074,0.12735683
60,-23.825169,1.4992115,0.15
61,-23.886965,1.5548882,0.118008524
62,-23.8189,1.6815562,0.055266403
63,-23.880724,1.5163935,0.055171717
64,-23.877161,1.4658233,0.068964645
65,-23.852924,1.4962834,0.08620581
66,-23.848253,1.5015838,0.10775726
67,-23.869144,1.4435817,0.13469657
68,-23.877203,1.495523,0.15
69,-23.888128,1.5110627,0.13042656
70,-23.822254,1.6832573,0.06718662
71,-23.915392,1.5460455,0.04639799
72,-23.902723,1.4692923,0.057997487
73,-23.850306,1.4599273,0.07249686
74,-23.91038,1.4820919,0.09062108
75,-23.93286,1.4486151,0.11327635
76,-23.93201,1.4908516,0.14159544
77,-23.945305,1.4849172,0.15
78,-23.863638,1.4900817,0.10582988
79,-23.870129,1.6210059,0.061180953
80,-23.857742,1.5221719,0.05552133
81,-23.948153,1.473454,0.06940167
82,-23.92025,1.4545913,0.08675209
83,-23.87691,1.4609216,0.10844011
84,-23.946203,1.4172523,0.13555014
85,-23.905188,1.4601111,0.15
86,-23.895515,1.5596435,0.10042073
87,-23.891832,1.6743392,0.042562865
88,-23.87868,1.4478956,0.053203583
89,-23.90505,1.4422076,0.06650448
90,-23.926308,1.3876295,0.0831306
91,-24.028294,1.3963925,0.10391325
92,-23.955593,1.3732584,0.12989156
93,-23.989605,1.4125183,0.15
94,-23.959347,1.4603077,0.14340164
95,-23.94241,1.7244816,0.051565204
96,-23.91189,1.422746,0.050374784
97,-23.919529,1.3998749,0.06296848
98,-23.947155,1.3785037,0.0787106
99,-23.96848,1.3518294,0.098388255
100,-23.942549,1.322301,0.12298532
101,-23.951448,1.3342714,0.15
102,-23.97358,1.3791285,0.15
103,-23.979996,1.4195489,0.11503907
104,-23.887968,1.5815738,0.05063837
105,-23.94583,1.3614814,0.063297965
106,-23.9403,1.3113698,0.079122454
107,-23.978672,1.407247,0.09890307
108,-23.995731,1.3459537,0.12362883
109,-23.983414,1.3520646,0.15
110,-23.981766,1.3796784,0.13827442
111,-23.973585,1.6407789,0.049531132
112,-23.928732,1.3560295,0.061913915
113,-23.992086,1.3432066,0.07739239
114,-24.039488,1.2899129,0.09674049
115,-24.026976,1.3069515,0.12092561
116,-24.020416,1.2905664,0.15
117,-24.072094,1.2968119,0.15
118,-23.980402,1.323173,0.15
119,-24.024351,1.3476247,0.12547976
120,-23.986458,1.5019865,0.05897769
121,-23.992434,1.3009295,0.05539861
122,-24.043167,1.2797269,0.06924826
123,-24.02707,1.2236549,0.086560324
124,-23.99253,1.2491001,0.1082004
125,-24.016113,1.2566601,0.13525051
126,-24.042242,1.225011,0.15
127,-24.002214,1.2208802,0.15
128,-24.06224,1.2501768,0.14605759
129,-23.950336,1.3374524,0.08490275
130,-23.992645,1.3488196,0.058148533
131,-24.021078,1.2230456,0.07268567
132,-24.03024,1.2223449,0.09085708
133,-24.030163,1.2447623,0.11357135
134,-24.07045,1.1583035,0.1419642
135,-24.093176,1.2095277,0.15
136,-24.055634,1.2889456,0.087120876
137,-24.00842,1.3349687,0.0408275
138,-23.9993,1.1638881,0.051034376
139,-24.02768,1.1546189,0.063792974
140,-24.080904,1.1316671,0.07974122
141,-24.035957,1.1269474,0.09967652
142,-24.095497,1.0922143,0.12459565
143,-24.079199,1.1174259,0.15
144,-24.131153,1.1313065,0.14818959
145,-24.074518,1.2340449,0.08203396
146,-24.11104,1.2123795,0.045128867
147,-24.095121,1.0898597,0.056411084
148,-24.070274,1.0624232,0.07051385
149,-24.122515,1.06333,0.08814231
150,-24.070992,1.0443922,0.11017789
151,-24.097273,0.97928905,0.13772236
152,-24.08543,1.0588835,0.15
153,-24.078178,1.111697,0.10856091
154,-24.092274,1.2362866,0.044951476
155,-24.12541,1.00667,0.056189343
156,-24.125751,1.0165315,0.07023668
157,-24.15082,0.9851172,0.08779585
158,-24.154554,0.99327904,0.10974482
159,-24.133783,0.9507412,0.13718101
160,-24.172628,0.9643751,0.15
161,-24.132305,1.0128407,0.11172371
162,-24.147764,1.1238652,0.04779084
163,-24.14723,0.95029736,0.05973855
164,-24.167887,0.96048456,0.07467319
165,-24.149426,0.91473347,0.093341485
166,-24.176899,0.893273,0.11667685
167,-24.167528,0.9066085,0.14584607
168,-24.172804,0.91164684,0.15
169,-24.176735,0.87494457,0.15
170,-24.145496,0.95381063,0.111993074
171,-24.16316,1.0848914,0.04055485
172,-24.197344,0.86898255,0.050693564
173,-24.1757,0.83992445,0.06336696
174,-24.175406,0.8405503,0.079208694
175,-24.196009,0.82346606,0.09901087
176,-24.214695,0.79740536,0.12376359
177,-24.235113,0.8080089,0.15
178,-24.180784,0.8136443,0.15
179,-24.216183,0.8877058,0.07746286
180,-24.211966,0.8589534,0.041511208
181,-24.233912,0.77738976,0.05188901
182,-24.206476,0.7462842,0.06486126
183,-24.208632,0.72451645,0.08107658
184,-24.213774,0.7465407,0.10134572
185,-24.243134,0.7284614,0.12668215
186,-24.227562,0.7140683,0.15
187,-24.186789,0.71448827,0.15
188,-24.251238,0.7117302,0.15
189,-24.228031,0.8117871,0.05990242
190,-24.224337,0.70771736,0.051521186
191,-24.233465,0.69930005,0.064401485
192,-24.253933,0.66894394,0.080501854
193,-24.251644,0.64221114,0.10062732
194,-24.250397,0.6332293,0.12578414
195,-24.247898,0.625471,0.15
196,-24.27069,0.6255941,0.15
197,-24.259777,0.62369317,0.15
198,-24.257967,0.7990108,0.049672436
199,-24.25223,0.598532,0.04940044
200,-24.285387,0.5939578,0.061750554
201,-24.274206,0.6162749,0.077188194
202,-24.268295,0.6082056,0.09648524
203,-24.278152,0.5599938,0.12060656
204,-24.288496,0.55731994,0.15
205,-24.29229,0.54924184,0.15
206,-24.284494,0.5637364,0.15
207,-24.307245,0.5818626,0.08287251
208,-24.28387,0.59356934,0.04736347
209,-24.29062,0.529098,0.05920434
210,-24.313524,0.51208055,0.074005425
211,-24.294344,0.5170474,0.09250678
212,-24.330399,0.49341708,0.11563347
213,-24.307117,0.4914476,0.14454184
214,-24.305988,0.4785764,0.15
215,-24.309921,0.4956889,0.15
216,-24.295273,0.5977865,0.067376465
217,-24.341217,0.4965261,0.045957614
218,-24.327589,0.47713503,0.057447016
219,-24.3132,0.49851716,0.07180877
220,-24.32216,0.46437663,0.08976096
221,-24.320515,0.45725998,0.1122012
222,-24.29046,0.44380873,0.1402515
223,-24.32853,0.45488048,0.15
224,-24.320168,0.47418544,0.15
225,-24.32823,0.59372026,0.050679334
226,-24.311226,0.7021924,0.063349165
227,-24.324759,0.46275127,0.079186454
228,-24.337332,0.43410063,0.098983064
229,-24.334246,0.43249074,0.12372883
230,-24.338543,0.43570945,0.15
231,-24.331081,0.44918606,0.12540214
232,-24.333742,0.46527117,0.07004978
233,-24.329958,0.4408047,0.058933996
234,-24.329174,0.42944807,0.0736675
235,-24.345715,0.40539455,0.09208437
236,-24.353971,0.41751048,0.115105465
237,-24.349792,0.41670284,0.14388183
238,-24.342035,0.4095275,0.15
239,-24.342415,0.43450046,0.12660974
240,-24.353765,0.49426967,0.052827958
241,-24.341883,0.40399328,0.06603495
242,-24.34744,0.40988976,0.082543686
243,-24.348705,0.39833307,0.103179604
244,-24.360214,0.4061678,0.1289745
245,-24.35302,0.41016513,0.15
246,-24.356836,0.39201003,0.15
247,-24.359083,0.4251566,0.12095347
248,-24.3722,0.4561102,0.048845496
249,-24.36065,0.40498456,0.06105687
250,-24.358126,0.40636128,0.07632109
251,-24.36643,0.4023142,0.09540136
252,-24.357769,0.37877184,0.1192517
253,-24.358547,0.38497242,0.14906463
254,-24.378803,0.37741166,0.15
255,-24.359465,0.3953685,0.13025571
256,-24.363987,0.42614216,0.06741638
257,-24.362476,0.38889882,0.051270183
258,-24.355484,0.36614022,0.064087726
259,-24.38115,0.36304402,0.080109656
260,-24.37091,0.35733745,0.10013707
261,-24.363747,0.3683851,0.12517133
262,-24.376842,0.3605757,0.15
263,-24.38002,0.36122835,0.1434849
264,-24.372622,0.40075833,0.09585437
265,-24.349157,0.41310993,0.05319664
266,-24.378616,0.35007,0.0664958
267,-24.37013,0.35437664,0.08311975
268,-24.367805,0.3672888,0.10389969
269,-24.370989,0.34816405,0.12987462
270,-24.365442,0.35206604,0.15
271,-24.383455,0.34421372,0.15
272,-24.383259,0.3810631,0.088121116
273,-24.377857,0.38163373,0.048062555
274,-24.383823,0.33861312,0.060078196
275,-24.380917,0.33785996,0.07509775
276,-24.367104,0.3454683,0.09387218
277,-24.373934,0.3406642,0.11734023
278,-24.390215,0.3417105,0.14667529
279,-24.397833,0.3367828,0.15
280,-24.366028,0.3724411,0.08838763
281,-24.369953,0.3655687,0.057867672
282,-24.37462,0.33689037,0.07233459
283,-24.375708,0.3321882,0.090418234
284,-24.388382,0.33584753,0.11302279
285,-24.388952,0.3340399,0.14127849
286,-24.378445,0.3345894,0.15
287,-24.380909,0.33166412,0.15
288,-24.387632,0.33873636,0.15
289,-24.387785,0.3438563,0.10968322
290,-24.383997,0.3745466,0.054241303
291,-24.379593,0.32055464,0.06780163
292,-24.388226,0.32326108,0.08475204
293,-24.394342,0.3191519,0.105940044
294,-24.391651,0.31673074,0.13242505
295,-24.385622,0.3248357,0.15
296,-24.381067,0.33798522,0.15
297,-24.377035,0.3230758,0.15
298,-24.375544,0.36408556,0.08154302
299,-24.388075,0.33179462,0.055765867
300,-24.389063,0.32371274,0.069707334
301,-24.37965,0.3249502,0.08713417
302,-24.392391,0.3156986,0.10891771
303,-24.381817,0.31984657,0.13614714
304,-24.392578,0.30829284,0.15
305,-24.384918,0.3356874,0.1260546
306,-24.38805,0.36240906,0.06295042
307,-24.405285,0.32440728,0.054049324
308,-24.392609,0.3235841,0.067561656
309,-24.39527,0.3117428,0.08445207
310,-24.393263,0.2980371,0.105565086
311,-24.384848,0.33295164,0.13195635
312,-24.398918,0.32617217,0.15
313,-24.402824,0.35970968,0.063058324
314,-24.397598,0.31537098,0.047455527
315,-24.396149,0.30660576,0.059319407
316,-24.380636,0.30385736,0.07414926
317,-24.391678,0.3021508,0.09268657
318,-24.394594,0.29865026,0.11585821
319,-24.386276,0.30157974,0.14482276
320,-24.391104,0.30221367,0.15
321,-24.394718,0.31629577,0.120398395
322,-24.39493,0.34664387,0.053272605
323,-24.406694,0.30516094,0.066590756
324,-24.414217,0.3043349,0.083238445
325,-24.405487,0.31144944,0.10404806
326,-24.400616,0.30431506,0.13006008
327,-24.39423,0.29146722,0.15
328,-24.40079,0.32155403,0.13394506
329,-24.390032,0.35593653,0.05855725
330,-24.405195,0.29885978,0.057507593
331,-24.39701,0.30449682,0.07188449
332,-24.400291,0.29128584,0.08985561
333,-24.405014,0.2892419,0.112319514
334,-24.412497,0.28503364,0.1403994
335,-24.399595,0.3086268,0.13167706
336,-24.417084,0.30988428,0.09800984
337,-24.403929,0.31820413,0.058361728
338,-24.401241,0.2953646,0.07295216
339,-24.407036,0.29490802,0.0911902
340,-24.389988,0.3056736,0.113987744
341,-24.399242,0.29997146,0.14248468
342,-24.403746,0.30413884,0.15
343,-24.403969,0.31649408,0.111718416
344,-24.400848,0.32357028,0.0823948
345,-24.402218,0.3055193,0.1029935
346,-24.405762,0.32476166,0.08246328
347,-24.39795,0.31542182,0.103079095
348,-24.40389,0.31638747,0.08581866
349,-24.406082,0.30018607,0.07226957
350,-24.411863,0.29444835,0.090336956
351,-24.406147,0.29114473,0.11292119
352,-24.393925,0.30217725,0.08349352
353,-24.403831,0.29928404,0.071177475
354,-24.39691,0.30281353,0.088971846
355,-24.40803,0.29003346,0.11121481
356,-24.403889,0.2833282,0.1390185
357,-24.39752,0.31456643,0.07392574
358,-24.412188,0.29537758,0.062767856
359,-24.41406,0.28583285,0.07845982
360,-24.416334,0.28722593,0.09807478
361,-24.405537,0.3068831,0.12259348
362,-24.395811,0.29981166,0.15
363,-24.396425,0.2919088,0.15
364,-24.40137,0.31814983,0.07394672
365,-24.416616,0.29642573,0.052164264
366,-24.406519,0.2939546,0.06520533
367,-24.402061,0.29953948,0.08150666
368,-24.412928,0.29416838,0.10188333
369,-24.406057,0.29146877,0.12735416
370,-24.406654,0.2994084,0.15
371,-24.4094,0.28710687,0.12853621
372,-24.407488,0.30390638,0.0790475
373,-24.402388,0.30965868,0.07076863
374,-24.402843,0.2917038,0.08846079
375,-24.408543,0.28778207,0.11057599
376,-24.41384,0.28960034,0.13821998
377,-24.412037,0.3094713,0.15
378,-24.413649,0.33310604,0.06705134
379,-24.412672,0.30439168,0.04938323
380,-24.405054,0.28455672,0.061729036
381,-24.410036,0.29078436,0.0771613
382,-24.41212,0.27269128,0.096451625
383,-24.400715,0.28562456,0.120564535
384,-24.415241,0.28124195,0.15
385,-24.410637,0.28340733,0.13596784
386,-24.415695,0.29271495,0.09239381
387,-24.396887,0.30040488,0.06513048
388,-24.399332,0.28684595,0.0814131
389,-24.400356,0.27717796,0.10176637
390,-24.405306,0.28824514,0.12720796
391,-24.408352,0.28430125,0.15
392,-24.417973,0.29926848,0.08199966
393,-24.408577,0.2959244,0.05352878
394,-24.408115,0.27870515,0.066910975
395,-24.403748,0.27710658,0.08363872
396,-24.405182,0.27967346,0.1045484
397,-24.407719,0.2703138,0.13068551
398,-24.409813,0.27748704,0.15
399,-24.398897,0.27707773,0.15
400,-24.404171,0.2977076,0.13782705
401,-24.409184,0.3099454,0.06430371
402,-24.409622,0.26639974,0.080379635
403,-24.406414,0.27963227,0.100474544
404,-24.408518,0.27803972,0.12559319
405,-24.414759,0.2759948,0.15
406,-24.411047,0.30218992,0.076511785
407,-24.414722,0.2924103,0.054424234
408,-24.405554,0.27436852,0.06803029
409,-24.415792,0.28438205,0.085037865
410,-24.40505,0.27737075,0.10629733
411,-24.408714,0.26545635,0.13287166
412,-24.412441,0.26982665,0.15
413,-24.406713,0.28755844,0.15
414,-24.414806,0.29159707,0.11609196
415,-24.407015,0.30367526,0.0572578
416,-24.39605,0.2828511,0.07157225
417,-24.408195,0.26324272,0.08946531
418,-24.398554,0.28116933,0.11183164
419,-24.399899,0.27034354,0.13978955
420,-24.413086,0.2695901,0.12890546
421,-24.407406,0.28766015,0.09608544
422,-24.414934,0.28556344,0.056664873
423,-24.417877,0.2668607,0.07083109
424,-24.410553,0.27253142,0.08853886
425,-24.411491,0.2721186,0.11067358
426,-24.41302,0.261036,0.13834196
427,-24.42388,0.27282906,0.11694129
428,-24.415659,0.29821408,0.056597654
429,-24.425278,0.26069,0.07074707
430,-24.411282,0.27384928,0.08843384
431,-24.416418,0.26047152,0.1105423
432,-24.420603,0.25412035,0.13817787
433,-24.407085,0.30575335,0.15
434,-24.403383,0.30181926,0.09021004
435,-24.397297,0.300449,0.04590147
436,-24.401587,0.2856689,0.05737684
437,-24.405874,0.26738384,0.07172105
438,-24.419493,0.26463687,0.08965131
439,-24.414442,0.2594888,0.11206414
440,-24.412514,0.25770462,0.14008017
441,-24.40215,0.28412968,0.15
442,-24.413649,0.2700034,0.15
443,-24.412071,0.27151904,0.15
444,-24.420687,0.29530874,0.08038124
445,-24.415356,0.27945337,0.04844632
446,-24.412823,0.27287677,0.0605579
447,-24.403719,0.2640269,0.07569738
448,-24.4042,0.28019515,0.09462172
449,-24.403292,0.2692898,0.11827715
450,-24.420946,0.2658553,0.14784643
451,-24.414307,0.26957375,0.15
452,-24.413134,0.27851477,0.08487382
453,-24.422024,0.27854088,0.057791155
454,-24.424147,0.2568161,0.072238944
455,-24.40934,0.2693666,0.09029868
456,-24.411188,0.2649634,0.11287335
457,-24.41308,0.2650651,0.14109169
458,-24.42315,0.26726255,0.15
459,-24.410173,0.27752152,0.096352324
460,-24.417982,0.28465638,0.055435468
461,-24.422794,0.26186776,0.06929433
462,-24.420496,0.27340153,0.08661792
463,-24.42214,0.25135437,0.108272396
464,-24.408285,0.2613935,0.1353405
465,-24.413048,0.27403158,0.15
466,-24.408657,0.27192324,0.11162411
467,-24.404016,0.27991197,0.0777983
468,-24.397856,0.27487007,0.097247876
469,-24.396946,0.27503815,0.12155984
470,-24.41198,0.2664012,0.09536891
471,-24.414309,0.26939377,0.066769734
472,-24.413437,0.26487988,0.083462164
473,-24.414495,0.24940169,0.10432771
474,-24.40952,0.26567063,0.13040963
475,-24.40704,0.2646082,0.10033614
476,-24.425442,0.26676342,0.06032953
477,-24.412704,0.24563903,0.075411916
478,-24.424791,0.24670424,0.094264895
479,-24.419685,0.26354477,0.11783112
480,-24.418959,0.26594618,0.1472889
481,-24.4207,0.2781725,0.13144964
482,-24.410082,0.29010046,0.08284961
483,-24.40993,0.2725924,0.055046763
484,-24.41733,0.24557501,0.06880845
485,-24.423435,0.2389517,0.08601056
486,-24.423296,0.2542437,0.107513204
487,-24.412247,0.24617796,0.1343915
488,-24.417532,0.25209114,0.15
489,-24.414867,0.2732007,0.12750189
490,-24.409922,0.27334404,0.07437198
491,-24.41066,0.25719526,0.06214151
492,-24.418917,0.2538539,0.07767689
493,-24.408981,0.24553469,0.097096115
494,-24.40874,0.2516443,0.121370144
495,-24.418983,0.25444236,0.15
496,-24.423151,0.248534,0.15
497,-24.405811,0.25544676,0.13850097
498,-24.41178,0.28345183,0.0969383
499,-24.416254,0.2787981,0.059753854
500,-24.412386,0.24679399,0.07469232
501,-24.422771,0.2510673,0.09336539
502,-24.410067,0.24451613,0.116706744
503,-24.416973,0.25674152,0.14588343
504,-24.411757,0.24567732,0.15
505,-24.410862,0.27407107,0.08792655
506,-24.400608,0.2851494,0.04695602
507,-24.419046,0.25247988,0.058695026
508,-24.410465,0.24297999,0.07336878
509,-24.412806,0.2548218,0.09171098
510,-24.419863,0.25572497,0.11463872
511,-24.417791,0.25631455,0.1432984
512,-24.416504,0.2573649,0.122429155
513,-24.409094,0.25544372,0.080853686
514,-24.414122,0.25973415,0.06495109
515,-24.416979,0.25865299,0.081188865
516,-24.413155,0.25422838,0.10148608
517,-24.410402,0.2499652,0.1268576
518,-24.406174,0.2504027,0.15
519,-24.412876,0.2556615,0.096442886
520,-24.404137,0.26810947,0.057039376
521,-24.410864,0.24685274,0.07129922
522,-24.419407,0.2414554,0.089124024
523,-24.417246,0.2452044,0.11140503
524,-24.419434,0.2444309,0.13925628
525,-24.41828,0.24974474,0.13598855
526,-24.430498,0.26012865,0.070438474
527,-24.41428,0.2635176,0.062542476
528,-24.414904,0.23802088,0.07817809
529,-24.419548,0.24296096,0.09772262
530,-24.422531,0.25082505,0.122153275
531,-24.417145,0.24482806,0.15
532,-24.418617,0.24689911,0.15
533,-24.423,0.25704578,0.1437335
534,-24.414797,0.2971135,0.055073116
535,-24.411144,0.24584779,0.0688414
536,-24.41918,0.24655518,0.08605175
537,-24.414011,0.2495412,0.10756469
538,-24.410595,0.24608627,0.13445586
539,-24.417439,0.24099359,0.15
540,-24.42032,0.24182199,0.15
541,-24.417002,0.25014755,0.123753555
542,-24.419434,0.262213,0.086647674
543,-24.41208,0.28054056,0.07927262
544,-24.417406,0.24444126,0.09909078
545,-24.412554,0.24669375,0.12386347
546,-24.404228,0.2631376,0.15
547,-24.42511,0.28201407,0.061707642
548,-24.406776,0.24970219,0.05188225
549,-24.412922,0.25807682,0.06485281
550,-24.417316,0.23236473,0.08106601
551,-24.409039,0.24080591,0.101332515
552,-24.419582,0.23381631,0.12666565
553,-24.421309,0.2559748,0.15
554,-24.420965,0.2513414,0.121496245
555,-24.417494,0.2790221,0.05277185
556,-24.42944,0.24182177,0.06596482
557,-24.419579,0.23408066,0.08245602
558,-24.418201,0.23521708,0.10307003
559,-24.419306,0.24104446,0.12883754
560,-24.420012,0.23354965,0.15
561,-24.40941,0.26028508,0.12734646
562,-24.408583,0.25051636,0.09002263
563,-24.422516,0.25708944,0.054347865
564,-24.41593,0.24730991,0.06793483
565,-24.413675,0.2434177,0.08491854
566,-24.417957,0.23351666,0.10614818
567,-24.428253,0.23603539,0.13268523
568,-24.411625,0.23818088,0.15
569,-24.420519,0.24074842,0.13167632
570,-24.428524,0.251341,0.08660414
571,-24.422039,0.24621053,0.057483047
572,-24.420984,0.22819865,0.07185381
573,-24.415918,0.2350634,0.08981726
574,-24.414764,0.24137603,0.11227158
575,-24.411009,0.23748776,0.14033946
576,-24.420412,0.2502872,0.13716228
577,-24.423508,0.2670685,0.06802935
578,-24.418028,0.25350678,0.056802247
579,-24.4156,0.23856357,0.07100281
580,-24.417004,0.23999995,0.088753514
581,-24.420235,0.23772307,0.110941894
582,-24.42122,0.2247235,0.13867737
583,-24.418343,0.23027438,0.15
584,-24.41612,0.24124111,0.15
585,-24.420616,0.23710263,0.104719356
586,-24.420843,0.24821335,0.07232843
587,-24.422586,0.23388645,0.090410545
588,-24.410128,0.23524158,0.11301318
589,-24.431126,0.2352011,0.14126647
590,-24.411304,0.24257848,0.12920551
591,-24.41322,0.25326902,0.07749627
592,-24.41937,0.23752579,0.06275125
593,-24.434504,0.2267436,0.07843906
594,-24.414965,0.23356119,0.09804882
595,-24.420134,0.23356736,0.12256102
596,-24.419172,0.24532953,0.15
597,-24.417645,0.2467057,0.115636356
598,-24.40465,0.26867136,0.05106492
599,-24.416683,0.23399726,0.06383115
600,-24.420006,0.22235535,0.07978894
601,-24.423166,0.23688228,0.09973617
602,-24.415106,0.23256874,0.12467021
603,-24.414299,0.2320358,0.15
604,-24.417467,0.23718551,0.14361942
605,-24.41297,0.24336931,0.097933516
606,-24.420004,0.24534836,0.05929324
607,-24.42364,0.2372863,0.07411655
608,-24.4171,0.23542933,0.09264569
609,-24.407057,0.24538207,0.115807116
610,-24.421349,0.2305583,0.1447589
611,-24.41991,0.24160814,0.13709198
612,-24.41296,0.2744367,0.06702608
613,-24.415257,0.24579322,0.047989897
614,-24.414476,0.22994451,0.059987374
615,-24.4257,0.22228082,0.074984215
616,-24.412428,0.23883665,0.09373027
617,-24.418219,0.2297212,0.11716284
618,-24.428032,0.22620451,0.14645354
619,-24.419397,0.23546845,0.10821493
620,-24.418684,0.27928272,0.06292296
621,-24.43698,0.216265,0.0786537
622,-24.42003,0.22791292,0.098317124
623,-24.423574,0.22955647,0.1228964
624,-24.427633,0.24664178,0.15
625,-24.41895,0.2421859,0.11724209
626,-24.416874,0.24488814,0.07463308
627,-24.416134,0.23471063,0.072964095
628,-24.420593,0.23029818,0.09120512
629,-24.40462,0.2287861,0.1140064
630,-24.414812,0.22535971,0.142508
631,-24.427132,0.23158883,0.15
632,-24.415855,0.2413564,0.09400389
633,-24.417425,0.25366285,0.054983895
634,-24.419504,0.23732723,0.06872987
635,-24.420628,0.22474267,0.08591234
636,-24.410528,0.23385596,0.107390426
637,-24.414295,0.23174737,0.13423803
638,-24.42116,0.23458445,0.15
639,-24.42379,0.25813124,0.07393922
640,-24.421196,0.23752178,0.057172056
641,-24.416492,0.23162037,0.07146507
642,-24.411333,0.2555964,0.08933134
643,-24.41961,0.21606362,0.11166417
644,-24.415234,0.22103763,0.1395802
645,-24.424877,0.22526598,0.15
646,-24.423517,0.22379169,0.15
647,-24.427933,0.23624294,0.14526479
648,-24.42681,0.24687047,0.09762964
649,-24.418688,0.24514052,0.071177304
650,-24.416277,0.23902565,0.08897163
651,-24.417562,0.23393492,0.11121453
652,-24.412304,0.24008228,0.13901816
653,-24.418833,0.26119426,0.10210749
654,-24.423403,0.23866934,0.08666976
655,-24.423164,0.23858184,0.06502214
656,-24.421972,0.2241903,0.081277676
657,-24.42662,0.22434266,0.10159709
658,-24.428492,0.23248152,0.12699637
659,-24.420109,0.22600484,0.15
660,-24.428411,0.22224814,0.15
661,-24.414312,0.2325192,0.15
662,-24.418674,0.22445291,0.15
663,-24.417,0.2297789,0.15
664,-24.414019,0.2539166,0.092108466
665,-24.405333,0.24747407,0.065810144
666,-24.412937,0.23265666,0.08226268
667,-24.412277,0.23005588,0.10282835
668,-24.420727,0.231857,0.12853545
669,-24.420023,0.22334215,0.15
670,-24.419628,0.2434305,0.12655222
671,-24.40737,0.2497772,0.09167379
672,-24.414371,0.2393687,0.06949316
673,-24.415154,0.22802724,0.08686645
674,-24.421505,0.2385268,0.10858306
675,-24.425983,0.22899796,0.13572884
676,-24.423227,0.22761184,0.15
677,-24.408617,0.2565956,0.10858478
678,-24.421047,0.24145384,0.080377735
679,-24.425806,0.23047175,0.07244406
680,-24.422714,0.22453035,0.09055507
681,-24.419226,0.2368609,0.11319384
682,-24.42191,0.22775611,0.1414923
683,-24.419,0.24064359,0.10254031
684,-24.418777,0.24744736,0.059749026
685,-24.417019,0.22638161,0.07468628
686,-24.414227,0.22761281,0.09335785
687,-24.415586,0.22609241,0.11669732
688,-24.415165,0.2422661,0.14587165
689,-24.421274,0.23126638,0.14237562
690,-24.415075,0.24227546,0.08229402
691,-24.424269,0.2269871,0.06066357
692,-24.422813,0.22378519,0.07582946
693,-24.431156,0.21900554,0.09478682
694,-24.424006,0.22346303,0.11848353
695,-24.42694,0.22097903,0.14810441
