epoch,energy,energy_std,learning_rate
0,17.567259,1.8380606,0.04
1,17.485802,1.8668671,0.049999997
2,17.456984,2.0031734,0.062499996
3,17.325304,2.1518772,0.07812499
4,17.080107,2.4861236,0.09765624
5,16.532402,3.1000528,0.122070305
6,14.427736,4.563001,0.15
7,5.340034,6.6468873,0.15
8,-1.4373528,5.574349,0.15
9,-1.7926071,5.405454,0.15
10,-2.6989672,5.500841,0.15
11,-3.8932428,5.903441,0.15
12,-5.122114,6.226178,0.15
13,-6.7180605,6.0462527,0.15
14,-7.983648,5.7196565,0.15
15,-8.704512,5.6028004,0.15
16,-9.1451,5.6873603,0.15
17,-9.893844,5.7209663,0.15
18,-10.130343,5.700489,0.15
19,-10.603639,5.5898223,0.15
20,-11.072037,5.6218433,0.15
21,-11.535932,5.4158473,0.15
22,-12.00608,5.2193995,0.15
23,-12.145307,5.262774,0.15
24,-12.273696,5.2135262,0.15
25,-12.321399,5.6701984,0.09173897
26,-12.581738,5.1842246,0.06618316
27,-12.746851,5.103056,0.082728945
28,-12.938739,5.165436,0.10341118
29,-13.176617,5.093961,0.12926398
30,-13.199144,5.2427883,0.10832567
31,-13.186448,5.1310306,0.13540709
32,-13.376422,5.2420406,0.10947996
33,-13.453536,5.2794914,0.13684994
34,-13.258221,5.407332,0.15
35,-13.431169,5.4286323,0.108884655
36,-13.525871,5.3010654,0.13610582
37,-13.633977,5.2609835,0.15
38,-13.958979,5.349498,0.12338797
39,-13.9201765,5.490391,0.11588441
40,-14.003137,5.737743,0.10018065
41,-14.272719,5.974021,0.07240278
42,-15.217054,5.6073165,0.09050348
43,-15.212763,6.1126285,0.11312935
44,-16.009571,6.362726,0.07908329
45,-16.82953,6.4794803,0.049411107
46,-17.597517,6.275873,0.061763883
47,-18.647026,5.8908663,0.07720485
48,-19.93941,5.271784,0.09650607
49,-20.999516,4.3429227,0.12063258
50,-21.346899,3.7559702,0.07634271
51,-21.831648,3.3762515,0.095428385
52,-21.963993,3.2184746,0.07743035
53,-22.30595,3.1845706,0.0522154
54,-22.416782,2.7711194,0.065269254
55,-22.63679,2.6069407,0.08158657
56,-22.689875,2.5464654,0.10198321
57,-22.79441,2.7994497,0.05430356
58,-22.888865,2.4497056,0.033052873
59,-22.949066,2.2867067,0.041316092
60,-23.098396,2.239592,0.051645115
61,-23.138424,2.1594348,0.06455639
62,-23.232574,2.0179746,0.08069549
63,-23.272894,2.0363066,0.10086936
64,-23.351614,1.9455601,0.1260867
65,-23.338171,1.9417936,0.15
66,-23.283894,2.1172545,0.0703961
67,-23.307474,2.0212505,0.038294654
68,-23.44741,1.8295584,0.04786832
69,-23.421133,1.7915218,0.059835397
70,-23.42113,1.7238951,0.07479425
71,-23.501806,1.7540784,0.093492806
72,-23.506927,1.768275,0.11686601
73,-23.45548,1.7467226,0.1460825
74,-23.518684,1.8112066,0.07608143
75,-23.568588,1.8765898,0.046130463
76,-23.52605,1.713698,0.05766308
77,-23.592127,1.7097944,0.07207885
78,-23.624792,1.6596954,0.09009856
79,-23.611656,1.6636331,0.1126232
80,-23.638348,1.7551494,0.08123466
81,-23.56989,1.807656,0.03798725
82,-23.615849,1.6467427,0.047484063
83,-23.691925,1.6054987,0.05935508
84,-23.718454,1.5530157,0.07419385
85,-23.715971,1.5840517,0.09274231
86,-23.703352,1.5844885,0.11592789
87,-23.6699,1.6017157,0.10933101
88,-23.698994,1.6541606,0.089181654
89,-23.688913,1.7288598,0.049712125
90,-23.679758,1.5766834,0.046168536
91,-23.718391,1.575187,0.05771067
92,-23.7162,1.5529382,0.07213834
93,-23.760622,1.5706705,0.090172924
94,-23.748543,1.5310559,0.11271615
95,-23.775507,1.5894506,0.14089519
96,-23.755266,1.6549366,0.08955499
97,-23.756617,1.75335,0.050443817
98,-23.762144,1.6614621,0.046565652
99,-23.793028,1.5954609,0.058207065
100,-23.775429,1.5408187,0.07275883
101,-23.7833,1.5574985,0.09094854
102,-23.808323,1.572761,0.11368567
103,-23.717249,1.5570444,0.14210708
104,-23.793743,1.6411228,0.0810439
105,-23.73973,1.7088097,0.045701638
106,-23.787956,1.6092178,0.057127047
107,-23.743307,1.5476669,0.07140881
108,-23.749964,1.5467292,0.08926101
109,-23.790821,1.5911452,0.11157626
110,-23.803734,1.6120995,0.08310978
111,-23.769081,1.6488187,0.054971
112,-23.726316,1.5960293,0.053228244
113,-23.812012,1.6017592,0.06653531
114,-23.817438,1.5700071,0.08316913
115,-23.814772,1.5185003,0.103961416
116,-23.761414,1.6168512,0.09518317
117,-23.800323,1.7243141,0.043221258
118,-23.800753,1.5555971,0.054026574
119,-23.816895,1.5489235,0.06753322
120,-23.79966,1.5376824,0.08441652
121,-23.804974,1.511018,0.10552065
122,-23.835413,1.5427641,0.13190082
123,-23.814827,1.5647078,0.113819465
124,-23.802542,1.8488058,0.041712586
125,-23.798729,1.569791,0.05214073
126,-23.829075,1.5398741,0.06517591
127,-23.840553,1.577738,0.08146989
128,-23.808128,1.5253313,0.10183737
129,-23.801981,1.5753896,0.12729672
130,-23.78297,1.5565386,0.15
131,-23.863352,1.5455021,0.10850508
132,-23.84677,1.5756965,0.13563135
133,-23.730803,1.6039457,0.08765155
134,-23.77884,1.6307969,0.068695396
135,-23.709585,1.6032057,0.058828417
136,-23.82588,1.5736637,0.073535524
137,-23.813297,1.5199127,0.09191941
138,-23.798128,1.5563241,0.11489926
139,-23.759739,1.702417,0.054118693
140,-23.810532,1.6147856,0.040834215
141,-23.804836,1.5240667,0.05104277
142,-23.863827,1.5308056,0.063803464
143,-23.858492,1.5073445,0.07975433
144,-23.883074,1.513258,0.09969291
145,-23.869535,1.4689934,0.12461614
146,-23.84826,1.4943889,0.15
147,-23.844042,1.6162829,0.0779041
148,-23.820953,1.6796882,0.04138742
149,-23.866491,1.5104449,0.051734276
150,-23.865961,1.4728203,0.06466784
151,-23.852755,1.4945889,0.080834806
152,-23.877344,1.4899312,0.10104351
153,-23.89278,1.4512123,0.12630439
154,-23.862558,1.5114666,0.15
155,-23.882215,1.5026627,0.09825481
156,-23.865358,1.5206186,0.12281851
157,-23.843382,1.8620245,0.039235335
158,-23.805977,1.479741,0.04904417
159,-23.845846,1.5198538,0.06130521
160,-23.864334,1.486367,0.076631516
161,-23.809874,1.5140592,0.095789395
162,-23.86258,1.4803468,0.119736746
163,-23.833391,1.4772096,0.14967093
164,-23.855074,1.5999286,0.06793008
165,-23.887863,1.6096863,0.033569563
166,-23.85141,1.5087438,0.041961953
167,-23.811874,1.4573948,0.05245244
168,-23.850756,1.4934722,0.06556555
169,-23.87581,1.4292699,0.08195694
170,-23.921762,1.4453608,0.10244617
171,-23.848114,1.4401958,0.12805772
172,-23.880205,1.4459151,0.10834018
173,-23.941294,1.449251,0.13542522
174,-23.795925,1.5889114,0.05740819
175,-23.87488,1.5272894,0.035646107
176,-23.866457,1.403033,0.044557635
177,-23.877508,1.4543426,0.055697042
178,-23.827816,1.4270767,0.0696213
179,-23.855106,1.4449296,0.087026626
180,-23.88966,1.4391004,0.10878328
181,-23.90779,1.4399408,0.1359791
182,-23.898579,1.4029561,0.13136972
183,-23.821114,1.5792928,0.06268096
184,-23.889359,1.5331261,0.033722993
185,-23.911827,1.4040656,0.042153742
186,-23.884066,1.3849448,0.05269218
187,-23.939932,1.3454978,0.065865226
188,-23.958508,1.3494619,0.08233153
189,-23.984798,1.3459475,0.102914415
190,-23.917278,1.3729007,0.12864302
191,-23.924973,1.3999748,0.15
192,-23.884071,1.5049176,0.08280303
193,-23.874535,1.4898448,0.046526637
194,-23.907848,1.37877,0.058158297
195,-23.906357,1.3866457,0.07269787
196,-23.938421,1.3822254,0.09087234
197,-23.905293,1.3717932,0.11359043
198,-23.894388,1.3776805,0.105084024
199,-23.958473,1.5406317,0.041880988
200,-23.915255,1.353433,0.052351236
201,-23.99342,1.3457657,0.065439045
202,-23.950714,1.3314115,0.08179881
203,-23.95503,1.3272924,0.102248505
204,-23.969107,1.3384727,0.12781063
205,-23.968313,1.3403941,0.15
206,-23.973696,1.4009039,0.090388045
207,-23.956173,1.4471954,0.05028578
208,-23.947613,1.3925037,0.062857226
209,-23.928238,1.3668042,0.07857153
