epoch,energy,energy_std,learning_rate
0,17.684727,1.5240812,0.04
1,17.744621,1.60955,0.049999997
2,17.645103,1.6453444,0.062499996
3,17.709383,1.785888,0.07812499
4,17.457998,1.9191526,0.09765624
5,17.327972,2.2072306,0.122070305
6,16.783365,2.7087638,0.15
7,15.198671,3.981209,0.15
8,9.626523,6.2642713,0.15
9,2.1626544,7.3236837,0.15
10,-0.66853184,6.4624033,0.15
11,-2.0729182,6.2322164,0.15
12,-3.6885912,6.1153283,0.15
13,-5.6997714,5.995947,0.15
14,-7.138161,5.4251313,0.15
15,-8.095553,5.185156,0.15
16,-9.092284,4.881294,0.15
17,-9.63215,4.9407034,0.15
18,-10.086183,4.793072,0.15
19,-10.36162,4.7967105,0.15
20,-10.662582,4.7865424,0.15
21,-11.04898,4.8639903,0.15
22,-11.133934,4.882586,0.15
23,-11.393119,4.6303363,0.15
24,-11.4049635,4.7269535,0.15
25,-11.502582,4.708457,0.15
26,-11.340731,4.77371,0.15
27,-11.400778,4.5401425,0.15
28,-11.7069645,4.7385163,0.15
29,-11.728815,4.5679154,0.12713833
30,-11.566152,4.710649,0.15
31,-11.579117,4.512129,0.14830828
32,-11.881133,4.6345553,0.10775594
33,-11.828334,4.4663067,0.13469492
34,-11.92954,4.555365,0.15
35,-11.994037,4.43565,0.12144878
36,-11.993793,4.6527605,0.12075201
37,-12.068827,4.4422393,0.093535915
38,-12.2587385,4.504188,0.11691989
39,-12.3568735,4.3087296,0.14614986
40,-12.310776,4.428232,0.15
41,-12.204089,4.4631376,0.110106505
42,-12.398365,4.326139,0.13763313
43,-12.4640255,4.336175,0.10201345
44,-12.450287,4.22798,0.1275168
45,-12.325812,4.116195,0.15
46,-12.370557,4.464896,0.11904931
47,-12.407724,4.3859606,0.08973515
48,-12.477426,4.2604623,0.11216894
49,-12.63475,4.318145,0.14021116
50,-12.509463,4.4093714,0.113995954
51,-12.736586,4.281889,0.08317756
52,-12.7135725,4.166996,0.10397195
53,-12.803287,4.1415186,0.12996493
54,-12.72201,4.393997,0.1189039
55,-12.920241,4.273486,0.07479122
56,-12.734531,4.2285776,0.09348903
57,-13.013627,4.1946893,0.116861284
58,-13.090367,4.139016,0.1460766
59,-13.046535,4.21485,0.101599455
60,-13.215207,4.206553,0.12699932
61,-13.145689,4.3104687,0.098154
62,-13.316969,4.142055,0.095359914
63,-13.406535,4.084751,0.119199894
64,-13.326609,4.1547484,0.14899987
65,-13.269681,4.1513124,0.12340313
66,-13.242926,4.177794,0.15
67,-13.214494,4.3077836,0.08461886
68,-13.36403,4.1837773,0.105773576
69,-13.227138,4.2282915,0.13221698
70,-13.256273,4.159689,0.12399919
71,-13.43301,4.1464086,0.11340068
72,-13.383055,4.2362823,0.09698726
73,-13.597605,4.273917,0.121234074
74,-13.628839,4.269722,0.15
75,-13.617353,4.220391,0.099852204
76,-13.473629,4.239717,0.124815255
77,-13.531338,4.22164,0.11650593
78,-13.496103,4.212084,0.105440624
79,-13.717039,4.2242904,0.09751868
80,-13.554434,4.0733776,0.12189835
81,-13.617618,4.254051,0.09410557
82,-13.762505,4.3520794,0.117631964
83,-13.545844,4.2077603,0.11147319
84,-13.736676,4.273836,0.10333068
85,-13.464457,4.2478895,0.12916335
86,-13.70464,4.2472224,0.10007101
87,-13.722918,4.17985,0.09026309
88,-13.773818,4.176518,0.112828866
89,-13.71025,4.2396173,0.14103608
90,-13.525169,4.25438,0.08856582
91,-13.610729,4.224825,0.110707276
92,-13.536478,4.243494,0.13838409
93,-13.60584,4.2199745,0.13524927
94,-13.354677,4.382563,0.12156099
95,-13.88261,4.243456,0.10970751
96,-13.56864,4.408299,0.08406093
97,-13.778779,4.141991,0.105076164
98,-13.83258,4.129991,0.13134521
99,-13.457989,4.23769,0.10505294
100,-13.742748,4.2494364,0.10229283
101,-13.735131,4.2675896,0.12786603
102,-13.661631,4.2821736,0.103001535
103,-13.615028,4.3168035,0.12875192
104,-13.644994,4.300695,0.09168523
105,-13.639341,4.2702613,0.09113958
106,-13.580315,4.32288,0.11392447
107,-13.525174,4.318442,0.1424056
108,-13.373609,4.4657917,0.08581478
109,-13.545091,4.353123,0.107268475
110,-13.78,4.317142,0.1340856
111,-13.617525,4.3704095,0.091069736
112,-13.596248,4.3607206,0.11383717
113,-13.801724,4.358002,0.14229646
114,-13.667935,4.3746085,0.08213799
115,-13.704345,4.3649454,0.10267249
116,-13.62195,4.310601,0.1283406
117,-13.670309,4.245187,0.15
118,-13.587412,4.380291,0.14256199
119,-13.627489,4.372842,0.114236064
120,-13.786485,4.3920803,0.14279509
121,-13.613635,4.433466,0.09775113
122,-13.660758,4.4291444,0.12218892
123,-13.542922,4.339954,0.10125153
124,-13.694435,4.359432,0.12656441
125,-13.687198,4.229294,0.11457374
126,-13.582922,4.421319,0.11265101
127,-13.661246,4.2905426,0.14081377
128,-13.630313,4.4931383,0.08167599
129,-13.6022625,4.4440126,0.10209499
130,-13.591612,4.3509445,0.12761874
131,-13.621809,4.4109635,0.15
132,-13.604168,4.494738,0.10407004
133,-13.5412855,4.4444113,0.13008755
134,-13.707933,4.3636293,0.12567312
135,-13.608371,4.4736137,0.0979617
136,-13.435461,4.307202,0.122452125
137,-13.663873,4.424738,0.10562132
138,-13.697255,4.4478264,0.13202666
139,-13.691169,4.395205,0.10391719
140,-13.590779,4.4056582,0.12989649
141,-13.695533,4.4366555,0.09887081
142,-13.651731,4.497711,0.09219005
143,-13.634683,4.2472496,0.115237564
144,-13.628381,4.394604,0.14404696
145,-13.670169,4.378647,0.11830782
146,-13.613408,4.4545965,0.091795556
147,-13.540167,4.4564734,0.11474445
148,-13.543408,4.4101777,0.14343056
149,-13.543025,4.4484525,0.11206558
150,-13.575941,4.3678713,0.082691826
151,-13.748873,4.487437,0.10336478
152,-13.616312,4.3586497,0.12920597
153,-13.842565,4.3456755,0.15
154,-13.646869,4.3667517,0.15
155,-13.565704,4.3743725,0.12194511
156,-13.63797,4.5503273,0.09216813
157,-13.70116,4.4624286,0.11521016
158,-13.76982,4.505346,0.0823159
159,-13.635856,4.4628425,0.10289487
160,-13.904749,4.382357,0.1286186
161,-13.639139,4.3872876,0.12417391
162,-13.641322,4.5576854,0.10479679
163,-13.716617,4.4569845,0.07970321
164,-13.529889,4.475029,0.099629015
165,-13.742139,4.4338284,0.12453627
166,-13.547181,4.518619,0.09066824
167,-13.583772,4.4484076,0.1133353
168,-13.464695,4.6170197,0.09303478
169,-13.677643,4.504357,0.116293475
170,-13.705684,4.4503846,0.093368605
171,-13.625808,4.4933906,0.07862516
172,-13.77483,4.475703,0.09828144
173,-13.7854395,4.5501304,0.09671785
174,-13.733142,4.5597043,0.12089731
175,-13.913367,4.490386,0.08965347
176,-13.729319,4.476522,0.072166994
177,-14.001909,4.429239,0.09020874
178,-13.871488,4.364144,0.112760924
179,-13.946911,4.532185,0.14095116
180,-13.907621,4.564575,0.07639828
181,-13.872786,4.415111,0.095497854
182,-13.8675375,4.3993244,0.119372316
183,-14.04212,4.588321,0.09187107
184,-13.981277,4.583598,0.06556988
185,-14.096763,4.37933,0.08196235
186,-14.154819,4.537715,0.102452934
187,-14.131258,4.5029798,0.12806617
188,-14.102525,4.64384,0.11748244
189,-13.950029,4.562533,0.061475255
190,-13.988559,4.4453745,0.07684407
191,-14.249165,4.3570757,0.09605508
192,-14.295212,4.3892384,0.120068856
193,-14.185572,4.428348,0.15
194,-13.757603,4.652087,0.094720505
195,-14.1242075,4.6214695,0.11840063
196,-13.977715,4.5437765,0.14800079
197,-13.9835,4.7215343,0.10898159
198,-13.7695055,4.754335,0.06111043
199,-13.959486,4.683709,0.07638804
200,-14.052108,4.5996213,0.09548505
201,-14.193508,4.551068,0.119356304
202,-14.165484,4.7471895,0.067250215
203,-14.088576,4.6405673,0.08406277
204,-14.189071,4.5767336,0.10507846
205,-14.385751,4.7282248,0.13134807
206,-14.293464,4.80018,0.1140621
207,-14.277944,4.8106856,0.077117585
208,-14.276482,4.943452,0.060039245
209,-14.458397,4.6162653,0.07504906
210,-14.5186615,4.8628244,0.09381132
211,-14.591076,4.569576,0.11726415
212,-14.71232,4.930657,0.14658019
213,-14.496733,5.010247,0.1292007
214,-14.947405,4.9177895,0.12521519
215,-14.778631,5.0564637,0.0824016
216,-14.838698,4.9908857,0.063958906
217,-14.8376,4.9559965,0.079948634
218,-14.935572,4.94904,0.09993579
219,-15.383357,4.779629,0.12491974
220,-14.99257,5.3878555,0.05194214
221,-15.210033,4.973416,0.064927675
222,-15.239589,4.895442,0.08115959
223,-15.346251,4.8357825,0.10144949
224,-15.161921,4.8973627,0.12681186
225,-15.159984,5.0158153,0.15
226,-15.46351,4.975951,0.081745505
227,-15.445132,5.119943,0.06152248
228,-15.36668,5.090243,0.0769031
229,-15.324683,5.156643,0.09612887
230,-15.237348,5.148518,0.120161094
231,-15.09587,5.412371,0.060622096
232,-15.251701,5.3551803,0.07577762
233,-15.7959385,5.2508287,0.094722025
234,-15.465002,5.608399,0.11840253
235,-15.821114,6.1366625,0.084828995
236,-15.579871,6.686353,0.0448949
237,-16.023874,6.6043754,0.056118626
238,-16.404123,6.5065355,0.07014828
239,-16.519398,7.020979,0.087685354
240,-16.507967,7.192347,0.10960669
241,-16.864845,7.177265,0.09162506
242,-16.957546,7.2856584,0.06730146
243,-17.00766,7.349885,0.08412682
244,-16.845806,7.7078094,0.081878945
245,-17.137909,7.7448373,0.102348685
246,-16.757051,8.190369,0.080603234
247,-17.05698,8.064534,0.05686476
248,-17.150103,8.065428,0.07108095
249,-17.766268,7.772131,0.08885119
250,-17.938652,7.8219543,0.06735726
251,-18.465378,7.366533,0.067193106
252,-18.848541,7.1366143,0.046528205
253,-19.110922,7.055969,0.043130025
254,-19.233347,7.0069637,0.035281766
255,-19.389359,6.881733,0.029977309
256,-19.632515,6.670502,0.037471637
257,-19.579988,6.8962274,0.026125846
258,-19.986603,6.4180202,0.032657307
259,-19.721008,6.7578535,0.029051669
260,-20.05762,6.4227605,0.036314584
261,-20.013899,6.5512357,0.020567926
262,-20.163034,6.3439865,0.025709907
263,-20.20993,6.356161,0.025137575
264,-20.207008,6.2877145,0.03142197
265,-20.203482,6.458519,0.022519777
266,-20.400572,6.155315,0.02814972
267,-20.279406,6.400919,0.022329157
268,-20.512856,6.173907,0.027911447
269,-20.6747,6.070124,0.03488931
270,-20.507154,6.274538,0.020857647
271,-20.525837,6.1445074,0.026072059
272,-20.587105,6.2237763,0.019431014
273,-20.876637,5.824178,0.024288766
274,-20.806946,5.9511333,0.01728027
275,-20.816023,5.973511,0.021600336
276,-20.951857,5.7736435,0.021092216
277,-20.803658,6.0046253,0.026365269
278,-20.926468,5.835164,0.022669673
279,-20.968033,5.8611073,0.016413786
280,-20.907925,5.9807706,0.020517232
281,-21.11775,5.6996045,0.017670872
282,-20.86522,5.9434433,0.02208859
283,-20.96866,5.9612484,0.018884871
284,-21.049416,5.6704335,0.023606088
285,-21.15655,5.752327,0.022377016
286,-21.057926,5.88506,0.018453075
287,-21.364473,5.6019764,0.023066344
288,-21.134993,5.8971395,0.02883293
289,-21.23364,5.79355,0.015726961
290,-21.159143,5.883184,0.019658701
291,-21.382004,5.5336313,0.024573376
292,-21.135683,5.736534,0.024182938
293,-21.411781,5.528048,0.023532888
294,-21.357235,5.6150937,0.02941611
295,-21.365995,5.521802,0.025822962
296,-21.491278,5.4010596,0.0196015
297,-21.483664,5.4663568,0.024501875
298,-21.581621,5.3746805,0.019374955
299,-21.622023,5.333501,0.024218693
300,-21.466225,5.6990204,0.01976727
301,-21.682611,5.3550653,0.024709087
302,-21.539976,5.4753604,0.018258417
303,-21.561165,5.5264215,0.02282302
304,-21.570667,5.438146,0.020339308
305,-21.669472,5.321959,0.025424136
306,-21.6166,5.4993196,0.022308007
307,-21.774603,5.1381526,0.019324547
308,-21.811726,5.1602607,0.018022703
309,-21.892227,5.0334725,0.022528378
310,-21.838476,5.167062,0.028160473
311,-21.680529,5.3809485,0.025463456
312,-21.755407,5.310428,0.03182932
313,-21.553463,5.4710402,0.025758669
314,-21.852062,5.1818314,0.025142457
315,-21.719723,5.245783,0.031428073
316,-21.84671,5.2109056,0.022138344
317,-21.857082,5.301439,0.02767293
318,-21.877382,5.268628,0.025533944
319,-21.835276,5.0655904,0.02233984
320,-21.912642,5.075167,0.027924798
321,-21.661774,5.5421996,0.017628837
322,-21.881605,5.281546,0.022036046
323,-21.914246,5.063653,0.027545057
324,-22.001715,4.9956503,0.022033378
325,-21.970037,4.832966,0.027541723
326,-21.76664,5.312371,0.027027767
327,-22.01804,4.967432,0.019362804
328,-21.955805,5.1635027,0.024203505
329,-21.982227,4.8192153,0.030254383
330,-21.90305,5.0987263,0.026909562
331,-21.932568,5.2243733,0.033636954
332,-22.05479,5.0307784,0.042046193
333,-21.869148,5.1591477,0.022838999
334,-21.93804,4.9923754,0.028548747
335,-21.93166,5.0972376,0.035685934
336,-22.05721,4.867069,0.020729639
337,-21.97399,4.923471,0.025912048
338,-22.090672,4.758897,0.03239006
339,-21.909266,5.198385,0.040487576
340,-21.984047,5.076414,0.034986224
341,-22.038801,4.9809027,0.02494308
342,-22.10921,4.9255166,0.03117885
343,-21.934168,5.1349244,0.038973562
344,-22.084719,5.003531,0.03814576
345,-22.125582,4.892403,0.03483402
346,-22.098558,4.9441767,0.043542527
347,-22.03318,5.0845585,0.03305231
348,-22.06941,4.9412804,0.041315388
349,-22.084015,5.0794044,0.051644236
350,-22.037619,4.9910893,0.031156635
351,-22.122581,4.714423,0.038945794
352,-22.23629,4.809391,0.03582018
353,-22.078882,4.7884035,0.044775225
354,-22.105408,4.933093,0.05596903
355,-21.81695,5.3200336,0.0379873
356,-21.992754,4.940398,0.047484122
357,-22.182667,4.8061886,0.032119706
358,-22.21426,4.641446,0.040149633
359,-22.045612,4.9022813,0.05018704
360,-22.141296,4.783799,0.0627338
361,-22.10131,5.070429,0.04103946
362,-22.022709,4.9552784,0.051299326
363,-22.109776,4.8849072,0.06412416
364,-22.13494,4.881786,0.04113622
365,-22.067938,4.8725944,0.051420275
366,-21.999504,5.0445766,0.06427535
367,-22.094475,4.9148498,0.047649026
368,-22.077261,4.765605,0.059561282
369,-22.019562,5.028645,0.0744516
370,-21.937899,4.9170647,0.06433264
371,-21.85378,5.183304,0.046789136
372,-21.863008,5.154907,0.05848642
373,-21.861326,5.2650414,0.073108025
374,-21.981838,5.167041,0.058081403
375,-22.081047,4.804031,0.05421229
376,-22.034555,4.82922,0.06776536
377,-22.0197,4.8872237,0.0847067
378,-21.809309,5.1542153,0.05394603
379,-21.916609,5.0341973,0.06743254
380,-21.972761,4.826962,0.08429067
381,-21.74491,5.2250795,0.05140387
382,-21.837708,5.0395393,0.064254835
383,-21.998476,4.951161,0.08031854
384,-21.975346,4.8962536,0.048828986
385,-22.038206,4.8428836,0.061036233
386,-22.209858,4.5477543,0.076295294
387,-22.0885,4.662745,0.058732487
388,-22.0222,4.820547,0.07341561
389,-22.109726,4.835579,0.054392196
390,-22.002733,4.8832693,0.06799024
391,-22.163462,4.9093666,0.059887074
392,-22.03838,5.01825,0.056626603
393,-22.08834,4.837469,0.049433704
394,-22.166851,4.791385,0.06179213
395,-22.192434,4.8882594,0.05926572
396,-22.119484,4.769737,0.05503267
