epoch,energy,energy_std,learning_rate
0,17.567272,1.838041,0.04
1,17.514692,1.8797644,0.049999997
2,17.461594,1.9716164,0.062499996
3,17.345587,2.163102,0.07812499
4,17.14315,2.4518843,0.09765624
5,16.738136,2.756656,0.122070305
6,16.009861,3.370082,0.15
7,13.86596,4.6423693,0.15
8,6.246913,6.2023954,0.15
9,-1.6508696,5.3873262,0.15
10,-2.7225926,5.5719156,0.15
11,-3.415606,5.6172023,0.15
12,-5.088407,5.832676,0.15
13,-6.606789,5.944283,0.15
14,-7.7114716,6.1605196,0.15
15,-8.629569,6.4621396,0.15
16,-9.516173,6.860194,0.15
17,-10.639771,6.8281417,0.15
18,-11.762137,7.055032,0.15
19,-14.2507715,6.4124594,0.15
20,-17.464724,4.643896,0.15
21,-19.039442,4.4194517,0.15
22,-20.21123,4.25573,0.15
23,-21.194454,3.826992,0.15
24,-21.719757,3.6200342,0.14673217
25,-22.084536,3.32893,0.15
26,-22.452953,3.2835824,0.0815575
27,-22.647795,2.8124049,0.101946875
28,-22.853735,2.725079,0.1274336
29,-23.059402,2.6154184,0.15
30,-23.104832,2.8795617,0.083683655
31,-23.246859,2.2972224,0.10460457
32,-23.331821,2.167272,0.13075572
33,-23.406057,2.0756536,0.15
34,-23.450468,1.9090737,0.15
35,-23.500162,1.8796337,0.13149968
36,-23.49731,1.8354465,0.15
37,-23.550575,1.8334327,0.122252226
38,-23.53648,1.6916685,0.15
39,-23.577381,1.7565765,0.15
40,-23.634523,1.6631905,0.15
41,-23.538473,1.7082529,0.15
42,-23.625877,1.6561564,0.15
43,-23.625956,1.7125883,0.12893705
44,-23.635748,1.7097808,0.12231797
45,-23.70184,1.5757685,0.15
46,-23.666458,1.651701,0.15
47,-23.689043,1.618039,0.15
48,-23.675894,1.5810956,0.15
49,-23.718937,1.6214663,0.15
50,-23.73168,1.5896391,0.13136558
51,-23.718224,1.5892526,0.15
52,-23.673708,1.5858519,0.15
53,-23.74475,1.550486,0.15
54,-23.747929,1.5590632,0.14497057
55,-23.718067,1.5711192,0.15
56,-23.7791,1.5511861,0.14206624
57,-23.74971,1.5148189,0.15
58,-23.739733,1.5351287,0.15
59,-23.768393,1.5610604,0.15
60,-23.731216,1.5574077,0.15
61,-23.769747,1.5773816,0.15
62,-23.807867,1.5212185,0.1492548
63,-23.724825,1.5434132,0.15
64,-23.790552,1.589266,0.15
65,-23.718307,1.5492253,0.15
66,-23.840645,1.532939,0.15
67,-23.756605,1.5004538,0.15
68,-23.806688,1.5283142,0.15
69,-23.783356,1.504333,0.15
70,-23.84914,1.5041051,0.15
71,-23.766962,1.5246624,0.1356306
72,-23.806644,1.475631,0.15
73,-23.807388,1.4939802,0.15
74,-23.815575,1.4270855,0.15
75,-23.805035,1.4507359,0.15
76,-23.8174,1.4365329,0.15
77,-23.871492,1.3693591,0.15
78,-23.88836,1.3823407,0.15
79,-23.840342,1.4253578,0.11056437
80,-23.885176,1.4718157,0.07155826
81,-23.803885,1.3922888,0.068495706
82,-23.793278,1.3378714,0.08561963
83,-23.859406,1.3017364,0.107024536
84,-23.89093,1.2480639,0.13378067
85,-23.90463,1.2910334,0.15
86,-23.93953,1.2770677,0.14624327
87,-23.913612,1.2908962,0.15
88,-23.952122,1.2455221,0.15
89,-23.9117,1.2556735,0.15
90,-23.96023,1.1947145,0.15
91,-23.961363,1.2023315,0.15
92,-24.000582,1.1856843,0.15
93,-24.010052,1.1553417,0.15
94,-23.98442,1.1313534,0.15
95,-23.981205,1.173333,0.15
96,-24.017548,1.1120313,0.15
97,-23.977,1.046444,0.15
98,-23.989645,1.0507345,0.15
99,-24.00814,0.97956187,0.15
100,-24.015827,0.9506795,0.15
101,-24.03498,0.9686163,0.15
102,-24.077244,0.9204112,0.15
103,-24.077492,0.8955688,0.15
104,-24.079472,0.86035556,0.15
105,-24.11828,0.8367511,0.15
106,-24.081577,0.82277906,0.15
107,-24.109137,0.91571367,0.074145794
108,-24.106441,0.84185195,0.04494233
109,-24.089825,0.7895095,0.056177914
110,-24.122452,0.781633,0.07022239
111,-24.11952,0.7363484,0.08777799
112,-24.192156,0.7500216,0.10972248
113,-24.156555,0.67097706,0.1371531
114,-24.16636,0.6989937,0.15
115,-24.172407,0.6530802,0.15
116,-24.195946,0.6619185,0.15
117,-24.211306,0.6466005,0.15
118,-24.222622,0.6248637,0.15
119,-24.188568,0.6022773,0.15
120,-24.201195,0.60914284,0.15
121,-24.213297,0.58518285,0.15
122,-24.22846,0.56855214,0.15
123,-24.224806,0.5982203,0.093831114
124,-24.232922,0.60062337,0.047067583
125,-24.260052,0.52648026,0.05883448
126,-24.25214,0.511836,0.0735431
127,-24.274275,0.5034696,0.09192888
128,-24.249556,0.49858126,0.114911094
129,-24.270672,0.4993274,0.14363886
130,-24.272978,0.48437268,0.15
131,-24.281933,0.4848652,0.15
132,-24.286585,0.48643357,0.15
133,-24.300144,0.47620675,0.15
134,-24.297695,0.47628537,0.15
135,-24.281794,0.45488948,0.15
136,-24.287024,0.44257873,0.15
137,-24.292727,0.43750712,0.15
138,-24.314512,0.43179893,0.15
139,-24.298185,0.43068412,0.15
140,-24.305693,0.42562428,0.15
141,-24.313158,0.41502497,0.15
142,-24.325058,0.40752786,0.15
143,-24.30346,0.4066682,0.15
144,-24.297773,0.39431462,0.15
145,-24.31879,0.39204046,0.15
146,-24.342848,0.3888033,0.15
147,-24.333973,0.38421366,0.15
148,-24.336128,0.40114504,0.15
149,-24.332895,0.39202762,0.15
150,-24.337416,0.37222743,0.15
151,-24.333603,0.38909596,0.15
152,-24.34237,0.36465564,0.15
153,-24.327913,0.3595975,0.15
154,-24.347221,0.35801604,0.15
155,-24.338749,0.37715974,0.15
156,-24.334663,0.36462677,0.15
157,-24.360384,0.3488279,0.15
158,-24.360857,0.3512901,0.15
159,-24.356777,0.35806593,0.15
160,-24.34465,0.35040653,0.15
161,-24.34046,0.3540793,0.15
162,-24.36605,0.34706777,0.15
163,-24.352146,0.36057726,0.15
164,-24.371937,0.3571615,0.15
165,-24.366177,0.35736626,0.102451555
166,-24.369442,0.37080616,0.05361794
167,-24.363583,0.3511085,0.06702243
168,-24.361267,0.34003177,0.08377804
169,-24.359554,0.3268436,0.104722545
170,-24.370617,0.33190885,0.13090318
171,-24.374292,0.322236,0.15
172,-24.3763,0.3263414,0.15
173,-24.364826,0.31790882,0.15
174,-24.372688,0.32027152,0.15
175,-24.377121,0.32114533,0.15
176,-24.391607,0.31356803,0.15
177,-24.36804,0.32941574,0.15
178,-24.380085,0.32100856,0.15
179,-24.380333,0.3444805,0.15
180,-24.363808,0.3322879,0.11003869
181,-24.370464,0.33935818,0.066351295
182,-24.389868,0.32185194,0.08293912
183,-24.388483,0.31279728,0.1036739
184,-24.38517,0.3121753,0.12959237
185,-24.381498,0.30648702,0.15
186,-24.386478,0.3060048,0.15
187,-24.391151,0.3088323,0.15
188,-24.400097,0.29244277,0.15
189,-24.386187,0.30337238,0.15
190,-24.397951,0.29808688,0.15
191,-24.383442,0.29500276,0.15
192,-24.389864,0.3077933,0.15
193,-24.389992,0.29428047,0.15
194,-24.395891,0.31043762,0.15
195,-24.388874,0.29851553,0.15
196,-24.387941,0.2961278,0.15
197,-24.380201,0.30398127,0.15
198,-24.388573,0.29895207,0.15
199,-24.39979,0.31930518,0.15
200,-24.389107,0.31939557,0.11487294
201,-24.38136,0.32395658,0.056721445
202,-24.377699,0.28540352,0.0709018
203,-24.395033,0.28835,0.08862726
204,-24.404615,0.26932475,0.11078407
205,-24.392939,0.28404555,0.13848008
206,-24.387081,0.2792709,0.15
207,-24.39918,0.28633,0.15
208,-24.388058,0.28967512,0.15
209,-24.391006,0.28908336,0.15
210,-24.400867,0.27793065,0.15
211,-24.396969,0.27550474,0.15
212,-24.396208,0.28751275,0.15
213,-24.409586,0.28170148,0.15
214,-24.40052,0.28071317,0.15
215,-24.411226,0.28329667,0.15
