epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,2.7524571,6.7628055,228.68204,333.38034,0.50307304,0.6808068,0.04
1,2.743628,5.4592137,20.703167,31.117449,0.4663177,0.65494436,0.049999997
2,2.692484,4.953009,16.219244,26.4359,0.46875113,0.65891504,0.062499996
3,2.2705073,5.1762953,18.023869,23.214916,0.47736147,0.65363604,0.07812499
4,2.168839,6.465704,76.989395,86.88816,0.4765606,0.66742194,0.09765624
5,2.0387414,5.639833,35.886204,47.047253,0.47620806,0.6654201,0.122070305
6,1.5487821,5.4499927,22.04668,33.20298,0.47631437,0.63745874,0.15258788
7,0.96600866,5.0476027,26.977032,42.502693,0.4599948,0.6354231,0.19073485
8,0.42173982,5.54951,31.903833,46.50756,0.42517412,0.60918343,0.2
9,-0.064828284,4.9771647,17.03322,23.760263,0.44672966,0.60982925,0.2
10,-0.42762998,4.734427,21.186499,27.175722,0.44703102,0.6156948,0.2
11,-0.9724237,6.0448723,63.378555,99.77873,0.44905165,0.6234415,0.2
12,-1.3722863,4.876105,18.103096,24.819763,0.44568813,0.5934171,0.2
13,-1.8881282,4.3869553,19.719969,27.497808,0.4501128,0.5963933,0.2
14,-1.9303377,4.6164703,20.43599,26.0279,0.42462337,0.5760529,0.2
15,-2.550676,5.076754,94.25485,113.13428,0.4521248,0.59638923,0.2
16,-3.0772069,4.5067163,24.147974,27.974648,0.42535904,0.5599569,0.2
17,-2.8704991,4.9245367,90.08247,99.70251,0.44216478,0.575248,0.2
18,-3.2924213,4.1226597,13.858568,16.250902,0.441326,0.59930617,0.2
19,-3.458271,4.2242756,13.075046,17.09331,0.4399616,0.5745223,0.2
20,-3.57009,4.0240984,11.579348,16.884134,0.4224875,0.5667017,0.2
21,-3.810073,3.9626472,11.427441,15.912535,0.41805413,0.54396605,0.2
22,-4.075728,4.2160034,24.801905,35.026276,0.39406294,0.53508323,0.2
23,-4.27957,4.8637085,78.41377,77.48855,0.42898068,0.5611442,0.2
24,-4.534168,3.77495,9.972984,13.250429,0.4208811,0.54289144,0.2
25,-4.8670053,3.8924158,20.886593,23.807396,0.45122796,0.59001756,0.2
26,-4.7706475,3.9761846,17.20217,21.74431,0.43541542,0.5525221,0.2
27,-5.0692945,4.104479,18.517084,23.873758,0.43550995,0.5637818,0.2
28,-5.304283,3.9411721,17.766827,20.767836,0.40794563,0.54547036,0.2
29,-5.301609,3.7518902,13.978827,19.158165,0.42153454,0.5639813,0.2
30,-5.4445086,3.7600977,10.5447235,16.734993,0.42790544,0.5676688,0.2
31,-5.65976,3.7970283,11.903561,15.170312,0.4320378,0.5687163,0.2
32,-5.7020187,3.814944,13.456496,18.0082,0.453499,0.5872722,0.2
33,-5.860576,4.3352556,26.33526,38.18366,0.4506376,0.58350533,0.2
34,-5.955709,4.0073395,20.666607,26.958193,0.4444799,0.57567734,0.2
35,-6.1475735,3.9866638,14.895612,21.350225,0.4576567,0.5957717,0.2
36,-6.1050696,4.270074,29.127272,34.732723,0.46643317,0.5830261,0.2
37,-6.328512,4.027758,17.411419,26.056076,0.45200288,0.56551826,0.2
38,-6.452397,4.0617576,26.758049,26.816683,0.47104505,0.610719,0.2
39,-6.424166,3.8094614,16.990664,29.24704,0.43160248,0.55801827,0.2
40,-6.788692,4.8879557,19.996357,33.270515,0.5163982,0.61527795,0.2
41,-6.833564,3.6978092,10.121408,29.818584,0.4821702,0.6011457,0.2
42,-7.2003045,4.29069,20.1337,37.82038,0.5145255,0.63619447,0.2
43,-7.2116427,3.8987541,12.676294,41.050274,0.4796172,0.6160771,0.2
44,-7.475389,3.9788253,17.443727,43.497738,0.46683848,0.6083687,0.2
45,-7.648192,3.9063053,11.058035,51.57178,0.50756866,0.62007767,0.2
46,-7.7958107,4.23947,34.75307,58.51239,0.4777983,0.5947638,0.2
47,-7.8730116,4.890576,30.662495,58.517063,0.5174066,0.64019877,0.2
48,-8.200767,4.3543625,29.08581,58.863117,0.5394628,0.7972906,0.2
49,-8.442641,4.8859715,40.319416,76.712425,0.5315588,0.71365744,0.2
