epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,2.7524571,6.7628055,228.62541,333.30414,0.506521,0.6790106,0.01
1,3.025678,5.2561297,16.292667,23.751362,0.46391392,0.6540141,0.01
2,2.7871983,5.859977,31.143322,45.10017,0.4756712,0.66574246,0.01
3,2.786686,4.877032,15.229923,24.09254,0.4704644,0.65749043,0.01
4,2.7535112,7.4958014,97.418236,148.4472,0.4912037,0.66634005,0.01
5,2.5052578,5.268865,14.578127,24.484762,0.48277238,0.6793367,0.01
6,2.6225169,5.6421247,22.792538,34.489784,0.4758569,0.65287936,0.01
7,2.6874926,5.664709,23.131546,32.10074,0.4826266,0.67469287,0.01
8,2.3669584,5.479267,21.250864,29.337585,0.46808672,0.66142076,0.01
9,2.3481154,5.4427047,19.272745,27.534803,0.4707293,0.65747315,0.01
10,2.4978979,5.110694,17.578651,24.625338,0.4652916,0.6385802,0.01
11,2.6981347,5.2152824,15.517381,21.960136,0.48358327,0.66817856,0.01
12,2.6972244,5.492477,30.022673,41.56071,0.47760993,0.6669329,0.01
13,2.3527083,5.434291,17.24261,26.3562,0.46550038,0.64311594,0.01
14,2.2507017,5.850011,36.945446,49.099808,0.5047809,0.6765824,0.01
15,2.3954244,5.078499,18.305979,25.15192,0.4716511,0.65349585,0.01
16,2.544497,5.5316205,31.10322,49.265266,0.47084257,0.6550244,0.01
17,2.217894,5.1124325,16.485811,25.096182,0.4803489,0.6664243,0.01
18,2.0897021,7.254318,80.98371,101.163795,0.47862396,0.6685737,0.01
19,2.1373014,5.188271,17.294868,25.39912,0.4661562,0.6331625,0.01
20,2.064227,6.1138525,85.99436,123.5789,0.47006348,0.6505578,0.01
21,2.107891,5.5514927,52.531555,63.31073,0.46383414,0.6565752,0.01
22,2.02813,5.5028644,27.485973,38.111008,0.47538432,0.6373321,0.01
23,2.3143334,5.5733523,28.076355,38.11487,0.470714,0.6511416,0.01
24,2.174995,5.2778206,16.995375,25.443151,0.46432927,0.6332095,0.01
25,2.0662477,6.1869297,160.87758,169.49771,0.47904283,0.6659551,0.01
