epoch,energy,energy_std
0,2.9055293,5.668206
1,1.8169847,5.272237
2,1.4640384,5.1009717
3,1.0271593,4.811037
4,0.6279429,4.762264
5,0.27073717,4.6267962
6,-0.14761786,4.7134275
7,-0.48395362,4.425319
8,-0.6327485,4.5139704
9,-0.83314335,4.4064546
10,-1.0037502,4.2983737
11,-1.1926926,4.164916
12,-1.4999473,4.252325
13,-1.4474595,4.0890346
14,-1.6892676,4.2250943
15,-1.7218072,4.116826
16,-1.7687551,4.1834726
17,-1.9834416,4.1440644
18,-2.043718,4.0906205
19,-2.1278946,4.065006
20,-2.312371,4.072746
21,-2.419829,3.9633572
22,-2.2993624,3.981271
23,-2.4923413,4.0259123
24,-2.6277468,4.1285563
25,-2.743266,3.9357271
26,-2.736116,4.0487976
27,-2.8115094,4.0041914
28,-2.9533179,3.9001348
29,-2.99454,3.8767116
30,-3.0720372,3.9855723
31,-3.2233272,3.8970459
32,-3.1473129,3.8968503
33,-3.1990733,3.824671
34,-3.418845,3.8757732
35,-3.4178693,3.914896
36,-3.366109,3.9380403
37,-3.638281,3.8937225
38,-3.6735318,3.862738
39,-3.7154155,3.8919334
40,-3.9301927,3.8652976
41,-3.836476,3.888868
42,-3.8772485,3.7819533
43,-3.9965277,3.8841388
44,-3.9782305,3.8657207
45,-4.1819043,3.8506358
46,-4.182062,3.7899075
47,-4.3118734,3.8229747
48,-4.3112955,3.771954
49,-4.34659,3.8333657
50,-4.35091,3.6855686
51,-4.4925213,3.8345385
52,-4.586319,3.7677603
53,-4.7588,3.8519895
54,-4.6001964,3.8542397
55,-4.7226357,3.7349384
56,-4.8571925,3.7479928
57,-4.9502707,3.6808972
58,-4.8661532,3.8524485
59,-5.0297937,3.7834713
60,-5.0851436,3.7473297
61,-5.235496,3.6847658
62,-5.2990723,3.6671946
63,-5.275888,3.620556
64,-5.4389744,3.7744553
65,-5.2790265,3.7052345
66,-5.333403,3.7415292
67,-5.434657,3.729402
68,-5.6678324,3.7277565
69,-5.6446404,3.7587254
70,-5.6801596,3.7288334
71,-5.724213,3.6866217
72,-5.822669,3.6482794
73,-5.8184004,3.675632
74,-5.848317,3.734507
75,-6.0034823,3.5929673
76,-6.025098,3.6099079
77,-6.079269,3.7416294
78,-6.1595078,3.7381904
79,-6.1580734,3.6034908
80,-6.212561,3.7092721
81,-6.3446884,3.7403471
82,-6.2835956,3.7083387
83,-6.4376397,3.6068237
84,-6.436669,3.6338844
85,-6.5613236,3.5888329
86,-6.6431923,3.596459
87,-6.64353,3.614335
88,-6.672282,3.6312778
89,-6.6731343,3.6371052
90,-6.712214,3.7056723
91,-6.8294573,3.6193984
92,-6.921945,3.708942
93,-6.868758,3.6052375
94,-6.935914,3.6450832
95,-7.059251,3.5834618
96,-7.0995975,3.66993
