epoch,energy,energy_std
0,2.1211338,4.360744
1,1.4220316,4.177542
2,1.0317324,4.2175817
3,0.81754297,4.1517706
4,0.3060333,4.0012693
5,-0.022600593,4.0274386
6,-0.29344395,3.9886062
7,-0.53296274,4.030016
8,-0.6672296,3.947853
9,-0.999066,3.8003945
10,-1.128906,3.8275669
11,-1.4167798,3.9106822
12,-1.5165726,3.8592896
13,-1.554831,3.846748
14,-1.7529434,3.8883107
15,-1.9031757,3.9130507
16,-1.9150286,3.8438456
17,-2.2205572,4.03789
18,-2.3605437,3.913006
19,-2.4602163,3.9663804
20,-2.5851538,3.8846965
21,-2.7339811,3.880461
22,-2.7514482,3.8862824
23,-2.836928,3.973993
24,-3.0797174,3.9163055
25,-3.1327944,4.007589
26,-3.3512714,4.025729
27,-3.5042496,3.9459655
28,-3.690648,3.9825077
29,-3.7632794,3.9222572
30,-3.9484644,4.0153365
31,-4.131796,4.00281
32,-4.287411,4.0709205
33,-4.2890253,4.101375
34,-4.4645753,4.1721797
35,-4.5883064,4.0667276
36,-4.7430654,4.147863
37,-4.88278,3.9708078
38,-5.0090265,4.092473
39,-5.256626,4.03164
40,-5.2262115,4.125667
41,-5.506944,4.097845
42,-5.818237,4.1561437
43,-5.9064746,4.2325044
44,-6.0963573,4.181167
45,-6.094222,4.2768292
46,-6.181283,4.2216225
47,-6.413497,4.159503
48,-6.5293183,4.2435236
49,-6.6593184,4.208863
50,-6.7670617,4.211211
51,-6.970264,4.231954
52,-7.151086,4.339312
53,-7.3930864,4.315197
54,-7.5528574,4.2587943
55,-7.588744,4.3594246
56,-7.868349,4.293537
57,-8.095287,4.384294
58,-8.183631,4.4569607
59,-8.371437,4.502396
60,-8.481947,4.4003725
61,-8.586308,4.41834
62,-8.826092,4.530043
63,-9.028665,4.7199697
64,-9.19649,4.5408893
65,-9.207351,4.6441145
66,-9.677065,4.5319047
67,-9.648659,4.6464005
68,-9.789268,4.6737714
69,-10.078427,4.589813
70,-10.36375,4.696466
71,-10.628908,4.772178
72,-10.533863,4.7573605
73,-10.806553,4.7960315
74,-11.223041,4.758536
75,-11.250805,4.845454
76,-11.545144,4.9035044
77,-11.43123,4.870345
78,-11.831137,4.906271
79,-12.046087,4.911105
80,-12.177259,5.0982556
81,-12.401115,5.051955
82,-12.740215,5.011801
83,-12.693303,5.0503583
84,-12.984936,5.0351996
85,-13.087671,5.153227
86,-13.4490385,5.1044292
87,-13.605215,5.261557
88,-13.752084,5.2869644
89,-13.898199,5.208674
90,-14.055241,5.3065176
91,-14.341004,5.414041
92,-14.701823,5.4234843
93,-14.752573,5.427871
94,-14.9126,5.544924
95,-15.070068,5.5968623
96,-15.297841,5.3601813
97,-15.682254,5.642422
98,-15.881953,5.6893053
99,-16.233957,5.7709937
100,-16.405125,5.6737742
101,-16.646837,5.7064004
102,-17.059628,5.6933775
103,-17.248266,5.745733
104,-17.47853,5.788905
105,-17.627825,5.788353
106,-17.929087,5.6080394
107,-18.062048,5.7718034
108,-18.351809,5.760555
