epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,14.752516,3.8495884,5.8747516,8.189418,0.55073565,5.5080066,0.04
1,13.194823,4.354999,8.143825,10.249006,0.65499073,6.044853,0.049999997
2,9.680947,4.9872093,10.256843,14.066618,0.8952193,5.9800344,0.062499996
3,4.0239353,5.118053,16.170572,13.767799,1.1597927,5.070328,0.07812499
4,0.119432904,4.5210958,18.042969,6.8349605,1.079611,4.2447133,0.09765624
5,-1.1621937,4.1553583,20.00744,3.2209334,1.029289,3.9305627,0.122070305
6,-1.8663481,4.148156,21.018105,2.4717808,1.0589122,3.9591417,0.15258788
7,-2.405941,4.2369776,21.269043,3.2327752,1.0830116,4.034808,0.19073485
8,-2.8675349,4.244798,22.046711,3.1140735,1.1006501,3.9998195,0.2
9,-3.8824346,4.45088,32.123604,3.141333,1.1313483,4.157894,0.2
10,-5.0506983,4.8256116,44.400036,4.0417128,1.1670802,4.3402195,0.2
11,-6.5192795,5.106881,43.385666,5.1192546,1.2788471,4.6537147,0.2
12,-8.236662,5.5561028,56.88816,4.315363,1.3812867,4.7378793,0.2
13,-9.581888,5.7438035,53.25866,4.672434,1.550446,4.741978,0.2
14,-11.142895,6.0419,49.461624,6.573896,1.5988685,5.051274,0.2
15,-12.373688,6.0425878,41.812595,7.7278285,1.7237265,5.2559853,0.2
16,-13.607871,6.5270786,41.540382,16.596283,1.7895414,6.4049153,0.19266333
17,-15.134067,6.2426577,23.795244,9.545411,1.7887412,6.669903,0.17061925
18,-15.903435,6.266889,28.154749,10.1362,1.8635899,6.340542,0.14897159
19,-15.463364,6.8513613,31.654118,11.46571,2.0250442,7.114912,0.09807312
20,-16.746883,6.359761,21.592506,10.031373,2.0065532,6.297054,0.1225914
21,-17.472921,6.4308834,21.729792,14.677537,1.7742501,7.0862923,0.10227748
22,-18.491003,6.8481226,22.554605,12.932404,1.7886266,8.097144,0.09594516
23,-19.56045,6.7467146,21.991488,13.428314,1.7029607,8.323158,0.07564211
24,-20.802902,6.1116486,22.54558,11.651931,1.6263548,6.9310327,0.06655257
25,-21.466665,5.9415545,21.774204,9.163786,1.6610544,6.1997647,0.08319072
26,-21.908289,5.379129,20.602427,6.2817855,1.4305354,6.2725883,0.103988394
27,-21.23773,6.613633,26.900507,14.605702,1.650574,8.004977,0.048141334
28,-22.419317,4.991578,13.239341,8.451839,1.2200824,6.150094,0.04576382
29,-22.751518,4.3522377,12.962958,5.969409,1.0238154,5.241016,0.057204776
30,-22.918282,4.1170993,10.919976,6.9378953,0.95889384,4.8544464,0.056152545
31,-23.078484,3.8760643,14.03203,4.5412464,0.86173165,4.303411,0.055586018
32,-23.229115,3.5681286,9.476336,4.7293286,0.8358476,4.1905413,0.06948252
33,-23.282415,3.7264218,7.5065684,3.5689921,0.8222721,4.688897,0.05348267
34,-23.388329,3.3200715,8.568799,3.2698808,0.73288876,4.133244,0.04892812
35,-23.456482,3.0987918,8.8032675,1.8909355,0.76968175,3.3341932,0.0480775
36,-23.462727,2.920642,8.149853,2.0405376,0.72655886,2.9933133,0.060096875
37,-23.476921,2.906924,7.8302255,2.759352,0.7268298,3.1230824,0.07512109
38,-23.551844,3.0452776,8.569622,2.9534278,0.72958136,3.5284066,0.06344389
39,-23.577656,2.8889198,7.919365,2.316791,0.7104105,3.1825128,0.054260008
