epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,19.492622,5.983914,6.1184893,22.937836,0.9147532,7.8941445,0.04
1,14.506322,6.687087,8.274401,28.449606,1.2574909,8.124541,0.049999997
2,6.87463,6.286227,12.771455,26.897203,1.5063338,6.414231,0.062499996
3,1.1271619,4.9612904,14.477784,16.309711,1.2661612,4.670843,0.07812499
4,-0.99627733,4.2629275,13.150843,8.344327,1.1026082,4.089468,0.09765624
5,-1.7664595,4.0711856,13.066142,4.766172,1.047508,3.8040178,0.122070305
6,-2.0672414,3.9058537,11.876226,3.0182939,1.007934,3.6886494,0.15258788
7,-2.8413846,3.8799646,10.942553,3.8532164,1.0345954,3.6825683,0.19073485
8,-3.631509,3.9012363,10.066989,5.304697,1.0466443,3.7401755,0.2
9,-4.431284,3.7253468,9.357107,4.8971853,1.018187,3.4969678,0.2
10,-5.4980216,3.801591,9.18021,5.3576946,1.0268853,3.6061304,0.2
11,-6.455323,3.6245697,8.781126,4.769169,0.9968257,3.314441,0.2
12,-7.3645735,3.618441,8.780293,4.2322903,1.0255026,3.3100293,0.2
13,-8.149829,3.377903,7.2489576,5.77661,0.98261935,2.9220576,0.2
14,-9.024045,3.2941656,7.279897,4.381231,0.94731796,2.8489728,0.2
15,-9.469175,3.0812309,5.989089,3.800227,0.8992103,2.7081614,0.2
16,-10.037654,2.9572613,5.745249,4.6460094,0.87205684,2.566577,0.2
17,-10.453957,2.922718,6.8373218,2.6069613,0.86328506,2.370084,0.2
18,-10.817906,2.7537236,5.4316187,1.428966,0.8567509,2.2179198,0.2
19,-10.971342,2.841718,5.955973,1.5830588,0.8987403,2.2114725,0.2
20,-11.140491,2.7777557,5.157379,1.588335,0.9148731,2.0394633,0.2
21,-11.182864,2.743273,5.5955195,1.5659025,0.89350665,1.9943751,0.2
22,-11.490943,2.7870276,7.147276,2.1898553,0.8852589,1.9800218,0.2
23,-11.576228,2.7592869,6.3370757,1.5210893,0.91626906,2.0260043,0.2
24,-11.747559,2.7793202,6.9054213,1.4393599,0.9090199,1.9870011,0.2
25,-11.9045515,2.8039408,6.1929913,2.4556484,0.9159435,1.9780687,0.2
26,-11.983229,2.8082917,7.3045635,1.4407122,0.91804016,2.004654,0.2
27,-12.203628,2.8481262,7.226355,1.6288055,0.92076564,1.9673698,0.2
28,-12.364813,2.7510204,6.64427,1.5854175,0.89873713,1.9700533,0.2
29,-12.474082,2.807543,7.0325303,1.9021897,0.92484856,2.0279026,0.2
30,-12.624667,2.8463523,6.314167,1.4542211,0.92918944,2.0577035,0.2
31,-12.809938,2.8292024,6.9109025,2.540236,0.9230503,2.0605032,0.2
32,-13.15234,2.8013685,7.3501897,2.1467822,0.90021306,1.99951,0.2
33,-13.469699,2.810193,5.936695,2.7388124,0.8987413,2.1964056,0.2
34,-13.705244,2.6990092,6.234212,2.6728542,0.8826203,2.0224829,0.2
35,-14.240018,2.7768505,6.128967,3.5650017,0.8615943,2.2041743,0.2
36,-14.997685,2.7488298,8.795257,4.148782,0.83239686,2.2505946,0.2
37,-15.864901,2.5366666,8.566816,3.335325,0.7217409,2.1993906,0.2
38,-16.131794,2.43022,9.269211,3.8357735,0.68937093,2.09792,0.17178354
39,-16.107767,2.6197953,8.840636,5.711813,0.7203318,2.1882427,0.09236811
40,-16.394262,2.1641526,7.7932754,2.7101908,0.66519314,1.4933972,0.091298796
