epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,2.2022984,4.304271,13.902356,11.24847,2.8491242,3.8234243
1,1.8624835,4.241438,12.985222,11.751413,2.9248264,3.9364378
2,1.5942369,4.2226562,15.399603,10.820901,2.7427387,3.8190722
3,1.4503701,4.286169,15.33031,13.793063,2.7117386,3.8246324
4,1.2168221,4.1606164,13.652858,11.645961,2.7614467,3.8374057
5,1.0275435,4.292456,17.637047,16.46124,2.817292,3.8553803
6,0.81919086,4.333661,16.794685,14.672161,2.8428612,3.828921
7,0.48289868,4.130015,14.653013,10.892363,2.8116903,3.7005239
8,0.4350668,4.035847,14.576479,10.944301,2.6541183,3.593939
9,0.34943154,4.0848503,14.764952,12.169648,2.5854883,3.5904233
10,0.07588375,3.9437056,15.675995,9.563074,2.523407,3.4156134
11,-0.10046796,4.0833726,15.840021,11.481912,2.6569684,3.4651022
12,-0.22376557,4.024261,15.785764,13.533915,2.7000117,3.5243073
13,-0.39939466,4.0746393,15.183898,10.404126,2.5518804,3.5042944
14,-0.4043034,4.299153,29.540104,27.963728,2.556289,3.41664
15,-0.6806445,3.9179034,14.58847,9.7559595,2.5065954,3.4392064
16,-0.6512809,3.915088,15.083249,8.480194,2.5725682,3.4310215
17,-0.87091404,4.0162973,16.125341,9.957823,2.5214338,3.454207
18,-1.0144105,4.0377994,17.880646,14.277726,2.568359,3.40439
19,-1.0407531,3.9134247,14.977943,9.565048,2.6123052,3.466081
20,-1.1928519,3.8325973,15.092343,7.603586,2.4922478,3.3225439
21,-1.1844119,3.9984987,17.025526,9.429989,2.557302,3.3693202
22,-1.3687389,3.9207048,14.588742,7.8055916,2.6137354,3.5324898
23,-1.3960621,3.9241316,14.847741,8.748218,2.3887148,3.3453488
24,-1.5635581,3.8623378,15.479749,8.667411,2.41217,3.273363
25,-1.6215364,3.966728,16.020868,11.670556,2.573079,3.4153397
26,-1.6556162,3.926961,16.866137,8.217816,2.5384576,3.392907
27,-1.7419897,3.9196582,16.521181,8.536258,2.3921678,3.3106115
28,-2.0055711,3.8903441,15.483694,10.182914,2.4052541,3.3670914
29,-2.0601187,3.9596221,16.5531,8.567953,2.5028532,3.373771
30,-1.9908546,3.9020245,16.1201,8.394079,2.477137,3.2896883
31,-2.1270673,3.7241528,15.9717045,5.9898977,2.4027112,3.3254368
32,-2.2475028,3.926092,16.78172,9.33177,2.350277,3.2517104
33,-2.347607,4.0433865,16.641275,10.21556,2.6114151,3.4946597
34,-2.4277678,3.808137,16.928425,8.117356,2.3341038,3.2144628
35,-2.4784899,3.8437157,16.923325,8.037359,2.4601154,3.3356616
36,-2.4055727,4.0693326,17.991024,9.905109,2.471395,3.4978068
37,-2.535125,3.889009,15.099077,9.259007,2.3421528,3.3568149
38,-2.678605,3.911499,16.612627,8.954116,2.448057,3.325943
39,-2.7952895,3.9480374,19.014652,7.890155,2.3897984,3.2753475
40,-2.774936,3.9151878,17.422594,7.97316,2.3475027,3.282089
41,-2.964117,4.071355,18.752823,12.374793,2.4426186,3.3804848
42,-3.0244024,4.1065516,20.725668,13.075567,2.5551279,3.3683636
43,-2.9740033,4.175118,23.96882,17.80799,2.4197497,3.3075547
44,-3.1334088,3.9900463,18.125961,9.323931,2.49449,3.36753
45,-3.1530266,3.8582978,16.708033,8.002569,2.3826873,3.310582
46,-3.2610362,3.95513,18.594374,8.096397,2.5445132,3.3945065
47,-3.4159067,4.020461,18.942596,8.942536,2.5615487,3.4141803
48,-3.3126435,3.9122176,19.295794,8.590657,2.398386,3.2693014
49,-3.4735048,4.0549746,20.821915,11.348933,2.4850426,3.3519878
50,-3.698066,4.0440006,19.348345,9.5009775,2.485187,3.4286647
51,-3.657853,3.9710703,20.814335,8.913969,2.3682659,3.2598143
52,-3.7296314,4.0322638,21.783285,11.0743,2.3878028,3.2298741
53,-3.8009107,3.9188302,19.534172,6.773594,2.4181144,3.3796756
54,-3.8576396,4.119184,21.781418,10.550824,2.5492332,3.4276419
55,-3.851433,4.110317,23.36403,14.450079,2.5007,3.4528186
56,-3.923933,4.0560226,19.796705,9.786024,2.5383995,3.4536889
57,-4.024392,4.1132827,20.183434,10.109738,2.60286,3.6416497
58,-4.1537166,4.033686,19.955673,7.6873035,2.4834807,3.4014518
59,-4.225361,3.9941735,19.327343,9.89509,2.4765866,3.4503875
60,-4.275297,4.019391,18.918186,8.65087,2.5212042,3.4082046
61,-4.333338,3.916473,19.758394,7.666717,2.4084163,3.3592055
62,-4.4273715,4.056545,20.081173,10.649256,2.5716796,3.4473004
63,-4.463366,3.9348218,20.212795,10.145671,2.4428525,3.3506005
64,-4.5407777,4.079949,20.030348,8.40365,2.471854,3.3405495
65,-4.6423106,4.09839,20.964277,12.571183,2.578463,3.4101365
66,-4.731159,3.9908986,20.632614,10.212893,2.3749397,3.3919306
67,-4.8091717,3.933976,19.270864,7.598606,2.4793525,3.3755405
68,-4.7975197,4.0395184,20.462978,9.039038,2.5036838,3.4384165
69,-4.7868733,3.9865694,20.397268,9.1753435,2.4531333,3.3051562
