epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,2.933619,5.5827303,16.545376,15.459523,3.807703,5.084566
1,2.337161,5.5744843,16.49561,16.890818,3.7927864,5.18503
2,1.6670476,5.6194654,19.604176,20.815186,3.7810009,5.028569
3,1.0901613,4.8700314,15.430792,13.817896,3.3974113,4.424239
4,0.6218629,4.9596577,22.00181,17.069769,3.1839795,4.377456
5,0.3304159,4.8376555,16.880552,18.29138,3.2035382,4.3784976
6,-0.17546964,4.679783,15.120774,12.183851,3.1309435,4.2732096
7,-0.51387274,4.579175,18.868057,14.96538,3.0261862,4.1258216
8,-0.7156367,4.4298697,14.984629,12.2019205,2.9606936,3.9079556
9,-1.0498711,4.3082795,14.087415,11.752483,2.8290823,3.8171737
10,-1.3727717,4.096428,12.244616,9.851249,2.7769706,3.6043296
11,-1.45305,4.3307114,13.550253,15.473205,2.8422618,3.8517978
12,-1.6632704,4.162854,13.5272255,10.430487,2.7557988,3.7500184
13,-1.8120148,4.1184487,13.330058,12.619144,2.6430345,3.5509346
14,-1.919477,4.093011,13.449988,9.700154,2.8627207,3.7092032
15,-2.0623126,4.0376534,12.143969,11.267881,2.7441387,3.6259022
16,-2.3100722,4.1320767,13.581557,10.733718,2.6553633,3.4960892
17,-2.3031943,4.141659,12.427608,9.062263,2.7673528,3.68954
18,-2.5123012,4.1134915,11.598387,8.954839,2.727329,3.8284974
19,-2.544563,3.8498325,11.2452345,9.642824,2.4096498,3.3007255
20,-2.758127,3.8585937,11.878776,8.088627,2.5262325,3.322036
21,-2.6819746,3.9220803,11.566566,8.603426,2.6417944,3.5175848
22,-2.942091,4.028136,16.155924,13.343426,2.6760707,3.63482
23,-3.0046043,3.944909,11.445528,10.156542,2.5400884,3.5189142
24,-3.0765338,3.7458696,11.208547,7.4982266,2.5404692,3.4460895
25,-3.0660014,3.8293343,11.027032,9.970344,2.5901666,3.4608603
26,-3.3293464,3.9734674,11.807455,11.237939,2.6119475,3.4445293
27,-3.2266603,3.8242593,11.756155,7.770352,2.502357,3.3853445
28,-3.3493266,3.8060648,11.506697,9.174206,2.5184746,3.51157
29,-3.480021,3.8103368,10.177088,8.535126,2.5739756,3.486247
30,-3.4546273,3.8985817,13.443397,14.489335,2.5069199,3.413797
31,-3.5639024,3.8659613,11.46562,8.38126,2.535887,3.495534
32,-3.7781987,3.814452,10.782605,8.576923,2.447645,3.3581402
33,-3.7058482,3.968165,13.779839,10.516465,2.5950432,3.456933
34,-3.9316947,3.9571967,18.562315,15.03249,2.489292,3.4278946
35,-3.921877,3.7925496,10.034364,7.8525925,2.4954803,3.5587678
36,-3.8643007,3.7290657,10.014864,8.995392,2.463155,3.37239
37,-4.023891,3.762894,9.3176775,7.8159947,2.643945,3.631583
38,-4.210504,3.7491014,9.735135,7.9864736,2.5172696,3.5880067
39,-4.154997,3.8411977,10.423532,7.8370347,2.6652567,3.5926065
40,-4.1804748,3.7106516,9.138045,8.446154,2.6477013,3.5230904
41,-4.3813095,3.6831675,9.280342,7.113908,2.5435116,3.4383624
42,-4.384716,3.8663442,10.94316,8.660851,2.594082,3.5296087
43,-4.352338,4.014035,11.951633,13.904628,2.6621084,3.5306704
44,-4.4782734,3.7956424,11.83683,14.031687,2.5319982,3.376379
45,-4.5265236,3.929066,10.460966,11.734518,2.6818767,3.5949764
46,-4.6611276,3.891554,10.580633,13.161087,2.559184,3.6098983
47,-4.672578,3.787672,11.318409,8.33981,2.5149271,3.4163475
48,-4.7813888,3.6456811,9.188435,7.1549125,2.49085,3.4588547
49,-4.749971,3.8691628,11.481856,14.17189,2.70215,3.526229
50,-4.7384377,3.7843626,10.156285,8.836724,2.6048317,3.5698218
51,-4.81503,3.8269327,9.955986,9.36312,2.6449902,3.4684947
52,-4.9933653,3.599543,9.169289,7.467646,2.459233,3.3917935
53,-5.0039706,3.741924,9.829525,7.7581053,2.7213461,3.5447576
54,-5.0223565,3.7670875,10.298278,8.625658,2.5462341,3.4915168
55,-5.1063714,3.948404,11.22143,10.232184,2.682407,3.6355963
56,-5.1823974,3.746129,10.043977,10.60637,2.6035187,3.4529998
57,-5.2738447,3.4963605,8.250085,6.7144146,2.3699126,3.4053035
58,-5.28951,3.637637,9.269344,8.04001,2.5266795,3.4580321
59,-5.361226,3.7093754,9.195931,11.313496,2.5336113,3.3237965
60,-5.480507,3.7937942,10.71922,9.234928,2.4959226,3.3411846
61,-5.4641943,3.7820175,10.607675,10.984187,2.668903,3.6223502
62,-5.5197825,3.7196825,9.343443,9.038102,2.5879877,3.4856508
63,-5.5340405,3.6581438,8.388024,9.869646,2.4313927,3.3983488
64,-5.543756,3.7026193,10.239196,9.581689,2.433832,3.3707466
65,-5.6852746,3.8944094,15.89116,15.64888,2.7216046,3.58641
66,-5.68794,3.921725,21.320784,24.625364,2.5568223,3.417356
67,-5.7666698,3.7102575,9.688876,8.09396,2.5937867,3.4514558
68,-5.8129764,3.587853,7.972713,6.9079466,2.4001234,3.4343193
69,-5.7948637,3.5803425,8.505873,7.2136965,2.4829574,3.3523145
70,-5.8879395,3.7686586,10.097838,9.116781,2.6839135,3.3894458
71,-5.9637733,3.7073462,9.957455,8.776132,2.5133667,3.4755647
72,-6.042088,3.7632406,10.317269,7.9978023,2.4798434,3.491411
73,-6.2235026,3.7696314,18.16222,14.5933895,2.4288447,3.301846
74,-6.1754465,3.652299,9.034502,9.637272,2.3895402,3.294994
75,-6.1906395,3.5253026,8.4952755,7.238857,2.4819014,3.254228
76,-6.2548723,3.5356863,8.08572,6.937516,2.5321786,3.502628
77,-6.2356033,3.6217864,9.177547,9.445366,2.5425293,3.337863
78,-6.3493524,3.6077015,8.343807,6.943737,2.4536898,3.3077624
79,-6.3904448,3.6923046,9.805897,13.110754,2.4860518,3.4692974
80,-6.49979,3.5608118,7.9567,7.585291,2.5357344,3.3026378
81,-6.3700995,3.5456371,8.431247,6.9411516,2.4219418,3.3347347
82,-6.457544,3.7606356,12.318994,21.45005,2.4644718,3.265624
83,-6.4962687,3.69953,11.375353,11.65964,2.464634,3.3598576
84,-6.5126624,3.6016834,8.48562,8.061783,2.5421963,3.2981555
85,-6.6007943,3.6425962,8.521457,7.773436,2.54903,3.4736865
86,-6.614227,3.4836972,8.878653,7.6346126,2.4341679,3.2566125
87,-6.573139,4.2374086,39.881577,35.369637,2.5443454,3.422398
88,-6.7482677,3.6199439,8.026401,7.6173553,2.5713837,3.5875216
89,-6.812573,3.5913155,8.90883,8.346832,2.5299,3.370729
90,-6.763041,3.8278778,18.579386,13.4102335,2.652182,3.4261518
91,-6.7870893,3.5462284,9.011808,7.0912347,2.5061443,3.3426774
92,-6.890373,3.5119143,8.472788,6.5324755,2.4497778,3.3303697
93,-6.7672486,3.7141702,9.15739,8.820979,2.7041667,3.491533
94,-6.8722258,3.5028331,8.408547,6.8338466,2.480479,3.362282
95,-6.971666,3.435469,9.542619,6.4956355,2.429084,3.227899
96,-7.110984,3.6613572,8.201844,6.9642587,2.7782664,3.4899375
97,-7.085414,3.5644226,9.239881,7.90039,2.4796283,3.28943
98,-7.1,3.642425,8.715458,8.313501,2.585151,3.3592021
99,-7.1334834,3.7221446,12.109443,9.468074,2.6230443,3.2851846
100,-7.2442327,3.5365555,8.927626,6.700995,2.5751572,3.2999778
101,-7.280229,3.5668314,8.931529,7.8439784,2.6090577,3.359426
102,-7.291526,3.5391505,9.193095,8.189567,2.5083005,3.3817236
103,-7.262338,3.521391,8.331319,7.0017533,2.5785098,3.3698735
104,-7.3974533,3.5772438,8.448719,6.714268,2.5728383,3.350258
105,-7.347961,3.671364,8.2139225,7.1348953,2.5949054,3.3943906
106,-7.4456115,3.628414,8.625376,8.582118,2.6774487,3.4333491
107,-7.4393973,3.5518253,8.707751,8.498976,2.499984,3.371631
108,-7.469962,3.8124387,10.381922,11.10173,2.7058833,3.5110533
109,-7.5194774,3.6074278,7.78727,6.5896297,2.6082342,3.2832646
110,-7.615712,3.5564852,8.755401,6.855291,2.5451028,3.3560064
111,-7.5609474,3.6133103,8.532256,6.534048,2.6633549,3.350902
112,-7.657341,3.7275276,10.20264,8.335985,2.6660116,3.4782841
113,-7.6550813,3.5604913,8.507815,8.147547,2.5869954,3.3753264
114,-7.7234926,3.7219837,10.363201,9.198244,2.625408,3.5026777
115,-7.7554054,3.5570405,9.050004,7.027666,2.5898993,3.3391619
116,-7.700084,3.6975975,9.914139,10.566236,2.5427332,3.2254286
117,-7.7918544,3.4629273,7.5156875,6.3453546,2.488131,3.217002
118,-7.813657,3.5114079,7.488697,7.3394175,2.4588804,3.1672335
119,-7.8404093,3.4887917,8.886679,8.465094,2.3589911,3.1205199
120,-7.9592032,3.484757,7.4077697,6.0035567,2.473304,3.224554
121,-7.9064455,3.5021608,8.480483,7.335536,2.6430871,3.2501414
122,-7.817461,3.6987174,13.1635,10.5914135,2.508059,3.2647488
123,-7.981748,3.5560145,8.28304,7.144084,2.6222818,3.3927827
124,-8.039137,3.5935633,9.4458275,8.679641,2.4980376,3.2000113
125,-7.961708,3.419814,10.196176,9.460397,2.3238354,3.0333223
126,-8.087082,3.6694822,11.784568,11.211531,2.441935,3.2142224
127,-8.126291,3.6037893,21.926346,19.270813,2.4557939,3.1436317
128,-8.256392,3.5032976,8.271284,9.384917,2.4348023,3.3329673
129,-8.191145,3.6089225,9.825519,7.735921,2.5719876,3.3353033
130,-8.276975,3.550736,9.887836,8.715297,2.4257302,3.1188385
131,-8.21011,3.6816337,9.0915,8.299854,2.7001479,3.3938015
132,-8.33534,3.6606388,10.933478,8.120135,2.6547377,3.2862475
133,-8.341128,3.6055596,9.789449,9.56981,2.61593,3.1924968
134,-8.382278,3.5286007,8.834719,8.800236,2.5928886,3.1908379
135,-8.317235,3.395796,8.851311,6.1412363,2.4578407,3.0843763
136,-8.308369,3.4160907,8.952614,6.2678614,2.3884053,3.0961924
137,-8.476048,3.4065647,7.579447,6.027493,2.4810631,3.2686737
138,-8.506494,3.4520683,9.075155,7.653292,2.5272095,3.1296403
139,-8.424709,3.5430145,8.743296,7.784234,2.5287654,3.2284026
140,-8.471362,3.56828,8.460964,7.0092244,2.5336282,3.1899831
141,-8.527916,3.5587585,9.040438,7.4316163,2.6009212,3.2131782
142,-8.492287,3.5095239,8.153608,6.490216,2.570538,3.1308997
143,-8.624737,3.3606868,7.771308,5.778356,2.3527367,3.0781932
144,-8.612453,3.4726238,8.2442665,6.759682,2.5067055,3.123657
145,-8.5715685,3.6989183,20.655119,16.839657,2.6736891,3.3018887
146,-8.641115,3.4970737,8.618659,7.160455,2.5535176,3.2188277
147,-8.734176,3.4446194,8.870307,6.578809,2.5062556,3.1102254
148,-8.748707,3.5058727,9.777454,9.800471,2.3742468,3.0264626
149,-8.611134,3.6427522,9.404251,8.3911295,2.7125378,3.205124
150,-8.763981,3.6458952,10.634568,9.5595875,2.653889,3.1945233
151,-8.805539,3.5097728,8.959927,9.46195,2.5511193,3.0752394
