epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,2.2022984,4.304271,13.902356,11.24847,2.8491242,3.8234243
730,-23.792965,1.9820031,13.328698,1.4845924,1.183249,1.8137661
731,-23.747906,2.18243,16.391598,1.8079535,1.6506578,2.0252204
732,-23.826769,2.0544798,8.587461,1.6260201,1.2081236,1.8543456
733,-23.76356,2.2152462,17.126041,1.7147236,1.5723319,2.1809669
734,-23.738956,2.0301273,17.165865,1.6120158,1.2243282,1.8492885
735,-23.82414,2.2169003,11.159861,1.3772193,1.4232119,2.1025012
736,-23.821804,2.188438,12.14525,2.0462463,1.6187643,1.9821814
737,-23.79558,2.0059214,14.022398,1.4180621,1.2893398,1.8104275
738,-23.816809,2.1216297,9.832759,2.6117103,1.4934123,2.0507562
739,-23.8104,2.1317198,13.560481,1.7739502,1.3085213,2.0162165
740,-23.838324,2.1067748,9.223614,1.9607656,1.2255855,1.9255654
741,-23.816183,2.2939978,12.317576,1.9061729,1.7149924,2.138412
742,-23.832468,2.1843572,12.300656,2.1865976,1.4078189,1.8840904
743,-23.803381,2.000484,14.718981,1.5805138,1.2200978,1.8338124
744,-23.82745,2.1635346,10.483159,1.756418,1.2963132,1.8959259
745,-23.82966,2.0294578,11.562958,1.5238276,1.1344376,1.8195692
746,-23.807804,2.03131,11.843516,1.5305167,1.1817415,1.8135189
747,-23.860598,1.9965694,8.378552,1.4284532,1.0349075,1.6135435
748,-23.851597,2.0731452,9.4924755,1.6580893,1.2527295,1.9099282
749,-23.860424,2.0496016,9.101915,1.8517528,1.3707516,1.9270054
750,-23.834665,1.8537792,10.7099905,1.2406535,1.1027186,1.7455319
751,-23.832657,2.022312,11.60041,1.4541487,1.2630847,1.8163363
752,-23.83282,2.0292988,10.688379,2.1027095,1.4268504,2.0044818
753,-23.882883,2.2675083,7.0076656,1.98695,1.7264289,2.2160332
754,-23.846514,1.9497652,9.021417,1.5819937,1.2031758,1.790156
755,-23.870667,2.081643,8.361921,1.3785677,1.3661344,1.9453503
756,-23.87332,2.1290984,6.6085134,1.611003,1.4021374,1.9759014
757,-23.883516,2.0423877,6.1769094,1.4187775,1.2793528,1.8680526
758,-23.808273,2.1866617,12.840981,2.1982987,1.7183884,1.9467238
759,-23.816051,2.0918396,13.349668,1.8565185,1.4496918,2.1065466
760,-23.860428,2.0575578,9.31391,1.6051059,1.3130693,1.9316822
761,-23.890007,2.138342,5.95086,1.676855,1.2370071,1.8879371
