epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after
0,2.9065993,5.613588,16.351227,15.714955,3.8394082,5.2024393
1,2.4559474,5.3645372,15.968963,16.422462,3.8652284,5.102839
2,2.2087374,5.084064,14.658923,13.384674,3.5899389,4.732744
3,1.7731766,5.066339,13.939355,13.656753,3.604511,4.8528547
4,1.6425061,5.2211866,16.30176,14.49051,3.5037854,4.785718
5,1.3074138,5.0900717,16.390215,14.191169,3.4613535,4.776904
6,0.6974447,5.153126,16.992598,18.014387,3.4984207,4.760767
7,0.7135195,5.0054116,15.492473,13.164942,3.4393795,4.5645585
8,0.4625033,4.8255277,14.724117,13.288564,3.3202772,4.473248
9,0.29962385,4.7164145,15.394372,12.930032,3.0497549,4.237406
10,0.16278672,4.7434807,15.094045,12.626959,3.309939,4.471839
11,-0.13601382,4.8445272,14.792397,20.80722,3.124257,4.2389326
12,-0.23100504,4.4039946,14.918565,10.881096,2.9773667,3.920954
13,-0.40589726,4.640367,15.830773,16.778105,3.076393,4.117116
14,-0.6273357,4.450992,13.06775,10.725457,2.9183278,4.0963345
15,-0.7350669,4.280216,13.613689,10.837197,2.8919997,4.0601554
16,-0.87111557,4.449408,14.052248,10.225897,2.8875644,4.048644
17,-0.80259734,4.3866005,14.674661,11.471147,2.8777423,3.9079227
18,-1.1730293,4.263875,13.103646,11.155564,2.8769438,3.8665051
19,-1.1467756,4.4186325,13.930802,11.221897,2.7860847,3.799557
20,-1.2899675,4.349516,13.854406,10.199909,2.8762436,3.985014
21,-1.2630695,4.2331886,14.014288,10.52326,2.6838062,3.7674112
22,-1.5649579,4.4094014,16.83321,13.601885,2.8006687,3.8625731
23,-1.7096916,4.2932577,16.534676,18.838226,2.6876724,3.6553493
24,-1.5646898,4.123808,13.361484,9.193433,2.6784322,3.6709542
25,-1.7474322,4.0718775,13.688416,10.524688,2.7072847,3.6653507
26,-1.8632202,4.208281,13.819709,11.005068,2.7438781,3.8048697
27,-1.8676091,4.192742,16.25275,14.290933,2.6297765,3.7068315
28,-2.034429,3.882616,11.894303,9.221263,2.5291643,3.499527
29,-2.0145054,4.3197002,16.357525,13.693791,2.7750003,3.6981413
30,-2.1790483,4.023322,12.793164,7.967218,2.6186473,3.6870065
31,-2.413763,4.0619655,11.891346,10.3777,2.7070525,3.7952116
32,-2.1757348,3.9901955,12.647672,9.790169,2.5490694,3.5594995
33,-2.2900794,4.080796,13.428442,10.701438,2.594557,3.5564263
34,-2.3002136,3.7889519,11.655568,7.529974,2.559299,3.554033
35,-2.4592788,4.0174212,12.266778,8.198319,2.6942353,3.6715374
36,-2.3800569,4.0402255,14.027393,12.645815,2.709044,3.5623991
37,-2.603149,4.135489,14.674463,14.642387,2.5795987,3.6185267
38,-2.656841,4.156352,25.052408,12.121844,2.664772,3.591462
39,-2.7474802,4.0790477,11.605609,9.025228,2.67907,3.7743514
40,-2.7853487,3.9688566,12.255049,9.962792,2.654506,3.5768971
41,-2.6638663,4.557796,28.693464,45.493313,2.6260164,3.7260118
42,-2.9367857,3.9846575,12.907823,12.305083,2.6017492,3.5444582
43,-2.9177804,3.8432224,12.562441,10.836964,2.535583,3.53322
44,-3.047305,3.8745842,11.504759,8.296675,2.5823393,3.4932709
45,-3.052878,4.2086077,16.765154,13.356407,2.5752237,3.6263142
46,-3.1316059,4.193715,15.382429,14.732775,2.660679,3.6524827
47,-3.080781,4.012024,12.055385,10.569992,2.5276582,3.6111035
48,-3.0643184,4.0033455,13.356201,12.056344,2.6192327,3.5584466
49,-3.121015,3.8577707,13.007645,21.56792,2.3537288,3.3278935
50,-3.248266,3.96956,12.444177,10.780936,2.7234921,3.6681993
51,-3.194023,3.7955751,10.406511,7.757857,2.608424,3.494912
52,-3.2439313,3.8815427,12.312023,10.115174,2.5925841,3.5469143
53,-3.426223,4.0612497,12.851509,12.263632,2.5674617,3.593894
54,-3.3696425,3.9164927,11.191496,8.55023,2.6620536,3.5653753
55,-3.5554872,3.8440752,11.454063,9.593525,2.6964593,3.5402508
56,-3.5171118,3.8157456,11.385352,9.299884,2.6454744,3.5874166
57,-3.3787475,4.1192584,17.000095,11.553823,2.6175892,3.5409954
58,-3.6847184,3.9142225,10.999,7.909015,2.7111404,3.621883
59,-3.7008386,3.8719714,10.563347,10.712213,2.5716867,3.7007136
60,-3.6800654,3.9142847,14.055859,18.450611,2.5198927,3.4914615
61,-3.6700416,3.6930678,10.241577,8.595427,2.4522398,3.4501505
62,-3.6596723,3.8562202,10.117536,9.754874,2.6205535,3.4119017
63,-3.7833834,3.945589,11.127332,11.179456,2.6971292,3.7088954
64,-3.9332495,3.8662908,11.134765,9.408721,2.7046194,3.770716
65,-3.8416786,3.9132202,11.143132,8.337555,2.7340827,3.6627755
66,-3.9909544,4.0639386,14.738428,16.046059,2.6312346,3.6067219
67,-3.948663,3.7632234,10.913931,10.87315,2.3962924,3.4961393
68,-3.942064,3.7109911,10.806768,7.8858232,2.4389062,3.461001
69,-4.0290966,3.8209097,9.810137,8.271664,2.6558068,3.5334036
70,-4.107699,3.8212247,10.944644,9.643084,2.557082,3.6169326
71,-4.16173,3.9676971,12.431064,11.218635,2.51879,3.5482697
72,-3.9584103,3.9111211,11.693681,12.022722,2.5189736,3.5675519
73,-4.1911416,3.7834113,10.531592,9.01187,2.565202,3.561387
74,-4.1409287,3.9608164,12.520153,12.915212,2.527091,3.7034013
75,-4.264578,3.7676947,11.538708,9.356518,2.5129445,3.4555507
76,-4.258075,3.7736602,11.324427,10.896366,2.446635,3.4014103
77,-4.3811684,3.8923848,12.351924,11.509096,2.5854816,3.5833166
78,-4.338547,3.8728158,9.656966,9.982382,2.686637,3.6374629
79,-4.343622,3.9520876,14.778587,22.52215,2.5712395,3.376763
80,-4.5542145,3.8063037,16.770987,11.343608,2.5119298,3.3877487
81,-4.333169,3.7984145,9.678211,9.003936,2.5889263,3.6219654
82,-4.474025,3.8851125,11.280053,9.8468685,2.6727622,3.6673734
83,-4.6289783,3.6976123,9.501042,8.313914,2.5406013,3.5640445
84,-4.579592,3.8924866,17.110777,15.75631,2.6180375,3.6036594
85,-4.64264,3.8264463,9.980652,10.517424,2.5014746,3.565074
86,-4.73527,3.7457507,10.017931,7.785461,2.4966683,3.4381485
87,-4.6912293,3.8098524,13.354765,12.867961,2.5346253,3.4327636
88,-4.7298203,3.8897872,11.762353,16.411682,2.523645,3.4684787
89,-4.6878605,3.9323869,13.76893,14.523026,2.6212082,3.4662368
90,-4.6652627,3.7955432,10.052432,11.499829,2.4409263,3.449778
91,-4.8368645,3.697803,9.491613,7.084786,2.5234933,3.409201
92,-4.7930694,3.6725402,9.250374,7.363148,2.5075314,3.41706
93,-4.888385,3.639263,9.3263235,8.145409,2.4939609,3.3189278
94,-4.8912883,3.8566163,12.754373,14.940942,2.6040823,3.5968068
95,-4.8948503,3.8429542,10.654922,10.923722,2.6165292,3.5411167
96,-5.004721,3.7869,10.187483,8.644142,2.6703463,3.5378034
97,-4.87526,3.811294,9.863983,8.766252,2.6543512,3.7173207
98,-4.9915524,3.5632339,9.753305,8.027779,2.4987304,3.3723316
99,-5.077973,3.9250238,12.080821,16.260283,2.570826,3.5543294
100,-5.09446,3.7543316,11.106314,7.956545,2.5655503,3.500429
101,-5.153956,3.6194077,9.1436,6.474863,2.4514296,3.3879752
102,-5.150024,3.8645322,11.069947,12.678573,2.5971236,3.4792368
103,-5.195158,3.5584993,9.772174,6.6956162,2.4563491,3.3942657
104,-5.26766,3.6947973,9.330369,9.962853,2.5674155,3.5343027
105,-5.2812634,4.46139,28.955858,31.655096,2.712465,3.7225928
106,-5.303699,3.798858,11.184719,10.051262,2.5756614,3.4449093
107,-5.3110576,3.6201491,11.4770355,10.253082,2.486921,3.3629868
108,-5.325648,3.6021993,9.241308,7.5549107,2.4754183,3.4085474
109,-5.324555,3.8788083,16.730247,13.285641,2.6401057,3.5084167
110,-5.304721,3.6978247,9.449183,7.9654,2.6263254,3.4306602
111,-5.367873,3.6644878,10.520594,9.405335,2.5450854,3.3510437
112,-5.4532237,3.8135757,11.780773,11.781653,2.6092148,3.4183226
113,-5.498252,3.743027,12.097763,11.933785,2.5653281,3.3913364
114,-5.5513935,3.693145,9.31595,9.092582,2.582961,3.5331008
115,-5.580578,3.8685842,12.439941,13.141908,2.7249207,3.5467932
116,-5.646927,3.7274125,9.39731,9.961003,2.6520174,3.4985657
117,-5.5945663,3.7262886,9.361264,7.8744864,2.5758908,3.4083154
118,-5.549786,3.607136,9.152228,7.919315,2.484952,3.4273934
119,-5.6813,3.8601422,10.029929,9.635279,2.8368056,3.7192285
120,-5.6708302,4.0483227,14.378305,14.438439,2.744757,3.576162
121,-5.608478,3.6627722,10.0003605,7.814988,2.5061944,3.4044728
122,-5.714253,3.8405566,10.832541,9.776528,2.659974,3.4811685
123,-5.7321596,3.777801,10.300431,8.795122,2.705181,3.5698314
124,-5.8180995,3.7684133,10.447962,8.849428,2.5770504,3.361222
125,-5.7077646,3.6692944,9.847491,7.6017566,2.5645487,3.4322748
126,-5.872962,3.9604096,13.506853,17.260704,2.6244402,3.4030282
127,-5.839374,3.6583135,8.950127,6.457801,2.4595668,3.3801386
128,-6.028542,3.8107285,11.0292,10.119363,2.5847058,3.4440908
129,-5.9087596,3.6612098,11.820447,8.720288,2.569839,3.2952776
130,-5.9633183,3.686167,10.662086,7.6877713,2.6948738,3.5261717
131,-5.955585,3.7120275,8.596107,7.92492,2.5382984,3.4566343
132,-5.997501,3.8260007,17.808207,16.816069,2.5986357,3.4385593
133,-5.89025,3.6111097,8.617697,8.034101,2.5279849,3.2344606
134,-6.0845,3.66736,9.328256,10.29374,2.56931,3.4018157
135,-6.065493,3.967615,15.369678,20.915398,2.642547,3.5256455
136,-6.2553477,3.79849,9.763574,10.030373,2.6715078,3.4269843
137,-6.0739465,3.5870218,8.897106,7.164598,2.545611,3.4127588
138,-6.207541,3.7551832,16.001722,14.82454,2.470144,3.2826135
139,-6.2115135,3.6735764,9.2086735,8.196611,2.578982,3.4460926
140,-6.1898894,3.7238758,11.062404,10.219832,2.556953,3.359183
141,-6.175944,3.5762303,8.511873,8.623843,2.4873962,3.4388242
142,-6.168928,3.6722932,9.41625,11.383476,2.553492,3.2792408
143,-6.3094816,3.710559,9.123156,7.9106555,2.6349766,3.4160466
144,-6.324645,3.682682,13.392628,20.803783,2.5773103,3.3619726
145,-6.2496834,3.5421193,7.9566574,6.854124,2.4906766,3.4472985
146,-6.2046103,3.9625092,15.660183,18.495243,2.674882,3.46362
147,-6.3008175,3.6953166,8.093971,8.04811,2.5373294,3.418442
148,-6.372374,3.6451108,9.08545,8.442136,2.6857607,3.5599542
149,-6.3762345,3.7174597,8.836521,8.479748,2.726298,3.4877255
150,-6.4440975,3.8474927,11.480718,10.740069,2.6762478,3.491205
151,-6.489121,3.7290082,9.236173,10.588478,2.6366615,3.5054703
152,-6.5079727,3.6762774,8.596327,8.122309,2.5675952,3.4100852
153,-6.489111,3.7618074,10.501502,11.694285,2.5875006,3.3534822
154,-6.4708185,4.194994,38.06779,39.535126,2.532632,3.3020368
155,-6.4755216,3.683336,9.686021,10.129976,2.58675,3.4550393
156,-6.558942,4.0558987,13.938806,22.893064,2.6041446,3.4632604
157,-6.587003,3.595224,8.462919,6.6326795,2.565741,3.5165544
158,-6.615795,3.583339,11.040524,9.844931,2.5145495,3.299312
159,-6.693337,3.7745867,9.899142,8.1915455,2.5939078,3.4053566
160,-6.6599865,3.587932,7.5745173,6.186651,2.649219,3.4798558
161,-6.668267,3.8177989,14.421694,15.834967,2.549915,3.2555802
162,-6.6559315,3.8223832,9.740554,10.421735,2.645046,3.5451674
163,-6.73789,3.9431405,12.838546,10.500785,2.9093568,3.5335197
164,-6.6741486,3.841759,10.728761,8.98564,2.6893547,3.539689
165,-6.710953,3.6800954,9.188102,7.786141,2.618304,3.5575252
166,-6.8290186,3.5891156,8.541654,7.5779147,2.5560231,3.2645633
167,-6.8847303,3.5879495,9.176621,7.87113,2.5988913,3.489695
168,-6.892887,3.6809702,8.865287,9.015394,2.5495749,3.2534282
169,-6.90789,3.621634,8.003371,6.905313,2.572061,3.4339964
170,-6.909751,3.7391944,10.338803,8.848153,2.5897005,3.4291809
171,-6.911389,3.5633066,8.184788,6.8384485,2.596445,3.3656201
172,-6.896247,3.687833,8.574133,8.078903,2.78401,3.6095116
173,-7.0257363,3.798934,11.657157,16.037188,2.595814,3.4135325
174,-7.0070057,3.6801474,9.6364565,10.319992,2.4667447,3.2409716
175,-7.0164733,3.7231455,10.9838085,10.439269,2.7576647,3.5312586
176,-7.0432997,3.6636055,9.189284,9.115713,2.725493,3.4069974
177,-7.0888476,3.6951075,13.414022,11.584445,2.6247685,3.4691033
178,-7.083539,3.7755275,11.066745,11.081906,2.6279948,3.441757
179,-7.231226,3.6781974,8.379865,7.302076,2.7096915,3.5100844
180,-7.223374,3.6799357,9.2039995,9.2609625,2.6115043,3.2776723
181,-7.2510824,3.5145118,10.33037,11.560974,2.4967349,3.248043
182,-7.2479076,3.6311674,9.085027,8.694323,2.5622382,3.391843
183,-7.1435204,3.7934427,12.548717,9.933578,2.7211308,3.4861763
184,-7.3364573,3.738098,8.689642,8.963144,2.7877154,3.545355
185,-7.296673,3.6978717,9.118135,8.166908,2.7337844,3.5091631
186,-7.329448,3.7285182,10.086029,9.220248,2.6806169,3.3084507
187,-7.278119,3.7627892,9.227924,9.537358,2.7197924,3.5669265
188,-7.2991676,3.5340033,9.489244,7.7721133,2.677886,3.3028934
189,-7.402378,3.7370865,11.733299,16.949465,2.5674558,3.3887486
190,-7.4077296,3.6417265,8.968408,8.30277,2.5355082,3.4301333
191,-7.3182654,3.594678,8.522088,7.519998,2.5659838,3.3413804
192,-7.5210767,3.6413507,10.993037,9.334094,2.7119522,3.4298134
