epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,2.2161582,4.3084793,14.32676,11.004731,2.841034,3.7688522,0.04
1,1.8882899,4.4688983,15.940525,14.385962,2.8840811,3.9387097,0.04
2,1.2859143,4.2459917,14.157194,11.86881,2.9253194,3.7985764,0.04
3,1.1051452,4.163163,17.905924,14.374178,2.729242,3.6120276,0.04
4,0.81237495,4.0433345,14.192182,10.050752,2.653599,3.6152472,0.04
5,0.44798842,4.0180674,14.580238,10.3671665,2.645753,3.5289958,0.04
6,0.18438962,4.0992184,13.972283,10.550911,2.6250253,3.4634695,0.04
7,-0.12443586,4.0149584,15.447278,15.808124,2.640481,3.5044653,0.04
8,-0.32725227,4.201698,21.633904,20.610956,2.5655355,3.3851829,0.04
9,-0.618116,3.9539974,15.127973,11.553338,2.400879,3.2944942,0.04
10,-0.7102208,4.1278625,16.880844,10.60733,2.6263456,3.5591688,0.04
11,-1.1120847,3.9548569,16.210926,12.750137,2.439555,3.2980845,0.04
12,-0.95741445,3.8829706,15.744721,9.775465,2.5044258,3.3328958,0.04
13,-1.2709532,3.8936648,14.975268,9.349568,2.4135513,3.2680035,0.04
14,-1.3883078,3.974021,14.8866005,10.119986,2.6675978,3.4255826,0.04
15,-1.5320385,3.942324,15.892419,9.966142,2.5330226,3.2601156,0.04
16,-1.6696556,3.8571782,14.888842,10.038116,2.409224,3.2486823,0.04
17,-1.8845779,3.97819,14.948371,9.657391,2.494771,3.3095348,0.04
18,-2.0061402,3.9505203,16.654482,9.434859,2.4223764,3.2686327,0.04
19,-2.1965084,3.9756985,15.334611,10.568169,2.4022524,3.1986005,0.04
20,-2.3957636,3.8318017,15.282285,8.703325,2.3777807,3.2070162,0.04
21,-2.3967917,3.8427105,16.011417,8.168827,2.5171995,3.4106247,0.04
22,-2.534163,3.8679724,17.009905,7.49216,2.4532702,3.2647202,0.04
23,-2.7133658,3.9430344,17.257385,9.302589,2.5385487,3.3146424,0.04
24,-2.7484536,3.9265366,16.861595,9.276306,2.5128403,3.2947264,0.04
25,-3.015613,3.9062676,16.761932,9.820175,2.492752,3.2735028,0.04
26,-3.1456957,3.947167,16.545237,8.557932,2.516322,3.384468,0.04
27,-3.112504,3.981902,17.587393,8.230229,2.5751016,3.376412,0.04
28,-3.3914804,3.79894,15.413887,7.290477,2.4444,3.2877047,0.04
29,-3.4187613,4.036355,18.802418,10.114001,2.6176403,3.4196863,0.04
30,-3.5639768,3.9709196,16.247746,8.037984,2.528373,3.3235502,0.04
31,-3.6769118,3.7927153,16.644234,8.057092,2.3705876,3.2465007,0.04
32,-3.6743386,3.852035,17.78131,7.677922,2.3488526,3.1892958,0.04
33,-3.8271074,4.0371895,19.576494,9.314533,2.5182326,3.3371704,0.04
34,-4.0603657,3.9949827,17.910667,8.571625,2.4298687,3.3286648,0.04
35,-4.0248976,4.0268607,18.670269,9.58189,2.5545099,3.4616704,0.04
36,-4.0847926,3.9507165,17.900835,8.595094,2.470977,3.376741,0.04
37,-4.2564397,3.8871527,17.78099,8.237875,2.4972348,3.2951586,0.04
38,-4.307205,4.0571113,19.9543,10.152425,2.4986076,3.4320853,0.04
39,-4.3203425,3.957615,18.050684,9.5898485,2.5290723,3.3047962,0.04
40,-4.393641,3.9605088,17.673157,8.46321,2.5994985,3.444249,0.04
41,-4.7478423,4.091634,19.88083,9.437053,2.64906,3.483966,0.04
42,-4.894634,3.9834728,18.53091,8.814339,2.682374,3.41357,0.04
43,-4.7674727,3.9204087,20.00806,8.190807,2.5258033,3.306305,0.04
44,-4.947009,3.9077206,20.566769,8.263233,2.3220804,3.1589963,0.04
45,-5.021316,4.3250747,24.348421,18.012697,2.625259,3.5673125,0.04
46,-5.2442346,3.9687264,21.175293,8.449823,2.449754,3.3573806,0.04
47,-5.4405017,4.312514,25.269123,15.347133,2.597197,3.5869904,0.04
48,-5.516839,4.0028243,22.347084,8.108399,2.510561,3.3414733,0.04
49,-5.484964,4.024025,21.309753,8.230224,2.6394377,3.6273117,0.04
50,-5.645004,4.1421366,26.303465,8.352548,2.6990066,3.4817646,0.04
51,-5.867577,4.0427165,25.553816,7.629822,2.591801,3.374377,0.04
52,-5.8776493,4.1030984,25.766602,9.54037,2.5847306,3.4062915,0.04
53,-6.073792,4.345165,28.970625,27.20961,2.5234926,3.4653966,0.04
54,-6.3451815,4.1144543,30.480387,8.695354,2.5676029,3.5067434,0.04
55,-6.3443313,4.0369496,31.39751,7.958494,2.6189768,3.3827431,0.04
56,-6.314262,4.22628,32.838993,10.006514,2.5771735,3.4225123,0.04
57,-6.5391054,4.230226,33.40338,11.227962,2.6214879,3.5345583,0.04
58,-6.6912684,4.3468256,49.27525,21.964823,2.6338522,3.4264073,0.04
59,-6.699994,4.46381,47.738068,13.790116,2.5477192,3.5378866,0.04
60,-6.8935733,4.4709973,55.339954,11.059616,2.7452667,3.6728852,0.04
61,-7.1293964,4.4500265,57.169636,12.489903,2.7444816,3.5911405,0.04
62,-7.2439427,4.5713534,67.06517,10.585113,2.7321265,3.739768,0.04
63,-7.4439607,4.422954,73.49518,10.083047,2.6156578,3.441897,0.04
64,-7.5908194,4.435657,75.07535,8.36241,2.716379,3.788783,0.04
65,-7.995562,4.7049294,96.29031,10.622264,2.8102107,3.7972386,0.04
66,-8.220345,4.7719812,126.98907,8.684988,2.8556173,3.933909,0.04
67,-8.6849375,5.1021547,165.32744,14.224749,2.8097644,3.6767883,0.04
68,-8.851818,5.1862392,190.70381,10.02687,2.7901912,3.7427342,0.04
69,-9.102689,5.5838633,247.65141,13.33854,2.7356453,3.7192247,0.04
70,-9.255982,5.5006933,270.79837,14.858663,2.8112686,3.7465937,0.04
71,-9.754265,5.9063716,316.93018,13.280999,2.8379962,3.8513114,0.04
72,-9.957916,5.962447,357.93478,16.64092,2.8927877,3.6483214,0.04
73,-10.277778,6.0350647,391.3195,18.26445,3.0022378,3.8882215,0.04
74,-10.770493,6.3629203,448.3488,16.315706,2.8338697,3.5719662,0.04
75,-11.08359,6.3007216,473.11237,16.673578,2.7444315,3.588229,0.04
76,-11.74022,6.702443,504.64554,20.608458,2.9598281,4.1134963,0.04
77,-12.009004,6.8407106,566.60876,21.51318,2.7687166,3.6585515,0.04
78,-12.7473955,7.0843816,588.93555,22.01869,3.0957112,4.265148,0.04
79,-13.232057,7.0947075,626.9843,23.538754,2.8157475,3.74738,0.04
